 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)
1	0.000	1.000	13.065	13.390	5.915	19.500	6.047	9.405	9.082	54.925	NaN	NaN	NaN	1.000	25.415	17.810	32.370	20.930	9.836	7.623	7.098	69.822	NaN	NaN	NaN	1.000	13.780	19.565	12.025	23.075	9.976	3.924	3.922	39.128	NaN	NaN	NaN	1.000	19.500	21.190	20.280	23.075	10.446	2.040	1.950	20.365	NaN	NaN	NaN	1.000	16.380	20.410	16.185	24.830	9.856	4.424	4.356	42.939	NaN	NaN	NaN	1.000	12.220	18.525	7.150	26.000	9.979	9.032	8.997	89.785	NaN	NaN	NaN	1.000	17.875	21.385	18.850	27.755	10.615	6.444	6.298	66.856	NaN	NaN	NaN	76.000	20.930	22.750	21.125	22.750	11.024	0.195	0.068	0.748	NaN	NaN	NaN
2	1.000	2.000	13.000	13.390	5.850	19.565	6.079	9.447	9.074	55.157	-0.009	0.092	0.049	2.000	25.285	17.745	32.500	20.995	9.652	7.913	7.373	71.166	0.274	0.145	-0.145	2.000	13.715	19.695	11.960	23.205	10.064	3.924	3.922	39.470	-3.416E-4	0.145	0.145	2.000	19.630	21.515	20.280	23.075	10.717	1.690	1.619	17.348	-0.331	NaN	0.350	2.000	16.250	20.345	16.120	24.895	9.759	4.552	4.455	43.475	0.098	0.067	-0.061	2.000	12.220	18.460	7.020	26.065	9.879	9.213	9.173	90.622	0.176	0.127	-0.054	2.000	17.875	21.320	18.785	27.690	10.485	6.435	6.301	66.071	0.003	-0.074	-0.064	77.000	20.995	22.815	21.125	22.880	10.888	0.145	0.108	1.175	0.040	0.058	0.087
3	2.000	3.000	12.935	13.455	5.785	19.630	6.106	9.447	9.099	55.559	0.025	0.092	0.092	3.000	25.285	17.745	32.630	21.060	9.698	8.058	7.524	72.970	0.151	0.145	NaN	3.000	13.650	19.825	11.830	23.465	10.178	4.070	4.068	41.405	0.146	0.291	0.145	3.000	19.630	21.450	20.280	23.140	10.659	1.811	1.751	18.666	0.132	0.061	-0.061	3.000	16.315	20.215	16.120	25.025	9.603	4.814	4.732	45.440	0.277	0.130	-0.133	3.000	12.285	18.460	7.020	26.195	9.796	9.357	9.324	91.336	0.150	0.107	-0.037	3.000	17.810	21.320	18.850	27.755	10.485	6.518	6.358	66.666	0.057	0.075	-0.010	78.000	21.060	23.010	21.190	23.010	10.780	0.130	0.050	0.541	-0.058	0.065	0.065
4	3.000	4.000	12.870	13.520	5.850	19.630	6.192	9.307	9.022	55.863	-0.077	-0.049	0.092	4.000	25.155	17.680	32.695	21.060	9.699	8.263	7.679	74.478	0.155	0.059	-0.145	4.000	13.520	20.215	11.765	23.660	10.669	3.866	3.866	41.249	-0.202	0.203	0.407	4.000	19.565	21.125	20.280	23.140	10.466	2.138	2.082	21.793	0.331	NaN	-0.328	4.000	16.250	20.345	16.120	25.155	9.856	4.812	4.723	46.551	-0.009	0.130	0.132	4.000	12.220	18.590	7.020	26.195	9.999	9.213	9.193	91.923	-0.131	NaN	0.144	4.000	17.745	21.255	18.850	27.755	10.550	6.593	6.420	67.727	0.061	NaN	-0.075	79.000	21.060	22.945	21.255	23.140	10.533	0.276	0.258	2.712	0.207	0.138	-0.046
5	4.000	5.000	12.740	13.520	5.785	19.630	6.309	9.258	8.995	56.750	-0.027	0.049	0.098	5.000	25.090	17.615	32.760	21.190	9.746	8.462	7.895	76.946	0.216	0.114	-0.086	5.000	13.585	20.085	11.570	23.855	10.610	4.275	4.273	45.338	0.407	0.264	-0.145	5.000	19.565	20.995	20.280	23.205	10.473	2.323	2.279	23.867	0.197	0.062	-0.124	5.000	16.315	20.540	16.120	25.155	10.147	4.619	4.562	46.289	-0.161	NaN	0.192	5.000	12.155	18.720	7.020	26.325	10.205	9.176	9.162	93.499	-0.031	0.108	0.144	5.000	17.745	21.125	18.850	27.755	10.546	6.721	6.558	69.167	0.139	NaN	-0.128	80.000	21.060	22.750	21.320	22.880	10.555	0.291	0.228	2.408	-0.029	-0.058	-0.087
6	5.000	6.000	12.740	13.585	5.850	19.565	6.282	9.123	8.906	55.947	-0.089	-0.092	0.043	6.000	24.765	17.485	32.890	21.190	9.472	8.930	8.271	78.340	0.375	0.118	-0.350	6.000	13.585	20.020	11.440	24.115	10.523	4.623	4.622	48.634	0.349	0.291	-0.058	6.000	19.435	20.735	20.280	23.205	10.207	2.611	2.551	26.034	0.272	NaN	-0.288	6.000	16.380	20.800	16.120	25.285	10.378	4.493	4.458	46.260	-0.104	0.130	0.256	6.000	12.155	18.720	6.890	26.455	10.166	9.357	9.346	95.016	0.185	0.181	NaN	6.000	17.680	21.060	18.785	27.690	10.481	6.721	6.558	68.737	-5.064E-4	-0.075	-0.075	81.000	20.995	22.815	21.190	22.880	10.759	0.206	0.141	1.521	-0.087	-0.123	-0.041
7	6.000	7.000	12.675	13.585	5.850	19.565	5.966	9.074	8.880	52.982	-0.025	NaN	0.049	7.000	24.570	17.420	32.955	21.190	9.514	9.194	8.579	81.623	0.308	0.059	-0.205	7.000	13.650	19.890	11.310	24.310	10.151	5.001	4.993	50.683	0.371	0.233	-0.145	7.000	19.435	20.735	20.280	23.205	10.195	2.611	2.570	26.203	0.020	NaN	NaN	7.000	16.380	20.670	16.055	25.480	10.121	4.821	4.805	48.634	0.348	0.199	-0.130	7.000	12.090	18.720	6.825	26.520	9.921	9.411	9.407	93.326	0.060	0.090	0.036	7.000	17.680	21.190	18.850	27.755	10.532	6.668	6.542	68.901	-0.016	0.075	0.128	82.000	20.995	22.880	21.190	23.140	10.728	0.325	0.319	3.418	0.177	0.208	0.052
8	7.000	8.000	12.675	13.585	5.915	19.500	5.942	8.982	8.818	52.398	-0.062	-0.092	NaN	8.000	24.440	17.420	33.085	21.255	9.515	9.457	8.774	83.490	0.195	0.145	-0.119	8.000	13.650	19.825	11.180	24.440	10.124	5.234	5.222	52.872	0.229	0.176	-0.057	8.000	19.630	20.995	20.280	23.140	10.558	2.241	2.225	23.491	-0.345	-0.062	0.305	8.000	16.380	20.865	16.120	25.545	10.369	4.687	4.671	48.435	-0.134	0.061	0.195	8.000	11.960	18.720	6.890	26.585	10.012	9.358	9.345	93.563	-0.062	0.019	0.070	8.000	17.615	21.125	18.850	27.755	10.532	6.744	6.606	69.573	0.064	NaN	-0.076	83.000	20.865	22.880	21.385	23.205	10.678	0.613	0.509	5.433	0.190	0.200	-0.110
9	8.000	9.000	12.740	13.455	5.980	19.370	5.765	8.982	8.804	50.751	-0.014	-0.135	-0.135	9.000	24.310	17.420	33.215	21.385	9.470	9.748	9.031	85.522	0.256	0.172	-0.119	9.000	13.650	19.760	11.050	24.635	10.038	5.525	5.512	55.326	0.289	0.233	-0.057	9.000	19.565	20.995	20.280	23.140	10.558	2.261	2.236	23.609	0.011	NaN	-0.021	9.000	16.315	20.865	16.120	25.610	10.369	4.749	4.727	49.010	0.055	0.065	0.003	9.000	12.025	18.720	6.890	26.585	9.936	9.393	9.387	93.275	0.042	NaN	-0.036	9.000	17.550	21.125	18.850	27.690	10.532	6.692	6.540	68.876	-0.066	-0.064	-0.013	84.000	20.670	22.880	21.255	23.335	10.575	0.741	0.646	6.832	0.137	-0.023	-0.154
10	9.000	10.000	12.480	13.520	5.980	19.370	6.194	8.745	8.492	52.601	-0.312	NaN	0.237	10.000	24.635	17.550	33.345	21.385	9.654	9.517	8.803	84.986	-0.228	0.119	0.350	10.000	13.520	20.020	10.920	24.895	10.410	5.525	5.518	57.439	0.006	0.291	0.291	10.000	19.500	20.800	20.280	23.140	10.324	2.467	2.431	25.097	0.195	NaN	-0.206	10.000	16.250	20.995	16.120	25.675	10.536	4.682	4.640	48.892	-0.086	0.065	0.132	10.000	11.765	18.980	6.825	26.715	10.413	9.178	9.158	95.362	-0.229	0.145	0.359	10.000	17.485	21.125	18.850	27.755	10.540	6.769	6.565	69.193	0.025	0.064	-0.013	85.000	20.670	22.945	21.320	23.465	10.610	0.832	0.728	7.723	0.082	0.132	0.041
