dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)
0.000	1.000	0.000	558.032	405.370	1281.583	245.576	180.133	212.077	140.895	10.093	0.000	NaN	NaN	1.000	0.000	461.259	159.602	1281.583	279.023	183.821	211.133	113.514	8.472	0.000	NaN	NaN	1.000	0.000	535.037	596.522	1281.583	374.593	222.774	266.211	176.878	4.481	0.000	NaN	NaN	1.000	0.000	591.154	227.558	1281.583	373.264	229.969	266.000	244.376	2.341	0.000	NaN	NaN	1.000	0.000	678.258	779.120	1281.583	329.099	201.200	222.500	181.297	4.833	0.000	NaN	NaN	1.000	0.000	467.393	299.280	1281.583	240.291	177.400	198.750	152.912	9.800	0.000	NaN	NaN	1.000	0.000	587.069	452.700	1281.583	279.537	177.714	206.727	138.091	6.949	0.000	NaN	NaN	76.000	0.000	468.136	207.367	1069.722	295.111	295.111	334.750	191.684	0.305	0.305	NaN	NaN
1.000	2.000	1.000	625.172	399.407	1254.801	256.969	166.000	192.333	137.826	10.138	0.046	0.092	0.049	2.000	1.000	452.621	278.438	1254.801	282.263	186.448	205.950	132.367	8.786	0.314	0.145	-0.145	2.000	1.000	535.034	317.330	1254.801	354.234	216.200	256.111	152.706	4.507	0.027	0.145	0.145	2.000	1.000	607.033	332.147	1254.801	338.041	228.533	258.733	186.722	2.008	-0.333	0.000	0.350	2.000	1.000	629.536	427.750	1254.801	320.307	194.903	224.133	156.580	4.833	0.000	0.067	-0.061	2.000	1.000	469.926	313.314	1254.801	237.774	180.100	228.667	132.237	9.957	0.157	0.127	-0.054	2.000	1.000	600.778	473.595	1254.801	278.408	167.387	190.375	141.765	6.987	0.038	-0.074	-0.064	77.000	1.000	398.231	227.202	1054.741	284.000	284.000	360.714	206.368	0.440	0.135	0.058	0.087
2.000	3.000	2.000	559.194	400.978	1258.761	252.970	170.821	183.696	136.280	10.093	-0.046	0.092	0.092	3.000	2.000	458.172	249.883	1258.761	283.644	196.433	228.688	131.871	8.943	0.157	0.145	0.000	3.000	2.000	578.034	312.618	1258.761	358.896	235.469	291.471	146.762	4.645	0.138	0.291	0.145	3.000	2.000	647.290	351.086	1258.761	345.000	216.567	256.000	176.858	2.192	0.184	0.061	-0.061	3.000	2.000	746.276	434.181	1258.761	333.113	195.516	224.750	150.727	5.120	0.287	0.130	-0.133	3.000	2.000	495.269	314.171	1258.761	241.648	172.286	202.417	134.662	10.029	0.073	0.107	-0.037	3.000	2.000	587.600	407.375	1258.761	270.927	171.357	193.750	137.986	7.014	0.027	0.075	-0.010	78.000	2.000	386.957	217.819	1055.820	261.667	261.667	323.800	201.102	0.362	-0.078	0.065	0.065
3.000	4.000	3.000	552.968	391.958	1247.617	254.748	179.143	213.727	138.287	9.955	-0.138	-0.049	0.092	4.000	3.000	477.897	268.022	1247.617	280.436	191.000	216.750	136.377	9.192	0.249	0.059	-0.145	4.000	3.000	509.710	296.598	1247.617	335.656	229.765	301.333	154.662	4.488	-0.157	0.203	0.407	4.000	3.000	691.824	441.856	1247.617	376.985	241.375	290.333	176.650	2.544	0.352	0.000	-0.328	4.000	3.000	647.429	419.588	1247.617	317.656	198.032	224.688	149.947	5.158	0.038	0.130	0.132	4.000	3.000	531.207	312.506	1247.617	248.953	171.464	204.500	136.538	9.957	-0.073	-0.000	0.144	4.000	3.000	628.862	420.277	1247.617	277.891	171.464	200.800	139.476	7.144	0.130	0.000	-0.075	79.000	3.000	356.655	229.576	1044.698	256.000	258.000	338.267	197.480	0.657	0.294	0.138	-0.046
4.000	5.000	4.000	553.138	385.268	1241.947	253.541	174.312	209.118	136.162	9.917	-0.038	0.049	0.098	5.000	4.000	469.034	274.570	1241.947	286.944	198.567	234.125	134.390	9.394	0.203	0.114	-0.086	5.000	4.000	519.594	301.569	1241.947	345.473	243.062	324.400	149.461	4.902	0.414	0.264	-0.145	5.000	4.000	714.242	436.930	1241.947	415.881	223.548	267.182	180.223	2.758	0.214	0.062	-0.124	5.000	4.000	549.094	384.750	1241.947	302.845	205.367	243.909	152.049	4.955	-0.203	-0.000	0.192	5.000	4.000	564.000	318.065	1241.947	249.013	170.714	201.889	131.671	9.957	0.000	0.108	0.144	5.000	4.000	623.962	505.544	1241.947	271.350	171.600	190.000	139.878	7.293	0.149	0.000	-0.128	80.000	4.000	336.852	253.623	1034.650	248.781	252.345	308.250	209.160	0.644	-0.012	-0.058	-0.087
5.000	6.000	5.000	571.069	383.221	1243.959	255.492	183.871	229.786	139.856	9.752	-0.165	-0.092	0.043	6.000	5.000	466.516	308.072	1243.959	277.293	200.821	224.500	134.607	9.930	0.536	0.118	-0.350	6.000	5.000	536.656	323.687	1243.959	366.399	255.367	320.812	147.862	5.300	0.398	0.291	-0.058	6.000	5.000	733.886	450.500	1243.959	394.458	216.714	246.800	179.319	2.999	0.241	0.000	-0.288	6.000	5.000	505.793	339.089	1243.959	301.407	192.714	227.000	150.261	4.733	-0.222	0.130	0.256	6.000	5.000	606.943	345.540	1243.959	251.955	173.143	204.818	129.938	10.140	0.184	0.181	-0.000	6.000	5.000	664.852	443.744	1243.959	270.138	169.806	195.545	141.349	7.274	-0.019	-0.075	-0.075	81.000	5.000	332.037	233.207	1020.082	236.045	235.905	309.417	209.519	0.594	-0.050	-0.123	-0.041
6.000	7.000	6.000	548.963	391.042	1240.357	247.656	179.857	221.273	141.383	9.687	-0.065	-0.000	0.049	7.000	6.000	450.806	294.365	1240.357	272.700	199.964	228.429	139.611	10.217	0.287	0.059	-0.205	7.000	6.000	553.000	343.165	1240.357	367.005	243.226	303.800	153.338	5.641	0.341	0.233	-0.145	7.000	6.000	679.529	421.380	1240.357	366.575	217.188	259.167	172.881	3.117	0.119	0.000	0.000	7.000	6.000	581.931	371.366	1240.357	296.456	194.700	219.412	143.869	5.066	0.333	0.199	-0.130	7.000	6.000	616.824	377.000	1240.357	250.387	176.000	208.267	133.041	10.308	0.168	0.090	0.036	7.000	6.000	629.621	413.169	1240.357	272.187	164.893	184.833	136.579	7.263	-0.011	0.075	0.128	82.000	6.000	362.345	216.519	1012.317	265.375	267.000	340.214	178.066	0.725	0.131	0.208	0.052
7.000	8.000	7.000	519.074	381.576	1231.463	246.034	176.129	218.923	142.691	9.557	-0.130	-0.092	-0.000	8.000	7.000	455.926	267.301	1231.463	266.632	183.613	210.947	133.544	10.439	0.222	0.145	-0.119	8.000	7.000	547.233	349.021	1231.463	350.692	219.214	261.824	149.978	5.909	0.268	0.176	-0.057	8.000	7.000	602.444	346.143	1231.463	327.632	214.000	236.824	176.308	2.612	-0.506	-0.062	0.305	8.000	7.000	567.567	343.872	1231.463	278.667	192.500	225.083	146.826	5.085	0.019	0.061	0.195	8.000	7.000	538.194	366.247	1231.463	254.927	175.107	200.375	137.218	10.171	-0.138	0.019	0.070	8.000	7.000	657.000	420.078	1231.463	277.495	177.370	199.333	137.815	7.328	0.065	0.000	-0.076	83.000	7.000	391.452	236.962	1009.100	264.471	223.226	259.250	174.399	0.925	0.200	0.200	-0.110
8.000	9.000	8.000	532.963	391.806	1230.680	261.086	174.467	207.176	146.872	9.557	0.000	-0.135	-0.135	9.000	8.000	459.586	268.105	1230.680	275.275	212.276	235.048	130.403	10.791	0.352	0.172	-0.119	9.000	8.000	561.900	349.522	1230.680	337.811	195.800	236.929	145.262	6.222	0.314	0.233	-0.057	9.000	8.000	556.034	359.116	1230.680	318.313	218.100	240.294	171.007	2.685	0.073	0.000	-0.021	9.000	8.000	559.500	359.796	1230.680	289.378	189.719	239.000	148.613	4.966	-0.119	0.065	0.003	9.000	8.000	566.900	373.215	1230.680	257.977	173.643	195.765	137.090	10.217	0.046	-0.000	-0.036	9.000	8.000	638.077	438.200	1230.680	270.826	179.333	213.900	142.408	7.328	0.000	-0.064	-0.013	84.000	8.000	454.032	275.032	995.390	296.124	235.200	290.727	185.630	1.017	0.092	-0.023	-0.154
9.000	10.000	9.000	521.774	327.816	1236.144	256.418	172.414	203.333	142.222	9.270	-0.287	-0.000	0.237	10.000	9.000	429.312	227.980	1236.144	268.071	193.452	212.773	136.553	10.577	-0.214	0.119	0.350	10.000	9.000	511.194	323.660	1236.144	324.142	192.393	224.154	139.106	6.268	0.046	0.291	0.291	10.000	9.000	600.966	387.844	1236.144	329.769	221.464	258.733	172.433	2.888	0.203	0.000	-0.206	10.000	9.000	560.345	346.456	1236.144	292.928	198.419	235.273	146.907	5.012	0.046	0.065	0.132	10.000	9.000	486.267	294.516	1236.144	251.455	172.621	196.133	130.236	10.071	-0.146	0.145	0.359	10.000	9.000	640.846	422.797	1236.144	266.796	166.786	188.786	138.414	7.382	0.054	0.064	-0.013	85.000	9.000	467.387	247.989	994.713	311.884	246.323	312.133	164.528	1.220	0.203	0.132	0.041
