T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	23.335	23.725	1510.238	772.411	127.955	276.842
2.000	23.400	23.790	1478.980	751.895	126.727	269.883
3.000	23.400	23.790	1477.208	728.783	126.825	271.928
4.000	23.400	23.725	1455.046	700.217	127.253	273.856
5.000	23.400	23.725	1423.665	666.178	127.594	274.929
6.000	23.205	23.595	1268.943	607.038	124.627	253.247
7.000	22.620	23.595	1221.224	624.592	124.760	253.855
8.000	22.490	23.595	1216.793	623.477	124.957	251.771
9.000	22.490	23.530	1209.310	611.950	125.275	253.916
10.000	22.490	23.530	1206.000	613.280	125.223	251.437
11.000	23.270	23.595	1258.598	593.073	125.562	250.703
12.000	23.205	23.595	1261.522	591.390	125.742	249.797
13.000	22.490	23.595	1218.082	610.781	125.814	249.789
14.000	22.490	23.465	1202.188	603.056	125.544	246.979
15.000	22.425	23.465	1200.684	605.246	125.520	246.591
16.000	22.360	23.335	1195.116	612.188	125.313	244.952
17.000	22.295	23.465	1183.270	596.337	124.921	243.387
18.000	22.295	23.465	1175.897	587.069	124.705	241.374
19.000	22.295	23.400	1168.102	574.628	124.323	239.629
20.000	22.295	23.400	1175.767	578.602	124.320	239.539
21.000	23.205	23.335	1231.850	536.286	124.539	243.431
22.000	22.295	23.335	1159.321	550.630	124.261	243.416
23.000	23.140	23.335	1199.626	529.210	124.589	248.655
24.000	22.295	23.270	1136.034	544.151	124.354	250.904
25.000	22.295	23.335	1131.546	542.423	124.312	253.256
26.000	22.295	23.270	1134.088	543.635	124.224	252.907
27.000	22.230	23.270	1145.431	553.825	124.174	252.171
28.000	22.295	23.335	1149.936	541.377	124.366	254.731
29.000	22.295	23.010	1149.805	548.226	124.222	253.510
30.000	22.230	23.075	1160.814	548.974	124.200	253.750
31.000	22.295	23.400	1155.229	531.595	124.034	253.120
32.000	22.880	23.400	1174.546	497.860	123.839	248.369
33.000	23.010	23.335	1160.473	464.447	123.917	248.206
34.000	22.945	23.335	1157.165	471.203	124.262	247.999
