 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)
1	0.000	1.000	23.660	21.125	23.335	18.785	2.620	2.362	2.282	5.978	NaN	NaN	NaN	1.000	15.405	22.620	12.285	22.295	8.007	3.137	3.135	25.101	NaN	NaN	NaN	1.000	15.925	24.245	13.780	23.270	7.428	2.356	2.071	15.387	NaN	NaN	NaN	1.000	16.510	25.545	15.925	25.740	7.063	0.617	0.615	4.348	NaN	NaN	NaN
2	1.000	2.000	23.595	21.125	23.335	18.785	2.672	2.354	2.315	6.185	0.033	NaN	0.007	2.000	15.470	22.555	12.350	22.295	8.026	3.131	3.123	25.063	-0.012	-0.065	-0.059	2.000	15.665	24.115	14.040	23.205	7.742	1.862	1.585	12.274	-0.486	-0.195	0.290	2.000	16.445	25.480	15.925	25.675	7.157	0.555	0.551	3.946	-0.064	-0.023	0.038
3	2.000	3.000	23.660	21.190	23.400	18.785	2.613	2.419	2.367	6.185	0.052	-0.007	-0.072	3.000	15.470	22.555	12.220	22.165	8.026	3.273	3.271	26.254	0.148	0.145	NaN	3.000	15.925	24.115	14.040	23.075	7.482	2.153	1.838	13.752	0.253	0.063	-0.228	3.000	16.250	25.545	15.795	25.675	7.362	0.473	0.473	3.481	-0.078	0.125	0.205
4	3.000	4.000	23.660	21.060	23.335	18.785	2.678	2.298	2.233	5.978	-0.135	0.009	0.129	4.000	15.535	22.555	12.220	22.165	7.952	3.338	3.336	26.529	0.065	NaN	-0.065	4.000	15.925	24.115	14.170	23.010	7.485	2.074	1.695	12.688	-0.143	-0.075	NaN	4.000	16.185	25.480	15.665	25.610	7.425	0.536	0.536	3.980	0.063	0.110	0.047
5	4.000	5.000	23.725	21.060	23.335	18.850	2.685	2.244	2.147	5.763	-0.086	-0.064	-0.011	5.000	15.535	22.555	12.090	22.100	7.952	3.475	3.474	27.627	0.138	0.137	NaN	5.000	15.990	24.180	14.040	22.945	7.424	2.308	1.871	13.888	0.176	0.145	-0.090	5.000	15.600	25.480	15.405	25.610	7.995	0.234	0.219	1.749	-0.317	0.216	0.487
6	5.000	6.000	23.595	20.735	23.335	18.785	2.886	1.967	1.897	5.476	-0.250	0.064	0.339	6.000	15.405	22.425	11.895	22.035	7.887	3.532	3.529	27.834	0.055	0.201	0.144	6.000	16.055	24.180	14.105	22.880	7.174	2.344	1.837	13.182	-0.033	-0.018	-0.054	6.000	15.210	25.480	15.145	25.675	8.214	0.206	0.108	0.887	-0.111	0.144	0.123
7	6.000	7.000	23.660	20.735	23.335	18.720	3.043	2.041	1.783	5.425	-0.114	0.064	-0.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	15.405	25.480	14.820	25.675	7.457	0.617	0.615	4.588	0.507	0.308	-0.185
8	7.000	8.000	23.660	20.670	23.335	18.720	3.150	1.977	1.690	5.324	-0.093	NaN	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	15.405	25.415	14.365	25.675	7.315	1.072	1.072	7.842	0.457	0.441	-0.016
9	8.000	9.000	23.595	20.605	23.335	18.655	3.127	1.967	1.732	5.416	0.042	0.064	0.073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	15.405	25.415	14.170	25.740	7.331	1.277	1.277	9.363	0.205	0.205	NaN
10	9.000	10.000	23.595	20.540	23.335	18.655	3.188	1.903	1.678	5.349	-0.054	NaN	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	15.535	25.350	13.910	25.740	7.189	1.671	1.671	12.012	0.394	0.253	-0.142
