dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)
0.000	1.000	0.000	727.889	671.562	1510.238	392.713	265.962	303.500	166.586	2.634	0.000	NaN	NaN	1.000	0.000	440.769	347.483	1510.238	290.694	236.348	248.167	165.564	3.441	0.000	NaN	NaN	1.000	0.000	499.032	290.224	1510.238	358.072	279.621	328.250	201.172	2.808	0.000	NaN	NaN	1.000	0.000	587.441	482.111	1510.238	415.684	337.037	385.231	309.407	0.890	0.000	NaN	NaN
1.000	2.000	1.000	689.107	514.957	1478.980	359.659	259.923	297.750	191.959	2.653	0.019	-0.000	0.007	2.000	1.000	426.000	313.206	1478.980	271.007	217.500	234.286	177.714	3.387	-0.054	-0.065	-0.059	2.000	1.000	434.657	361.487	1478.980	330.369	311.533	357.750	227.868	2.383	-0.425	-0.195	0.290	2.000	1.000	528.485	392.237	1478.980	383.696	317.000	385.625	290.069	0.863	-0.027	-0.023	0.038
2.000	3.000	2.000	844.300	495.136	1477.208	401.339	288.741	322.167	181.912	2.699	0.046	-0.007	-0.072	3.000	2.000	432.138	284.196	1477.208	271.232	235.957	252.059	160.812	3.571	0.184	0.145	-0.000	3.000	2.000	469.028	390.000	1477.208	335.369	280.556	312.118	208.313	2.686	0.303	0.063	-0.228	3.000	2.000	464.417	319.961	1477.208	332.422	310.889	329.500	260.896	0.603	-0.260	0.125	0.205
3.000	4.000	3.000	759.296	535.432	1455.046	380.118	237.926	268.357	193.207	2.596	-0.103	0.009	0.129	4.000	3.000	455.852	302.888	1455.046	278.679	221.783	234.389	175.216	3.644	0.073	-0.000	-0.065	4.000	3.000	428.676	379.104	1455.046	331.108	291.179	341.188	222.020	2.640	-0.046	-0.075	-0.000	4.000	3.000	454.652	358.150	1455.046	334.375	304.625	320.952	259.807	0.649	0.046	0.110	0.047
4.000	5.000	4.000	859.657	514.351	1423.665	417.061	264.267	307.133	187.523	2.669	0.073	-0.064	-0.011	5.000	4.000	470.500	302.817	1423.665	286.406	235.250	252.375	170.404	3.831	0.187	0.137	-0.000	5.000	4.000	454.483	367.000	1423.665	338.551	291.630	334.667	215.181	2.797	0.157	0.145	-0.090	5.000	4.000	322.700	260.784	1423.665	274.400	274.400	303.263	222.788	0.511	-0.139	0.216	0.487
5.000	6.000	5.000	589.000	424.357	1268.943	362.070	245.867	300.778	182.092	2.290	-0.379	0.064	0.339	6.000	5.000	398.074	304.204	1268.943	253.926	221.895	235.667	170.929	3.885	0.054	0.201	0.144	6.000	5.000	439.567	382.818	1268.943	307.276	275.889	297.185	226.544	2.900	0.103	-0.018	-0.054	6.000	5.000	276.050	210.745	1268.943	248.091	248.091	294.571	195.990	0.326	-0.185	0.144	0.123
6.000	7.000	6.000	637.400	431.649	1221.224	363.221	249.536	295.333	177.664	2.382	0.092	0.064	-0.010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000	6.000	297.050	243.443	1221.224	235.224	210.333	242.750	182.803	0.760	0.434	0.308	-0.185
7.000	8.000	7.000	666.733	424.387	1216.793	381.404	251.821	285.316	179.993	2.336	-0.046	-0.000	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000	7.000	306.913	242.646	1216.793	230.419	206.870	213.250	161.579	1.261	0.501	0.441	-0.016
8.000	9.000	8.000	666.645	406.000	1209.310	376.967	250.500	286.812	177.718	2.328	-0.008	0.064	0.073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	8.000	294.304	255.151	1209.310	228.239	203.833	219.600	158.429	1.483	0.222	0.205	-0.000
9.000	10.000	9.000	667.345	467.194	1206.000	380.734	262.821	292.714	187.295	2.244	-0.084	-0.000	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	9.000	328.591	273.185	1206.000	235.107	210.346	227.929	150.788	1.854	0.371	0.253	-0.142
10.000	11.000	10.000	688.312	516.362	1258.598	379.929	243.786	290.545	191.897	2.290	0.046	-0.064	-0.129	11.000	10.000	431.786	277.465	1258.598	256.338	255.167	288.100	155.500	4.643	4.643	0.139	-1.602	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	10.000	332.364	279.360	1258.598	237.079	199.815	219.476	145.620	2.336	0.482	0.395	-0.000
11.000	12.000	11.000	700.731	542.727	1261.522	378.208	241.179	275.333	187.440	2.328	0.038	-0.000	-0.064	12.000	11.000	387.000	281.379	1261.522	252.743	239.900	271.947	157.353	4.723	0.081	0.140	0.178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	11.000	331.136	256.682	1261.522	243.234	202.654	230.071	139.461	2.642	0.306	0.447	0.128
12.000	13.000	12.000	717.857	517.703	1218.082	384.688	267.633	295.800	183.411	2.412	0.084	-0.000	-0.059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	12.000	478.310	308.300	1218.082	268.776	197.111	221.400	142.158	3.335	0.693	0.252	-0.253
13.000	14.000	13.000	668.625	440.592	1202.188	384.802	290.419	343.765	187.260	2.290	-0.122	-0.000	0.194	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	13.000	465.581	340.284	1202.188	294.035	225.593	267.800	141.856	3.511	0.176	0.126	-0.063
14.000	15.000	14.000	650.172	473.000	1200.684	407.971	255.133	290.125	204.625	2.152	-0.138	-0.065	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000	14.000	490.724	319.426	1200.684	293.042	214.929	269.125	141.088	3.641	0.130	0.190	0.063
15.000	16.000	15.000	572.276	432.380	1195.116	366.725	244.846	273.250	196.186	1.892	-0.260	-0.000	0.258	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.000	15.000	456.333	296.908	1195.116	299.446	223.900	262.500	157.510	3.457	-0.184	-0.076	0.076
16.000	17.000	16.000	730.516	527.297	1183.270	393.097	239.154	295.667	188.655	2.263	0.371	-0.000	-0.388	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.000	16.000	449.448	291.532	1183.270	286.877	218.250	245.647	156.662	3.438	-0.019	-0.013	0.051
17.000	18.000	17.000	795.821	508.645	1175.897	386.543	240.500	275.471	182.906	2.301	0.038	-0.000	-0.009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.000	17.000	441.815	303.883	1175.897	274.403	212.690	252.286	165.040	3.227	-0.211	-0.139	-0.054
18.000	19.000	18.000	666.821	489.078	1168.102	349.880	223.250	252.154	183.345	2.198	-0.103	0.064	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000	18.000	408.857	281.237	1168.102	254.958	203.148	221.158	162.689	3.070	-0.157	-0.138	-0.000
19.000	20.000	19.000	724.788	516.015	1175.767	370.473	230.192	254.067	181.062	2.282	0.084	-0.064	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.000	19.000	418.750	283.149	1175.767	265.267	207.885	246.500	157.304	3.032	-0.038	-0.072	-0.065
20.000	21.000	20.000	672.600	482.418	1231.850	353.116	227.692	264.545	180.075	2.171	-0.111	-0.000	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.000	20.000	412.391	257.532	1231.850	253.571	198.704	217.438	158.456	2.791	-0.241	-0.064	0.129
21.000	22.000	21.000	652.516	457.400	1159.321	360.618	229.625	254.867	182.593	2.106	-0.065	-0.000	0.072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000	21.000	309.115	242.875	1159.321	235.146	196.222	231.143	145.167	2.504	-0.287	0.135	0.405
22.000	23.000	22.000	625.600	487.694	1199.626	358.125	236.786	284.182	208.353	1.892	-0.214	-0.266	-0.072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000	22.000	333.192	245.797	1199.626	276.147	257.314	317.050	180.280	1.762	-0.742	-0.915	-0.130
23.000	24.000	23.000	639.607	483.524	1136.034	354.140	234.556	265.667	185.303	2.022	0.130	0.065	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.000	23.000	319.538	241.988	1136.034	247.309	219.419	245.533	224.732	1.150	-0.612	-0.450	0.061
24.000	25.000	24.000	711.097	500.438	1131.546	384.323	247.185	284.400	187.053	2.133	0.111	-0.000	-0.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.000	24.000	339.200	269.345	1131.546	270.182	247.033	266.684	224.949	0.707	-0.444	-0.445	-0.057
25.000	26.000	25.000	605.192	398.226	1134.088	334.459	239.036	288.636	193.638	1.800	-0.333	-0.065	0.259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000	25.000	441.690	356.160	1134.088	304.849	245.767	278.882	205.476	1.085	0.379	-0.059	-0.264
26.000	27.000	26.000	663.828	446.820	1145.431	372.307	273.571	303.167	214.747	1.716	-0.084	-0.193	-0.073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.000	26.000	439.964	335.685	1145.431	312.023	268.556	292.895	204.285	1.039	-0.046	-0.021	-0.032
27.000	28.000	27.000	612.207	452.677	1149.936	414.877	338.267	378.579	266.186	1.234	-0.482	-0.445	-0.009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.000	27.000	436.069	305.438	1149.936	317.227	252.690	318.571	196.862	1.158	0.119	0.062	-0.038
28.000	29.000	28.000	487.129	326.864	1149.805	370.211	377.467	478.500	289.829	0.670	-0.564	-0.174	0.581	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000	28.000	518.844	308.462	1149.805	358.752	276.233	334.500	201.883	1.242	0.084	-0.084	-0.107
29.000	30.000	29.000	505.032	370.835	1160.814	381.741	387.455	467.368	312.184	0.692	0.022	-0.065	-0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.000	29.000	517.036	311.533	1160.814	305.031	232.192	271.583	201.208	1.204	-0.038	0.047	0.047
30.000	31.000	30.000	704.257	489.258	1155.229	500.170	399.000	495.600	313.358	1.131	0.439	-0.128	-0.663	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000	30.000	526.786	430.468	1155.229	316.851	220.583	248.300	188.657	1.705	0.501	-0.000	-0.570
31.000	32.000	31.000	634.621	534.408	1174.546	419.433	344.515	387.722	328.752	1.085	-0.046	-0.064	-0.128	32.000	31.000	464.519	310.311	1174.546	284.050	243.842	290.611	166.761	5.421	5.421	0.250	-2.362	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.000	31.000	536.407	451.127	1174.546	299.129	209.370	223.409	178.597	1.911	0.206	-0.064	-0.311
32.000	33.000	32.000	673.774	452.306	1160.473	433.832	347.333	369.450	289.603	1.112	0.027	0.055	-0.074	33.000	32.000	464.793	311.727	1160.473	281.897	239.432	282.850	177.865	5.229	-0.192	0.130	0.198	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	32.000	522.367	508.200	1160.473	301.275	222.333	238.647	169.067	2.320	0.409	-0.000	-0.447
33.000	34.000	33.000	656.182	519.328	1157.165	417.646	319.258	348.000	287.060	1.261	0.149	0.009	-0.056	34.000	33.000	444.852	306.506	1157.165	281.833	233.576	264.882	203.854	4.831	-0.398	-0.117	0.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	33.000	540.893	391.746	1157.165	290.827	201.200	212.842	166.013	2.561	0.241	0.067	-0.125
