T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	16.250	4.225	788.506	338.327	118.151	157.380
2.000	16.185	4.355	749.987	312.683	117.208	153.871
3.000	16.185	4.550	752.523	300.604	117.070	153.746
4.000	16.055	4.680	746.311	303.592	117.687	154.854
5.000	15.990	4.745	749.914	303.138	117.952	154.735
6.000	15.990	4.810	676.295	289.079	116.048	148.179
7.000	15.990	4.875	663.918	305.889	116.013	147.000
8.000	15.925	4.940	674.780	308.358	116.464	148.176
9.000	15.925	5.005	664.415	306.668	116.282	147.359
10.000	15.990	5.070	645.641	312.794	116.135	146.370
11.000	15.925	5.070	633.197	313.741	116.212	146.341
12.000	15.860	5.200	630.310	311.296	116.330	146.501
13.000	15.925	5.070	627.403	300.459	116.214	145.776
14.000	15.990	5.135	632.058	296.489	116.332	145.994
15.000	16.055	5.525	629.799	299.047	116.319	145.533
16.000	16.185	5.590	642.943	297.474	116.536	146.229
17.000	16.120	5.525	649.640	299.262	116.207	145.841
18.000	15.990	5.135	683.541	288.445	116.633	147.641
19.000	15.990	5.200	694.577	292.891	116.671	146.853
20.000	16.120	5.200	674.444	277.929	116.947	147.704
21.000	16.055	5.460	669.226	266.775	117.276	149.319
22.000	16.055	5.395	674.957	272.103	117.602	150.796
23.000	15.860	5.330	687.422	280.361	117.581	150.250
24.000	15.860	5.330	692.565	268.026	117.784	151.291
25.000	15.860	5.785	678.862	273.281	117.435	149.690
26.000	15.730	7.280	656.017	281.050	117.328	148.976
27.000	15.665	7.280	666.543	279.472	117.590	150.536
28.000	15.730	7.345	680.100	273.873	117.850	149.153
29.000	15.665	7.280	689.570	282.195	117.680	149.083
30.000	15.925	7.475	683.226	279.055	117.799	148.321
31.000	15.730	7.605	686.335	275.496	117.895	149.360
32.000	15.730	7.670	686.194	277.795	118.092	149.967
33.000	15.535	8.385	689.657	287.152	118.093	151.054
34.000	15.535	7.865	713.073	283.367	118.861	153.349
