 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)
1	0.000	1.000	13.325	8.190	9.295	17.485	4.927	10.131	9.872	48.642	NaN	NaN	NaN	1.000	16.900	7.540	15.795	22.230	3.378	14.732	14.203	47.979	NaN	NaN	NaN
2	1.000	2.000	13.195	8.450	9.230	17.615	5.070	9.986	9.740	49.386	-0.132	0.145	0.290	2.000	16.835	7.540	15.925	22.230	3.251	14.718	14.211	46.196	0.008	-0.008	0.004
3	2.000	3.000	13.000	8.775	9.100	17.875	5.291	9.901	9.614	50.869	-0.126	0.290	0.376	3.000	16.835	8.190	15.990	22.360	3.698	14.195	13.801	51.030	-0.411	0.126	0.649
4	3.000	4.000	12.805	9.165	9.035	18.070	5.539	9.670	9.423	52.191	-0.191	0.205	0.435	4.000	16.835	8.385	16.055	22.555	3.786	14.191	13.705	51.891	-0.095	0.191	0.195
5	4.000	5.000	12.740	9.295	9.035	18.330	5.592	9.765	9.506	53.151	0.083	0.241	0.145	5.000	16.835	8.320	15.990	22.880	3.674	14.584	13.975	51.338	0.270	0.328	-0.065
6	5.000	6.000	12.740	9.360	8.970	18.525	5.592	9.910	9.649	53.953	0.144	0.205	0.060	6.000	16.835	8.320	15.925	23.010	3.610	14.718	14.069	50.793	0.094	0.134	NaN
7	6.000	7.000	12.545	9.555	8.905	18.785	5.811	9.922	9.591	55.736	-0.058	0.266	0.253	7.000	16.835	8.450	15.925	23.335	3.674	14.913	14.277	52.445	0.208	0.324	0.130
8	7.000	8.000	12.480	9.620	8.775	18.915	5.811	10.006	9.682	56.264	0.091	0.169	0.084	8.000	16.835	8.515	15.860	23.660	3.689	15.176	14.436	53.256	0.160	0.329	0.065
9	8.000	9.000	12.350	9.880	8.645	19.045	6.045	9.886	9.582	57.925	-0.100	0.169	0.290	9.000	16.770	8.645	15.860	23.985	3.737	15.367	14.737	55.069	0.300	0.324	0.134
10	9.000	10.000	12.350	9.945	8.515	19.110	6.084	9.935	9.638	58.639	0.056	0.110	0.060	10.000	16.770	8.580	15.860	24.180	3.596	15.627	15.031	54.046	0.294	0.195	-0.065
11	10.000	11.000	12.350	9.945	8.450	19.175	6.045	10.020	9.749	58.939	0.111	0.085	NaN	11.000	16.770	8.775	15.860	24.375	3.800	15.627	15.007	57.029	-0.024	0.195	0.195
12	11.000	12.000	12.285	10.205	8.450	19.370	6.151	9.935	9.687	59.581	-0.063	0.180	0.265	12.000	16.770	8.645	15.795	24.635	3.563	16.020	15.211	54.198	0.204	0.263	-0.130
13	12.000	13.000	12.415	10.010	8.450	19.565	6.060	10.345	10.086	61.119	0.399	0.180	-0.230	13.000	16.770	8.905	15.795	24.895	3.927	16.020	15.406	60.498	0.195	0.260	0.260
14	13.000	14.000	12.480	9.880	8.385	19.630	5.902	10.575	10.274	60.637	0.188	0.085	-0.145	14.000	16.770	9.165	15.860	25.155	4.105	16.016	15.526	63.730	0.120	0.256	0.260
15	14.000	15.000	12.545	10.010	8.125	19.890	5.695	10.824	10.505	59.826	0.231	0.344	0.092	15.000	16.770	9.490	15.990	25.350	4.029	15.879	15.470	62.327	-0.056	0.188	0.325
16	15.000	16.000	12.545	10.140	7.865	20.085	5.827	10.991	10.689	62.285	0.185	0.287	0.118	16.000	16.705	9.685	16.055	25.415	4.128	15.743	15.523	64.076	0.053	0.062	0.198
17	16.000	17.000	12.545	10.075	7.735	19.890	5.786	10.930	10.689	61.854	1.230E-4	-0.118	-0.058	17.000	16.640	9.620	15.990	25.350	4.128	15.743	15.523	64.076	-3.553E-15	-0.062	-0.062
