dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)
0.000	1.000	0.000	534.517	1130.060	788.506	253.930	170.433	214.000	169.455	11.151	0.000	NaN	NaN	1.000	0.000	485.036	588.657	788.506	249.863	170.448	208.727	188.792	15.480	0.000	NaN	NaN
1.000	2.000	1.000	519.133	219.774	749.987	251.503	171.406	235.636	123.653	11.051	-0.100	0.145	0.290	2.000	1.000	438.586	279.250	749.987	246.504	168.062	200.000	126.103	15.426	-0.054	-0.008	0.004
2.000	3.000	2.000	570.771	197.000	752.523	252.518	176.281	211.222	122.647	10.986	-0.065	0.290	0.376	3.000	2.000	357.645	220.539	752.523	237.337	196.412	235.136	126.514	14.960	-0.466	0.126	0.649
3.000	4.000	3.000	477.903	196.398	746.311	245.814	172.448	218.643	121.643	10.691	-0.295	0.205	0.435	4.000	3.000	391.724	219.509	746.311	239.735	179.733	231.786	125.858	14.779	-0.181	0.191	0.195
4.000	5.000	4.000	569.129	216.010	749.914	250.660	166.200	206.200	122.374	10.794	0.103	0.241	0.145	5.000	4.000	389.207	235.802	749.914	241.567	182.467	232.846	120.507	15.204	0.425	0.328	-0.065
5.000	6.000	5.000	536.677	253.030	676.295	242.585	159.500	182.905	120.021	10.989	0.195	0.205	0.060	6.000	5.000	368.138	231.049	676.295	226.596	177.438	224.385	128.829	15.388	0.184	0.134	-0.000
6.000	7.000	6.000	533.033	225.608	663.918	238.618	142.059	157.941	118.217	10.997	0.008	0.266	0.253	7.000	6.000	351.926	219.828	663.918	229.082	167.100	199.923	118.124	15.640	0.252	0.324	0.130
7.000	8.000	7.000	565.167	238.052	674.780	241.608	139.939	157.400	115.797	11.127	0.130	0.169	0.084	8.000	7.000	350.700	222.564	674.780	231.240	163.281	202.692	117.258	15.862	0.222	0.329	0.065
8.000	9.000	8.000	500.552	234.383	664.415	235.130	141.889	148.118	120.196	11.024	-0.103	0.169	0.290	9.000	8.000	347.517	219.485	664.415	231.649	169.781	203.944	116.426	15.957	0.095	0.324	0.134
9.000	10.000	9.000	486.828	241.062	645.641	233.918	143.028	155.250	123.745	11.078	0.054	0.110	0.060	10.000	9.000	404.667	229.833	645.641	231.539	158.767	189.000	121.896	16.301	0.344	0.195	-0.065
10.000	11.000	10.000	486.414	237.011	633.197	221.263	134.525	145.864	130.397	11.189	0.111	0.085	-0.000	11.000	10.000	392.645	219.982	633.197	232.863	164.800	204.929	119.469	16.309	0.008	0.195	0.195
11.000	12.000	11.000	422.226	217.429	630.310	215.367	141.054	152.087	127.432	11.197	0.008	0.180	0.265	12.000	11.000	447.161	240.908	630.310	234.428	166.441	193.905	118.807	16.699	0.390	0.263	-0.130
12.000	13.000	12.000	454.069	246.750	627.403	221.246	140.938	153.235	128.644	11.603	0.406	0.180	-0.230	13.000	12.000	444.531	224.031	627.403	231.150	167.100	200.909	117.518	16.753	0.054	0.260	0.260
13.000	14.000	13.000	453.593	266.670	632.058	217.705	138.469	150.000	134.164	11.805	0.203	0.085	-0.145	14.000	13.000	426.903	227.786	632.058	223.879	157.265	179.944	118.683	16.707	-0.046	0.256	0.260
14.000	15.000	14.000	403.069	231.733	629.799	213.862	139.676	146.652	127.819	12.008	0.203	0.344	0.092	15.000	14.000	372.968	207.600	629.799	221.514	158.054	173.391	117.340	16.650	-0.057	0.188	0.325
15.000	16.000	15.000	350.062	222.804	642.943	211.106	132.419	140.478	129.872	12.503	0.494	0.287	0.118	16.000	15.000	340.069	212.329	642.943	224.599	152.316	180.300	124.941	16.620	-0.030	0.062	0.198
16.000	17.000	16.000	383.250	236.824	649.640	206.917	135.088	143.038	130.098	12.284	-0.219	-0.118	-0.058	17.000	16.000	362.241	236.367	649.640	223.700	148.657	164.111	130.519	16.593	-0.027	-0.062	-0.062
17.000	18.000	17.000	406.793	229.440	683.541	216.847	139.071	143.720	136.340	12.414	0.130	-0.125	0.059	18.000	17.000	359.161	222.384	683.541	221.194	147.757	166.938	131.984	16.111	-0.482	-0.253	0.260
18.000	19.000	18.000	365.167	226.120	694.577	203.447	136.000	148.800	118.372	13.134	0.720	1.187	0.059	19.000	18.000	352.258	222.539	694.577	222.809	142.700	157.105	132.350	16.035	-0.076	0.062	0.065
19.000	20.000	19.000	377.333	223.843	674.444	206.703	136.500	149.036	121.608	13.344	0.211	0.145	-0.000	20.000	19.000	323.552	198.320	674.444	226.025	142.346	152.211	130.815	15.664	-0.371	-0.122	0.320
20.000	21.000	20.000	430.400	221.494	669.226	210.172	136.037	144.682	130.333	13.153	-0.192	-0.054	0.086	21.000	20.000	286.806	188.322	669.226	229.252	151.097	171.952	138.031	14.773	-0.891	-0.389	0.519
