 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)
1	0.000	1.000	39.845	13.325	43.095	11.115	18.411	3.930	3.821	70.346	NaN	NaN	NaN	1.000	43.940	13.260	45.500	12.805	22.308	1.625	1.625	36.246	NaN	NaN	NaN	1.000	45.045	16.445	52.130	15.860	22.678	7.109	7.093	160.858	NaN	NaN	NaN	39.000	41.275	13.130	45.370	11.505	20.764	4.406	4.403	91.421	NaN	NaN	NaN
2	1.000	2.000	39.845	13.390	43.290	10.985	18.388	4.201	4.069	74.816	0.248	0.234	-0.037	2.000	43.810	13.325	45.695	12.740	22.165	1.974	1.974	43.746	0.349	0.206	-0.143	2.000	45.110	16.445	52.195	15.860	22.743	7.109	7.093	161.319	2.028E-4	0.065	0.065	40.000	41.015	13.195	45.695	11.440	20.520	4.998	4.998	102.553	0.595	0.327	-0.266
3	2.000	3.000	39.715	13.325	43.485	10.790	18.289	4.543	4.425	80.926	0.356	0.271	-0.072	3.000	43.810	13.390	45.825	12.740	22.146	2.117	2.117	46.881	0.143	0.124	-0.020	3.000	45.110	16.445	52.130	15.860	22.743	7.044	7.029	159.857	-0.064	-0.065	NaN	41.000	40.885	13.260	45.890	11.635	20.415	5.262	5.260	107.387	0.262	0.125	-0.144
4	3.000	4.000	39.585	13.390	43.615	10.725	18.061	4.831	4.711	85.083	0.286	0.144	-0.144	4.000	43.615	13.455	46.020	12.675	21.859	2.528	2.528	55.255	0.411	0.206	-0.206	4.000	45.175	16.510	52.195	15.795	22.724	7.056	7.050	160.204	0.021	0.071	0.058	42.000	40.885	13.260	46.020	11.765	20.231	5.348	5.338	107.999	0.078	0.088	NaN
5	4.000	5.000	40.300	13.000	43.810	10.660	19.012	4.218	4.116	78.255	-0.595	0.198	0.811	5.000	43.680	13.520	46.085	12.675	22.046	2.549	2.546	56.133	0.018	0.061	0.040	5.000	44.915	16.510	52.195	15.860	22.604	7.309	7.297	164.936	0.247	-0.006	-0.259	43.000	40.950	13.260	45.955	11.830	20.353	5.205	5.195	105.731	-0.144	-0.080	0.062
6	5.000	6.000	40.560	12.935	43.810	10.595	19.339	4.005	3.870	74.850	-0.246	0.038	0.249	6.000	43.225	13.715	46.150	12.740	21.616	3.083	3.081	66.607	0.535	0.041	-0.493	6.000	44.720	16.510	52.065	15.860	22.476	7.374	7.361	165.434	0.064	-0.129	-0.194	44.000	40.950	13.260	46.410	11.700	20.314	5.678	5.665	115.089	0.471	0.473	NaN
7	6.000	7.000	42.185	11.765	43.940	10.595	21.268	2.109	2.063	43.881	-1.807	0.108	2.001	7.000	43.550	13.845	46.085	12.740	21.903	2.765	2.737	59.944	-0.344	-0.060	0.246	7.000	44.655	16.510	52.065	15.860	22.448	7.438	7.428	166.752	0.068	NaN	-0.065	45.000	40.820	13.325	46.475	11.700	20.048	5.884	5.870	117.687	0.205	0.062	-0.143
8	7.000	8.000	41.925	11.895	43.940	10.595	20.978	2.398	2.352	49.348	0.289	NaN	-0.289	8.000	43.485	13.910	46.020	12.740	21.823	2.792	2.753	60.080	0.016	-0.059	-0.086	8.000	44.655	16.510	52.065	15.795	22.448	7.444	7.437	166.955	0.009	0.006	NaN	46.000	40.820	13.325	46.540	11.700	19.964	5.946	5.932	118.435	0.062	0.063	NaN
9	8.000	9.000	41.210	12.350	43.940	10.530	20.181	3.281	3.212	64.828	0.860	0.036	-0.847	9.000	43.420	13.910	46.020	12.805	21.768	2.825	2.804	61.026	0.050	-0.025	-0.060	9.000	44.785	16.445	52.065	15.795	22.560	7.309	7.294	164.547	-0.144	NaN	0.135	47.000	41.080	13.260	46.605	11.570	20.375	5.778	5.771	117.586	-0.161	0.100	0.268
10	9.000	10.000	41.795	11.895	44.070	10.530	20.701	2.653	2.622	54.270	-0.591	0.111	0.736	10.000	43.355	14.040	46.020	12.805	21.492	2.937	2.896	62.243	0.093	NaN	-0.114	10.000	45.045	16.510	52.000	15.795	22.650	6.992	6.986	158.243	-0.307	-0.065	0.252	48.000	40.950	13.260	46.735	11.570	20.253	6.027	6.015	121.819	0.244	0.125	-0.125
11	10.000	11.000	41.925	11.765	44.135	10.530	20.906	2.532	2.512	52.521	-0.109	0.057	0.177	11.000	43.420	13.975	46.020	12.870	21.618	2.825	2.799	60.498	-0.098	-0.025	0.085	11.000	44.915	16.445	52.065	15.860	22.586	7.174	7.161	161.737	0.175	0.059	-0.124	49.000	41.015	13.325	46.735	11.505	20.249	6.003	6.000	121.494	-0.015	0.020	0.042
12	11.000	12.000	41.860	11.765	44.200	10.465	20.906	2.677	2.657	55.550	0.145	0.088	-0.057	12.000	43.420	13.975	45.955	12.805	21.680	2.792	2.752	59.674	-0.046	-0.032	NaN	12.000	44.720	16.380	52.000	15.860	22.466	7.299	7.279	163.524	0.118	-0.065	-0.190	50.000	41.080	13.325	46.735	11.505	20.393	5.941	5.939	121.105	-0.061	NaN	0.062
13	12.000	13.000	41.665	11.895	44.265	10.335	20.665	3.032	2.998	61.955	0.341	0.123	-0.234	13.000	43.290	13.975	45.955	12.805	21.527	2.911	2.881	62.027	0.129	NaN	-0.119	13.000	44.915	16.380	52.065	15.860	22.614	7.169	7.147	161.632	-0.131	0.065	0.194	51.000	41.210	13.195	46.865	11.505	20.620	5.902	5.895	121.549	-0.044	0.125	0.162
14	13.000	14.000	41.405	12.090	44.395	10.270	20.435	3.500	3.456	70.634	0.458	0.145	-0.323	14.000	43.355	14.040	45.955	12.805	21.652	2.878	2.835	61.393	-0.046	NaN	0.031	14.000	44.850	16.380	52.065	15.860	22.624	7.234	7.210	163.119	0.063	NaN	-0.065	52.000	41.340	13.130	46.930	11.440	20.681	5.840	5.834	120.649	-0.061	0.081	0.143
15	14.000	15.000	41.470	12.025	44.590	10.140	20.556	3.645	3.600	74.001	0.144	0.234	0.089	15.000	43.485	14.040	45.890	12.870	21.823	2.674	2.628	57.342	-0.208	-0.087	0.117	15.000	44.655	16.380	52.130	15.860	22.485	7.493	7.468	167.927	0.258	0.065	-0.195	53.000	41.210	13.195	47.125	11.440	20.660	6.170	6.163	127.320	0.329	0.187	-0.143
16	15.000	16.000	41.340	12.090	44.720	10.075	20.435	3.935	3.891	79.519	0.291	0.145	-0.145	16.000	43.550	14.040	45.760	12.935	21.903	2.471	2.423	53.079	-0.204	-0.145	0.058	16.000	44.720	16.445	52.000	15.860	22.550	7.303	7.285	164.285	-0.183	-0.130	0.060	54.000	41.210	13.260	47.255	11.375	20.721	6.332	6.329	131.136	0.166	0.143	-0.019
