dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)
0.000	1.000	0.000	186.735	207.765	689.779	167.900	136.926	144.048	123.048	4.474	0.000	NaN	NaN	1.000	0.000	190.000	142.219	689.779	148.512	131.185	138.348	135.898	1.916	0.000	NaN	NaN	1.000	0.000	192.065	126.375	689.779	141.256	129.500	142.133	116.500	7.560	0.000	NaN	NaN	39.000	0.000	216.633	195.258	643.040	153.240	129.750	136.773	123.286	5.199	5.199	NaN	NaN
1.000	2.000	1.000	194.351	164.439	665.910	161.526	125.621	136.500	116.311	4.788	0.314	0.234	-0.037	2.000	1.000	190.000	150.000	665.910	150.830	129.586	139.867	116.591	2.352	0.436	0.206	-0.143	2.000	1.000	189.929	136.667	665.910	137.634	123.846	132.417	115.585	7.614	0.054	0.065	0.065	40.000	1.000	223.433	210.841	642.980	154.350	125.500	132.333	120.629	5.892	0.693	0.327	-0.266
2.000	3.000	2.000	193.111	159.014	666.050	161.026	129.259	140.750	115.407	5.129	0.341	0.271	-0.072	3.000	2.000	181.111	147.370	666.050	146.190	129.074	138.133	115.694	2.471	0.119	0.124	-0.020	3.000	2.000	193.367	136.535	666.050	139.544	130.231	137.600	113.873	7.595	-0.019	-0.065	0.000	41.000	2.000	224.452	206.982	642.364	159.470	127.000	133.500	119.872	6.063	0.171	0.125	-0.144
3.000	4.000	3.000	190.818	164.884	662.360	160.862	128.667	136.263	114.986	5.358	0.230	0.144	-0.144	4.000	3.000	182.667	155.031	662.360	146.531	126.778	133.571	115.774	2.896	0.425	0.206	-0.206	4.000	3.000	185.379	138.149	662.360	136.559	126.462	133.812	115.669	7.675	0.081	0.071	0.058	42.000	3.000	215.917	192.316	640.213	160.668	135.415	146.786	123.793	6.109	0.046	0.088	0.000
4.000	5.000	4.000	191.415	158.712	661.628	163.732	127.464	134.050	115.503	6.062	0.704	0.198	0.811	5.000	4.000	179.931	151.115	661.628	146.744	131.286	137.762	115.725	3.007	0.111	0.061	0.040	5.000	4.000	195.645	143.012	661.628	139.695	124.692	135.100	114.830	7.897	0.222	-0.006	-0.259	43.000	4.000	219.833	189.921	639.672	158.372	132.622	139.462	128.290	5.998	-0.111	-0.080	0.062
5.000	6.000	5.000	177.317	159.511	614.820	156.033	127.704	136.077	115.493	6.051	-0.011	0.038	0.249	6.000	5.000	186.586	159.452	614.820	146.574	128.760	134.882	117.414	3.477	0.471	0.041	-0.493	6.000	5.000	179.581	146.635	614.820	138.424	123.042	129.000	116.503	8.149	0.252	-0.129	-0.194	44.000	5.000	220.771	195.211	642.943	158.662	128.030	137.692	122.241	6.472	0.474	0.473	0.000
6.000	7.000	6.000	155.316	129.662	608.417	139.416	124.571	141.333	114.040	2.697	-3.354	0.108	2.001	7.000	6.000	173.448	148.818	608.417	139.049	122.929	129.000	114.277	3.125	-0.352	-0.060	0.246	7.000	6.000	174.219	141.704	608.417	135.580	122.478	134.875	114.422	7.847	-0.303	0.000	-0.065	45.000	6.000	220.057	198.210	641.292	157.527	132.344	143.923	119.669	6.618	0.146	0.062	-0.143
7.000	8.000	7.000	152.629	128.831	609.357	139.513	126.385	137.700	115.483	2.908	0.211	0.000	-0.289	8.000	7.000	173.071	154.747	609.357	139.677	123.643	136.500	115.108	3.198	0.073	-0.059	-0.086	8.000	7.000	176.034	140.215	609.357	134.270	122.962	129.211	112.673	7.966	0.119	0.006	0.000	46.000	7.000	213.771	190.055	639.254	157.495	129.811	137.538	121.576	6.664	0.046	0.063	0.000
8.000	9.000	8.000	164.353	138.329	611.380	142.094	124.923	131.647	114.747	3.747	0.838	0.036	-0.847	9.000	8.000	167.192	147.388	611.380	137.686	125.966	134.200	115.493	3.190	-0.008	-0.025	-0.060	9.000	8.000	172.300	133.536	611.380	136.818	122.320	130.200	113.041	7.862	-0.103	0.000	0.135	47.000	8.000	205.034	189.507	640.303	158.324	126.875	140.200	120.043	6.522	-0.141	0.100	0.268
9.000	10.000	9.000	159.964	130.667	609.845	136.457	124.500	137.583	113.600	3.065	-0.682	0.111	0.736	10.000	9.000	172.600	148.119	609.845	139.247	126.393	133.045	115.959	3.374	0.184	0.000	-0.114	10.000	9.000	164.938	131.229	609.845	133.065	122.846	133.889	111.946	7.576	-0.287	-0.065	0.252	48.000	9.000	217.613	198.372	643.576	161.099	127.345	135.625	119.279	6.744	0.222	0.125	-0.125
