T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	12.610	31.850	276.180	118.344	105.245	114.710
2.000	12.675	31.980	272.422	115.370	105.179	114.373
3.000	12.675	31.330	269.748	115.470	105.297	114.401
4.000	12.675	31.135	269.781	112.370	105.489	114.692
5.000	12.610	31.070	271.557	112.690	105.544	114.750
6.000	12.610	31.135	270.628	112.249	105.584	114.760
7.000	12.610	31.200	270.289	111.486	105.587	114.607
8.000	12.610	31.265	271.513	108.766	105.581	114.543
9.000	12.610	31.200	270.653	110.393	105.587	114.588
10.000	12.610	31.265	270.016	109.275	105.552	114.361
11.000	12.610	31.200	270.664	110.073	105.636	114.602
12.000	12.610	31.135	269.236	109.926	105.512	114.202
13.000	12.545	31.200	270.538	109.273	105.682	114.515
14.000	12.545	31.265	270.158	109.687	105.700	114.470
15.000	12.610	31.395	269.360	110.767	105.713	114.292
16.000	12.545	31.395	272.095	109.705	105.701	114.488
17.000	12.610	31.460	272.798	110.103	105.691	114.644
18.000	12.545	31.330	270.167	110.646	105.712	114.590
19.000	12.545	31.590	271.488	110.134	105.691	114.676
20.000	12.480	31.590	271.599	111.673	105.549	114.510
21.000	12.480	31.525	271.686	111.351	105.536	114.458
22.000	12.480	31.785	271.341	111.058	105.574	114.733
23.000	12.610	31.850	271.193	110.730	105.567	114.646
24.000	12.675	31.850	268.426	109.732	105.380	114.358
25.000	12.675	31.980	267.970	109.647	105.586	114.469
26.000	12.740	31.915	266.825	108.449	105.669	114.598
27.000	12.805	31.915	265.868	110.310	105.597	114.391
28.000	12.870	31.980	268.100	110.812	105.615	114.484
29.000	12.870	32.110	266.421	110.522	105.634	114.594
30.000	12.870	32.110	265.820	110.904	105.614	114.515
31.000	12.805	32.175	267.263	109.776	105.644	114.690
32.000	13.130	32.240	266.852	110.328	105.662	114.597
33.000	13.195	32.175	264.502	110.442	105.610	114.562
34.000	13.130	31.980	263.593	109.537	105.601	114.561
35.000	13.130	31.915	264.145	109.589	105.622	114.511
36.000	13.130	31.785	262.453	107.378	105.652	114.550
37.000	13.130	31.655	263.659	109.042	105.644	114.651
38.000	13.065	31.525	264.652	109.563	105.654	114.720
39.000	13.065	31.525	258.912	108.128	105.693	114.618
40.000	13.065	31.655	264.539	108.417	105.607	114.598
41.000	13.000	31.850	266.088	108.558	105.651	114.633
42.000	12.935	31.720	262.551	107.220	105.616	114.381
43.000	13.065	31.655	262.705	106.046	105.624	114.335
44.000	13.000	31.525	262.745	106.709	105.629	114.241
45.000	12.805	31.330	263.173	105.860	105.523	113.965
46.000	13.000	31.395	263.523	105.438	105.530	114.072
47.000	12.935	31.525	264.106	105.488	105.527	114.073
48.000	12.805	31.200	264.163	103.539	105.586	114.112
49.000	12.805	31.265	263.994	103.967	105.573	114.081
50.000	12.740	31.395	262.510	102.138	105.675	114.141
51.000	12.870	31.330	264.434	102.297	105.623	113.987
52.000	12.675	31.200	265.732	102.538	105.703	114.039
53.000	12.740	31.135	266.116	103.079	105.695	114.049
54.000	12.740	31.070	266.515	102.154	105.716	114.036
55.000	12.740	31.200	266.240	101.164	105.726	113.960
56.000	12.610	31.005	265.813	101.066	105.693	113.927
57.000	12.740	31.135	267.166	100.862	105.677	113.793
58.000	13.780	30.745	263.920	102.449	105.683	113.842
59.000	13.715	30.745	263.401	102.508	105.555	113.655
60.000	13.650	30.745	265.268	102.721	105.681	113.721
61.000	13.650	30.875	266.444	101.555	105.681	113.736
62.000	13.455	30.680	265.535	100.963	105.701	113.937
63.000	13.455	30.745	263.456	101.325	105.599	113.783
64.000	13.325	30.680	262.811	102.615	105.700	113.658
65.000	13.325	30.680	264.029	101.221	105.694	113.880
66.000	13.325	30.680	263.906	100.432	105.723	114.168
67.000	13.195	30.485	263.212	100.067	105.754	113.955
68.000	13.130	30.485	263.192	100.488	105.686	113.917
69.000	13.130	30.420	261.412	100.146	105.723	113.843
70.000	13.130	30.290	259.925	100.336	105.737	113.858
71.000	13.065	30.290	258.342	100.505	105.681	113.746
72.000	13.065	30.290	258.916	99.984	105.724	113.811
73.000	13.065	30.420	258.504	99.457	105.756	113.813
74.000	13.130	30.485	260.624	99.741	105.739	113.867
75.000	13.130	30.290	258.004	98.762	105.709	113.816
76.000	13.130	29.965	259.336	98.474	105.739	113.946
77.000	13.130	28.535	254.610	97.216	105.745	113.935
78.000	13.130	30.745	261.553	96.943	105.751	113.920
79.000	13.195	30.875	262.039	95.810	105.726	113.972
80.000	13.195	30.940	261.807	96.280	105.711	113.953
81.000	13.455	30.810	262.019	97.571	105.698	113.833
82.000	14.040	31.070	260.862	97.769	105.626	113.696
83.000	14.040	28.405	255.222	99.108	105.718	113.641
84.000	14.040	31.005	260.678	99.066	105.740	113.798
85.000	13.975	31.135	260.291	98.437	105.766	113.638
86.000	13.975	31.005	261.271	100.225	105.761	113.407
87.000	13.910	31.135	260.586	102.200	105.736	112.924
88.000	13.910	31.330	261.898	100.393	105.742	112.766
89.000	13.975	31.200	263.609	100.927	105.765	112.970
90.000	13.715	28.340	256.875	100.325	105.756	113.102
91.000	13.650	31.460	262.184	99.193	105.736	112.866
92.000	13.650	28.470	256.340	101.120	105.744	112.892
93.000	13.650	28.405	255.374	100.445	105.744	112.983
94.000	13.520	28.600	255.490	98.420	105.712	112.903
95.000	13.455	28.600	254.864	98.208	105.709	112.801
96.000	13.390	28.665	254.842	99.131	105.700	112.702
97.000	13.325	28.665	253.909	98.603	105.691	112.680
98.000	13.195	28.600	253.882	99.188	105.703	112.811
99.000	13.130	28.535	254.050	99.651	105.732	112.822
100.000	13.065	28.535	253.445	99.381	105.692	112.684
101.000	13.065	28.535	252.163	97.661	105.655	112.660
102.000	13.130	28.665	252.690	97.522	105.674	112.429
103.000	13.195	28.665	251.870	98.069	105.686	112.500
104.000	13.195	28.665	252.016	98.221	105.513	112.448
105.000	13.195	28.860	252.504	97.793	105.674	112.705
106.000	13.260	28.795	252.004	97.352	105.637	112.648
107.000	13.260	29.055	251.157	96.193	105.663	112.546
108.000	13.325	28.990	249.725	95.700	105.603	112.591
109.000	13.455	28.990	250.181	96.139	105.621	112.506
110.000	13.585	29.120	249.511	97.067	105.631	112.568
111.000	13.650	29.185	250.604	96.653	105.663	112.578
112.000	13.780	29.185	249.063	97.686	105.657	112.567
113.000	13.845	29.185	248.170	96.306	105.648	112.536
114.000	13.845	29.315	248.966	97.239	105.647	112.435
115.000	13.910	29.510	249.299	97.264	105.584	112.422
116.000	13.975	29.380	249.198	97.099	105.659	112.576
117.000	13.910	29.445	248.915	96.921	105.644	112.456
118.000	13.975	29.900	249.197	96.339	105.653	112.453
119.000	13.910	29.640	248.813	95.493	105.657	112.439
120.000	13.845	29.770	249.412	95.240	105.648	112.557
121.000	13.780	30.030	248.975	95.241	105.616	112.447
