 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)
1	0.000	1.000	22.555	21.515	26.715	11.765	14.343	10.600	9.910	142.137	NaN	NaN	NaN	1.000	24.310	22.685	26.195	21.970	14.862	2.016	1.925	28.607	NaN	NaN	NaN	1.000	17.160	29.900	14.690	27.105	4.950	3.730	-1.169	-5.788	NaN	NaN	NaN	1.000	19.175	35.490	27.105	43.485	7.507	11.261	10.812	81.162	NaN	NaN	NaN	42.000	25.285	25.090	29.185	24.700	14.017	3.919	3.621	50.751	NaN	NaN	NaN	43.000	25.935	28.535	26.000	28.600	13.243	0.092	0.048	0.634	NaN	NaN	NaN	87.000	20.605	19.890	17.810	11.635	13.087	8.715	5.663	74.115	NaN	NaN	NaN
2	1.000	2.000	22.685	21.255	26.845	11.635	14.671	10.481	9.871	144.816	-0.039	0.171	0.290	2.000	24.375	22.685	26.325	21.905	14.943	2.100	2.012	30.065	0.087	0.145	0.060	2.000	16.900	29.640	14.690	27.105	4.830	3.363	-0.705	-3.405	0.464	NaN	0.367	2.000	19.110	35.425	27.040	43.485	7.299	11.307	10.795	78.796	-0.017	-0.046	-0.092	43.000	25.285	25.090	29.380	24.635	13.872	4.120	3.823	53.028	0.202	0.201	NaN	44.000	25.870	28.340	26.065	28.535	13.258	0.276	0.142	1.889	0.095	8.221E-16	-0.184	88.000	20.800	20.345	17.810	11.635	12.967	9.209	5.790	75.078	0.127	NaN	-0.494
3	2.000	3.000	23.270	19.825	26.975	11.440	15.640	9.167	8.678	135.724	-1.193	0.231	1.544	3.000	24.180	22.685	26.455	21.970	14.391	2.385	2.248	32.355	0.236	0.105	-0.186	3.000	17.095	29.705	14.755	27.170	4.709	3.450	-1.322	-6.223	-0.616	-0.092	-0.180	3.000	19.890	36.335	26.975	43.420	8.781	10.020	9.860	86.579	-0.936	-0.092	1.195	44.000	25.480	25.155	29.640	24.570	14.012	4.201	3.971	55.643	0.148	0.267	0.184	45.000	25.025	27.950	26.130	28.600	12.679	1.282	0.892	11.306	0.749	0.089	-0.926	89.000	21.255	21.710	17.745	11.440	11.961	10.853	6.012	71.910	0.222	0.206	-1.439
4	3.000	4.000	23.400	19.435	27.170	11.310	15.872	8.957	8.537	135.496	-0.141	0.200	0.408	4.000	24.115	22.750	26.520	21.840	14.184	2.571	2.478	35.144	0.229	0.107	-0.084	4.000	17.160	29.705	14.755	27.235	4.707	3.447	-1.541	-7.254	-0.219	-0.047	-0.045	4.000	19.500	35.750	26.975	43.355	8.239	10.664	10.452	86.114	0.592	-0.046	-0.691	45.000	25.480	25.155	29.835	24.635	14.099	4.386	4.143	58.411	0.172	0.186	NaN	46.000	25.220	28.080	26.130	28.600	12.662	1.048	0.742	9.396	-0.150	NaN	0.234	90.000	21.320	21.840	17.810	11.570	10.004	10.853	4.004	40.061	-2.008	-0.144	-0.144
5	4.000	5.000	23.400	19.435	27.235	11.180	15.868	9.102	8.661	137.427	0.124	0.145	NaN	5.000	24.115	22.815	26.650	21.840	14.160	2.716	2.628	37.214	0.150	0.121	-0.023	5.000	17.095	29.640	14.755	27.235	4.707	3.356	-1.499	-7.056	0.042	NaN	0.092	5.000	19.435	35.620	26.975	43.355	8.203	10.802	10.564	86.655	0.112	NaN	-0.138	46.000	25.805	25.025	29.900	24.635	14.302	4.114	3.840	54.921	-0.303	0.065	0.336	47.000	25.480	28.210	26.195	28.535	12.976	0.785	0.608	7.892	-0.134	0.032	0.290	91.000	21.320	22.035	17.615	11.245	12.152	11.408	6.030	73.278	2.026	0.371	-0.184
6	5.000	6.000	23.335	19.565	27.365	10.985	15.776	9.479	9.032	142.492	0.372	0.232	-0.145	6.000	24.245	22.815	26.780	21.710	14.304	2.765	2.705	38.688	0.077	0.171	0.119	6.000	17.095	29.510	14.820	27.300	4.770	3.172	-1.386	-6.612	0.113	-0.092	0.091	6.000	19.500	35.620	26.845	43.355	8.221	10.667	10.375	85.299	-0.189	-0.090	0.045	47.000	25.740	25.090	30.160	24.635	14.331	4.443	4.154	59.526	0.314	0.259	-0.071	48.000	25.090	28.275	26.260	28.795	12.628	1.280	1.018	12.852	0.409	0.165	-0.330	92.000	21.190	22.165	17.615	11.180	9.829	11.552	4.304	42.305	-1.726	0.062	-0.083
7	6.000	7.000	23.335	19.695	27.430	10.790	15.729	9.801	9.306	146.371	0.274	0.204	-0.118	7.000	24.245	22.815	26.845	21.580	14.342	2.878	2.831	40.606	0.127	0.114	NaN	7.000	17.030	29.380	14.820	27.365	4.780	2.991	-1.276	-6.101	0.110	-0.044	0.136	7.000	19.435	35.555	26.845	43.290	8.096	10.712	10.407	84.259	0.032	-0.047	-0.092	48.000	25.480	25.090	30.355	24.635	14.071	4.896	4.589	64.571	0.435	0.194	-0.259	49.000	25.025	28.340	26.325	28.730	12.565	1.357	1.173	14.745	0.156	0.044	-0.044	93.000	21.320	22.295	17.485	11.050	9.806	11.881	4.007	39.293	-0.297	0.165	-0.165
8	7.000	8.000	23.270	19.825	27.560	10.660	15.637	10.119	9.630	150.579	0.324	0.173	-0.145	8.000	24.115	22.880	26.910	21.580	14.236	3.083	3.024	43.057	0.193	0.059	-0.145	8.000	17.030	29.445	14.820	27.365	4.780	3.035	-1.252	-5.983	0.025	NaN	-0.045	8.000	19.370	35.490	26.780	43.225	7.972	10.712	10.383	82.772	-0.024	-0.092	-0.092	49.000	25.480	25.155	30.550	24.440	14.071	5.120	4.878	68.631	0.289	0.220	-0.009	50.000	24.960	28.470	26.325	28.795	12.565	1.403	1.252	15.730	0.078	0.015	-0.033	94.000	21.255	22.360	17.485	11.115	9.938	11.860	4.126	41.008	0.119	-0.062	-0.041
9	8.000	9.000	23.205	19.760	27.690	10.530	15.593	10.262	9.819	153.110	0.190	0.174	0.030	9.000	24.180	22.880	26.975	21.515	14.251	3.111	3.066	43.695	0.042	0.087	0.058	9.000	17.095	29.445	14.755	27.300	4.816	3.174	-1.397	-6.730	-0.146	0.092	-0.048	9.000	19.565	35.685	26.650	43.095	8.276	10.252	9.970	82.510	-0.413	-0.184	0.276	50.000	25.415	25.220	30.745	24.440	14.099	5.387	5.133	72.374	0.256	0.193	-0.074	51.000	24.505	28.535	26.195	28.795	11.966	1.710	1.583	18.936	0.331	-0.128	-0.440	95.000	21.190	22.295	17.485	11.115	9.979	11.778	4.192	41.832	0.066	NaN	0.082
10	9.000	10.000	23.205	19.825	27.755	10.400	15.593	10.466	10.007	156.029	0.187	0.145	-0.059	10.000	24.310	22.880	27.105	21.450	14.394	3.140	3.105	44.692	0.039	0.145	0.116	10.000	17.030	29.380	14.755	27.300	4.805	3.083	-1.277	-6.135	0.121	NaN	0.092	10.000	19.695	35.880	26.585	43.095	8.455	9.976	9.711	82.113	-0.259	-0.045	0.231	51.000	25.545	25.220	31.135	24.375	14.071	5.654	5.402	76.016	0.269	0.395	0.129	52.000	24.245	28.600	26.130	28.795	11.859	1.895	1.796	21.302	0.214	-0.065	-0.252	96.000	21.255	22.425	17.485	11.050	10.040	11.983	4.117	41.329	-0.075	0.062	-0.144
