dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)
0.000	1.000	0.000	143.889	188.014	276.180	116.533	110.692	112.500	108.748	11.660	0.000	NaN	NaN	1.000	0.000	145.963	159.014	276.180	124.412	116.161	119.846	118.490	2.387	0.000	NaN	NaN	1.000	0.000	180.423	400.514	276.180	125.554	112.481	120.667	109.432	4.073	0.000	NaN	NaN	1.000	0.000	185.618	109.138	276.180	127.717	112.074	116.611	105.361	11.741	0.000	NaN	NaN	42.000	0.000	157.444	128.976	262.551	129.321	117.839	121.591	106.327	4.375	4.375	NaN	NaN	43.000	0.000	121.357	114.077	262.705	118.000	118.000	118.000	113.683	0.080	0.080	NaN	NaN	87.000	0.000	123.032	114.030	260.586	114.881	111.636	120.000	106.117	9.664	9.664	NaN	NaN
1.000	2.000	1.000	141.200	124.711	272.422	116.010	113.111	118.714	105.643	11.530	-0.130	0.171	0.290	2.000	1.000	135.778	129.425	272.422	122.361	113.148	122.250	107.901	2.479	0.092	0.145	0.060	2.000	1.000	149.917	141.608	272.422	120.178	112.103	117.875	109.271	3.697	-0.376	-0.000	0.367	2.000	1.000	184.971	153.685	272.422	126.526	108.741	112.333	106.811	11.844	0.103	-0.046	-0.092	43.000	1.000	156.241	139.494	262.705	128.568	113.767	120.500	107.910	4.581	0.206	0.201	0.000	44.000	1.000	139.030	120.326	262.745	125.028	126.500	140.143	114.515	0.813	0.734	8.221E-16	-0.184	88.000	1.000	129.655	120.222	261.898	114.610	113.773	117.200	108.092	10.219	0.555	-0.000	-0.494
2.000	3.000	2.000	120.067	113.404	269.748	113.993	115.786	122.615	104.872	10.106	-1.423	0.231	1.544	3.000	2.000	151.357	135.444	269.748	123.089	113.000	117.667	108.020	2.777	0.298	0.105	-0.186	3.000	2.000	167.577	148.296	269.748	123.319	115.250	122.600	109.717	3.778	0.081	-0.092	-0.180	3.000	2.000	145.323	127.434	269.748	121.874	113.593	116.174	104.752	10.546	-1.298	-0.092	1.195	44.000	2.000	148.871	134.495	262.745	126.110	115.161	120.150	107.227	4.662	0.081	0.267	0.184	45.000	2.000	155.031	130.944	263.173	136.735	123.206	140.909	114.768	1.599	0.785	0.089	-0.926	89.000	2.000	148.964	135.500	263.609	119.322	111.385	116.786	107.779	11.929	1.710	0.206	-1.439
3.000	4.000	3.000	132.172	113.794	269.781	115.956	113.250	117.045	106.148	9.957	-0.149	0.200	0.408	4.000	3.000	158.448	138.220	269.781	125.043	111.267	116.588	108.918	3.263	0.487	0.107	-0.084	4.000	3.000	176.500	155.086	269.781	122.847	112.862	118.176	110.633	3.900	0.122	-0.047	-0.045	4.000	3.000	160.067	135.830	269.781	124.580	111.708	120.286	106.619	11.181	0.636	-0.046	-0.691	45.000	3.000	151.094	133.311	263.173	124.524	115.793	120.524	107.047	4.930	0.268	0.186	0.000	46.000	3.000	154.226	130.051	263.523	136.703	123.719	137.188	115.104	1.396	-0.203	0.000	0.234	90.000	3.000	152.107	141.088	256.875	119.051	111.000	116.316	108.595	11.994	0.065	-0.144	-0.144
4.000	5.000	4.000	132.138	118.059	271.557	115.453	112.407	116.667	106.446	10.095	0.138	0.145	0.000	5.000	4.000	157.967	136.485	271.557	124.940	110.769	120.556	109.056	3.144	-0.119	0.121	-0.023	5.000	4.000	163.560	144.280	271.557	123.031	114.419	120.167	110.609	3.659	-0.241	-0.000	0.092	5.000	4.000	161.121	135.602	271.557	124.438	108.893	114.571	106.796	11.395	0.214	0.000	-0.138	46.000	4.000	142.310	126.783	263.523	123.233	115.939	122.150	108.230	4.570	-0.360	0.065	0.336	47.000	4.000	152.065	128.700	264.106	132.400	123.647	136.917	115.544	1.166	-0.230	0.032	0.290	91.000	4.000	155.852	139.757	262.184	119.482	111.269	115.571	107.087	12.484	0.490	0.371	-0.184
5.000	6.000	5.000	136.690	119.899	270.628	118.893	113.828	119.200	105.909	10.539	0.444	0.232	-0.145	6.000	5.000	149.385	133.667	270.628	121.833	111.846	118.077	108.170	3.217	0.073	0.171	0.119	6.000	5.000	161.692	144.737	270.628	122.403	115.107	118.304	109.816	3.559	-0.100	-0.092	0.091	6.000	5.000	159.250	135.471	270.628	122.758	111.000	118.429	106.441	11.219	-0.176	-0.090	0.045	47.000	5.000	141.250	128.416	264.106	122.794	111.720	117.688	107.182	4.868	0.298	0.259	-0.071	48.000	5.000	147.500	131.813	264.163	131.585	116.741	128.167	112.426	1.610	0.444	0.165	-0.330	92.000	5.000	156.192	136.027	256.340	118.802	111.714	114.739	106.946	12.725	0.241	0.062	-0.083
6.000	7.000	6.000	139.719	121.000	270.289	117.438	110.704	118.091	106.692	10.899	0.360	0.204	-0.118	7.000	6.000	143.852	132.695	270.289	124.049	111.481	115.600	107.761	3.336	0.119	0.114	0.000	7.000	6.000	147.857	135.776	270.289	119.410	109.440	118.000	110.972	3.272	-0.287	-0.044	0.136	7.000	6.000	161.273	136.556	270.289	123.726	110.480	118.500	107.742	11.227	0.008	-0.047	-0.092	48.000	6.000	154.355	134.216	264.163	125.208	111.143	116.625	107.088	5.396	0.528	0.194	-0.259	49.000	6.000	154.788	129.386	263.994	131.232	121.519	125.286	110.986	1.732	0.122	0.044	-0.044	93.000	6.000	162.750	139.598	255.374	120.219	113.032	117.400	107.118	13.196	0.471	0.165	-0.165
7.000	8.000	7.000	145.000	122.402	271.513	119.575	110.185	116.625	106.101	11.193	0.295	0.173	-0.145	8.000	7.000	156.862	134.557	271.513	123.072	108.370	118.889	108.179	3.539	0.203	0.059	-0.145	8.000	7.000	150.704	138.695	271.513	120.173	111.556	118.118	110.208	3.448	0.176	-0.000	-0.045	8.000	7.000	160.486	139.022	271.513	122.214	108.593	114.250	106.872	11.246	0.019	-0.092	-0.092	49.000	7.000	153.655	133.409	263.994	121.372	108.800	113.083	107.285	5.698	0.303	0.220	-0.009	50.000	7.000	148.966	131.930	262.510	125.907	114.000	129.800	112.483	1.724	-0.008	0.015	-0.033	94.000	7.000	160.759	140.234	255.490	121.156	113.643	120.267	108.510	13.104	-0.092	-0.062	-0.041
8.000	9.000	8.000	137.793	121.409	270.653	119.184	111.308	117.615	106.510	11.358	0.165	0.174	0.030	9.000	8.000	147.207	133.675	270.653	122.196	110.357	118.000	107.514	3.585	0.046	0.087	0.058	9.000	8.000	149.273	142.053	270.653	120.739	109.964	123.333	109.026	3.532	0.084	0.092	-0.048	9.000	8.000	160.000	130.263	270.653	122.432	109.917	113.909	107.089	10.760	-0.487	-0.184	0.276	50.000	8.000	152.700	137.721	262.510	124.458	111.667	118.250	106.189	5.886	0.187	0.193	-0.074	51.000	8.000	149.964	140.747	264.434	123.596	115.133	119.318	112.199	1.995	0.271	-0.128	-0.440	95.000	8.000	151.100	136.798	254.864	119.045	114.821	119.647	107.828	13.012	-0.092	-0.000	0.082
9.000	10.000	9.000	147.655	123.423	270.016	118.855	111.900	119.308	106.127	11.599	0.241	0.145	-0.059	10.000	9.000	144.704	129.262	270.016	122.997	114.148	120.381	108.514	3.574	-0.011	0.145	0.116	10.000	9.000	147.957	132.584	270.016	120.258	113.077	121.364	109.401	3.383	-0.149	-0.000	0.092	10.000	9.000	156.233	128.388	270.016	120.844	111.077	116.471	106.696	10.492	-0.268	-0.045	0.231	51.000	9.000	149.759	130.055	264.434	127.133	111.320	116.154	106.166	6.172	0.287	0.395	0.129	52.000	9.000	152.107	136.472	265.732	125.979	117.286	125.500	110.979	2.133	0.138	-0.065	-0.252	96.000	9.000	162.355	138.444	254.842	121.628	112.893	119.467	107.702	13.169	0.157	0.062	-0.144
10.000	11.000	10.000	141.793	124.074	270.664	120.471	115.821	121.059	107.116	11.810	0.211	0.261	0.058	11.000	10.000	135.519	127.536	270.664	119.272	111.414	119.900	108.061	3.490	-0.084	0.177	0.259	11.000	10.000	161.857	138.700	270.664	122.833	111.593	115.850	110.128	3.597	0.214	-0.049	-0.097	11.000	10.000	159.259	133.247	270.664	120.249	107.926	110.731	106.289	10.538	0.046	0.045	-0.094	52.000	10.000	162.067	139.141	265.732	129.090	111.714	116.643	106.087	6.662	0.490	0.064	-0.342	53.000	10.000	165.000	149.591	266.116	129.872	113.042	117.176	111.347	2.864	0.731	-0.064	-0.672	97.000	10.000	159.966	142.851	253.909	123.163	114.710	120.364	108.138	13.315	0.146	0.126	0.061
11.000	12.000	11.000	135.345	120.753	269.236	119.931	114.107	120.923	106.112	11.940	0.130	0.262	0.145	12.000	11.000	141.903	130.881	269.236	121.775	111.556	116.875	107.329	3.987	0.498	0.145	-0.290	12.000	11.000	158.000	140.875	269.236	119.812	109.643	116.500	110.083	3.563	-0.035	0.042	0.034	12.000	11.000	158.714	132.363	269.236	122.210	108.833	118.300	106.447	10.519	-0.019	-0.089	-0.044	53.000	11.000	152.724	135.517	266.116	131.908	109.808	120.429	106.705	6.708	0.046	0.203	0.128	54.000	11.000	188.395	160.136	266.515	137.416	114.185	120.438	111.074	3.484	0.620	0.000	-0.563	98.000	11.000	132.000	122.069	253.882	116.852	109.688	116.267	109.644	11.880	-1.435	0.061	1.333
12.000	13.000	12.000	136.129	120.752	270.538	120.374	113.655	121.923	107.227	12.216	0.276	0.058	-0.203	13.000	12.000	137.250	128.011	270.538	122.728	112.929	120.312	106.747	4.060	0.073	0.234	0.112	13.000	12.000	157.793	140.526	270.538	121.434	112.800	120.000	110.020	3.387	-0.176	-0.209	-0.091	13.000	12.000	155.280	131.098	270.538	121.008	107.520	114.111	107.391	10.243	-0.276	-0.139	0.092	54.000	12.000	153.731	132.630	266.515	132.095	109.154	119.667	106.327	6.949	0.241	0.257	0.010	55.000	12.000	172.333	150.209	266.240	129.872	114.767	119.667	111.538	3.327	-0.157	0.077	0.217	99.000	12.000	134.387	127.436	254.050	116.823	112.176	121.000	108.655	11.977	0.097	-0.121	-0.120
13.000	14.000	13.000	137.111	121.440	270.158	119.617	116.393	123.647	106.766	12.419	0.203	0.204	-0.058	14.000	13.000	140.074	130.772	270.158	121.068	109.778	116.714	107.847	4.179	0.119	0.090	0.021	14.000	13.000	157.893	139.625	270.158	121.171	112.080	121.625	109.560	3.425	0.038	-0.000	-0.015	14.000	13.000	163.176	134.500	270.158	122.935	111.536	117.385	106.895	10.741	0.498	0.045	-0.276	55.000	13.000	153.500	135.575	266.240	135.438	108.923	112.778	106.260	7.377	0.428	0.395	0.009	56.000	13.000	193.474	161.493	265.813	136.284	114.600	121.375	109.642	4.047	0.720	0.114	-0.422	100.000	13.000	138.000	124.867	253.445	117.644	112.233	118.000	109.527	11.847	-0.130	-0.188	-0.026
14.000	15.000	14.000	143.966	124.337	269.360	120.251	116.154	128.429	108.931	12.947	0.528	0.145	-0.262	15.000	14.000	145.000	130.022	269.360	121.966	115.867	121.263	107.534	4.355	0.176	0.055	-0.125	15.000	14.000	152.097	137.338	269.360	122.691	113.815	118.182	110.020	3.184	-0.241	-0.219	0.015	15.000	14.000	152.793	129.790	269.360	119.653	109.655	114.500	105.948	10.400	-0.341	0.092	0.276	56.000	14.000	159.207	139.476	265.813	136.516	107.043	112.500	106.109	7.794	0.417	0.258	-0.193	57.000	14.000	188.457	156.592	267.166	129.739	112.885	116.950	110.192	3.855	-0.192	0.064	0.064	101.000	14.000	138.759	127.930	252.163	119.329	111.553	120.538	108.421	12.038	0.192	0.095	-0.085
