 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)
1	0.000	1.000	21.840	32.110	21.775	24.700	11.250	7.410	7.409	83.347	NaN	NaN	NaN	3.000	18.005	34.515	14.300	33.475	10.000	3.848	2.612	26.119	NaN	NaN	NaN	1.000	29.445	36.205	32.825	33.085	10.204	4.600	4.598	46.914	NaN	NaN	NaN	7.000	18.135	34.255	18.460	30.550	10.329	3.719	3.083	31.848	NaN	NaN	NaN	26.000	26.845	34.125	26.975	33.995	10.546	0.184	0.166	1.749	NaN	NaN	NaN	32.000	27.235	40.300	27.365	40.430	5.286	0.184	-0.002	-0.008	NaN	NaN	NaN	32.000	26.195	41.730	26.325	41.860	3.547	0.184	0.012	0.042	NaN	NaN	NaN	68.000	25.415	43.615	26.975	44.265	1.582	1.690	1.432	2.265	NaN	NaN	NaN	74.000	18.005	37.700	17.875	37.635	8.465	0.145	0.136	1.149	NaN	NaN	NaN	75.000	30.355	36.010	30.485	36.075	10.336	0.145	0.034	0.346	NaN	NaN	NaN	103.000	20.085	42.900	19.110	43.550	3.786	1.172	0.820	3.105	NaN	NaN	NaN
2	1.000	2.000	21.840	32.175	21.710	24.570	11.260	7.606	7.601	85.594	0.193	0.131	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	29.510	36.075	33.150	33.085	10.205	4.711	4.679	47.751	0.081	0.251	0.133	8.000	18.200	34.320	18.460	30.485	10.329	3.844	3.229	33.348	0.145	0.065	-0.060	27.000	26.845	34.255	27.105	33.800	10.485	0.524	0.516	5.408	0.350	0.234	-0.113	33.000	27.235	40.300	27.430	40.430	5.155	0.234	0.058	0.300	0.060	0.054	NaN	33.000	26.130	41.730	26.325	41.925	3.393	0.276	0.041	0.139	0.029	0.046	-0.046	69.000	25.415	43.485	27.170	44.070	1.608	1.850	1.561	2.510	0.129	0.123	-0.041	75.000	18.070	37.765	17.875	37.570	8.373	0.276	0.276	2.307	0.140	0.046	-0.092	76.000	30.355	36.010	30.550	36.010	10.436	0.195	0.124	1.293	0.090	0.065	NaN	104.000	20.150	42.900	19.110	43.550	3.674	1.226	0.863	3.169	0.042	NaN	-0.055
3	2.000	3.000	21.775	32.240	21.645	24.375	11.207	7.866	7.855	88.032	0.253	0.196	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	29.510	36.205	33.020	32.825	10.021	4.873	4.869	48.799	0.190	0.087	-0.090	9.000	18.200	34.255	18.460	30.420	10.481	3.844	3.201	33.547	-0.028	0.065	0.065	28.000	26.845	34.255	27.300	33.605	10.363	0.793	0.766	7.935	0.250	0.272	NaN	34.000	27.235	40.365	27.495	40.495	5.086	0.291	0.121	0.617	0.063	0.087	0.029	34.000	26.065	41.795	26.325	42.185	3.300	0.469	0.013	0.042	-0.028	0.216	0.018	70.000	25.350	43.420	27.235	44.005	1.625	1.974	1.646	2.674	0.085	0.043	-0.081	76.000	18.200	38.090	17.680	37.830	8.142	0.581	0.544	4.428	0.268	0.058	-0.262	77.000	30.355	35.945	30.615	36.010	10.537	0.268	0.113	1.191	-0.011	0.063	-0.016	105.000	20.280	42.965	19.110	43.550	3.532	1.308	1.012	3.574	0.149	NaN	-0.087
4	3.000	4.000	21.775	32.110	21.515	24.115	11.313	7.999	7.976	90.225	0.121	0.264	0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	29.575	36.140	33.085	32.760	9.755	4.873	4.862	47.430	-0.007	0.092	0.092	10.000	18.200	34.255	18.460	30.290	10.570	3.974	3.309	34.970	0.108	0.130	NaN	29.000	26.845	34.385	27.430	33.345	10.341	1.193	1.175	12.155	0.410	0.290	-0.113	35.000	27.300	40.365	27.690	40.430	5.177	0.395	0.263	1.360	0.141	0.182	0.064	35.000	25.935	41.925	26.325	42.185	3.156	0.469	0.190	0.600	0.177	NaN	-0.036	71.000	25.285	43.355	27.365	43.940	1.605	2.161	1.724	2.767	0.078	0.108	-0.080	77.000	18.135	38.155	17.485	37.895	8.186	0.700	0.634	5.188	0.090	0.157	0.036	78.000	30.420	35.945	30.745	35.880	10.679	0.331	0.254	2.717	0.141	0.153	0.064	106.000	20.150	42.965	19.110	43.485	3.596	1.163	0.902	3.245	-0.110	-0.029	0.116
5	4.000	5.000	21.775	32.110	21.450	23.920	11.328	8.196	8.169	92.540	0.194	0.197	NaN	7.000	17.940	34.450	14.365	33.410	10.256	3.723	2.709	27.784	2.709	-0.062	0.645	5.000	29.640	35.945	33.150	32.695	9.857	4.784	4.758	46.898	-0.104	0.092	0.180	11.000	18.265	34.320	18.460	30.225	10.562	4.100	3.484	36.796	0.175	0.065	-0.062	30.000	26.715	34.385	27.495	33.150	10.298	1.461	1.420	14.627	0.245	0.200	-0.069	36.000	27.430	40.365	27.820	40.495	5.319	0.411	0.224	1.191	-0.039	0.144	0.123	36.000	25.935	41.925	26.260	42.380	3.191	0.559	0.021	0.068	-0.169	0.121	NaN	72.000	25.220	43.420	27.430	43.940	1.501	2.270	1.948	2.924	0.224	0.063	-0.048	78.000	18.265	38.285	17.355	37.960	8.098	0.966	0.854	6.912	0.220	0.101	-0.166	79.000	30.485	35.880	30.875	35.815	10.720	0.395	0.296	3.177	0.042	0.139	0.075	107.000	20.085	42.965	19.045	43.550	3.674	1.193	0.878	3.224	-0.025	0.089	0.057
6	5.000	6.000	21.840	31.980	21.385	23.595	11.377	8.397	8.385	95.396	0.215	0.328	0.126	8.000	17.940	34.580	14.365	33.410	10.233	3.762	2.843	29.089	0.134	NaN	-0.040	6.000	29.705	35.880	33.215	32.630	9.943	4.784	4.762	47.354	0.005	0.092	0.092	12.000	18.265	34.320	18.460	30.095	10.619	4.229	3.604	38.270	0.120	0.130	NaN	31.000	26.585	34.515	27.430	32.955	10.113	1.774	1.745	17.644	0.324	0.141	-0.176	37.000	27.430	40.365	28.015	40.560	5.200	0.617	0.351	1.825	0.127	0.206	NaN	37.000	25.870	42.120	26.195	42.510	2.937	0.508	0.106	0.313	0.085	0.058	0.108	73.000	25.220	43.355	27.430	43.940	1.571	2.286	1.770	2.780	-0.178	NaN	-0.017	79.000	18.395	38.480	17.225	38.090	7.818	1.233	1.083	8.467	0.229	0.082	-0.185	80.000	30.420	35.945	31.005	35.685	10.730	0.640	0.568	6.097	0.272	0.172	-0.086	108.000	20.215	42.965	18.980	43.615	3.518	1.396	1.006	3.541	0.129	0.088	-0.115
7	6.000	7.000	21.840	31.915	21.320	23.465	11.449	8.466	8.454	96.795	0.070	0.134	0.065	9.000	17.810	34.515	14.365	33.410	10.459	3.618	2.775	29.026	-0.067	NaN	0.144	7.000	29.640	35.945	33.410	32.500	9.808	5.107	5.078	49.809	0.316	0.232	-0.092	13.000	18.265	34.385	18.460	30.030	10.215	4.359	3.701	37.805	0.097	0.065	-0.065	32.000	26.585	34.580	27.430	32.825	9.970	1.948	1.930	19.236	0.185	0.117	-0.059	38.000	27.495	40.430	28.080	40.625	5.252	0.617	0.355	1.863	0.004	0.082	0.082	38.000	25.805	42.120	26.195	42.575	2.911	0.599	0.116	0.338	0.010	0.049	-0.042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	18.460	38.610	17.030	38.220	7.774	1.482	1.255	9.760	0.172	0.154	-0.097	81.000	30.355	35.945	31.135	35.555	10.781	0.872	0.790	8.518	0.222	0.174	-0.058	109.000	20.280	42.900	18.980	43.550	3.618	1.453	1.039	3.760	0.033	-0.029	-0.087
8	7.000	8.000	21.840	32.110	21.320	23.270	11.328	8.855	8.838	100.116	0.384	0.195	-0.195	10.000	17.875	34.515	14.300	33.410	10.514	3.742	2.837	29.824	0.061	0.062	-0.062	8.000	29.770	35.750	33.540	32.370	10.047	5.063	5.022	50.455	-0.056	0.184	0.227	14.000	18.330	34.190	18.460	29.965	10.293	4.227	3.675	37.822	-0.026	0.065	0.197	33.000	26.650	34.385	27.430	32.630	9.908	1.921	1.914	18.962	-0.016	0.178	0.205	39.000	27.625	40.495	28.145	40.560	5.357	0.524	0.385	2.062	0.030	0.056	0.137	39.000	25.805	42.250	26.195	42.705	2.879	0.599	0.128	0.368	0.012	0.099	0.099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	18.460	38.675	16.900	38.285	7.730	1.608	1.338	10.343	0.083	0.110	-0.016	82.000	30.355	35.945	31.265	35.360	10.832	1.082	1.022	11.074	0.232	0.215	NaN	110.000	20.280	42.835	19.045	43.420	3.556	1.367	0.992	3.528	-0.047	-0.114	-0.028
9	8.000	9.000	21.905	32.045	21.385	23.010	11.408	9.050	9.025	102.963	0.187	0.256	0.061	11.000	17.875	34.580	14.300	33.410	10.535	3.762	2.871	30.247	0.034	NaN	-0.020	9.000	30.030	35.490	33.605	32.305	10.287	4.788	4.739	48.752	-0.283	0.092	0.367	15.000	18.330	34.255	18.460	29.965	10.320	4.292	3.750	38.701	0.075	NaN	-0.065	34.000	26.520	34.515	27.365	32.435	9.602	2.245	2.243	21.539	0.329	0.156	-0.169	40.000	27.690	40.430	28.210	40.495	5.539	0.524	0.383	2.121	-0.002	0.056	0.056	40.000	25.740	42.380	26.195	42.900	2.849	0.691	0.168	0.477	0.040	0.147	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	18.590	38.805	16.640	38.220	7.595	2.036	1.737	13.195	0.399	0.268	-0.162	83.000	30.290	35.945	31.460	35.165	10.689	1.406	1.338	14.297	0.315	0.270	-0.054	111.000	20.215	42.965	19.045	43.420	3.536	1.255	0.984	3.481	-0.008	NaN	0.108
10	9.000	10.000	21.905	32.240	21.385	23.075	11.288	9.180	9.149	103.276	0.124	-0.065	-0.195	12.000	17.940	34.645	14.365	33.410	10.501	3.782	2.914	30.597	0.043	-0.061	-0.083	10.000	29.965	35.555	33.735	32.240	10.203	5.020	4.957	50.577	0.218	0.141	-0.092	16.000	18.265	34.385	18.460	30.030	10.469	4.359	3.748	39.233	-0.002	-0.065	-0.133	35.000	26.520	34.450	27.365	32.305	9.724	2.305	2.304	22.405	0.061	0.121	0.060	41.000	27.560	40.430	28.210	40.560	5.434	0.663	0.443	2.408	0.060	0.013	-0.127	41.000	25.415	42.380	26.260	42.770	2.564	0.931	0.531	1.360	0.363	0.005	-0.295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	18.655	38.870	16.445	38.220	7.407	2.304	1.973	14.610	0.235	0.187	-0.081	84.000	30.420	35.880	31.590	35.035	10.781	1.443	1.389	14.973	0.051	0.182	0.143	112.000	20.215	43.160	19.045	43.550	3.580	1.233	1.020	3.650	0.035	0.041	0.062
