dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Base Local Background (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Tip Local Background (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Base Local Background (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Tip Local Background (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)
0.000	1.000	0.000	338.704	139.182	814.895	182.445	161.522	171.929	117.510	7.704	0.000	NaN	NaN	3.000	0.000	312.267	226.481	808.319	194.921	165.481	184.429	136.219	4.433	4.433	NaN	NaN	1.000	0.000	269.029	166.470	814.895	241.315	219.525	266.190	157.030	5.233	0.000	NaN	NaN	7.000	0.000	272.444	215.037	810.800	189.332	157.962	166.889	131.709	4.045	4.045	NaN	NaN	26.000	0.000	289.857	171.386	811.707	233.562	233.750	282.889	163.982	0.579	0.579	NaN	NaN	32.000	0.000	300.448	215.758	833.019	242.500	239.583	259.600	203.535	0.487	0.487	NaN	NaN	32.000	0.000	342.190	258.022	833.019	281.417	281.417	334.500	238.716	0.338	0.338	NaN	NaN	68.000	0.000	317.871	276.096	829.120	232.095	189.148	218.625	167.190	2.108	2.108	NaN	NaN	74.000	0.000	329.050	205.570	827.306	266.500	266.500	287.000	195.196	0.330	0.330	NaN	NaN	75.000	0.000	204.917	153.802	826.307	190.625	190.625	201.200	146.165	0.310	0.310	NaN	NaN	103.000	0.000	429.286	349.718	846.555	324.928	270.533	287.789	264.534	1.488	1.488	NaN	NaN
1.000	2.000	1.000	323.889	227.958	806.267	182.389	164.654	177.500	125.587	7.945	0.241	0.131	-0.065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.000	1.000	263.455	187.181	806.267	238.220	195.213	237.000	152.937	5.352	0.119	0.251	0.133	8.000	1.000	263.407	216.052	811.746	191.167	155.423	162.400	129.080	4.102	0.057	0.065	-0.060	27.000	1.000	319.062	201.919	816.746	251.855	236.250	279.556	163.301	0.833	0.254	0.234	-0.113	33.000	1.000	320.929	226.333	841.270	258.619	259.684	289.500	208.375	0.503	0.016	0.054	0.000	33.000	1.000	372.964	261.777	841.270	289.111	289.240	362.857	231.586	0.565	0.226	0.046	-0.046	69.000	1.000	324.655	263.064	815.493	232.160	185.963	192.571	160.851	2.230	0.122	0.123	-0.041	75.000	1.000	330.818	226.397	826.307	263.690	262.810	342.278	216.040	0.748	0.419	0.046	-0.092	76.000	1.000	204.783	155.791	826.973	185.000	185.000	196.625	147.216	0.351	0.041	0.065	0.000	104.000	1.000	438.333	373.487	851.867	323.196	267.679	291.667	254.134	1.599	0.111	-0.000	-0.055
2.000	3.000	2.000	320.821	213.452	808.319	183.720	171.708	190.455	126.542	8.267	0.322	0.196	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000	2.000	261.143	186.071	808.319	232.545	191.744	220.500	155.109	5.536	0.184	0.087	-0.090	9.000	2.000	272.481	194.612	807.550	186.644	157.077	166.529	129.747	4.121	0.019	0.065	0.065	28.000	2.000	336.467	217.374	817.797	258.073	219.429	273.333	159.993	1.101	0.268	0.272	0.000	34.000	2.000	327.464	236.683	845.072	264.176	263.897	298.000	206.775	0.617	0.115	0.087	0.029	34.000	2.000	387.065	275.712	845.072	295.745	288.636	365.000	223.313	0.741	0.177	0.216	0.018	70.000	2.000	321.871	261.156	820.078	228.578	187.000	213.400	158.477	2.360	0.130	0.043	-0.081	76.000	2.000	378.167	260.753	826.973	302.165	267.606	338.235	201.454	0.982	0.234	0.058	-0.262	77.000	2.000	211.571	159.370	827.829	195.867	195.690	220.077	145.643	0.544	0.192	0.063	-0.016	105.000	2.000	487.097	380.557	850.892	335.136	271.931	291.762	247.246	1.683	0.084	-0.000	-0.087
3.000	4.000	3.000	314.250	205.000	809.611	183.610	157.565	169.667	124.630	8.370	0.103	0.264	0.130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	3.000	252.647	179.413	809.611	232.862	181.667	221.467	148.489	5.398	-0.138	0.092	0.092	10.000	3.000	280.704	204.021	809.764	186.270	150.154	159.588	129.093	4.251	0.130	0.130	0.000	29.000	3.000	339.767	229.933	832.703	244.586	197.387	207.250	153.959	1.515	0.414	0.290	-0.113	35.000	3.000	322.750	232.222	843.293	253.610	244.774	282.143	201.812	0.587	-0.030	0.182	0.064	35.000	3.000	401.933	307.382	843.293	299.085	273.219	340.133	240.174	0.741	0.000	0.000	-0.036	71.000	3.000	342.963	266.932	820.008	232.693	183.464	201.625	156.892	2.482	0.122	0.108	-0.080	77.000	3.000	369.926	248.451	827.829	291.574	255.344	307.067	186.113	1.028	0.046	0.157	0.036	78.000	3.000	229.897	158.232	829.011	199.083	191.852	220.933	144.042	0.562	0.018	0.153	0.064	106.000	3.000	456.903	351.676	846.418	326.125	281.750	298.448	243.563	1.572	-0.111	-0.029	0.116
4.000	5.000	4.000	346.897	217.126	810.729	184.612	156.682	167.231	124.719	8.619	0.249	0.197	-0.000	7.000	4.000	303.926	209.676	810.800	196.542	156.120	167.400	131.417	4.211	4.211	-0.062	0.645	5.000	4.000	265.067	177.523	810.729	232.744	175.345	208.000	149.200	5.233	-0.165	0.092	0.180	11.000	4.000	285.077	216.419	808.415	188.074	153.308	164.643	127.833	4.335	0.084	0.065	-0.062	30.000	4.000	332.655	223.589	833.465	251.494	197.033	226.118	147.321	1.821	0.306	0.200	-0.069	36.000	4.000	307.778	223.360	836.198	248.043	242.970	276.133	188.952	0.630	0.043	0.144	0.123	36.000	4.000	397.656	296.649	836.198	292.700	274.879	328.875	230.459	0.814	0.073	0.121	0.000	72.000	4.000	331.321	266.618	821.986	222.787	172.067	188.600	154.346	2.593	0.111	0.063	-0.048	78.000	4.000	369.370	263.330	829.011	284.580	243.235	284.500	178.636	1.315	0.287	0.101	-0.166	79.000	4.000	222.724	164.095	826.260	197.341	189.480	218.182	147.154	0.614	0.052	0.139	0.075	107.000	4.000	428.667	354.028	845.388	321.556	271.207	335.833	243.225	1.507	-0.065	0.089	0.057
5.000	6.000	5.000	310.967	211.408	811.009	180.103	168.400	190.286	123.027	8.887	0.268	0.328	0.126	8.000	5.000	296.250	217.795	811.746	199.450	161.958	176.417	132.614	4.173	-0.038	-0.000	-0.040	6.000	5.000	274.794	180.511	811.009	243.075	171.074	195.091	145.868	5.325	0.092	0.092	0.092	12.000	5.000	279.800	216.344	806.819	184.812	156.269	170.250	127.287	4.465	0.130	0.130	0.000	31.000	5.000	350.323	234.980	839.557	257.484	201.214	233.462	150.671	2.200	0.379	0.141	-0.176	37.000	5.000	340.111	224.312	835.000	253.254	224.214	257.500	181.107	0.798	0.168	0.206	0.000	37.000	5.000	384.233	293.667	835.000	279.466	250.774	310.667	222.238	0.852	0.038	0.058	0.108	73.000	5.000	341.385	273.236	827.417	222.846	168.111	178.042	152.464	2.593	0.000	0.000	-0.017	79.000	5.000	368.586	264.533	826.260	290.313	241.400	280.056	177.743	1.602	0.287	0.082	-0.185	80.000	5.000	226.069	169.048	830.783	205.524	189.407	213.467	144.007	0.852	0.238	0.172	-0.086	108.000	5.000	452.724	377.855	842.424	322.036	259.143	270.348	242.908	1.748	0.241	0.088	-0.115
6.000	7.000	6.000	322.259	206.890	810.800	181.613	165.880	182.615	125.543	9.032	0.146	0.134	0.065	9.000	6.000	284.593	195.723	807.550	196.965	168.704	187.600	133.259	4.135	-0.038	-0.000	0.144	7.000	6.000	283.242	188.458	810.800	246.169	184.586	206.000	138.193	5.582	0.257	0.232	-0.092	13.000	6.000	297.586	212.816	805.363	187.195	149.042	165.417	131.088	4.595	0.130	0.065	-0.065	32.000	6.000	335.586	234.598	833.019	247.796	183.296	201.538	149.653	2.330	0.130	0.117	-0.059	38.000	6.000	328.808	229.812	837.910	243.141	220.767	245.583	182.063	0.798	0.000	0.082	0.082	38.000	6.000	384.906	293.958	837.910	274.704	246.750	297.636	217.317	0.898	0.046	0.049	-0.042	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	80.000	6.000	370.185	271.300	830.783	288.847	220.097	271.889	173.247	1.824	0.222	0.154	-0.097	81.000	6.000	210.519	180.064	837.504	190.439	168.192	191.462	143.074	1.082	0.230	0.174	-0.058	109.000	6.000	457.258	396.289	839.559	327.778	269.321	311.444	245.549	1.829	0.081	-0.029	-0.087
7.000	8.000	7.000	341.440	237.172	811.746	186.111	181.964	202.625	125.325	9.396	0.363	0.195	-0.195	10.000	7.000	301.517	203.833	809.764	196.582	153.926	165.824	129.967	4.219	0.084	0.062	-0.062	8.000	7.000	277.714	180.660	811.746	241.134	171.731	189.188	136.797	5.666	0.084	0.184	0.227	14.000	7.000	279.741	203.892	805.210	186.415	159.417	169.357	126.286	4.511	-0.084	0.065	0.197	33.000	7.000	300.593	217.116	841.270	235.398	178.074	198.077	143.054	2.303	-0.027	0.178	0.205	39.000	7.000	314.857	219.832	839.251	244.218	226.100	249.778	184.696	0.714	-0.084	0.056	0.137	39.000	7.000	359.357	288.884	839.251	265.145	245.912	289.722	218.606	0.879	-0.019	0.099	0.099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.000	7.000	350.259	257.032	837.504	281.118	223.393	252.333	167.114	1.954	0.130	0.110	-0.016	82.000	7.000	218.538	174.434	838.400	192.979	172.960	189.000	138.238	1.293	0.211	0.215	0.000	110.000	7.000	472.194	367.553	838.534	334.912	262.786	278.368	239.639	1.729	-0.100	-0.114	-0.028
8.000	9.000	8.000	303.069	218.796	807.550	182.568	165.643	178.412	124.845	9.690	0.295	0.256	0.061	11.000	8.000	299.690	212.832	808.415	196.097	159.741	174.062	130.888	4.265	0.046	-0.000	-0.020	9.000	8.000	265.545	178.893	807.550	232.034	158.680	172.667	133.170	5.306	-0.360	0.092	0.367	15.000	8.000	282.786	208.832	804.350	184.202	154.625	173.500	129.884	4.530	0.019	0.000	-0.065	34.000	8.000	303.000	219.345	845.072	235.378	185.107	201.700	141.486	2.609	0.306	0.156	-0.169	40.000	8.000	305.600	224.293	840.773	237.475	218.483	231.840	184.544	0.752	0.038	0.056	0.056	40.000	8.000	350.276	292.646	840.773	264.256	241.125	261.880	209.401	1.017	0.138	0.147	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	8.000	368.250	256.705	838.400	286.477	239.562	270.143	155.377	2.463	0.509	0.268	-0.162	83.000	8.000	218.655	179.651	841.018	190.108	177.600	184.400	136.362	1.634	0.341	0.270	-0.054	111.000	8.000	484.467	377.243	842.435	332.918	263.536	286.625	237.621	1.610	-0.119	-0.000	0.108
9.000	10.000	9.000	315.593	223.939	809.764	190.708	170.280	184.353	141.667	9.847	0.157	-0.065	-0.195	12.000	9.000	310.214	218.679	806.819	192.566	159.296	171.778	134.209	4.311	0.046	-0.061	-0.083	10.000	9.000	270.333	184.796	809.764	235.931	159.640	168.000	128.007	5.555	0.249	0.141	-0.092	16.000	9.000	305.414	212.656	809.968	185.490	153.731	160.889	129.823	4.641	0.111	-0.065	-0.133	35.000	9.000	295.741	216.967	843.293	230.263	166.926	182.615	141.479	2.701	0.092	0.121	0.060	41.000	9.000	325.690	226.465	846.774	244.301	213.267	239.286	178.772	0.882	0.130	0.013	-0.127	41.000	9.000	428.300	334.757	846.774	278.960	227.605	257.316	207.709	1.285	0.268	0.005	-0.295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83.000	9.000	384.840	260.675	841.018	282.882	250.118	294.737	157.438	2.723	0.260	0.187	-0.081	84.000	9.000	203.308	167.625	838.089	185.107	166.280	180.667	138.403	1.661	0.027	0.182	0.143	112.000	9.000	481.310	388.776	846.080	319.993	264.091	280.320	244.265	1.564	-0.046	0.041	0.062
