 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)
1	0.000	1.000	18.915	27.430	21.840	15.795	20.196	11.997	11.806	238.438	NaN	NaN	NaN	31.000	31.460	31.720	38.870	32.695	22.295	7.474	4.439	98.979	NaN	NaN	NaN	36.000	31.525	29.770	31.720	29.835	23.860	0.206	0.080	1.901	NaN	NaN	NaN	47.000	29.055	34.450	29.055	34.515	18.753	0.065	-0.046	-0.866	NaN	NaN	NaN	69.000	28.080	27.170	31.070	29.315	23.766	3.680	-0.291	-6.908	NaN	NaN	NaN	108.000	29.510	26.780	35.620	24.570	25.411	6.497	5.335	135.580	NaN	NaN	NaN
2	1.000	2.000	18.915	27.495	21.840	15.795	20.131	12.060	11.871	238.987	0.065	NaN	-0.063	32.000	31.395	31.785	38.740	32.695	22.203	7.401	4.441	98.599	0.001	-0.129	-0.057	37.000	31.590	29.705	31.785	29.705	23.811	0.195	0.129	3.067	0.049	0.065	0.065	48.000	28.795	34.060	29.900	34.905	18.805	1.391	0.147	2.759	0.193	0.908	-0.443	70.000	28.210	27.170	31.070	29.315	23.812	3.575	-0.328	-7.808	-0.037	NaN	0.104	109.000	29.510	26.780	35.685	24.570	25.411	6.559	5.373	136.535	0.038	0.061	NaN
3	2.000	3.000	18.915	27.560	21.840	15.795	20.071	12.123	11.943	239.718	0.072	NaN	-0.063	33.000	31.330	31.850	38.740	32.695	22.112	7.458	4.532	100.213	0.091	NaN	-0.057	38.000	31.525	29.835	31.785	29.770	23.713	0.268	0.221	5.243	0.092	-0.016	-0.095	49.000	28.795	34.255	30.030	34.970	18.758	1.427	0.334	6.261	0.187	0.145	0.098	71.000	28.340	27.300	31.070	29.315	23.770	3.393	-0.260	-6.177	0.068	NaN	0.182	110.000	29.575	26.650	35.750	24.440	25.555	6.559	5.370	137.224	-0.003	0.105	0.105
4	3.000	4.000	18.915	27.495	21.840	15.730	20.201	12.123	11.943	241.248	-9.546E-4	0.063	0.063	34.000	31.200	31.915	38.675	32.695	21.880	7.516	4.660	101.962	0.128	-0.065	-0.123	39.000	31.525	29.835	31.915	29.705	23.616	0.411	0.357	8.425	0.136	0.144	NaN	50.000	28.600	34.125	30.030	35.295	18.482	1.848	0.138	2.552	-0.196	0.206	-0.233	72.000	28.275	27.365	31.070	29.315	23.826	3.408	-0.175	-4.174	0.085	NaN	-0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	4.000	5.000	18.915	27.430	21.840	15.665	20.221	12.123	11.968	242.008	0.026	0.063	0.063	35.000	31.070	31.980	38.545	32.695	21.556	7.509	4.768	102.773	0.108	-0.129	-0.123	40.000	31.070	30.355	32.110	29.705	22.964	1.226	1.180	27.091	0.823	0.165	-0.661	51.000	28.405	34.190	30.095	35.555	18.539	2.172	0.139	2.569	4.892E-4	0.214	-0.111	73.000	28.340	27.430	31.135	29.445	23.950	3.446	-0.219	-5.256	-0.044	0.129	0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	5.000	6.000	18.850	27.625	21.840	15.665	20.026	12.328	12.170	243.715	0.201	NaN	-0.205	36.000	31.005	31.980	38.285	32.695	21.881	7.315	4.547	99.482	-0.221	-0.259	-0.065	41.000	31.460	29.900	32.175	29.640	23.476	0.761	0.671	15.747	-0.509	0.083	0.522	52.000	28.275	34.190	30.225	35.750	18.355	2.497	0.170	3.118	0.031	0.223	-0.102	74.000	28.470	27.300	31.135	29.510	24.129	3.462	-0.448	-10.808	-0.228	0.041	0.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	6.000	7.000	18.850	27.560	21.840	15.730	20.162	12.202	12.045	242.853	-0.124	-0.063	0.063	37.000	30.940	32.045	38.155	32.630	21.650	7.239	4.606	99.714	0.059	-0.135	-0.060	42.000	31.525	29.900	32.240	29.510	23.519	0.814	0.768	18.066	0.097	0.119	0.057	53.000	28.145	34.255	30.160	35.945	18.094	2.630	0.076	1.382	-0.094	0.076	-0.058	75.000	28.470	27.300	31.135	29.510	23.765	3.462	-0.426	-10.119	0.022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	7.000	8.000	18.850	27.625	21.775	15.795	20.109	12.186	12.052	242.350	0.007	-0.079	-0.063	38.000	30.875	32.175	38.090	32.630	21.557	7.229	4.722	101.793	0.116	-0.065	-0.057	43.000	31.590	29.770	32.370	29.380	23.713	0.872	0.809	19.190	0.041	0.174	0.116	54.000	28.015	34.255	30.290	36.075	18.143	2.913	0.145	2.632	0.069	0.183	-0.102	76.000	28.600	27.235	31.135	29.445	23.835	3.363	-0.481	-11.454	-0.055	-0.043	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	8.000	9.000	18.785	27.820	21.840	15.795	19.856	12.407	12.267	243.571	0.215	0.016	-0.205	39.000	30.745	32.240	38.025	32.630	21.327	7.290	4.825	102.904	0.103	-0.065	-0.126	44.000	31.590	29.770	32.565	29.315	23.762	1.076	0.986	23.440	0.177	0.204	NaN	55.000	27.885	34.255	30.355	36.270	18.094	3.188	0.136	2.459	-0.009	0.174	-0.101	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	9.000	10.000	18.785	27.885	21.775	15.795	19.798	12.454	12.332	244.137	0.065	-0.016	-0.063	40.000	30.680	32.240	37.895	32.565	21.327	7.222	4.849	103.411	0.024	-0.133	-0.065	45.000	31.525	29.770	32.695	29.250	23.817	1.280	1.161	27.657	0.175	0.145	-0.059	56.000	27.690	34.255	30.420	36.270	17.971	3.393	0.264	4.745	0.128	0.052	-0.157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
