dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)
0.000	1.000	0.000	539.310	462.500	1173.811	326.955	211.231	271.000	136.007	13.136	0.000	NaN	NaN	31.000	0.000	403.880	274.212	1227.212	238.185	194.826	218.000	153.565	7.908	7.908	NaN	NaN	36.000	0.000	463.714	252.125	1211.437	318.857	321.727	373.250	246.255	0.494	0.494	NaN	NaN	47.000	0.000	492.250	288.035	1217.681	388.375	388.375	479.667	269.047	0.335	0.335	NaN	NaN	69.000	0.000	498.200	312.389	1403.563	284.400	292.367	323.450	270.918	3.984	3.984	NaN	NaN	108.000	0.000	395.444	308.062	1404.118	271.799	201.500	218.929	145.979	7.185	7.185	NaN	NaN
1.000	2.000	1.000	547.552	354.559	1158.517	326.298	206.423	230.474	158.238	13.201	0.065	0.000	-0.063	32.000	1.000	397.680	276.230	1217.570	237.149	191.100	202.786	152.128	7.843	-0.065	-0.129	-0.057	37.000	1.000	409.524	236.592	1203.351	284.000	284.000	288.000	226.172	0.305	-0.189	0.065	0.065	48.000	1.000	528.156	346.012	1223.174	457.214	358.513	468.545	207.256	1.867	1.532	0.908	-0.443	70.000	1.000	469.400	303.561	1407.656	284.090	282.429	321.579	267.143	3.900	-0.084	0.000	0.104	109.000	1.000	384.407	296.406	1402.401	264.240	205.950	210.211	147.483	7.231	0.046	0.061	0.000
2.000	3.000	2.000	535.645	346.316	1167.085	322.826	213.920	245.000	152.209	13.247	0.046	0.000	-0.063	33.000	2.000	419.280	272.765	1217.028	234.216	195.632	206.154	146.245	7.882	0.038	0.000	-0.057	38.000	2.000	437.286	250.409	1197.938	330.424	332.963	405.833	211.250	0.590	0.284	-0.016	-0.095	49.000	2.000	545.111	353.296	1222.860	491.874	370.917	478.238	227.462	1.810	-0.057	0.145	0.098	71.000	2.000	453.250	278.931	1410.279	296.672	300.862	345.267	256.422	3.708	-0.192	0.000	0.182	110.000	2.000	356.800	281.163	1399.508	262.743	220.600	227.714	142.283	7.304	0.073	0.105	0.105
3.000	4.000	3.000	559.310	348.936	1167.919	314.727	212.423	231.471	149.682	13.266	0.019	0.063	0.063	34.000	3.000	410.840	303.120	1208.416	234.232	192.375	217.778	147.067	7.947	0.065	-0.065	-0.123	39.000	3.000	455.929	273.554	1197.923	360.393	329.758	409.529	208.454	0.714	0.125	0.144	0.000	50.000	3.000	534.375	359.908	1212.232	512.890	370.189	490.200	211.785	2.253	0.444	0.206	-0.233	72.000	3.000	431.222	339.130	1415.971	286.437	293.429	311.344	266.182	3.727	0.019	0.000	-0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000	5.000	4.000	548.621	340.129	1173.127	312.774	207.958	228.500	151.153	13.247	-0.019	0.063	0.063	35.000	4.000	406.154	294.057	1204.891	230.622	195.286	210.800	148.297	7.820	-0.127	-0.129	-0.123	40.000	4.000	507.385	334.464	1362.642	412.696	297.655	405.583	191.092	1.461	0.747	0.165	-0.661	51.000	4.000	545.000	376.512	1224.711	520.606	335.925	469.222	210.068	2.648	0.395	0.214	-0.111	73.000	4.000	438.125	299.130	1414.891	290.780	285.581	308.897	297.821	3.735	0.008	0.129	0.091	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.000	6.000	5.000	592.897	365.978	1180.157	317.112	208.957	231.545	151.774	13.469	0.222	0.000	-0.205	36.000	5.000	440.640	291.889	1211.437	241.860	205.238	236.143	153.832	7.671	-0.149	-0.259	-0.065	41.000	5.000	475.143	272.486	1195.463	376.794	312.414	388.562	187.343	1.047	-0.414	0.083	0.522	52.000	5.000	539.355	375.074	1224.036	523.204	352.472	451.391	202.490	2.916	0.268	0.223	-0.102	74.000	5.000	377.944	341.724	1399.276	289.599	309.156	330.767	271.529	3.800	0.065	0.041	0.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.000	7.000	6.000	566.793	354.544	1187.451	309.532	198.000	211.909	158.213	13.339	-0.130	-0.063	0.063	37.000	6.000	412.423	290.356	1203.351	237.566	202.875	218.938	154.178	7.579	-0.092	-0.135	-0.060	42.000	6.000	498.231	266.500	1194.191	390.505	325.767	402.882	181.636	1.074	0.027	0.119	0.057	53.000	6.000	549.129	377.434	1224.036	486.704	289.267	353.250	231.667	3.008	0.092	0.076	-0.058	75.000	6.000	374.842	319.901	1383.379	298.749	310.241	338.467	279.349	3.781	-0.019	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000	8.000	7.000	568.690	366.756	1190.219	298.182	196.435	206.789	154.132	13.312	-0.027	-0.079	-0.063	38.000	7.000	434.760	292.659	1197.938	238.523	208.320	229.917	150.356	7.525	-0.054	-0.065	-0.057	43.000	7.000	513.760	266.197	1200.618	365.345	283.314	347.864	170.788	1.231	0.157	0.174	0.116	54.000	7.000	575.710	392.268	1226.491	483.915	265.037	340.000	180.514	3.265	0.257	0.183	-0.102	76.000	7.000	368.136	302.354	1379.735	289.564	293.714	320.773	275.378	3.705	-0.076	-0.043	0.055	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.000	9.000	8.000	630.741	388.061	1194.557	310.216	205.320	235.267	144.899	13.534	0.222	0.016	-0.205	39.000	8.000	434.269	307.092	1197.923	243.259	208.750	247.300	145.599	7.633	0.108	-0.065	-0.126	44.000	8.000	502.074	266.659	1203.791	367.727	268.562	333.471	161.944	1.407	0.176	0.204	0.000	55.000	8.000	591.485	403.560	1229.899	490.369	259.000	316.667	173.514	3.586	0.322	0.174	-0.101	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.000	10.000	9.000	618.414	391.119	1198.220	305.947	205.571	210.100	153.664	13.599	0.065	-0.016	-0.063	40.000	9.000	438.179	309.274	1362.642	245.828	213.875	244.385	152.789	7.625	-0.008	-0.133	-0.065	45.000	9.000	491.759	272.800	1204.786	349.267	246.933	291.071	161.674	1.591	0.184	0.145	-0.059	56.000	9.000	652.935	434.878	1238.025	523.499	249.593	300.250	178.521	3.762	0.176	0.052	-0.157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
