 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)	T (11)	Base X (11)	Base Y (11)	Tip X (11)	Tip Y (11)	||[body,base]|| (11)	||[base,tip]||  (11)	||[base,tip]|| : [body,base] (11)	[base,tip] ? [body,base] (11)	?||[base,tip]|| : [body,base] (11)	||[tip(t-1),tip(t)]|| : [base,tip] (11)	||[base(t-1),base(t)]|| : [base,tip] (11)	T (12)	Base X (12)	Base Y (12)	Tip X (12)	Tip Y (12)	||[body,base]|| (12)	||[base,tip]||  (12)	||[base,tip]|| : [body,base] (12)	[base,tip] ? [body,base] (12)	?||[base,tip]|| : [body,base] (12)	||[tip(t-1),tip(t)]|| : [base,tip] (12)	||[base(t-1),base(t)]|| : [base,tip] (12)	T (13)	Base X (13)	Base Y (13)	Tip X (13)	Tip Y (13)	||[body,base]|| (13)	||[base,tip]||  (13)	||[base,tip]|| : [body,base] (13)	[base,tip] ? [body,base] (13)	?||[base,tip]|| : [body,base] (13)	||[tip(t-1),tip(t)]|| : [base,tip] (13)	||[base(t-1),base(t)]|| : [base,tip] (13)
1	0.000	1.000	22.360	21.645	23.010	20.800	9.366	1.066	0.943	8.830	NaN	NaN	NaN	1.000	22.555	21.840	26.130	19.890	9.465	4.072	4.053	38.363	NaN	NaN	NaN	1.000	25.415	27.820	29.120	28.340	11.792	3.741	3.736	44.050	NaN	NaN	NaN	1.000	27.625	29.250	35.230	29.315	14.269	7.605	7.361	105.038	NaN	NaN	NaN	1.000	22.620	33.215	28.275	41.535	11.655	10.060	9.733	113.437	NaN	NaN	NaN	13.000	17.355	27.300	17.160	27.560	3.723	0.325	-0.068	-0.254	NaN	NaN	NaN	28.000	19.825	28.535	19.760	28.730	3.865	0.206	0.083	0.321	NaN	NaN	NaN	47.000	26.195	23.855	26.260	23.725	9.739	0.145	0.089	0.866	NaN	NaN	NaN	64.000	23.335	34.385	23.270	34.580	11.504	0.206	0.101	1.158	NaN	NaN	NaN	69.000	30.615	29.380	31.915	29.575	15.786	1.315	1.305	20.597	NaN	NaN	NaN	79.000	24.505	26.455	26.650	25.545	9.469	2.330	2.048	19.389	NaN	NaN	NaN	82.000	30.030	30.095	30.160	30.225	15.571	0.184	0.161	2.510	NaN	NaN	NaN	91.000	26.130	26.390	26.260	26.390	10.925	0.130	0.130	1.420	NaN	NaN	NaN	98.000	28.990	28.860	29.835	28.990	13.628	0.855	0.853	11.631	NaN	NaN	NaN
2	1.000	2.000	22.035	21.905	23.010	20.800	8.962	1.474	1.340	12.007	0.397	NaN	-0.410	2.000	22.295	22.165	26.130	19.955	9.101	4.426	4.381	39.876	0.328	-0.032	-0.388	2.000	25.610	27.820	29.315	28.405	11.983	3.751	3.749	44.920	0.013	0.203	0.193	2.000	27.495	29.250	35.295	29.315	14.144	7.800	7.545	106.711	0.184	0.065	-0.130	2.000	22.555	33.150	28.340	41.535	11.563	10.187	9.873	114.155	0.139	0.037	-0.090	14.000	17.420	27.365	17.030	27.625	3.837	0.469	-0.236	-0.904	-0.168	0.144	-0.018	29.000	19.890	28.730	19.825	28.925	4.183	0.206	0.090	0.376	0.007	0.164	0.164	48.000	25.740	24.050	26.845	23.465	9.361	1.250	1.187	11.112	1.098	0.639	-0.493	65.000	23.010	33.150	23.270	34.515	10.310	1.390	1.189	12.261	1.089	-0.064	-1.274	70.000	30.550	29.380	31.850	29.575	15.769	1.315	1.305	20.584	6.254E-4	-0.064	-0.064	80.000	24.635	26.585	26.585	25.675	9.728	2.152	1.856	18.058	-0.191	-0.114	0.063	83.000	29.575	30.030	29.965	30.225	15.322	0.436	0.429	6.578	0.268	-0.174	-0.436	92.000	26.000	26.455	26.325	26.260	10.667	0.379	0.318	3.388	0.188	0.123	-0.145	99.000	28.925	28.795	29.965	28.990	13.615	1.058	1.058	14.403	0.204	0.128	-0.076
3	2.000	3.000	21.580	22.165	23.010	20.735	8.561	2.022	1.878	16.080	0.539	0.046	-0.506	3.000	21.645	22.750	26.195	19.890	8.408	5.374	5.242	44.075	0.860	0.090	-0.862	3.000	25.805	27.755	29.510	28.405	12.290	3.762	3.761	46.230	0.013	0.192	0.181	3.000	27.300	29.250	35.620	29.380	14.081	8.321	8.061	113.509	0.516	0.326	-0.195	3.000	22.620	33.280	28.405	41.665	11.795	10.187	9.866	116.373	-0.006	0.144	0.144	15.000	17.355	27.365	16.900	27.690	3.779	0.559	-0.262	-0.989	-0.026	0.144	0.053	30.000	19.825	28.860	19.890	29.185	4.185	0.331	0.282	1.179	0.192	0.268	0.115	49.000	24.895	24.245	26.520	23.270	8.495	1.895	1.761	14.957	0.574	-0.178	-0.825	66.000	23.010	33.150	23.205	34.450	10.804	1.315	1.074	11.598	-0.116	-0.074	NaN	71.000	30.355	29.380	31.785	29.575	15.626	1.443	1.431	22.363	0.126	-0.064	-0.193	81.000	24.700	26.585	26.455	25.805	9.857	1.921	1.675	16.516	-0.181	-0.172	0.059	84.000	29.705	30.095	30.095	30.225	15.366	0.411	0.411	6.312	-0.019	0.123	0.144	93.000	26.130	26.390	26.520	26.130	10.728	0.469	0.384	4.115	0.066	0.234	0.144	100.000	28.795	28.795	29.900	28.990	13.530	1.122	1.121	15.164	0.063	-0.064	-0.128
4	3.000	4.000	21.840	22.100	23.010	20.800	8.800	1.749	1.580	13.900	-0.299	-0.048	0.222	4.000	22.100	22.360	26.130	19.890	8.947	4.727	4.638	41.498	-0.604	-0.055	0.592	4.000	25.870	27.755	29.770	28.405	12.366	3.954	3.953	48.883	0.192	0.256	0.064	4.000	27.365	29.250	35.750	29.380	14.161	8.386	8.117	114.945	0.056	0.130	0.065	4.000	22.620	33.280	28.405	41.665	11.838	10.187	9.877	116.918	0.010	NaN	NaN	16.000	17.420	27.430	16.835	27.820	3.839	0.703	-0.330	-1.268	-0.069	0.126	-0.018	31.000	19.890	28.730	19.825	29.380	4.185	0.653	0.397	1.660	0.115	0.200	-0.136	50.000	24.440	24.440	26.130	23.205	8.036	2.093	1.868	15.007	0.107	-0.277	-0.482	67.000	22.945	32.955	23.205	34.385	10.267	1.453	1.241	12.743	0.168	-0.064	-0.203	72.000	30.485	29.380	31.720	29.575	15.672	1.250	1.244	19.490	-0.188	-0.064	0.128	82.000	24.635	26.585	26.585	25.805	9.592	2.100	1.874	17.973	0.198	0.121	-0.060	85.000	29.835	30.095	30.030	30.225	15.465	0.234	0.224	3.465	-0.187	-0.054	0.108	94.000	26.325	26.325	26.715	26.065	10.790	0.469	0.388	4.191	0.005	0.198	0.198	101.000	28.210	28.600	29.965	29.055	13.152	1.813	1.813	23.842	0.692	0.079	-0.615
5	4.000	5.000	22.035	21.905	23.010	20.800	9.194	1.474	1.342	12.341	-0.237	NaN	0.275	5.000	22.295	22.165	26.065	19.890	9.330	4.403	4.349	40.577	-0.289	-0.056	0.268	5.000	26.000	27.820	29.900	28.470	12.535	3.954	3.954	49.559	6.890E-4	0.139	0.139	5.000	27.235	29.250	35.815	29.380	14.048	8.581	8.331	117.024	0.214	0.065	-0.130	5.000	22.750	33.540	28.340	41.600	12.028	9.809	9.500	114.261	-0.377	-0.090	0.288	17.000	17.550	27.365	16.770	27.950	3.901	0.975	-0.481	-1.876	-0.151	0.130	-0.143	32.000	19.890	28.795	19.890	29.445	4.183	0.650	0.455	1.901	0.058	0.065	0.065	51.000	24.245	24.505	26.000	23.205	7.878	2.184	1.920	15.126	0.052	-0.104	-0.195	68.000	22.945	32.955	23.205	34.385	10.709	1.453	1.199	12.836	-0.043	NaN	NaN	73.000	31.590	29.510	31.720	29.640	16.322	0.184	0.160	2.611	-1.084	0.046	0.873	83.000	24.635	26.520	26.585	25.805	9.787	2.077	1.881	18.408	0.007	NaN	0.022	86.000	29.900	30.095	30.095	30.225	15.603	0.234	0.225	3.511	9.929E-4	0.054	0.054	95.000	26.585	26.130	26.910	25.935	11.023	0.379	0.308	3.393	-0.081	0.234	0.323	102.000	28.795	28.860	30.030	29.055	13.684	1.250	1.245	17.035	-0.568	0.064	0.618
6	5.000	6.000	22.165	21.710	23.010	20.800	9.102	1.242	1.150	10.465	-0.193	NaN	0.231	6.000	22.425	22.035	26.130	19.890	9.210	4.281	4.243	39.077	-0.106	0.056	0.178	6.000	26.195	27.885	30.030	28.470	12.506	3.879	3.877	48.482	-0.077	0.129	0.203	6.000	27.690	29.380	35.360	29.315	14.304	7.670	7.372	105.443	-0.959	-0.454	0.454	6.000	22.620	33.280	28.275	41.470	11.649	9.953	9.667	112.605	0.167	-0.144	-0.288	18.000	17.615	27.365	16.705	28.015	4.157	1.118	-0.516	-2.146	-0.035	0.091	-0.053	33.000	19.955	28.470	20.020	29.575	3.970	1.107	0.756	3.000	0.301	0.137	-0.321	52.000	24.050	24.505	25.935	23.400	7.908	2.185	2.041	16.140	0.121	-0.155	-0.168	69.000	22.945	32.760	23.205	34.385	10.709	1.646	1.337	14.319	0.138	NaN	-0.193	74.000	30.160	29.445	31.655	29.575	15.598	1.501	1.474	22.997	1.314	-0.070	-1.430	84.000	24.700	26.520	26.520	25.740	9.776	1.980	1.758	17.187	-0.123	-0.034	0.060	87.000	29.900	30.160	30.160	30.290	15.491	0.291	0.286	4.428	0.061	0.087	0.029	96.000	26.390	26.195	26.975	25.805	10.840	0.703	0.545	5.907	0.237	0.126	-0.198	103.000	28.015	28.730	30.095	29.120	13.006	2.116	2.112	27.471	0.867	0.076	-0.791
7	6.000	7.000	21.970	21.840	23.010	20.800	8.957	1.471	1.381	12.371	0.231	NaN	-0.230	7.000	22.165	22.165	26.065	19.955	9.005	4.483	4.449	40.061	0.206	-0.089	-0.290	7.000	26.390	27.950	30.355	28.470	12.761	3.999	3.993	50.958	0.116	0.322	0.202	7.000	27.495	29.315	35.165	29.380	14.144	7.670	7.419	104.936	0.047	-0.194	-0.196	7.000	22.685	33.345	28.210	41.405	11.746	9.772	9.466	111.185	-0.201	-0.090	0.090	19.000	17.680	27.365	16.640	28.145	4.244	1.300	-0.565	-2.400	-0.049	0.130	-0.052	34.000	19.955	28.795	20.020	29.445	4.185	0.653	0.492	2.058	-0.264	-0.129	0.323	53.000	23.855	24.635	26.000	23.530	7.694	2.413	2.288	17.606	0.247	-0.002	-0.233	70.000	22.945	32.955	23.205	34.385	10.847	1.453	1.202	13.038	-0.135	NaN	0.192	75.000	30.160	29.445	31.720	29.575	15.598	1.565	1.537	23.973	0.063	0.065	NaN	85.000	24.635	26.585	26.390	25.805	9.663	1.921	1.674	16.173	-0.084	-0.145	-0.086	88.000	29.835	30.095	30.225	30.290	15.522	0.436	0.430	6.680	0.145	0.058	-0.087	97.000	26.455	26.195	27.235	25.805	10.793	0.872	0.770	8.315	0.225	0.233	0.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	7.000	8.000	22.035	21.710	23.010	20.800	9.016	1.334	1.266	11.416	-0.115	NaN	0.136	8.000	22.230	22.100	26.065	19.955	9.041	4.394	4.359	39.407	-0.090	NaN	0.088	8.000	26.520	27.950	30.420	28.470	12.913	3.935	3.927	50.717	-0.066	0.064	0.129	8.000	27.560	29.315	35.165	29.380	14.241	7.605	7.342	104.552	-0.078	NaN	0.065	8.000	22.620	33.150	28.145	41.405	11.655	9.933	9.593	111.798	0.127	-0.036	-0.198	20.000	17.875	27.300	16.640	28.210	4.310	1.534	-0.779	-3.359	-0.214	0.039	-0.196	35.000	19.955	28.860	20.020	29.445	4.185	0.589	0.447	1.872	-0.044	NaN	0.065	54.000	24.050	24.440	25.935	23.595	7.972	2.066	1.998	15.924	-0.291	-0.086	0.258	71.000	23.075	32.955	23.205	34.320	10.939	1.371	1.050	11.484	-0.152	-0.065	0.012	76.000	31.200	29.445	31.720	29.640	16.049	0.555	0.552	8.864	-0.985	0.023	0.974	86.000	24.570	26.585	26.325	25.805	9.626	1.921	1.647	15.856	-0.027	-0.059	-0.059	89.000	29.965	30.095	30.420	30.290	15.584	0.495	0.492	7.673	0.062	0.179	0.119	98.000	26.455	26.260	27.300	25.805	10.793	0.960	0.834	8.999	0.063	0.057	-0.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	8.000	9.000	22.165	21.645	23.010	20.800	9.245	1.195	1.129	10.436	-0.137	NaN	0.138	9.000	22.360	21.970	26.065	19.955	9.286	4.217	4.201	39.014	-0.158	NaN	0.176	9.000	26.715	27.950	30.680	28.535	13.070	4.008	4.006	52.360	0.079	0.267	0.193	9.000	27.560	29.315	35.165	29.380	14.190	7.605	7.367	104.539	0.026	NaN	NaN	9.000	22.750	33.410	28.015	41.210	11.795	9.411	9.090	107.218	-0.503	-0.234	0.288	21.000	17.875	27.300	16.510	28.275	4.363	1.677	-0.834	-3.638	-0.055	0.144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	23.725	24.635	25.870	23.725	7.611	2.330	2.249	17.120	0.252	-0.111	-0.375	72.000	23.075	33.020	23.205	34.255	10.893	1.242	0.962	10.478	-0.088	-0.065	0.065	77.000	30.095	29.510	31.720	29.575	15.553	1.626	1.580	24.573	1.028	-0.003	-1.102	87.000	24.440	26.585	26.130	25.870	9.452	1.835	1.631	15.417	-0.016	-0.205	-0.120	90.000	30.095	30.030	30.615	30.225	15.665	0.555	0.555	8.687	0.062	0.160	0.099	99.000	26.325	26.260	27.365	25.740	10.728	1.163	1.027	11.019	0.193	0.087	-0.116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	9.000	10.000	21.970	21.775	22.945	20.865	8.871	1.334	1.266	11.230	0.137	-0.092	-0.231	10.000	22.230	22.100	26.130	19.890	8.980	4.483	4.445	39.918	0.244	0.089	-0.177	10.000	26.715	27.885	30.875	28.535	13.029	4.210	4.208	54.832	0.202	0.193	-0.010	10.000	27.625	29.315	35.100	29.380	14.241	7.475	7.216	102.769	-0.151	-0.065	0.065	10.000	22.685	33.215	27.950	41.145	11.697	9.519	9.193	107.539	0.103	-0.090	-0.198	22.000	17.940	27.170	16.510	28.275	4.345	1.807	-0.913	-3.967	-0.079	NaN	-0.131	37.000	20.020	28.470	20.215	29.575	4.644	1.122	0.938	4.356	0.938	NaN	NaN	56.000	23.725	24.895	25.805	23.855	7.530	2.326	2.190	16.494	-0.059	-0.116	-0.116	73.000	23.075	32.760	23.205	34.255	10.483	1.501	1.174	12.307	0.212	NaN	-0.259	78.000	30.095	29.445	31.655	29.575	15.501	1.565	1.539	23.854	-0.041	-0.065	-0.005	88.000	24.635	26.585	26.065	26.000	9.683	1.545	1.354	13.110	-0.277	-0.109	0.180	91.000	30.290	30.095	30.745	30.225	15.609	0.473	0.473	7.385	-0.081	0.125	0.205	100.000	26.195	26.325	27.495	25.675	10.608	1.453	1.267	13.436	0.239	0.145	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
