dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Base Local Background (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Tip Local Background (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Base Local Background (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Tip Local Background (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Base Local Background (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Tip Local Background (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Base Local Background (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Tip Local Background (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Base Local Background (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Tip Local Background (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)
0.000	1.000	0.000	159.333	133.191	542.633	140.867	134.520	141.095	123.673	1.293	0.000	NaN	NaN	1.000	0.000	155.296	141.604	542.633	132.928	119.400	122.625	115.013	4.515	0.000	NaN	NaN	1.000	0.000	233.448	520.783	542.633	162.599	135.548	149.048	154.191	4.088	0.000	NaN	NaN	1.000	0.000	224.630	161.104	542.633	135.169	116.864	126.833	114.399	8.053	0.000	NaN	NaN	1.000	0.000	163.100	128.722	542.633	136.245	125.364	129.765	110.766	10.803	0.000	NaN	NaN	13.000	0.000	229.724	196.842	546.398	196.528	194.750	233.300	178.163	0.595	0.595	NaN	NaN	28.000	0.000	223.167	199.379	504.775	200.375	200.375	224.556	189.060	0.437	0.437	NaN	NaN	47.000	0.000	139.526	126.231	496.276	123.800	123.800	127.200	124.988	0.200	0.200	NaN	NaN	64.000	0.000	159.259	140.490	521.820	146.909	146.909	161.417	134.186	0.502	0.502	NaN	NaN	69.000	0.000	146.333	133.022	522.797	135.827	133.231	146.273	124.067	1.448	1.448	NaN	NaN	79.000	0.000	270.115	208.803	525.479	177.434	140.778	147.850	127.410	2.636	2.636	NaN	NaN	82.000	0.000	159.619	139.835	526.869	142.800	142.800	158.667	135.772	0.319	0.319	NaN	NaN	91.000	0.000	231.520	167.436	529.623	178.154	178.333	203.400	159.829	0.447	0.447	NaN	NaN	98.000	0.000	184.240	183.214	527.390	172.908	175.923	185.118	161.192	1.602	1.602	NaN	NaN
1.000	2.000	1.000	177.286	166.289	542.703	150.050	136.077	145.000	127.993	1.752	0.460	0.000	-0.410	2.000	1.000	165.148	156.778	542.703	134.612	127.417	136.231	117.743	4.910	0.395	-0.032	-0.388	2.000	1.000	213.000	167.400	542.703	157.807	130.500	139.133	121.593	4.161	0.073	0.203	0.193	2.000	1.000	211.517	154.212	542.703	132.946	119.826	124.933	111.526	8.264	0.211	0.065	-0.130	2.000	1.000	167.710	136.634	542.703	133.413	122.667	127.900	113.450	11.006	0.203	0.037	-0.090	14.000	1.000	238.400	203.597	545.905	191.130	180.697	204.000	170.123	0.676	0.081	0.144	-0.018	29.000	1.000	215.100	190.593	502.753	191.115	190.958	210.067	180.401	0.640	0.203	0.164	0.164	48.000	1.000	169.387	143.095	499.365	151.647	142.258	153.947	123.333	1.645	1.445	0.639	-0.493	65.000	1.000	205.265	178.812	518.933	169.826	147.250	169.800	139.848	1.686	1.184	-0.064	-1.274	70.000	1.000	144.524	133.080	521.215	134.600	132.654	139.722	123.880	1.448	0.000	-0.064	-0.064	80.000	1.000	253.462	226.600	527.729	177.976	144.931	157.846	134.062	2.506	-0.130	-0.114	0.063	83.000	1.000	210.240	165.533	535.030	166.535	158.286	179.571	142.056	0.584	0.265	-0.174	-0.436	92.000	1.000	275.257	182.615	530.055	212.022	206.812	252.933	156.706	0.736	0.289	0.123	-0.145	99.000	1.000	181.292	184.333	527.774	177.150	175.407	187.000	163.122	1.824	0.222	0.128	-0.076
2.000	3.000	2.000	266.722	209.581	541.607	162.636	136.769	143.000	126.922	2.212	0.460	0.046	-0.506	3.000	2.000	287.308	209.200	541.607	146.545	124.269	132.118	116.503	5.848	0.938	0.090	-0.862	3.000	2.000	201.586	160.186	541.607	156.018	133.000	150.000	118.430	4.069	-0.092	0.192	0.181	3.000	2.000	228.967	159.063	541.607	135.720	121.412	130.222	111.549	8.795	0.531	0.326	-0.195	3.000	2.000	165.000	136.278	541.607	133.516	120.720	127.143	112.743	11.006	0.000	0.144	0.144	15.000	2.000	236.593	197.301	544.885	184.841	173.129	193.600	163.627	0.814	0.138	0.144	0.053	30.000	2.000	202.862	191.745	500.145	185.692	181.690	209.000	176.211	0.654	0.014	0.268	0.115	49.000	2.000	178.414	153.490	500.239	154.372	139.630	149.786	132.317	2.234	0.590	-0.178	-0.825	66.000	2.000	200.533	176.455	521.189	166.122	147.444	165.615	136.705	1.594	-0.092	-0.074	0.000	71.000	2.000	147.950	136.178	520.572	135.897	130.846	142.000	122.309	1.559	0.111	-0.064	-0.193	81.000	2.000	266.483	214.342	529.655	184.083	150.448	156.655	137.324	2.322	-0.184	-0.172	0.059	84.000	2.000	193.261	146.455	530.346	157.629	152.375	164.688	133.667	0.492	-0.092	0.123	0.144	93.000	2.000	283.481	178.172	525.787	206.778	192.938	241.929	151.250	0.695	-0.040	0.234	0.144	100.000	2.000	190.538	187.821	533.257	175.902	170.958	180.444	167.016	1.954	0.130	-0.064	-0.128
3.000	4.000	3.000	201.429	184.207	542.747	154.963	141.500	146.870	127.074	1.936	-0.276	-0.048	0.222	4.000	3.000	187.385	174.035	542.747	137.373	124.609	129.545	117.791	5.232	-0.617	-0.055	0.592	4.000	3.000	194.731	167.530	542.747	153.421	134.000	145.333	118.946	4.310	0.241	0.256	0.064	4.000	3.000	207.000	158.143	542.747	133.753	117.538	130.700	110.289	8.887	0.092	0.130	0.065	4.000	3.000	161.733	134.422	542.747	134.034	121.333	129.769	113.362	11.006	0.000	0.000	0.000	16.000	3.000	243.160	202.614	543.836	185.750	169.867	178.417	160.923	0.898	0.084	0.126	-0.018	31.000	3.000	224.815	200.159	500.133	192.698	178.971	196.500	166.575	0.947	0.293	0.200	-0.136	50.000	3.000	181.536	156.552	502.805	161.135	140.714	152.833	129.856	2.380	0.146	-0.277	-0.482	67.000	3.000	203.323	180.622	518.297	166.669	149.571	156.350	136.410	1.724	0.130	-0.064	-0.203	72.000	3.000	140.150	132.966	522.035	135.549	134.481	143.278	122.947	1.391	-0.168	-0.064	0.128	82.000	3.000	289.036	211.551	526.869	189.303	148.357	157.722	132.340	2.479	0.157	0.121	-0.060	85.000	3.000	190.250	146.777	530.916	162.050	162.050	174.688	136.590	0.419	-0.074	-0.054	0.108	94.000	3.000	256.606	171.255	527.079	190.449	180.034	208.357	147.863	0.760	0.065	0.198	0.198	101.000	3.000	180.870	177.266	539.336	174.368	172.815	184.308	163.797	2.000	0.046	0.079	-0.615
4.000	5.000	4.000	182.536	169.489	542.195	152.837	140.077	148.895	126.320	1.752	-0.184	0.000	0.275	5.000	4.000	175.207	158.551	542.195	137.720	123.762	131.167	119.075	4.872	-0.360	-0.056	0.268	5.000	4.000	203.040	163.422	542.195	150.848	131.233	143.400	118.567	4.329	0.019	0.139	0.139	5.000	4.000	216.852	154.738	542.195	137.233	119.810	127.455	111.390	9.082	0.195	0.065	-0.130	5.000	4.000	152.233	132.612	542.195	129.484	122.538	136.625	113.566	10.600	-0.406	-0.090	0.288	17.000	4.000	252.655	220.270	539.278	183.706	160.500	175.500	153.014	1.239	0.341	0.130	-0.143	32.000	4.000	212.793	193.911	496.809	191.520	183.156	197.389	169.200	0.890	-0.057	0.065	0.065	51.000	4.000	192.968	157.960	503.430	160.860	137.571	148.812	126.436	2.537	0.157	-0.104	-0.195	68.000	4.000	201.533	170.905	523.494	164.189	142.679	151.111	133.193	1.705	-0.019	0.000	0.000	73.000	4.000	134.500	122.596	517.198	129.267	129.267	138.700	120.362	0.430	-0.961	0.046	0.873	83.000	4.000	303.667	207.866	535.030	188.098	148.033	155.905	135.993	2.498	0.019	0.000	0.022	86.000	4.000	180.750	144.788	527.720	151.200	151.200	179.600	137.286	0.373	-0.046	0.054	0.054	95.000	4.000	208.174	159.292	528.845	167.056	162.222	180.286	142.254	0.560	-0.201	0.234	0.323	102.000	4.000	192.545	185.764	534.273	178.157	168.458	184.417	164.125	2.168	0.168	0.064	0.618
5.000	6.000	5.000	176.280	162.262	538.412	147.236	137.345	146.688	127.162	1.431	-0.322	0.000	0.231	6.000	5.000	169.857	152.614	538.412	135.088	122.652	128.750	116.338	4.761	-0.111	0.056	0.178	6.000	5.000	189.640	159.000	538.412	149.910	136.100	149.333	119.228	4.237	-0.092	0.129	0.203	6.000	5.000	198.966	142.725	538.412	134.124	129.538	149.167	115.297	8.126	-0.956	-0.454	0.454	6.000	5.000	159.800	132.090	538.412	130.962	124.478	135.286	115.113	10.757	0.157	-0.144	-0.288	18.000	5.000	252.786	217.822	537.280	183.290	158.548	167.500	149.180	1.442	0.203	0.091	-0.053	33.000	5.000	248.429	210.354	501.595	201.786	175.920	190.200	168.657	1.383	0.493	0.137	-0.321	52.000	5.000	186.724	161.758	506.780	154.614	131.667	142.250	128.521	2.548	0.011	-0.155	-0.168	69.000	5.000	207.000	177.482	522.797	169.698	143.929	154.211	133.062	1.946	0.241	0.000	-0.193	74.000	5.000	151.500	139.452	522.982	137.496	136.000	144.615	123.767	1.578	1.148	-0.070	-1.430	84.000	5.000	308.879	206.028	530.346	199.281	151.172	162.048	137.250	2.341	-0.157	-0.034	0.060	87.000	5.000	175.684	145.024	530.882	147.720	147.000	164.364	134.425	0.441	0.069	0.087	0.029	96.000	5.000	238.286	175.674	530.745	168.742	150.885	163.056	141.476	0.879	0.320	0.126	-0.198	103.000	5.000	205.471	181.821	533.179	177.976	168.519	179.533	161.715	2.409	0.241	0.076	-0.791
6.000	7.000	6.000	204.963	173.400	540.044	156.392	141.520	154.800	126.259	1.752	0.322	0.000	-0.230	7.000	6.000	194.367	170.256	540.044	141.150	123.818	130.143	117.405	4.956	0.195	-0.089	-0.290	7.000	6.000	171.043	152.060	540.044	145.207	132.467	144.000	119.582	4.302	0.065	0.322	0.202	7.000	6.000	213.355	150.505	540.044	136.143	126.250	138.545	115.039	8.183	0.057	-0.194	-0.196	7.000	6.000	156.133	134.711	540.044	133.181	123.083	126.615	113.282	10.554	-0.203	-0.090	0.090	19.000	6.000	253.185	223.026	540.448	181.451	155.100	165.150	144.554	1.580	0.138	0.130	-0.052	34.000	6.000	212.862	201.515	493.100	188.730	177.677	194.350	173.154	0.890	-0.493	-0.129	0.323	53.000	6.000	200.742	164.265	504.834	157.948	135.400	150.000	125.719	2.789	0.241	-0.002	-0.233	70.000	6.000	188.600	163.060	521.215	164.812	138.607	145.409	134.000	1.705	-0.241	0.000	0.192	75.000	6.000	155.750	139.267	521.889	136.912	133.750	143.071	126.020	1.624	0.046	0.065	0.000	85.000	6.000	335.595	234.819	530.916	211.817	154.767	167.833	141.641	2.368	0.027	-0.145	-0.086	88.000	6.000	168.850	150.048	531.896	146.316	141.593	164.400	134.952	0.492	0.051	0.058	-0.087	97.000	6.000	227.591	175.182	523.650	159.101	144.185	154.538	132.580	1.009	0.130	0.233	0.058	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000	8.000	7.000	191.148	174.079	541.782	158.296	143.714	156.308	130.707	1.634	-0.119	0.000	0.136	8.000	7.000	192.750	171.922	541.782	138.790	125.320	128.682	118.768	4.864	-0.092	0.000	0.088	8.000	7.000	165.240	147.436	541.782	145.865	137.286	147.529	120.401	4.229	-0.073	0.064	0.129	8.000	7.000	202.000	148.729	541.782	136.813	124.852	136.188	113.309	8.034	-0.149	0.000	0.065	8.000	7.000	164.677	137.299	541.782	133.797	120.625	126.111	113.866	10.749	0.195	-0.036	-0.198	20.000	7.000	278.719	232.377	540.751	186.089	151.759	158.750	143.336	1.829	0.249	0.039	-0.196	35.000	7.000	204.517	188.874	497.073	186.403	177.935	187.478	166.115	0.844	-0.046	0.000	0.065	54.000	7.000	190.852	156.359	505.709	152.823	134.654	143.158	125.703	2.422	-0.368	-0.086	0.258	71.000	7.000	194.185	170.494	520.572	165.755	143.714	158.750	133.179	1.586	-0.119	-0.065	0.012	76.000	7.000	141.636	129.371	519.340	131.846	132.000	139.333	123.822	0.622	-1.002	0.023	0.974	86.000	7.000	329.316	234.761	527.720	216.115	154.781	167.333	142.600	2.387	0.019	-0.059	-0.059	89.000	7.000	167.650	143.464	530.242	145.929	140.115	151.375	130.664	0.557	0.065	0.179	0.119	98.000	7.000	240.923	175.462	527.390	163.099	145.741	158.385	132.510	1.147	0.138	0.057	-0.031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.000	9.000	8.000	186.750	169.010	542.607	155.571	144.370	152.316	130.055	1.477	-0.157	0.000	0.138	9.000	8.000	184.586	167.126	542.607	138.192	124.955	128.158	118.570	4.680	-0.184	0.000	0.176	9.000	8.000	154.115	142.547	542.607	144.826	133.036	141.294	118.155	4.394	0.165	0.267	0.193	9.000	8.000	201.759	148.114	542.607	137.755	123.000	132.800	114.173	8.015	-0.019	0.000	0.000	9.000	8.000	156.562	133.588	542.607	132.213	119.083	124.600	114.040	10.232	-0.517	-0.234	0.288	21.000	8.000	260.552	231.932	544.902	180.190	148.071	164.786	139.085	1.928	0.100	0.144	-0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	8.000	217.679	185.141	509.673	160.441	143.214	161.000	126.517	2.708	0.287	-0.111	-0.375	72.000	8.000	184.429	164.000	522.035	162.135	144.071	152.059	133.898	1.475	-0.111	-0.065	0.065	77.000	8.000	164.739	141.011	524.739	138.162	128.609	139.308	124.786	1.716	1.094	-0.003	-1.102	87.000	8.000	331.316	251.943	530.882	220.302	160.667	178.300	149.056	2.322	-0.065	-0.205	-0.120	90.000	8.000	170.636	142.133	535.152	143.239	136.652	145.812	128.538	0.649	0.092	0.160	0.099	99.000	8.000	255.034	184.891	527.774	168.655	140.222	147.571	131.779	1.396	0.249	0.087	-0.116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.000	10.000	9.000	218.931	187.000	544.803	160.064	140.778	151.267	132.317	1.634	0.157	-0.092	-0.231	10.000	9.000	203.107	176.656	544.803	139.245	123.920	131.625	117.189	4.967	0.287	0.089	-0.177	10.000	9.000	165.759	144.856	544.803	144.051	130.000	141.071	117.695	4.700	0.306	0.193	-0.010	10.000	9.000	219.000	146.196	544.803	137.057	121.655	128.850	113.730	8.012	-0.003	-0.065	0.065	10.000	9.000	156.067	135.046	544.803	133.783	121.958	128.769	113.344	10.335	0.103	-0.090	-0.198	22.000	9.000	275.455	243.585	543.969	184.613	146.148	156.300	140.420	2.112	0.184	-0.000	-0.131	37.000	9.000	230.828	209.507	500.839	195.364	177.062	193.857	167.268	1.426	1.426	0.000	0.000	56.000	9.000	235.769	195.049	511.109	161.972	144.323	165.300	131.291	2.708	0.000	-0.116	-0.116	73.000	9.000	199.107	174.459	517.198	164.844	142.593	147.696	133.493	1.716	0.241	0.000	-0.259	78.000	9.000	156.808	143.511	526.419	140.371	130.625	140.778	122.293	1.643	-0.073	-0.065	-0.005	88.000	9.000	318.000	235.786	531.896	208.181	167.294	182.222	154.725	1.989	-0.333	-0.109	0.180	91.000	9.000	164.474	139.850	529.623	140.878	138.269	145.333	128.544	0.531	-0.119	0.125	0.205	100.000	9.000	271.812	188.010	533.257	175.260	136.778	145.667	130.453	1.729	0.333	0.145	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
