T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	14.950	8.255	664.250	273.895	113.090	144.181
2.000	14.950	8.255	640.791	264.816	112.322	141.489
3.000	14.950	8.190	638.154	264.869	112.319	141.156
4.000	14.950	8.255	637.341	261.502	112.196	140.801
5.000	14.885	8.255	641.502	259.244	112.361	141.275
6.000	14.885	8.255	634.221	262.576	112.223	140.607
7.000	14.885	8.385	629.542	260.658	112.120	140.233
8.000	14.885	8.580	631.146	259.332	112.234	140.691
9.000	14.820	8.645	627.408	260.774	112.284	140.677
10.000	14.755	8.580	631.092	257.749	112.281	140.789
11.000	14.690	8.580	634.217	257.482	112.262	140.621
12.000	14.625	8.515	638.314	252.580	112.227	140.291
13.000	14.625	8.385	631.228	254.950	112.230	140.282
14.000	14.625	8.255	628.981	258.035	112.266	140.098
15.000	14.690	8.320	639.522	249.520	112.392	140.701
16.000	14.690	8.255	628.687	252.338	112.343	140.383
17.000	14.625	8.255	632.952	254.982	112.375	140.482
18.000	14.560	8.255	635.962	251.778	112.402	140.551
19.000	14.625	8.255	639.347	251.685	112.531	140.789
20.000	14.560	8.255	649.635	250.050	112.429	140.508
21.000	14.755	8.255	650.589	249.003	112.446	140.656
22.000	14.690	8.320	651.319	250.096	112.619	141.031
23.000	14.885	8.320	657.123	250.449	112.642	141.177
24.000	14.885	8.255	661.226	248.816	112.654	140.909
25.000	14.820	8.255	661.182	246.915	112.684	140.995
26.000	14.885	8.255	666.672	249.048	112.725	141.248
27.000	14.820	8.320	663.424	254.607	112.714	140.956
28.000	14.885	8.320	662.412	254.953	112.671	141.241
29.000	14.820	8.255	664.229	254.818	112.627	141.223
30.000	14.820	8.190	661.978	252.437	112.793	141.929
31.000	14.885	8.190	662.793	254.469	112.732	141.754
32.000	14.820	8.125	667.077	253.410	112.817	141.772
33.000	14.755	8.125	658.676	255.604	112.845	141.574
34.000	14.690	8.190	659.663	255.101	112.863	141.951
35.000	14.755	8.320	659.633	256.948	112.922	142.341
36.000	14.820	8.320	654.788	257.599	112.858	142.660
37.000	14.885	8.320	657.923	260.962	112.856	142.448
38.000	14.820	8.255	652.169	262.173	112.814	142.405
39.000	14.885	8.190	650.884	261.943	112.812	142.320
40.000	14.820	8.190	649.388	260.968	112.811	142.231
41.000	14.885	8.190	643.875	264.827	112.795	141.858
42.000	14.885	8.385	648.195	259.579	112.954	142.080
43.000	14.885	8.320	647.093	257.517	113.079	142.271
44.000	14.885	8.320	646.943	261.023	113.145	141.988
45.000	14.885	8.320	645.466	259.986	113.193	142.156
46.000	14.885	8.255	646.842	261.241	113.031	141.612
47.000	14.820	8.775	645.804	264.255	113.074	141.992
48.000	14.885	8.840	653.418	257.048	113.033	141.752
49.000	14.950	9.555	649.621	257.462	113.015	141.737
50.000	14.885	9.685	652.039	257.112	113.072	141.895
51.000	14.885	9.685	655.684	255.514	112.959	141.401
52.000	14.885	9.620	655.946	252.442	112.928	141.266
53.000	14.885	9.685	657.586	252.699	113.026	141.505
54.000	14.885	9.685	655.433	250.687	112.968	141.192
55.000	14.885	9.620	661.300	250.199	113.001	141.427
56.000	14.885	9.490	661.734	248.929	113.012	141.459
57.000	14.820	9.425	667.844	250.955	113.014	141.472
58.000	14.885	9.360	665.566	248.460	113.069	141.611
59.000	14.885	9.295	666.696	248.207	113.125	141.772
60.000	14.820	9.295	664.610	243.522	113.117	141.852
61.000	14.885	9.230	661.753	248.961	113.239	142.164
62.000	14.950	9.230	663.190	246.845	113.228	142.192
63.000	14.885	9.230	664.365	244.859	113.247	142.282
64.000	14.885	9.230	666.605	243.973	113.324	142.180
65.000	14.950	9.165	668.200	244.633	113.260	142.122
66.000	14.950	9.165	666.282	248.381	113.261	141.762
67.000	14.950	9.165	668.696	248.763	113.329	141.981
68.000	14.950	9.165	667.727	244.208	113.240	141.915
69.000	14.950	9.425	659.515	245.772	113.270	141.691
70.000	14.885	9.490	662.656	246.656	113.364	141.886
71.000	14.885	9.425	666.275	242.169	113.428	142.159
72.000	14.885	9.425	664.030	242.841	113.362	141.893
73.000	14.950	9.360	664.656	240.076	113.428	142.625
74.000	14.625	9.360	518.151	304.432	112.762	142.107
75.000	14.820	9.425	659.192	238.227	113.546	143.696
76.000	14.820	9.425	657.407	236.942	113.614	143.748
77.000	14.885	9.425	659.430	236.862	113.629	144.001
78.000	14.885	9.425	655.009	236.285	113.637	144.080
79.000	14.820	9.490	654.361	234.746	113.630	144.301
80.000	14.820	9.620	654.318	233.733	113.691	144.427
81.000	14.755	9.750	659.877	230.736	113.640	144.225
82.000	14.820	10.140	655.989	230.205	113.521	144.106
83.000	14.755	10.075	652.558	229.647	113.579	144.187
84.000	14.820	10.140	649.404	232.589	113.464	143.776
85.000	14.755	10.010	658.410	228.593	113.644	144.331
86.000	14.625	10.140	655.919	228.464	113.552	143.734
87.000	14.690	11.310	648.277	233.601	113.503	143.447
88.000	14.820	10.400	650.487	228.257	113.640	143.949
89.000	14.885	11.310	645.440	234.227	113.535	143.325
90.000	14.885	10.140	653.970	228.856	113.648	143.813
91.000	14.950	10.270	649.807	229.763	113.651	143.675
92.000	14.950	10.205	652.874	230.190	113.695	143.663
93.000	14.885	10.205	650.013	228.066	113.736	143.958
94.000	14.820	10.205	652.748	229.290	113.758	144.062
95.000	14.885	10.205	658.115	226.988	113.798	143.837
96.000	14.885	10.010	657.357	226.271	113.769	143.438
97.000	14.950	10.920	650.253	229.161	113.786	143.465
98.000	14.950	10.075	657.776	227.152	113.646	142.825
99.000	14.950	10.010	655.285	230.815	113.770	143.265
100.000	14.950	10.725	655.923	234.341	113.794	143.155
101.000	14.885	10.790	653.221	234.136	113.779	143.031
102.000	14.885	10.660	649.313	231.670	113.774	143.033
103.000	14.885	10.660	649.870	233.963	113.774	143.170
104.000	14.885	10.530	649.744	233.104	113.751	143.220
105.000	14.885	10.530	647.762	232.579	113.700	143.536
106.000	14.885	10.400	650.252	231.455	113.656	143.776
107.000	14.885	10.465	651.112	230.826	113.711	143.888
108.000	14.820	10.400	647.881	226.552	113.734	144.129
109.000	14.820	10.270	651.632	223.545	113.707	143.966
110.000	14.820	10.270	648.957	222.276	113.596	143.684
111.000	14.950	10.335	643.226	225.274	113.503	143.420
