 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)
1	0.000	1.000	19.305	10.595	26.780	11.050	4.944	7.489	6.800	33.618	NaN	NaN	NaN	1.000	11.700	11.830	7.540	13.390	4.831	4.443	3.953	19.097	NaN	NaN	NaN	1.000	12.675	12.740	9.295	17.940	5.029	6.202	6.167	31.012	NaN	NaN	NaN	1.000	17.940	16.315	21.255	22.620	8.597	7.123	7.064	60.730	NaN	NaN	NaN	1.000	24.050	16.185	37.830	24.960	12.070	16.337	16.154	194.984	NaN	NaN	NaN	77.000	21.125	16.965	21.515	17.225	9.787	0.469	0.449	4.394	NaN	NaN	NaN	86.000	18.460	20.085	18.200	20.670	10.659	0.640	0.452	4.821	NaN	NaN	NaN
2	1.000	2.000	19.500	10.660	26.845	11.050	5.147	7.355	6.676	34.358	-0.124	0.065	0.198	2.000	11.570	11.960	7.540	13.390	5.015	4.276	3.773	18.920	-0.180	NaN	0.166	2.000	12.480	12.935	9.360	17.940	5.292	5.898	5.883	31.130	-0.284	-0.034	0.269	2.000	17.810	15.990	21.255	22.620	8.247	7.472	7.413	61.136	0.349	NaN	-0.348	2.000	24.115	16.250	37.830	24.960	12.162	16.247	16.061	195.334	-0.093	NaN	0.090	78.000	21.190	16.965	21.905	17.420	9.829	0.847	0.808	7.939	0.359	0.434	0.055	87.000	18.915	19.435	18.070	21.255	9.158	2.007	1.225	11.217	0.773	0.585	-0.781
3	2.000	3.000	20.670	10.725	26.910	11.050	6.257	6.248	5.837	36.517	-0.839	0.065	1.172	3.000	11.570	12.025	7.540	13.390	5.112	4.255	3.689	18.856	-0.084	NaN	0.021	3.000	12.480	13.065	9.360	17.940	5.465	5.788	5.759	31.472	-0.124	NaN	0.109	3.000	17.745	15.990	21.320	22.815	8.286	7.705	7.631	63.227	0.218	0.203	-0.030	3.000	24.050	16.185	37.830	24.895	12.113	16.302	16.101	195.034	0.040	-0.035	-0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	18.980	19.370	17.940	21.580	9.888	2.442	1.567	15.497	0.342	0.349	-0.086
4	3.000	4.000	19.305	10.725	27.170	11.115	5.007	7.875	7.034	35.215	1.197	0.263	-1.363	4.000	11.635	12.025	7.540	13.390	5.020	4.317	3.729	18.721	0.040	NaN	-0.062	4.000	12.285	13.260	9.360	17.940	5.670	5.519	5.506	31.219	-0.253	NaN	0.269	4.000	17.745	16.055	21.385	22.880	8.286	7.735	7.653	63.409	0.022	0.088	0.057	4.000	24.115	16.250	37.830	24.895	12.162	16.212	16.018	194.815	-0.083	NaN	0.090	80.000	21.190	16.835	22.685	17.680	9.625	1.717	1.623	15.620	1.623	NaN	NaN	89.000	18.915	19.630	18.005	22.035	9.245	2.571	1.768	16.342	0.200	0.403	0.266
5	4.000	5.000	19.110	10.855	27.430	11.115	4.961	8.324	7.222	35.828	0.188	0.260	-0.191	5.000	11.570	12.090	7.605	13.390	5.069	4.173	3.576	18.129	-0.153	-0.062	0.082	5.000	12.220	13.455	9.360	17.940	5.843	5.319	5.296	30.944	-0.210	NaN	0.199	5.000	17.810	16.120	21.450	23.075	8.391	7.850	7.788	65.348	0.135	0.203	0.088	5.000	23.985	16.250	37.830	24.895	12.113	16.322	16.107	195.106	0.089	NaN	-0.110	81.000	21.125	16.705	23.075	17.940	9.431	2.308	2.228	21.011	0.605	0.469	-0.124	90.000	18.915	19.695	17.940	22.360	10.370	2.838	2.077	21.535	0.309	0.328	0.061
6	5.000	6.000	19.110	10.855	27.755	11.115	4.961	8.649	7.499	37.201	0.277	0.325	NaN	6.000	11.635	12.025	7.540	13.390	4.977	4.317	3.708	18.455	0.131	0.062	-0.082	6.000	12.285	13.390	9.360	18.005	5.756	5.464	5.439	31.303	0.143	0.055	-0.090	6.000	17.810	16.315	21.580	23.270	8.574	7.911	7.824	67.085	0.036	0.233	0.171	6.000	23.985	16.185	37.830	24.895	12.070	16.357	16.160	195.060	0.053	NaN	-0.035	82.000	21.060	16.705	22.945	18.135	9.057	2.366	2.335	21.150	0.107	0.014	-0.052	91.000	18.850	19.760	17.875	22.685	10.260	3.083	2.335	23.956	0.258	0.329	0.082
7	6.000	7.000	19.695	10.920	27.820	11.050	5.437	8.126	7.248	39.411	-0.250	0.064	0.586	7.000	11.570	12.025	7.540	13.390	4.923	4.255	3.723	18.328	0.015	NaN	0.062	7.000	12.285	13.520	9.360	18.005	5.756	5.355	5.323	30.635	-0.116	NaN	0.109	7.000	17.875	16.510	21.515	23.335	8.658	7.735	7.662	66.337	-0.162	0.027	0.203	7.000	23.985	16.185	37.765	24.960	11.985	16.337	16.173	193.843	0.013	-0.020	NaN	83.000	21.060	16.770	22.555	18.135	9.197	2.024	2.019	18.565	-0.316	-0.288	0.044	92.000	18.850	19.630	17.745	22.945	10.200	3.494	2.641	26.934	0.306	0.288	-0.123
8	7.000	8.000	19.695	10.985	28.015	11.050	5.378	8.320	7.471	40.176	0.222	0.195	5.078E-4	8.000	11.700	12.025	7.540	13.390	4.692	4.378	3.826	17.952	0.104	NaN	-0.124	8.000	12.285	13.520	9.490	17.875	5.582	5.175	5.156	28.781	-0.167	-0.180	NaN	8.000	18.005	16.900	21.515	23.335	8.886	7.330	7.258	64.490	-0.404	NaN	0.405	8.000	23.985	16.315	37.765	24.960	11.943	16.267	16.098	192.267	-0.075	NaN	0.069	84.000	21.450	17.680	21.645	17.745	10.040	0.206	0.178	1.783	-1.841	-0.987	0.658	93.000	18.915	19.630	17.680	23.140	10.250	3.721	2.742	28.105	0.101	0.206	-0.022
9	8.000	9.000	19.240	11.115	28.145	11.050	5.063	8.905	7.742	39.200	0.271	0.130	-0.456	9.000	11.115	12.090	7.540	13.390	5.059	3.804	3.503	17.724	-0.323	NaN	0.572	9.000	12.350	13.650	9.490	17.875	5.581	5.102	5.054	28.210	-0.101	NaN	0.071	9.000	18.005	16.965	21.580	23.465	8.909	7.418	7.349	65.466	0.091	0.145	0.057	9.000	23.985	16.315	37.765	24.960	11.951	16.267	16.116	192.601	0.017	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	18.915	19.565	17.550	23.530	10.217	4.193	3.085	31.523	0.344	0.411	-0.061
10	9.000	10.000	19.110	11.180	28.275	11.050	5.072	9.166	7.803	39.576	0.061	0.130	-0.131	10.000	11.050	12.155	7.475	13.390	5.149	3.782	3.430	17.661	-0.073	0.061	0.083	10.000	12.350	13.585	9.490	17.875	5.553	5.156	5.105	28.350	0.051	NaN	-0.054	10.000	18.005	16.900	21.580	23.595	8.932	7.590	7.537	67.321	0.188	0.115	-0.057	10.000	23.920	16.250	37.960	24.895	11.951	16.488	16.315	194.984	0.199	0.132	-0.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	18.850	19.565	17.420	23.855	10.165	4.522	3.392	34.484	0.307	0.349	0.021
