dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)
0.000	1.000	0.000	243.548	183.991	664.250	183.608	130.308	139.000	114.904	7.950	0.000	NaN	NaN	1.000	0.000	251.929	155.580	664.250	172.672	139.393	156.000	114.651	5.012	0.000	NaN	NaN	1.000	0.000	263.897	139.511	664.250	166.975	132.724	147.824	106.163	6.909	0.000	NaN	NaN	1.000	0.000	271.704	198.968	664.250	168.978	130.667	139.200	146.264	7.857	0.000	NaN	NaN	1.000	0.000	257.833	159.719	664.250	168.233	161.429	173.381	140.145	17.974	0.000	NaN	NaN	77.000	0.000	284.265	173.631	659.430	227.383	214.750	264.389	147.891	0.871	0.871	NaN	NaN	86.000	0.000	189.115	150.686	655.919	166.940	157.767	172.450	129.750	0.936	0.936	NaN	NaN
1.000	2.000	1.000	228.129	178.133	640.791	178.795	134.625	147.778	113.627	7.801	-0.149	0.065	0.198	2.000	1.000	239.815	173.910	640.791	168.599	134.323	145.818	119.959	4.855	-0.157	-0.000	0.166	2.000	1.000	266.520	181.228	640.791	167.649	141.793	164.417	115.745	6.495	-0.414	-0.034	0.269	2.000	1.000	269.581	206.882	640.791	168.709	133.107	142.333	114.435	8.282	0.425	0.000	-0.348	2.000	1.000	249.867	168.670	640.791	164.357	156.771	174.312	120.064	17.955	-0.019	0.000	0.090	78.000	1.000	313.188	187.670	655.009	237.330	208.629	251.071	144.146	1.193	0.322	0.434	0.055	87.000	1.000	261.387	183.311	648.277	195.228	159.571	171.000	123.243	2.376	1.439	0.585	-0.781
2.000	3.000	2.000	211.871	155.035	638.154	168.824	134.833	143.500	115.800	6.669	-1.132	0.065	1.172	3.000	2.000	260.840	182.600	638.154	170.632	138.571	153.857	120.140	4.774	-0.081	-0.000	0.021	3.000	2.000	257.107	181.740	638.154	161.420	135.138	147.941	117.510	6.346	-0.149	-0.000	0.109	3.000	2.000	271.968	201.820	638.154	168.498	134.667	147.250	110.738	8.484	0.203	0.203	-0.030	3.000	2.000	242.700	163.714	638.154	165.159	159.265	170.647	118.588	18.039	0.084	-0.035	-0.090	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88.000	2.000	282.281	190.494	650.487	199.042	159.067	180.923	120.260	2.865	0.490	0.349	-0.086
3.000	4.000	3.000	235.226	181.835	637.341	174.914	137.778	141.115	112.253	8.375	1.706	0.263	-1.363	4.000	3.000	272.231	195.393	637.341	173.207	145.750	157.944	119.621	4.866	0.092	-0.000	-0.062	4.000	3.000	249.889	176.280	637.341	160.744	130.586	143.133	115.791	6.097	-0.249	-0.000	0.269	4.000	3.000	266.806	189.988	637.341	164.048	141.179	151.895	112.500	8.530	0.046	0.088	0.057	4.000	3.000	251.321	164.670	637.341	162.175	156.147	171.000	119.922	17.909	-0.130	0.000	0.090	80.000	3.000	323.647	209.354	654.318	251.181	176.281	201.118	135.671	2.142	2.142	0.000	0.000	89.000	3.000	261.655	188.267	645.440	188.036	145.966	158.947	121.386	2.961	0.095	0.403	0.266
4.000	5.000	4.000	258.677	198.518	641.502	176.146	133.067	139.526	110.523	8.814	0.439	0.260	-0.191	5.000	4.000	270.828	188.518	641.502	172.744	143.536	162.500	121.427	4.736	-0.130	-0.062	0.082	5.000	4.000	259.897	169.860	641.502	162.359	133.893	145.333	114.524	5.940	-0.157	-0.000	0.199	5.000	4.000	258.037	190.988	641.502	162.553	139.310	150.000	113.034	8.641	0.111	0.203	0.088	5.000	4.000	248.719	159.890	641.502	164.080	157.469	169.952	117.722	17.993	0.084	0.000	-0.110	81.000	4.000	309.735	223.479	659.877	236.312	166.867	195.750	131.643	2.751	0.609	0.469	-0.124	90.000	4.000	267.103	183.966	653.970	189.580	147.964	171.333	118.393	3.228	0.268	0.328	0.061
5.000	6.000	5.000	265.871	194.370	634.221	174.989	133.741	139.947	111.268	9.101	0.287	0.325	0.000	6.000	5.000	261.552	200.310	634.221	172.741	140.643	156.250	120.007	4.893	0.157	0.062	-0.082	6.000	5.000	265.704	191.488	634.221	164.046	135.414	151.923	114.621	6.005	0.065	0.055	-0.090	6.000	5.000	254.769	176.295	634.221	159.722	139.143	152.529	111.919	8.649	0.008	0.233	0.171	6.000	5.000	259.967	166.473	634.221	165.998	151.969	169.200	119.285	18.012	0.019	0.000	-0.035	82.000	5.000	323.182	220.466	655.989	225.589	160.351	185.600	136.933	2.832	0.081	0.014	-0.052	91.000	5.000	262.893	186.484	649.807	185.218	148.179	162.562	118.634	3.488	0.260	0.329	0.082
6.000	7.000	6.000	224.226	174.272	629.542	173.507	139.185	153.333	114.060	8.627	-0.474	0.064	0.586	7.000	6.000	272.000	188.476	629.542	179.280	141.679	158.125	119.479	4.847	-0.046	-0.000	0.062	7.000	6.000	261.258	175.510	629.542	163.892	132.667	149.154	115.781	5.921	-0.084	-0.000	0.109	7.000	6.000	247.846	169.693	629.542	158.514	142.500	149.875	115.497	8.465	-0.184	0.027	0.203	7.000	6.000	249.567	164.614	629.542	165.362	159.457	175.941	118.866	17.912	-0.100	-0.020	0.000	83.000	6.000	298.531	223.561	652.558	221.876	165.300	182.167	159.598	2.629	-0.203	-0.288	0.044	92.000	6.000	264.032	189.700	652.874	181.540	140.643	154.812	116.257	3.959	0.471	0.288	-0.123
7.000	8.000	7.000	234.032	176.777	631.146	173.140	133.077	141.188	112.793	8.902	0.276	0.195	5.078E-4	8.000	7.000	305.893	204.500	631.146	191.247	143.556	162.875	119.860	4.912	0.065	-0.000	-0.124	8.000	7.000	262.103	189.330	631.146	170.976	137.393	155.154	118.329	5.718	-0.203	-0.180	-0.000	8.000	7.000	248.130	157.547	631.146	157.807	139.667	158.000	115.980	7.976	-0.490	0.000	0.405	8.000	7.000	264.276	169.307	631.146	166.701	157.088	174.944	118.903	17.839	-0.073	0.000	0.069	84.000	7.000	201.893	220.061	649.404	184.857	184.273	199.333	219.660	0.494	-2.135	-0.987	0.658	93.000	7.000	264.645	189.264	650.013	180.370	148.786	161.550	116.911	4.246	0.287	0.206	-0.022
8.000	9.000	8.000	273.931	206.747	627.408	176.951	140.654	150.923	113.460	9.442	0.539	0.130	-0.456	9.000	8.000	249.741	175.863	627.408	177.587	140.321	150.667	122.603	4.319	-0.593	-0.000	0.572	9.000	8.000	266.793	185.223	627.408	171.729	135.893	150.071	116.607	5.634	-0.084	-0.000	0.071	9.000	8.000	290.600	164.225	627.408	168.361	155.500	165.591	112.660	8.178	0.203	0.145	0.057	9.000	8.000	253.033	169.063	627.408	165.163	158.472	169.957	119.449	17.885	0.046	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94.000	8.000	281.062	187.773	652.748	182.531	149.276	162.059	114.027	4.728	0.482	0.411	-0.061
9.000	10.000	9.000	292.000	214.346	631.092	178.369	134.115	141.812	114.947	9.694	0.252	0.130	-0.131	10.000	9.000	257.462	176.429	631.092	172.710	139.906	162.300	120.248	4.319	0.000	0.061	0.083	10.000	9.000	271.970	193.417	631.092	173.229	130.321	141.611	117.671	5.726	0.092	-0.000	-0.054	10.000	9.000	298.806	195.656	631.092	175.778	143.893	158.389	116.357	8.400	0.222	0.115	-0.057	10.000	9.000	260.000	170.881	631.092	164.965	151.774	165.235	117.816	18.126	0.241	0.132	-0.089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	9.000	285.621	191.988	658.115	183.385	150.871	169.647	115.073	5.015	0.287	0.349	0.021
