 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)
1	0.000	1.000	26.975	6.630	32.695	10.335	4.704	6.815	4.895	23.026	NaN	NaN	NaN	1.000	23.270	10.270	25.610	20.215	2.878	10.217	10.175	29.279	NaN	NaN	NaN	6.000	27.170	11.765	30.420	14.365	8.417	4.162	4.151	34.941	NaN	NaN	NaN
2	1.000	2.000	26.975	6.630	32.890	10.530	4.717	7.085	4.981	23.495	0.086	0.270	NaN	2.000	23.400	10.790	25.610	20.475	3.350	9.934	9.893	33.145	-0.282	0.253	0.536	7.000	27.105	11.700	30.485	14.495	8.370	4.386	4.378	36.639	0.227	0.133	-0.092
3	2.000	3.000	26.910	6.565	33.150	10.790	4.653	7.536	5.216	24.273	0.235	0.361	-0.090	3.000	23.530	11.180	25.675	20.670	3.823	9.729	9.691	37.053	-0.201	0.205	0.409	8.000	24.895	9.815	31.070	15.080	5.794	8.115	8.065	46.729	3.687	0.825	-2.905
4	3.000	4.000	26.975	6.630	33.410	10.985	4.564	7.770	5.517	25.181	0.301	0.325	0.090	4.000	23.725	11.440	25.675	20.995	4.153	9.752	9.703	40.294	0.011	0.318	0.294	9.000	29.965	14.235	31.265	15.145	10.258	1.587	1.573	16.131	-6.492	0.197	6.688
5	4.000	5.000	26.975	6.630	33.605	11.115	4.616	8.005	5.777	26.668	0.259	0.234	NaN	5.000	23.725	11.505	25.675	21.320	4.296	10.007	9.945	42.727	0.242	0.319	0.064	10.000	29.900	14.170	31.135	15.080	10.258	1.534	1.525	15.641	-0.048	-0.143	-0.091
6	5.000	6.000	27.105	6.695	33.865	11.310	6.144	8.185	7.210	44.303	1.433	0.325	0.144	6.000	23.725	11.570	25.805	21.580	6.163	10.224	9.896	60.984	-0.049	0.281	0.064	11.000	29.900	14.170	31.135	15.015	10.210	1.496	1.480	15.109	-0.045	-0.037	NaN
7	6.000	7.000	26.975	6.630	34.060	11.440	6.015	8.563	7.563	45.495	0.353	0.234	-0.144	7.000	23.595	11.245	26.000	21.905	5.872	10.928	10.623	62.378	0.727	0.360	-0.346	12.000	27.495	12.025	31.005	15.080	8.553	4.653	4.650	39.774	3.170	-0.055	-3.222
8	7.000	8.000	27.105	6.630	34.320	11.635	6.262	8.781	7.946	49.758	0.383	0.325	0.107	8.000	23.660	11.050	26.000	22.100	6.104	11.295	10.930	66.721	0.307	0.191	-0.177	13.000	27.170	11.700	31.070	15.015	8.417	5.119	5.114	43.044	0.464	0.007	-0.458
9	8.000	9.000	26.910	6.500	34.580	11.830	4.552	9.340	6.643	30.243	-1.303	0.325	-0.234	9.000	23.595	10.985	26.065	22.165	3.885	11.450	11.405	44.312	0.475	0.077	-0.077	14.000	27.365	11.895	31.070	14.950	8.553	4.802	4.792	40.991	-0.321	-0.041	0.275
10	9.000	10.000	26.975	6.500	34.840	11.960	4.670	9.574	6.936	32.393	0.293	0.288	0.053	10.000	23.530	10.530	26.065	22.295	3.515	12.035	11.938	41.967	0.533	0.127	-0.458	15.000	25.220	10.010	30.875	14.885	6.162	7.466	7.426	45.757	2.634	-0.190	-2.855
