dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)
0.000	1.000	0.000	233.207	382.777	405.264	183.641	138.000	147.773	139.420	7.498	0.000	NaN	NaN	1.000	0.000	214.882	176.229	405.264	174.860	147.533	162.632	105.207	11.250	0.000	NaN	NaN	6.000	0.000	231.742	168.883	393.249	230.434	164.943	180.950	148.408	4.846	4.846	NaN	NaN
1.000	2.000	1.000	223.148	171.292	388.352	180.267	139.677	161.133	112.297	7.774	0.276	0.270	0.000	2.000	1.000	205.452	164.804	388.352	170.458	143.355	152.227	112.514	10.898	-0.352	0.253	0.536	7.000	1.000	230.091	170.362	395.769	228.533	155.346	165.667	146.185	5.049	0.203	0.133	-0.092
2.000	3.000	2.000	229.519	171.564	389.469	183.342	139.655	156.444	111.750	8.188	0.414	0.361	-0.090	3.000	2.000	194.129	160.000	389.469	171.830	142.467	159.071	110.283	10.668	-0.230	0.205	0.409	8.000	2.000	252.233	186.229	406.592	222.429	143.897	152.810	123.829	9.150	4.100	0.825	-2.905
3.000	4.000	3.000	221.296	166.068	386.716	180.218	141.276	160.231	109.937	8.437	0.249	0.325	0.090	4.000	3.000	192.074	154.146	386.716	169.471	142.719	153.700	110.903	10.549	-0.119	0.318	0.294	9.000	3.000	210.111	157.191	392.047	157.733	134.967	142.750	130.272	1.875	-7.275	0.197	6.688
4.000	5.000	4.000	222.519	165.898	384.304	179.434	142.900	166.455	111.743	8.685	0.249	0.234	0.000	5.000	4.000	200.517	155.160	384.304	172.154	150.375	157.269	110.767	10.882	0.333	0.319	0.064	10.000	4.000	223.111	155.811	392.190	163.559	140.679	151.000	133.312	1.810	-0.065	-0.143	-0.091
5.000	6.000	5.000	231.966	162.785	393.249	180.692	146.966	162.667	111.627	8.915	0.230	0.325	0.144	6.000	5.000	188.000	155.228	393.249	175.081	144.812	155.043	112.089	11.150	0.268	0.281	0.064	11.000	5.000	216.821	152.196	391.147	161.776	142.333	151.500	132.507	1.856	0.046	-0.037	0.000
6.000	7.000	6.000	233.345	172.121	395.769	177.025	148.400	163.273	113.298	9.367	0.452	0.234	-0.144	7.000	6.000	198.586	164.944	395.769	175.374	140.000	156.118	110.340	11.900	0.750	0.360	-0.346	12.000	6.000	231.590	168.991	395.945	208.586	139.633	153.833	134.212	5.363	3.508	-0.055	-3.222
7.000	8.000	7.000	214.750	165.646	406.592	177.842	142.839	159.429	111.211	9.578	0.211	0.325	0.107	8.000	7.000	209.429	170.736	406.592	174.716	141.235	162.800	111.993	12.317	0.417	0.191	-0.177	13.000	7.000	247.081	177.092	399.070	212.361	136.889	149.833	132.412	5.796	0.433	0.007	-0.458
8.000	9.000	8.000	221.750	174.880	392.047	177.867	146.172	163.923	111.177	10.159	0.582	0.325	-0.234	9.000	8.000	208.759	169.023	392.047	175.213	141.000	154.450	116.690	12.447	0.130	0.077	-0.077	14.000	8.000	240.871	170.239	404.439	210.125	139.484	152.385	131.208	5.363	-0.433	-0.041	0.275
9.000	10.000	9.000	228.344	169.156	392.190	179.413	141.900	157.062	112.510	10.397	0.238	0.288	0.053	10.000	9.000	219.929	184.986	392.190	174.863	141.321	153.579	113.370	13.002	0.555	0.127	-0.458	15.000	9.000	242.886	184.434	407.625	221.350	145.429	158.381	133.201	8.078	2.715	-0.190	-2.855
10.000	11.000	10.000	246.545	162.417	391.147	176.363	148.455	165.062	112.209	10.278	-0.119	0.215	0.342	11.000	10.000	211.484	168.065	391.147	176.318	141.656	153.174	115.195	12.814	-0.187	0.127	0.381	16.000	10.000	247.794	173.989	409.495	219.955	143.040	149.300	137.076	6.726	-1.352	0.000	1.332
11.000	12.000	11.000	232.000	170.621	395.945	174.845	143.581	160.318	114.137	10.484	0.206	0.129	-0.019	12.000	11.000	199.226	155.618	395.945	175.080	146.889	168.800	112.781	12.619	-0.195	0.205	0.380	17.000	11.000	247.219	174.612	408.651	213.778	146.444	153.792	137.730	5.195	-1.531	-0.281	1.155
12.000	13.000	12.000	242.405	178.175	399.070	177.173	150.794	173.938	117.074	11.085	0.601	0.075	-0.414	13.000	12.000	208.516	167.981	399.070	175.632	140.839	165.909	113.850	13.296	0.677	0.127	-0.458	18.000	12.000	247.312	174.945	405.910	213.122	145.344	156.471	133.500	5.279	0.084	0.044	0.000
13.000	14.000	13.000	229.583	171.833	404.439	179.728	148.400	163.318	116.664	11.077	-0.008	0.055	0.055	14.000	13.000	202.483	160.495	404.439	175.415	144.250	158.867	110.826	13.185	-0.111	0.268	0.268	19.000	13.000	253.750	169.440	407.662	212.600	147.207	155.684	137.220	5.022	-0.257	-0.140	0.092
14.000	15.000	14.000	206.939	175.576	407.625	179.467	145.233	169.067	118.254	10.947	-0.130	0.035	0.124	15.000	14.000	207.517	164.031	407.625	176.449	142.719	158.062	109.959	13.797	0.612	0.317	-0.204	20.000	14.000	212.333	161.261	401.495	179.792	138.724	151.133	123.190	2.959	-2.064	0.362	2.247
15.000	16.000	15.000	205.333	183.884	409.495	180.438	136.714	151.133	125.304	11.074	0.127	-0.109	-0.270	16.000	15.000	205.516	163.510	409.495	177.857	141.133	167.900	116.942	13.900	0.103	0.063	0.000	21.000	15.000	238.909	169.784	407.250	205.334	144.387	160.000	126.966	5.363	2.404	-0.092	-2.251
16.000	17.000	16.000	203.033	175.011	408.651	180.539	141.533	166.600	117.192	11.261	0.187	0.166	-0.021	17.000	16.000	207.966	169.510	408.651	174.792	143.281	154.647	116.007	14.122	0.222	0.050	-0.204	22.000	16.000	257.543	181.691	407.514	211.092	147.469	161.320	133.524	6.248	0.884	-0.276	-1.103
17.000	18.000	17.000	218.300	172.900	405.910	179.257	146.500	163.722	113.103	11.464	0.203	0.200	0.034	18.000	17.000	228.759	176.100	405.910	175.514	154.939	167.263	126.225	14.244	0.122	-0.140	-0.255	23.000	17.000	212.250	163.688	404.646	178.746	147.625	161.889	131.593	3.039	-3.208	-0.136	2.712
18.000	19.000	18.000	217.704	169.527	407.662	178.773	144.500	162.235	114.415	11.207	-0.257	0.179	0.379	19.000	18.000	216.645	171.462	407.662	175.718	149.057	156.655	128.379	13.919	-0.325	-0.025	0.331	24.000	18.000	218.933	182.464	404.367	183.921	157.939	180.824	138.636	3.104	0.065	-0.361	-0.367
19.000	20.000	19.000	221.074	169.989	401.495	177.610	139.094	157.467	114.107	11.502	0.295	0.167	-0.089	20.000	19.000	218.182	172.925	401.495	173.980	163.722	172.652	115.930	14.769	0.850	0.478	-0.139	25.000	19.000	250.581	179.469	409.523	220.237	156.062	177.857	140.056	5.371	2.267	-0.324	-2.300
20.000	21.000	20.000	230.900	177.922	407.250	179.765	144.567	160.250	112.938	12.130	0.628	0.212	-0.345	21.000	20.000	208.483	166.863	407.250	179.658	181.949	202.231	138.056	14.390	-0.379	-0.244	0.064	26.000	20.000	247.483	178.944	410.627	215.422	148.333	174.417	139.511	5.409	0.038	-0.227	-0.275
