 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)	T (11)	Base X (11)	Base Y (11)	Tip X (11)	Tip Y (11)	||[body,base]|| (11)	||[base,tip]||  (11)	||[base,tip]|| : [body,base] (11)	[base,tip] ? [body,base] (11)	?||[base,tip]|| : [body,base] (11)	||[tip(t-1),tip(t)]|| : [base,tip] (11)	||[base(t-1),base(t)]|| : [base,tip] (11)	T (12)	Base X (12)	Base Y (12)	Tip X (12)	Tip Y (12)	||[body,base]|| (12)	||[base,tip]||  (12)	||[base,tip]|| : [body,base] (12)	[base,tip] ? [body,base] (12)	?||[base,tip]|| : [body,base] (12)	||[tip(t-1),tip(t)]|| : [base,tip] (12)	||[base(t-1),base(t)]|| : [base,tip] (12)
1	0.000	1.000	11.310	9.945	15.145	4.225	2.497	6.887	6.862	17.137	NaN	NaN	NaN	1.000	11.570	10.530	19.825	7.150	2.275	8.920	8.632	19.638	NaN	NaN	NaN	1.000	14.690	13.715	14.885	13.130	5.265	0.617	-0.019	-0.101	NaN	NaN	NaN	1.000	19.370	18.200	28.015	20.995	11.502	9.086	8.763	100.787	NaN	NaN	NaN	1.000	14.690	18.525	16.965	23.010	8.268	5.029	4.956	40.974	NaN	NaN	NaN	1.000	11.635	16.575	13.585	23.465	5.045	7.161	7.120	35.921	NaN	NaN	NaN	62.000	15.210	19.890	15.275	19.955	8.286	0.092	0.092	0.761	NaN	NaN	NaN	64.000	12.740	21.840	12.155	22.685	8.841	1.028	0.597	5.281	NaN	NaN	NaN	69.000	15.275	13.715	15.405	13.585	5.610	0.184	0.105	0.592	NaN	NaN	NaN	86.000	16.510	14.235	16.770	14.170	6.670	0.268	0.239	1.593	NaN	NaN	NaN	87.000	10.140	9.165	9.100	8.515	3.576	1.226	0.669	2.391	NaN	NaN	NaN	111.000	10.400	9.360	10.270	9.295	2.996	0.145	0.035	0.106	NaN	NaN	NaN	114.000	20.020	18.590	23.400	20.215	11.791	3.750	3.719	43.851	NaN	NaN	NaN
2	1.000	2.000	11.115	9.945	15.145	4.225	2.564	6.997	6.974	17.880	0.111	NaN	-0.112	2.000	11.700	10.530	19.695	7.215	2.489	8.655	8.220	20.457	-0.412	-0.145	0.120	2.000	14.625	13.390	14.885	12.675	4.966	0.761	0.074	0.368	0.093	0.428	0.283	2.000	19.500	18.200	28.080	20.995	11.417	9.024	8.758	99.993	-0.004	0.062	0.124	2.000	14.625	18.395	16.965	22.880	7.879	5.059	4.981	39.242	0.025	-0.115	-0.145	2.000	11.635	16.510	13.585	23.530	4.720	7.286	7.229	34.121	0.109	0.063	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	12.675	21.255	11.440	22.880	8.536	2.041	1.089	9.299	0.492	0.588	-0.426	70.000	15.145	13.715	15.535	13.650	5.431	0.395	0.370	2.011	0.265	0.118	-0.128	87.000	16.705	14.300	19.370	14.690	6.685	2.693	2.682	17.931	2.444	2.648	0.202	88.000	10.205	9.230	9.100	8.515	3.576	1.316	0.695	2.484	0.026	NaN	-0.090	112.000	10.335	9.425	10.140	9.360	2.996	0.206	0.021	0.063	-0.014	0.103	0.041	115.000	20.215	18.590	23.595	20.280	12.079	3.779	3.747	45.258	0.028	0.203	0.174
3	2.000	3.000	11.115	9.815	15.145	4.160	2.475	6.944	6.912	17.107	-0.062	0.053	0.106	3.000	11.570	10.335	19.175	7.410	2.345	8.148	7.509	17.606	-0.711	-0.555	-0.051	3.000	14.495	13.585	14.820	12.480	4.893	1.152	-0.060	-0.296	-0.134	0.169	-0.224	3.000	19.630	18.265	28.015	20.930	11.611	8.798	8.488	98.557	-0.270	-0.082	0.144	3.000	14.560	18.330	16.835	22.815	7.904	5.029	4.961	39.216	-0.019	-0.117	-0.087	3.000	11.635	16.640	13.585	23.400	4.998	7.036	7.014	35.059	-0.215	-0.125	0.125	64.000	15.145	19.695	15.210	19.890	8.200	0.206	0.190	1.555	0.190	NaN	NaN	66.000	12.480	20.995	10.985	23.140	8.408	2.615	1.526	12.831	0.437	0.473	-0.102	71.000	15.145	13.650	15.665	13.390	5.367	0.581	0.460	2.467	0.089	0.233	0.029	88.000	16.510	14.170	19.565	14.365	6.515	3.061	3.028	19.727	0.346	0.174	-0.203	89.000	10.270	9.295	8.970	8.450	3.512	1.550	0.796	2.797	0.102	0.144	-0.090	113.000	10.465	9.425	10.075	9.230	3.346	0.436	0.337	1.128	0.316	0.116	-0.116	116.000	20.150	18.655	23.725	20.605	12.025	4.072	4.053	48.735	0.306	0.270	-0.026
4	3.000	4.000	11.115	9.880	15.145	4.225	2.598	6.944	6.929	17.999	0.017	-0.053	-0.053	4.000	11.505	10.335	17.485	8.255	2.482	6.331	5.699	14.145	-1.810	-1.874	-0.061	4.000	14.430	13.455	14.950	12.285	4.875	1.280	0.172	0.837	0.232	0.231	0.092	4.000	19.435	18.265	27.950	20.930	11.486	8.922	8.613	98.924	0.124	-0.062	-0.186	4.000	14.495	18.135	16.835	22.815	7.685	5.232	5.126	39.394	0.165	NaN	-0.203	4.000	11.570	16.575	13.585	23.400	4.840	7.116	7.082	34.277	0.068	NaN	-0.081	65.000	15.275	19.695	15.405	19.825	8.524	0.184	0.183	1.563	-0.006	0.092	0.092	67.000	12.350	20.670	10.465	22.880	8.224	2.905	1.438	11.826	-0.088	0.140	-0.163	72.000	14.950	13.585	15.730	13.065	5.151	0.937	0.676	3.481	0.216	0.234	-0.126	89.000	16.185	14.040	19.760	13.975	6.170	3.576	3.490	21.531	0.462	0.202	-0.323	90.000	10.270	9.425	8.970	8.515	3.386	1.587	0.834	2.822	0.037	-0.037	-0.075	114.000	10.595	9.490	9.815	9.165	2.704	0.845	0.189	0.511	-0.148	0.265	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	4.000	5.000	11.115	9.815	15.145	4.160	2.632	6.944	6.937	18.260	0.008	0.053	0.053	5.000	11.440	10.400	17.160	8.320	2.392	6.086	5.610	13.419	-0.089	-0.328	-0.083	5.000	14.820	12.805	15.145	12.220	5.194	0.669	0.233	1.213	0.062	0.152	0.758	5.000	19.305	18.265	28.015	20.995	11.467	9.128	8.793	100.825	0.180	0.081	-0.124	5.000	14.495	18.135	16.705	22.750	7.776	5.117	4.993	38.828	-0.133	-0.115	NaN	5.000	11.570	16.900	13.585	23.465	5.227	6.867	6.850	35.803	-0.232	0.062	0.311	66.000	15.145	19.500	15.275	19.760	8.439	0.291	0.282	2.383	0.099	-0.116	-0.233	68.000	12.285	20.475	10.010	23.335	8.181	3.654	1.963	16.059	0.525	0.639	-0.112	73.000	14.755	13.455	15.860	12.870	4.884	1.250	0.987	4.821	0.311	0.206	-0.112	90.000	16.055	14.040	19.955	13.650	6.106	3.919	3.741	22.840	0.251	0.226	-0.129	91.000	10.335	9.620	8.970	8.450	3.131	1.798	1.053	3.296	0.219	0.042	-0.176	115.000	10.530	9.360	9.555	8.970	2.491	1.050	0.259	0.646	0.070	0.314	0.109	118.000	19.760	18.395	22.490	20.020	11.271	3.177	3.177	35.807	3.177	NaN	NaN
6	5.000	6.000	11.245	9.880	15.210	4.225	2.615	6.907	6.907	18.058	-0.031	-0.016	0.021	6.000	11.570	10.335	17.160	8.320	2.484	5.942	5.467	13.579	-0.143	NaN	0.144	6.000	14.560	13.325	15.145	11.895	4.983	1.545	0.192	0.955	-0.042	0.301	-0.580	6.000	19.370	18.265	28.145	20.995	11.467	9.190	8.848	101.451	0.055	0.124	0.062	6.000	14.560	18.070	16.640	22.685	7.725	5.062	4.906	37.902	-0.087	-0.086	-0.033	6.000	11.570	16.705	13.520	23.400	5.021	6.973	6.947	34.882	0.097	-0.081	-0.187	67.000	15.210	19.565	15.275	19.760	8.714	0.206	0.191	1.660	-0.092	NaN	0.082	69.000	12.220	20.410	9.620	23.660	8.058	4.162	2.297	18.506	0.334	0.497	-0.010	74.000	14.560	13.390	15.990	12.545	4.734	1.661	1.286	6.088	0.299	0.277	-0.135	91.000	16.185	13.975	20.150	13.260	6.234	4.029	3.745	23.343	0.004	0.261	0.139	92.000	10.205	9.490	8.905	8.450	3.256	1.665	0.960	3.127	-0.092	0.051	0.183	116.000	10.530	9.685	9.230	8.840	2.234	1.550	0.647	1.445	0.387	0.343	-0.177	119.000	20.150	18.590	21.385	19.240	11.952	1.396	1.388	16.592	-1.789	-1.341	0.436
7	6.000	7.000	11.245	9.880	15.145	4.225	2.497	6.869	6.852	17.111	-0.054	-0.037	NaN	7.000	11.505	10.270	17.030	8.320	2.397	5.859	5.464	13.098	-0.003	-0.123	-0.040	7.000	14.430	13.520	15.210	11.635	5.037	2.040	0.102	0.515	-0.089	0.265	-0.230	7.000	19.240	18.265	28.210	21.060	11.520	9.395	9.001	103.694	0.154	0.081	-0.124	7.000	14.495	17.875	16.575	22.555	7.725	5.121	4.957	38.295	0.051	-0.145	-0.205	7.000	11.440	17.095	13.585	23.465	5.550	6.721	6.721	37.303	-0.225	0.082	0.328	68.000	15.015	19.305	15.340	19.825	8.497	0.613	0.608	5.167	0.418	0.090	-0.324	70.000	12.220	20.345	9.230	24.180	8.038	4.863	2.765	22.224	0.468	0.650	-0.051	75.000	14.430	13.325	16.055	12.155	4.606	2.002	1.424	6.557	0.138	0.281	-0.068	92.000	16.445	13.910	18.720	13.715	6.540	2.283	2.203	14.411	-1.541	-1.464	0.265	93.000	10.205	9.620	8.710	8.385	2.931	1.939	1.133	3.321	0.173	0.192	-0.083	117.000	10.400	9.555	8.905	8.775	2.225	1.686	0.600	1.335	-0.047	0.318	0.175	120.000	20.150	18.785	20.475	19.240	12.045	0.559	0.527	6.346	-0.861	-0.529	0.159
8	7.000	8.000	11.245	9.880	15.210	4.160	2.705	6.960	6.960	18.827	0.107	0.090	NaN	8.000	11.440	10.335	17.095	8.385	2.482	5.982	5.378	13.347	-0.086	0.040	-0.083	8.000	14.430	13.325	15.470	11.245	4.903	2.326	0.483	2.366	0.380	0.465	0.174	8.000	19.240	18.265	28.275	20.995	11.377	9.438	9.070	103.187	0.069	0.043	NaN	8.000	14.560	17.745	16.445	22.425	7.466	5.045	4.775	35.655	-0.182	-0.169	-0.096	8.000	11.440	16.770	13.585	23.465	4.998	7.030	7.022	35.097	0.300	NaN	-0.310	69.000	14.885	19.045	15.275	19.825	8.131	0.872	0.851	6.921	0.243	-0.029	-0.291	71.000	12.155	20.020	8.840	24.180	7.751	5.319	3.004	23.284	0.239	0.243	-0.214	76.000	14.365	13.325	16.185	11.895	4.468	2.315	1.593	7.115	0.169	0.263	-0.051	93.000	16.510	13.780	16.965	13.585	6.616	0.495	0.411	2.717	-1.793	-1.562	0.111	94.000	10.140	9.620	8.710	8.385	2.991	1.889	1.204	3.600	0.071	NaN	0.049	118.000	10.075	9.555	8.645	8.775	3.186	1.629	0.751	2.391	0.151	0.228	0.285	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	8.000	9.000	11.310	10.010	15.145	4.225	2.580	6.941	6.883	17.762	-0.076	-0.090	-0.072	9.000	11.635	10.335	17.030	8.385	2.589	5.737	5.424	14.040	0.046	-0.061	0.183	9.000	14.365	13.455	15.665	10.920	4.975	2.849	0.478	2.379	-0.004	0.378	-0.145	9.000	19.175	18.330	28.145	20.995	11.484	9.358	8.942	102.684	-0.128	-0.125	-0.044	9.000	14.690	18.265	16.445	22.295	8.091	4.396	4.240	34.307	-0.535	-0.119	0.529	9.000	11.635	17.225	13.585	23.465	5.637	6.538	6.525	36.783	-0.497	NaN	0.492	70.000	14.820	18.980	15.340	20.020	8.050	1.163	1.138	9.160	0.287	0.203	-0.087	72.000	11.830	20.410	8.710	24.570	7.977	5.200	3.271	26.094	0.267	0.390	0.507	77.000	14.170	13.325	16.445	11.505	4.146	2.913	1.962	8.133	0.369	0.447	-0.152	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	10.205	9.685	8.775	8.515	2.796	1.848	1.203	3.363	-6.981E-4	-0.133	-0.091	119.000	9.685	9.425	9.100	9.100	2.588	0.669	0.436	1.128	-0.315	-0.556	0.404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	9.000	10.000	11.375	10.010	15.145	4.225	2.436	6.905	6.728	16.393	-0.155	NaN	0.035	10.000	11.765	10.335	17.030	8.385	2.542	5.615	5.489	13.955	0.065	NaN	0.122	10.000	14.235	13.585	15.925	10.725	4.985	3.322	0.483	2.408	0.005	0.300	-0.178	10.000	19.175	18.330	28.080	20.930	11.630	9.277	8.798	102.325	-0.143	-0.081	NaN	10.000	14.625	17.875	16.380	22.100	7.949	4.575	4.387	34.873	0.147	-0.205	-0.385	10.000	11.700	17.355	13.650	23.465	6.025	6.414	6.408	38.608	-0.117	0.020	0.144	71.000	14.950	19.240	15.340	20.085	8.346	0.931	0.908	7.580	-0.230	0.059	0.291	73.000	11.895	20.345	8.710	25.025	7.977	5.661	3.759	29.989	0.488	0.376	-0.090	78.000	14.235	13.520	16.705	11.375	4.105	3.271	2.017	8.281	0.056	0.282	-0.079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	10.205	9.750	8.645	8.515	2.731	1.990	1.272	3.473	0.069	0.102	-0.040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
