dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Base Local Background (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Tip Local Background (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Base Local Background (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Tip Local Background (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Base Local Background (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Tip Local Background (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Base Local Background (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Tip Local Background (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)
0.000	1.000	0.000	138.742	127.515	266.348	125.264	112.259	122.357	107.035	7.560	0.000	NaN	NaN	1.000	0.000	162.759	161.771	266.348	126.369	118.111	128.357	104.007	9.868	0.000	NaN	NaN	1.000	0.000	153.467	135.013	266.348	133.000	126.562	135.895	117.603	0.955	0.000	NaN	NaN	1.000	0.000	146.192	127.422	266.348	118.829	112.069	120.615	106.959	9.981	0.000	NaN	NaN	1.000	0.000	152.040	136.659	266.348	125.462	116.677	125.350	104.886	5.633	0.000	NaN	NaN	1.000	0.000	167.296	183.033	266.348	127.757	114.643	123.133	107.441	7.911	0.000	NaN	NaN	62.000	0.000	144.571	135.500	241.867	134.000	134.000	134.000	132.746	0.080	0.080	NaN	NaN	64.000	0.000	136.214	126.817	243.653	130.627	125.970	133.667	107.993	1.369	1.369	NaN	NaN	69.000	0.000	142.526	124.479	251.508	134.000	134.000	149.333	122.172	0.227	0.227	NaN	NaN	86.000	0.000	124.720	119.901	253.326	118.731	118.731	124.706	116.441	0.506	0.506	NaN	NaN	87.000	0.000	138.483	122.198	251.254	129.544	120.000	128.250	114.535	1.599	1.599	NaN	NaN	111.000	0.000	131.118	114.398	250.290	123.500	123.500	125.000	114.395	0.154	0.154	NaN	NaN	114.000	0.000	129.065	120.546	253.745	122.418	116.545	121.071	110.906	4.297	4.297	NaN	NaN
1.000	2.000	1.000	141.400	130.753	257.687	122.861	111.704	118.789	107.745	7.725	0.165	0.000	-0.112	2.000	1.000	157.429	134.770	257.687	123.797	109.750	113.941	108.718	9.685	-0.184	-0.145	0.120	2.000	1.000	141.926	129.307	257.687	127.406	119.344	129.500	113.021	1.093	0.138	0.428	0.283	2.000	1.000	138.111	121.457	257.687	118.490	109.448	116.267	105.389	9.943	-0.038	0.062	0.124	2.000	1.000	148.115	136.046	257.687	126.770	114.867	124.250	108.361	5.698	0.065	-0.115	-0.145	2.000	1.000	171.923	151.803	257.687	126.008	112.857	118.789	106.636	8.033	0.122	0.063	-0.063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.000	1.000	140.185	129.349	247.759	126.752	114.200	122.857	106.727	2.399	1.030	0.588	-0.426	70.000	1.000	157.871	129.940	252.298	135.405	136.065	147.400	124.548	0.587	0.360	0.118	-0.128	87.000	1.000	131.759	121.029	251.254	117.406	108.692	119.200	107.048	3.059	2.553	2.648	0.202	88.000	1.000	134.897	121.671	252.644	125.810	118.516	131.357	113.887	1.672	0.073	-0.000	-0.090	112.000	1.000	131.034	116.382	252.071	119.211	119.211	132.917	115.171	0.502	0.349	0.103	0.041	115.000	1.000	122.217	121.761	253.708	121.826	117.840	124.938	109.531	4.167	-0.130	0.203	0.174
2.000	3.000	2.000	138.065	123.390	257.725	121.758	111.667	117.000	107.483	7.641	-0.084	0.053	0.106	3.000	2.000	146.300	141.150	257.725	122.646	115.037	121.500	109.338	9.022	-0.663	-0.555	-0.051	3.000	2.000	156.926	132.597	257.725	131.329	121.774	129.750	112.752	1.445	0.352	0.169	-0.224	3.000	2.000	138.750	117.851	257.725	119.900	111.355	115.864	105.935	9.767	-0.176	-0.082	0.144	3.000	2.000	145.259	132.011	257.725	128.511	116.419	125.800	108.452	5.633	-0.065	-0.117	-0.087	3.000	2.000	156.357	144.899	257.725	127.219	114.700	123.714	107.121	7.903	-0.130	-0.125	0.125	64.000	2.000	152.034	132.566	243.653	133.500	133.500	151.000	127.780	0.456	0.456	0.000	0.000	66.000	2.000	141.690	127.316	247.300	123.979	110.842	120.200	107.500	2.935	0.536	0.473	-0.102	71.000	2.000	150.429	133.265	254.135	132.848	129.031	139.250	118.143	0.833	0.246	0.233	0.029	88.000	2.000	138.897	124.738	252.644	118.455	116.286	122.733	106.473	3.441	0.382	0.174	-0.203	89.000	2.000	145.897	124.645	253.396	127.851	118.235	128.429	112.765	1.875	0.203	0.144	-0.090	113.000	2.000	138.781	119.404	248.742	123.392	122.212	132.000	114.964	0.703	0.201	0.116	-0.116	116.000	2.000	122.833	118.707	252.329	120.995	117.107	123.882	109.007	4.534	0.368	0.270	-0.026
3.000	4.000	3.000	140.207	125.349	259.218	120.858	111.200	115.238	107.780	7.549	-0.092	-0.053	-0.053	4.000	3.000	154.120	131.632	259.218	131.042	119.387	127.706	112.062	7.009	-2.013	-1.874	-0.061	4.000	3.000	151.923	131.256	259.218	128.484	119.300	128.083	112.275	1.583	0.138	0.231	0.092	4.000	3.000	139.296	121.624	259.218	121.168	112.929	129.000	106.020	9.805	0.038	-0.062	-0.186	4.000	3.000	152.720	134.532	259.218	125.644	113.067	125.214	108.587	5.801	0.168	0.000	-0.203	4.000	3.000	166.429	147.602	259.218	127.767	113.200	128.143	108.483	8.022	0.119	0.000	-0.081	65.000	3.000	138.619	129.990	247.759	129.800	129.800	135.700	126.940	0.319	-0.137	0.092	0.092	67.000	3.000	141.538	129.407	250.113	126.515	114.812	121.091	106.915	3.246	0.311	0.140	-0.163	72.000	3.000	155.226	133.210	252.325	129.008	121.061	129.429	113.730	1.231	0.398	0.234	-0.126	89.000	3.000	147.742	130.720	253.396	119.464	112.462	115.600	107.322	4.007	0.566	0.202	-0.323	90.000	3.000	141.846	129.688	253.379	127.503	120.750	129.778	113.795	1.856	-0.019	-0.037	-0.075	114.000	3.000	141.182	124.059	253.745	129.755	118.484	128.368	113.817	1.193	0.490	0.265	-0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000	5.000	4.000	144.286	124.938	257.681	123.132	111.286	123.167	107.122	7.622	0.073	0.053	0.053	5.000	4.000	155.833	133.095	257.681	128.306	118.867	123.818	113.236	6.806	-0.203	-0.328	-0.083	5.000	4.000	133.852	117.045	257.681	123.054	116.500	127.600	110.752	1.028	-0.555	0.152	0.758	5.000	4.000	140.393	121.700	257.681	119.481	112.846	116.824	105.401	10.046	0.241	0.081	-0.124	5.000	4.000	149.731	133.759	257.681	127.913	118.742	126.176	108.143	5.755	-0.046	-0.115	0.000	5.000	4.000	152.552	140.385	257.681	124.210	114.179	121.200	106.633	7.586	-0.436	0.062	0.311	66.000	4.000	145.966	135.677	247.300	130.083	130.467	142.682	127.200	0.663	0.344	-0.116	-0.233	68.000	4.000	134.483	126.111	250.218	123.771	110.133	116.833	107.095	4.076	0.831	0.639	-0.112	73.000	4.000	150.821	138.074	254.746	129.814	117.467	127.300	111.475	1.526	0.295	0.206	-0.112	90.000	4.000	142.481	129.066	253.379	118.641	110.733	114.609	107.273	4.394	0.387	0.226	-0.129	91.000	4.000	138.417	128.262	253.060	126.231	117.406	124.450	112.535	2.139	0.284	0.042	-0.176	115.000	4.000	138.571	121.187	253.708	128.549	121.433	126.591	112.934	1.369	0.176	0.314	0.109	118.000	4.000	126.857	122.690	250.918	121.045	114.633	125.400	114.618	3.723	3.723	0.000	0.000
5.000	6.000	5.000	138.172	126.590	260.624	122.132	111.000	121.333	106.680	7.476	-0.146	-0.016	0.021	6.000	5.000	148.103	127.684	260.624	130.018	117.833	124.765	109.099	6.711	-0.095	0.000	0.144	6.000	5.000	145.966	135.533	260.624	130.209	120.485	132.727	111.089	1.943	0.915	0.301	-0.580	6.000	5.000	137.615	118.309	260.624	119.488	112.593	122.909	106.082	10.111	0.065	0.124	0.062	6.000	5.000	150.276	135.806	260.624	128.349	119.700	125.227	108.894	5.636	-0.119	-0.086	-0.033	6.000	5.000	170.057	143.667	260.624	126.731	111.875	116.333	107.356	7.965	0.379	-0.081	-0.187	67.000	5.000	136.269	126.623	250.113	130.926	130.962	140.080	122.589	0.613	-0.050	0.000	0.082	69.000	5.000	136.160	124.744	251.508	122.660	110.083	114.611	107.336	4.517	0.441	0.497	-0.010	74.000	5.000	154.414	137.200	255.029	132.309	117.265	129.000	110.021	1.959	0.433	0.277	-0.135	91.000	5.000	141.065	124.520	253.060	117.328	112.393	118.571	106.980	4.559	0.165	0.261	0.139	92.000	5.000	137.520	119.908	252.419	130.738	126.062	135.000	112.014	1.863	-0.276	0.051	0.183	116.000	5.000	144.914	127.036	252.329	130.910	122.455	128.889	112.096	1.894	0.525	0.343	-0.177	119.000	5.000	123.500	120.120	250.716	119.782	116.545	122.364	116.346	1.691	-2.032	-1.341	0.436
6.000	7.000	6.000	145.552	126.483	260.787	123.428	112.214	116.586	106.612	7.587	0.111	-0.037	0.000	7.000	6.000	150.179	133.650	260.787	129.467	119.000	128.067	109.189	6.546	-0.165	-0.123	-0.040	7.000	6.000	155.100	132.750	260.787	132.369	120.871	128.762	111.359	2.498	0.555	0.265	-0.230	7.000	6.000	139.111	121.101	260.787	120.554	110.464	116.125	106.410	10.352	0.241	0.081	-0.124	7.000	6.000	161.074	139.862	260.787	128.300	114.400	122.812	109.734	5.739	0.103	-0.145	-0.205	7.000	6.000	152.207	136.495	260.787	124.740	113.774	124.471	106.262	7.491	-0.474	0.082	0.328	68.000	6.000	155.125	134.537	250.218	136.456	129.029	143.467	120.000	0.971	0.358	0.090	-0.324	70.000	6.000	138.857	121.841	252.298	123.741	112.143	118.938	106.364	5.244	0.728	0.650	-0.051	75.000	6.000	151.690	135.683	254.667	130.056	114.133	121.500	109.521	2.307	0.349	0.281	-0.068	92.000	6.000	129.500	117.767	252.419	116.283	111.056	113.667	109.387	2.834	-1.725	-1.464	0.265	93.000	6.000	142.724	123.000	251.405	129.431	122.515	127.667	112.465	2.250	0.387	0.192	-0.083	117.000	6.000	141.727	124.068	252.375	128.411	117.429	128.818	112.275	2.070	0.176	0.318	0.175	120.000	6.000	118.882	117.759	253.437	115.689	114.400	121.600	115.483	0.611	-1.079	-0.529	0.159
7.000	8.000	7.000	135.741	128.931	261.945	123.473	110.423	116.105	106.465	7.606	0.019	0.090	0.000	8.000	7.000	157.667	136.297	261.945	129.158	116.414	123.267	107.615	6.630	0.084	0.040	-0.083	8.000	7.000	143.393	129.394	261.945	129.128	120.839	128.810	109.535	2.819	0.322	0.465	0.174	8.000	7.000	140.185	119.258	261.945	120.065	112.097	161.000	106.275	10.398	0.046	0.043	0.000	8.000	7.000	160.241	141.188	261.945	130.057	118.844	128.000	108.060	5.674	-0.065	-0.169	-0.096	8.000	7.000	176.448	141.790	261.945	128.298	113.161	126.300	106.634	7.843	0.352	0.000	-0.310	69.000	7.000	159.091	138.466	251.508	142.254	127.781	140.211	120.413	1.277	0.306	-0.029	-0.291	71.000	7.000	140.133	127.537	254.135	124.633	113.481	122.000	106.734	5.769	0.525	0.243	-0.214	76.000	7.000	147.480	139.096	256.405	130.189	115.194	126.625	108.754	2.545	0.238	0.263	-0.051	93.000	7.000	120.129	117.589	251.405	116.404	116.214	121.632	115.179	0.787	-2.047	-1.562	0.111	94.000	7.000	143.379	122.203	250.537	128.172	118.250	128.933	112.937	2.177	-0.073	-0.000	0.049	118.000	7.000	145.931	124.783	250.918	130.138	117.241	127.375	113.645	1.978	-0.092	0.228	0.285	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.000	9.000	8.000	139.333	130.459	260.677	125.557	111.500	122.462	106.747	7.690	0.084	-0.090	-0.072	9.000	8.000	145.222	129.047	260.677	126.561	112.900	123.091	108.449	6.408	-0.222	-0.061	0.183	9.000	8.000	140.690	131.043	260.677	127.082	116.867	122.739	110.034	3.325	0.506	0.378	-0.145	9.000	8.000	135.357	118.455	260.677	120.327	113.704	118.125	107.301	10.287	-0.111	-0.125	-0.044	9.000	8.000	153.778	129.444	260.677	128.397	116.033	126.062	109.538	4.982	-0.693	-0.119	0.529	9.000	8.000	161.111	137.409	260.677	126.777	109.500	117.875	106.497	7.353	-0.490	0.000	0.492	70.000	8.000	157.844	139.939	252.298	138.854	123.886	136.722	115.689	1.637	0.360	0.203	-0.087	72.000	8.000	141.833	120.639	252.325	120.811	114.031	119.500	105.783	5.696	-0.073	0.390	0.507	77.000	8.000	149.864	139.195	256.223	129.047	114.276	125.167	107.660	3.173	0.628	0.447	-0.152	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.000	8.000	144.138	127.671	250.293	129.123	120.294	128.045	115.194	2.158	-0.019	-0.133	-0.091	119.000	8.000	139.565	123.750	250.716	129.346	124.300	129.409	122.227	0.887	-1.091	-0.556	0.404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.000	10.000	9.000	141.000	128.170	261.560	124.507	112.185	118.190	108.383	7.563	-0.127	0.000	0.035	10.000	9.000	137.536	129.768	261.560	130.929	117.607	128.077	107.669	6.351	-0.057	0.000	0.122	10.000	9.000	149.152	132.561	261.560	130.579	122.786	128.389	109.347	3.877	0.552	0.300	-0.178	10.000	9.000	132.393	117.021	261.560	121.928	113.179	121.231	106.820	10.187	-0.100	-0.081	0.000	10.000	9.000	156.607	137.605	261.560	132.633	116.882	124.250	109.376	5.268	0.287	-0.205	-0.385	10.000	9.000	158.259	135.636	261.560	128.434	114.179	125.462	106.238	7.277	-0.076	0.020	0.144	71.000	9.000	153.138	132.229	254.135	135.934	124.273	132.364	116.317	1.258	-0.379	0.059	0.291	73.000	9.000	135.462	125.930	254.746	120.926	113.000	115.400	105.901	6.178	0.482	0.376	-0.090	78.000	9.000	162.500	143.247	254.483	130.356	112.897	118.500	107.076	3.632	0.460	0.282	-0.079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.000	9.000	144.438	123.861	250.908	127.344	114.000	125.417	112.774	2.296	0.138	0.102	-0.040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
