 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)
1	0.000	1.000	20.280	11.375	31.720	9.360	7.810	11.616	11.526	90.018	NaN	NaN	NaN	1.000	22.620	15.470	22.620	15.665	10.796	0.195	0.067	0.722	NaN	NaN	NaN	1.000	9.880	13.910	7.215	15.925	3.371	3.341	3.338	11.251	NaN	NaN	NaN	1.000	24.570	15.015	33.670	20.280	12.519	10.513	10.155	127.130	NaN	NaN	NaN	1.000	15.860	23.400	18.330	29.575	12.116	6.651	6.619	80.195	NaN	NaN	NaN	3.000	18.915	10.660	20.605	7.930	6.499	3.211	2.056	13.359	NaN	NaN	NaN	23.000	15.665	19.890	16.445	23.075	10.455	3.279	3.236	33.834	NaN	NaN	NaN	54.000	11.895	19.630	14.235	29.185	9.361	9.837	9.811	91.843	NaN	NaN	NaN	101.000	17.875	20.085	19.760	24.895	11.379	5.166	4.581	52.128	NaN	NaN	NaN
2	1.000	2.000	20.345	11.245	31.590	9.490	7.940	11.381	11.318	89.857	-0.209	-0.148	0.084	2.000	22.425	15.535	22.360	15.795	10.743	0.268	0.034	0.363	-0.033	0.189	0.110	2.000	9.880	13.910	7.150	15.990	3.406	3.432	3.421	11.653	0.083	0.091	NaN	2.000	24.505	14.950	33.345	20.085	12.536	10.223	9.883	123.898	-0.272	-0.379	-0.089	2.000	15.730	23.140	18.330	29.705	11.973	7.061	7.028	84.149	0.409	0.121	-0.290	4.000	19.175	10.400	20.670	7.800	6.850	2.999	1.895	12.979	-0.161	0.145	0.355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	11.700	19.500	11.570	19.630	9.340	0.184	0.109	1.014	-9.703	-4.872	0.046	102.000	17.875	20.085	19.955	25.090	11.288	5.420	4.855	54.798	0.274	0.255	NaN
3	2.000	3.000	20.280	11.245	31.460	9.685	7.807	11.288	11.235	87.711	-0.082	-0.156	-0.064	3.000	22.490	15.730	22.490	15.925	10.840	0.195	0.075	0.811	0.041	0.130	0.195	3.000	9.880	13.975	7.150	15.925	3.542	3.355	3.328	11.788	-0.093	-0.038	0.038	3.000	24.570	15.080	33.150	20.020	12.589	9.901	9.617	121.072	-0.266	-0.201	0.121	3.000	15.730	22.945	18.395	29.770	11.830	7.327	7.295	86.296	0.266	0.084	-0.182	5.000	19.175	10.335	20.800	7.800	6.904	3.011	1.988	13.727	0.093	0.070	0.055	25.000	15.600	19.825	16.510	23.335	10.541	3.626	3.584	37.780	3.584	NaN	NaN	56.000	11.440	19.370	11.310	19.500	9.175	0.184	0.112	1.031	0.004	0.092	0.092	103.000	17.810	19.955	20.085	25.155	11.456	5.676	5.189	59.446	0.335	0.112	-0.145
4	3.000	4.000	20.280	11.180	31.330	9.750	7.872	11.142	11.100	87.373	-0.136	-0.137	0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	9.880	13.910	7.150	15.990	3.494	3.432	3.412	11.923	0.084	0.039	-0.039	4.000	24.570	14.950	34.450	20.605	12.634	11.384	11.048	139.573	1.431	1.419	-0.065	4.000	15.665	22.815	18.460	29.965	11.768	7.677	7.644	89.950	0.349	0.205	-0.145	6.000	19.175	9.945	20.930	7.800	7.432	2.771	2.151	15.983	0.162	0.082	0.302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	11.375	19.240	11.180	19.435	8.966	0.276	0.171	1.534	0.059	0.046	-0.046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	4.000	5.000	20.345	11.050	31.265	9.750	8.002	10.997	10.964	87.728	-0.136	-0.065	0.080	5.000	22.165	15.860	22.360	16.185	10.791	0.379	0.312	3.372	0.312	NaN	NaN	5.000	9.815	14.040	7.150	15.990	3.678	3.302	3.250	11.953	-0.162	NaN	0.129	5.000	24.375	14.820	34.385	20.605	12.509	11.561	11.216	140.300	0.169	-0.056	-0.234	5.000	15.600	22.620	18.460	30.030	11.705	7.943	7.913	92.620	0.269	0.061	-0.205	7.000	19.110	9.880	20.930	7.800	7.355	2.764	2.190	16.106	0.039	NaN	0.006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	11.245	19.175	11.115	19.240	8.829	0.145	0.050	0.444	-0.121	-0.029	0.087	105.000	17.940	20.020	20.150	25.350	11.683	5.770	5.241	61.229	5.241	NaN	NaN
6	5.000	6.000	20.410	11.115	31.265	9.750	8.521	10.940	10.899	92.874	-0.065	NaN	0.056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	9.620	14.105	7.085	15.990	3.504	3.159	3.080	10.791	-0.170	0.052	0.195	6.000	23.530	14.430	34.320	20.605	12.013	12.432	11.987	144.005	0.771	-0.056	-0.927	6.000	15.535	22.685	18.590	30.160	11.819	8.075	8.053	95.177	0.140	0.170	0.036	8.000	18.980	10.010	20.930	7.800	7.363	2.947	2.260	16.638	0.070	NaN	-0.183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	18.070	20.085	20.150	25.480	11.600	5.782	5.147	59.712	-0.093	0.121	0.107
7	6.000	7.000	20.540	11.050	31.265	9.750	8.649	10.804	10.759	93.056	-0.140	NaN	0.137	7.000	21.710	15.535	24.765	17.875	10.686	3.848	3.731	39.871	3.731	NaN	NaN	7.000	9.685	14.105	7.150	15.925	3.563	3.121	3.000	10.689	-0.080	-0.091	-0.053	7.000	23.465	14.365	34.450	20.735	11.967	12.698	12.247	146.557	0.260	0.178	-0.089	7.000	15.470	22.490	18.590	30.290	11.738	8.401	8.380	98.358	0.327	0.121	-0.205	9.000	19.240	9.815	20.735	7.605	7.715	2.668	1.846	14.242	-0.414	0.052	0.307	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.000	18.135	20.345	20.085	25.415	12.182	5.432	4.921	59.953	-0.226	-0.084	0.266
8	7.000	8.000	20.670	11.050	31.265	9.750	8.970	10.674	10.604	95.122	-0.155	NaN	0.129	8.000	21.450	15.340	24.505	17.810	10.626	3.929	3.785	40.222	0.054	-0.243	-0.325	8.000	9.750	14.040	7.150	15.990	3.515	3.250	3.065	10.774	0.065	0.039	-0.091	8.000	23.205	14.235	34.580	20.735	11.921	13.101	12.680	151.149	0.433	0.113	-0.290	8.000	15.405	22.165	18.590	30.355	11.655	8.788	8.778	102.300	0.398	0.061	-0.326	10.000	19.110	9.815	20.995	7.540	7.687	2.954	2.291	17.614	0.445	0.216	-0.083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	12.285	20.670	14.235	29.185	10.453	8.735	8.729	91.252	8.729	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	8.000	9.000	20.865	10.985	31.330	9.685	9.231	10.545	10.482	96.761	-0.122	0.073	0.202	9.000	21.515	15.535	24.440	17.745	10.824	3.666	3.572	38.667	-0.213	-0.091	0.169	9.000	9.815	13.975	7.150	15.990	3.390	3.341	3.131	10.613	0.066	NaN	-0.091	9.000	23.010	14.170	34.710	20.800	11.778	13.448	13.019	153.342	0.340	0.145	-0.202	9.000	15.405	22.165	18.590	30.485	11.675	8.909	8.903	103.943	0.125	0.121	NaN	11.000	19.110	9.620	20.995	7.475	7.663	2.856	2.237	17.141	-0.055	0.049	0.146	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	11.895	20.540	14.300	29.250	10.131	9.036	8.976	90.939	0.247	0.080	-0.229	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	9.000	10.000	20.995	10.985	31.395	9.555	9.431	10.498	10.443	98.485	-0.039	0.082	0.129	10.000	21.320	15.405	24.310	17.680	10.575	3.757	3.638	38.469	0.065	-0.143	-0.234	10.000	9.880	13.975	7.150	15.990	3.156	3.393	3.164	9.984	0.033	NaN	-0.052	10.000	22.945	14.105	34.905	20.865	11.713	13.738	13.228	154.939	0.208	0.202	-0.089	10.000	15.405	22.360	18.590	30.550	11.697	8.788	8.782	102.714	-0.121	0.061	0.182	12.000	19.110	9.555	20.865	7.345	7.705	2.822	2.087	16.076	-0.150	0.021	0.051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	12.545	19.695	14.300	29.185	9.491	9.651	9.638	91.471	0.661	-0.064	-0.713	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
