dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)
0.000	1.000	0.000	242.533	162.416	476.512	159.301	147.750	151.897	117.791	12.811	0.000	NaN	NaN	1.000	0.000	172.069	110.122	476.512	159.583	159.583	170.600	109.804	0.389	0.000	NaN	NaN	1.000	0.000	260.633	175.988	476.512	195.133	153.065	179.923	128.671	3.789	0.000	NaN	NaN	1.000	0.000	202.065	124.406	476.512	158.760	143.789	150.571	119.831	11.532	0.000	NaN	NaN	1.000	0.000	196.241	157.229	476.512	168.055	132.448	137.727	106.503	7.404	0.000	NaN	NaN	3.000	0.000	194.143	155.580	454.973	157.168	151.700	168.769	115.190	3.693	3.693	NaN	NaN	23.000	0.000	238.345	180.658	442.482	175.821	150.778	163.312	145.007	3.668	3.668	NaN	NaN	54.000	0.000	176.200	152.107	459.018	156.146	142.067	151.357	119.914	11.456	11.456	NaN	NaN	101.000	0.000	199.893	159.633	448.323	153.765	140.333	148.500	119.430	5.750	5.750	NaN	NaN
1.000	2.000	1.000	218.964	155.444	454.961	153.893	140.808	150.316	120.243	12.497	-0.314	-0.148	0.084	2.000	1.000	172.545	156.754	454.961	152.688	150.429	160.381	150.141	0.544	0.154	0.189	0.110	2.000	1.000	249.700	192.974	454.961	182.585	141.333	159.625	128.345	3.808	0.019	0.091	-0.000	2.000	1.000	198.735	153.757	454.961	157.062	144.211	153.538	122.556	11.303	-0.230	-0.379	-0.089	2.000	1.000	205.241	157.347	454.961	162.946	135.917	151.600	115.610	7.828	0.425	0.121	-0.290	4.000	1.000	204.000	142.932	454.213	163.006	154.357	166.737	118.655	3.482	-0.211	0.145	0.355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	55.000	1.000	180.080	152.791	458.782	161.941	161.941	185.909	149.434	0.495	-10.961	-4.872	0.046	102.000	1.000	188.107	160.900	445.635	152.984	132.143	153.750	114.918	6.053	0.303	0.255	0.000
2.000	3.000	2.000	231.607	162.022	454.973	154.741	145.370	154.000	120.884	12.417	-0.081	-0.156	-0.064	3.000	2.000	165.231	146.711	454.973	155.533	155.533	161.727	143.768	0.416	-0.127	0.130	0.195	3.000	2.000	246.710	183.247	454.973	187.850	145.031	167.273	124.899	3.770	-0.038	-0.038	0.038	3.000	2.000	201.259	150.570	454.973	156.494	142.200	146.812	123.090	10.851	-0.452	-0.201	0.121	3.000	2.000	213.516	158.233	454.973	166.312	134.357	142.294	116.327	8.161	0.333	0.084	-0.182	5.000	2.000	206.500	148.184	451.543	166.088	153.214	167.762	120.439	3.425	-0.057	0.070	0.055	25.000	2.000	245.857	183.875	445.857	174.770	144.227	152.550	142.453	4.054	4.054	0.000	0.000	56.000	2.000	175.000	150.076	458.446	163.000	163.000	168.200	145.633	0.227	-0.268	0.092	0.092	103.000	2.000	195.778	166.978	446.855	151.952	138.600	146.688	117.814	6.310	0.257	0.112	-0.145
3.000	4.000	3.000	213.880	158.929	454.213	153.232	143.357	154.000	119.283	12.133	-0.284	-0.137	0.008	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.000	3.000	258.071	187.931	454.213	189.727	153.750	171.333	125.307	3.827	0.057	0.039	-0.039	4.000	3.000	206.621	151.510	454.213	154.669	134.789	139.533	112.562	12.550	1.699	1.419	-0.065	4.000	3.000	213.250	158.615	454.213	166.512	143.407	153.158	112.322	8.559	0.398	0.205	-0.145	6.000	3.000	199.517	148.822	453.650	170.193	160.379	179.737	119.489	3.200	-0.225	0.082	0.302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.000	3.000	170.385	150.738	459.171	153.038	152.333	164.733	140.209	0.519	0.291	0.046	-0.046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000	5.000	4.000	198.269	150.771	451.543	157.100	144.407	157.125	119.811	11.849	-0.284	-0.065	0.080	5.000	4.000	169.929	156.638	451.543	157.895	158.679	166.600	148.812	0.644	0.644	0.000	0.000	5.000	4.000	257.774	180.190	451.543	191.116	155.833	178.933	127.357	3.716	-0.111	-0.000	0.129	5.000	4.000	208.067	150.460	451.543	150.419	137.652	149.900	116.235	12.761	0.211	-0.056	-0.234	5.000	4.000	219.704	162.557	451.543	163.893	141.423	149.611	115.118	8.781	0.222	0.061	-0.205	7.000	4.000	203.000	149.775	454.454	173.599	163.300	188.583	123.801	3.154	-0.046	0.000	0.006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.000	4.000	159.941	148.989	455.703	151.200	151.200	159.667	144.133	0.200	-0.319	-0.029	0.087	105.000	4.000	187.484	165.104	444.814	151.897	140.071	153.692	119.561	6.459	6.459	0.000	0.000
5.000	6.000	5.000	201.034	149.839	453.650	156.383	138.880	148.136	117.697	11.876	0.027	0.000	0.056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000	5.000	240.621	181.200	453.650	181.280	156.714	179.647	124.676	3.605	-0.111	0.052	0.195	6.000	5.000	194.906	161.286	453.650	158.542	136.913	147.929	117.758	13.675	0.915	-0.056	-0.927	6.000	5.000	195.414	161.452	453.650	166.396	140.241	148.045	112.890	8.946	0.165	0.170	0.036	8.000	5.000	205.094	159.344	455.829	171.550	157.833	177.150	125.411	3.410	0.257	0.000	-0.183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.000	5.000	181.367	162.090	443.359	154.354	136.000	171.500	118.487	6.470	0.011	0.121	0.107
6.000	7.000	6.000	205.607	154.427	454.454	156.319	137.600	146.833	119.615	11.673	-0.203	0.000	0.137	7.000	6.000	172.107	162.674	454.454	148.433	136.037	149.455	124.687	4.195	4.195	0.000	0.000	7.000	6.000	250.367	186.505	454.454	189.761	161.875	184.444	131.636	3.624	0.019	-0.091	-0.053	7.000	6.000	200.290	153.132	454.454	156.361	138.885	149.643	110.882	13.967	0.292	0.178	-0.089	7.000	6.000	200.966	158.326	454.454	166.537	143.286	152.211	115.583	9.306	0.360	0.121	-0.205	9.000	6.000	215.400	151.871	455.891	167.159	144.400	154.815	128.099	3.073	-0.338	0.052	0.307	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	107.000	6.000	167.533	152.454	444.482	152.192	133.308	141.353	122.782	6.110	-0.360	-0.084	0.266
7.000	8.000	7.000	196.321	150.208	455.829	156.179	139.538	144.857	117.524	11.535	-0.138	0.000	0.129	8.000	7.000	172.438	162.549	455.829	152.021	151.038	158.737	125.896	4.352	0.157	-0.243	-0.325	8.000	7.000	249.032	188.613	455.829	188.531	151.897	172.167	129.190	3.735	0.111	0.039	-0.091	8.000	7.000	194.931	154.832	455.829	156.033	138.478	146.000	114.056	14.365	0.398	0.113	-0.290	8.000	7.000	210.929	167.583	455.829	166.306	138.815	158.455	116.434	9.761	0.455	0.061	-0.326	10.000	7.000	215.156	151.677	453.427	170.364	149.250	167.800	115.560	3.357	0.284	0.216	-0.083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61.000	7.000	165.080	141.621	453.124	159.304	139.581	157.875	120.755	10.039	10.039	0.000	0.000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.000	9.000	8.000	210.407	145.352	455.891	156.155	139.923	145.000	116.068	11.505	-0.030	0.073	0.202	9.000	8.000	172.955	155.381	455.891	152.142	148.148	162.000	124.329	3.946	-0.406	-0.091	0.169	9.000	8.000	242.719	192.193	455.891	184.182	143.517	160.647	129.028	3.743	0.008	-0.000	-0.091	9.000	8.000	197.500	151.432	455.891	154.144	134.692	144.071	112.621	14.690	0.325	0.145	-0.202	9.000	8.000	207.179	162.035	455.891	168.101	143.704	156.667	113.986	9.891	0.130	0.121	0.000	11.000	8.000	211.812	152.376	451.954	175.982	158.200	184.167	122.322	3.265	-0.092	0.049	0.146	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.000	8.000	150.889	136.597	449.417	161.321	140.286	159.100	117.237	10.312	0.273	0.080	-0.229	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.000	10.000	9.000	200.926	148.242	453.427	156.128	135.792	143.625	116.143	11.421	-0.084	0.082	0.129	10.000	9.000	179.148	157.283	453.427	152.321	145.704	153.190	122.840	4.168	0.222	-0.143	-0.234	10.000	9.000	248.933	192.195	453.427	187.201	144.034	159.000	126.378	3.827	0.084	-0.000	-0.052	10.000	9.000	187.793	152.926	453.427	154.267	133.320	145.000	111.293	14.985	0.295	0.202	-0.089	10.000	9.000	207.794	157.051	453.427	166.097	142.033	159.923	116.272	9.826	-0.065	0.061	0.182	12.000	9.000	220.621	156.238	453.155	172.611	152.867	173.400	132.342	3.173	-0.092	0.021	0.051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.000	9.000	203.778	173.316	450.771	160.390	143.483	160.462	119.681	13.185	2.874	-0.064	-0.713	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
