T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	15.145	34.450	965.813	570.123	112.930	179.526
2.000	15.145	34.580	933.197	556.774	112.210	174.576
3.000	15.145	34.580	941.767	553.296	112.378	175.215
4.000	15.080	34.450	938.260	553.630	112.248	174.140
5.000	14.950	34.645	930.737	537.655	112.151	172.672
6.000	15.340	34.255	929.475	539.139	112.180	171.870
7.000	15.275	34.255	933.856	534.744	112.315	172.356
8.000	15.145	34.255	928.691	530.734	112.353	172.614
9.000	14.885	34.320	934.862	532.075	112.363	172.477
10.000	14.885	34.385	934.314	533.450	112.323	171.766
11.000	14.885	34.385	927.443	532.589	112.346	171.498
12.000	14.885	34.385	931.814	543.685	112.234	170.808
13.000	14.950	34.190	933.065	544.113	112.333	170.791
14.000	14.950	34.320	936.092	545.064	112.314	170.368
15.000	14.885	34.385	935.821	541.192	112.245	169.939
16.000	14.885	34.255	938.318	543.509	112.325	170.169
17.000	14.885	34.190	939.598	550.803	112.327	169.983
18.000	14.885	34.125	939.863	547.005	112.380	170.677
19.000	15.080	33.800	950.202	545.573	112.538	170.843
20.000	15.015	33.995	948.148	544.529	112.516	169.890
21.000	14.950	33.020	935.418	543.072	112.571	170.161
22.000	14.950	33.020	936.127	544.397	112.525	169.337
23.000	14.885	33.150	933.349	541.970	112.483	169.143
24.000	14.885	33.150	929.746	536.376	112.507	168.759
25.000	14.885	33.085	927.303	529.866	112.498	168.150
26.000	14.885	33.215	926.823	530.968	112.450	167.833
27.000	16.770	30.550	959.502	543.443	112.545	167.688
28.000	16.640	30.680	955.504	536.984	112.597	167.371
29.000	14.820	33.280	926.776	529.726	112.589	167.089
30.000	16.640	30.875	959.232	542.041	112.599	166.364
31.000	16.770	30.810	965.524	545.755	112.574	165.811
32.000	16.770	30.875	966.474	549.724	112.530	165.471
33.000	16.705	30.940	964.148	548.217	112.561	165.688
34.000	16.705	31.005	966.265	552.888	112.577	165.340
35.000	16.770	31.005	971.607	555.126	112.583	165.516
36.000	16.705	31.070	967.369	558.949	112.631	165.141
37.000	16.900	30.940	962.960	555.324	112.492	163.953
38.000	16.835	31.135	962.929	551.314	112.512	164.342
39.000	16.835	31.005	953.062	551.004	112.560	164.762
40.000	14.950	33.605	934.483	542.449	112.562	164.875
41.000	14.950	33.475	927.781	539.624	112.642	165.447
42.000	16.055	31.785	944.520	542.455	112.543	164.556
43.000	16.835	30.745	955.929	544.011	112.585	164.801
44.000	16.640	30.940	958.851	545.266	112.698	165.244
45.000	16.575	31.005	958.463	536.819	112.705	165.121
46.000	16.835	30.615	960.455	531.831	112.757	164.962
47.000	16.835	30.550	957.461	532.656	112.729	164.472
48.000	16.705	29.900	947.233	535.485	112.666	163.808
49.000	16.640	29.965	944.014	535.430	112.680	163.201
50.000	17.030	29.770	946.722	536.596	112.765	163.407
51.000	16.055	30.745	930.919	528.812	112.653	163.185
52.000	16.575	30.030	942.023	531.024	112.823	163.629
53.000	16.835	29.770	942.064	524.140	112.948	164.341
54.000	17.030	29.510	940.045	516.909	112.930	164.162
55.000	17.290	29.380	944.736	518.174	113.035	164.737
56.000	16.965	29.640	944.323	511.152	113.108	165.254
57.000	16.770	29.770	942.849	501.855	113.226	165.820
58.000	16.575	30.095	936.415	501.621	113.136	165.308
59.000	16.965	29.445	928.560	502.802	113.018	164.838
60.000	16.705	29.770	920.807	501.125	113.041	165.058
61.000	16.770	29.900	924.545	512.132	113.003	164.681
62.000	14.820	32.630	882.986	499.163	112.849	163.734
63.000	16.835	30.095	904.981	506.344	112.656	162.507
64.000	16.835	30.095	906.669	510.077	112.590	161.942
65.000	17.095	29.900	904.849	515.646	112.539	161.730
66.000	16.965	29.900	906.215	517.244	112.350	161.156
67.000	16.835	30.225	910.873	519.913	112.398	162.132
68.000	16.835	30.225	917.558	530.298	112.257	161.489
69.000	16.835	30.290	921.745	526.432	112.326	161.429
70.000	16.965	30.225	926.962	529.687	112.259	160.719
71.000	17.030	30.030	923.432	528.236	112.164	160.164
72.000	16.445	30.745	925.541	523.324	112.291	160.559
73.000	16.770	30.420	926.049	519.808	112.280	160.669
74.000	16.835	30.290	924.047	517.147	112.304	160.412
75.000	17.095	29.965	928.605	518.194	112.242	160.360
76.000	17.095	30.030	938.209	516.286	112.346	160.434
77.000	17.160	29.900	941.940	518.203	112.291	160.069
78.000	16.900	30.225	941.356	519.780	112.290	159.845
79.000	16.900	29.965	952.954	517.618	112.333	160.398
80.000	15.015	32.500	916.932	507.871	112.272	160.309
81.000	16.835	30.030	940.253	514.644	112.341	161.024
82.000	16.705	30.290	928.045	518.470	112.185	160.973
83.000	16.705	30.225	923.130	526.886	112.299	161.148
84.000	16.640	30.225	918.868	524.763	112.285	161.594
85.000	16.705	30.160	911.659	522.758	112.261	161.704
86.000	14.885	32.565	886.387	510.083	112.300	162.422
87.000	16.900	29.900	913.167	524.273	112.331	162.609
88.000	17.160	29.510	906.254	523.470	112.236	162.336
89.000	17.160	29.380	907.160	522.995	112.254	162.444
90.000	17.160	27.950	851.165	526.495	112.188	161.903
91.000	17.030	28.145	846.299	524.419	112.070	161.501
92.000	14.495	31.395	818.832	504.674	112.156	162.013
93.000	16.510	28.665	839.941	513.811	112.227	162.536
94.000	14.560	31.460	819.849	498.245	112.171	162.488
95.000	14.495	31.460	819.120	493.631	112.144	162.739
96.000	14.495	31.460	813.914	489.681	112.009	162.369
97.000	17.160	28.080	845.657	508.767	112.117	162.736
98.000	17.160	28.145	844.008	502.312	112.132	163.286
99.000	17.160	28.080	841.165	498.807	112.169	163.527
100.000	14.560	31.590	815.308	480.393	112.134	163.145
101.000	14.560	31.590	817.511	483.875	112.179	163.594
102.000	14.560	31.850	816.129	477.484	112.184	163.795
103.000	14.430	31.980	817.339	484.111	112.117	163.257
104.000	17.160	28.535	838.566	497.854	112.080	163.179
105.000	17.160	28.600	840.176	498.016	112.123	163.415
106.000	14.495	32.045	817.841	474.922	112.125	163.808
107.000	17.160	28.730	841.696	492.444	112.134	163.638
108.000	17.095	28.795	838.499	489.709	112.077	163.402
109.000	14.495	32.175	813.390	472.463	112.101	163.962
110.000	14.560	32.110	805.615	467.591	111.919	162.944
111.000	16.445	29.640	832.364	486.461	112.035	163.676
112.000	17.030	29.055	820.980	487.145	111.883	162.916
113.000	17.030	28.990	815.346	484.562	111.764	162.339
114.000	16.835	29.120	812.237	482.235	111.846	162.715
115.000	14.625	32.175	785.984	466.641	111.810	162.243
116.000	14.495	32.240	788.903	470.999	111.840	162.294
117.000	14.690	31.915	793.583	471.404	111.828	161.970
118.000	14.560	32.045	786.848	471.911	111.869	162.333
119.000	14.625	32.045	785.669	470.482	111.796	161.892
120.000	14.690	32.045	790.937	472.576	111.869	162.050
121.000	14.625	32.110	792.251	474.497	111.795	161.541
