 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)
1	0.000	1.000	14.885	25.090	15.990	20.085	9.364	5.126	4.972	46.560	NaN	NaN	NaN	1.000	16.055	25.740	17.485	21.190	8.757	4.769	4.674	40.932	NaN	NaN	NaN	1.000	20.280	27.040	24.505	23.595	9.015	5.451	5.238	47.223	NaN	NaN	NaN	1.000	24.895	28.405	28.405	28.275	11.472	3.512	3.052	35.008	NaN	NaN	NaN	1.000	13.260	29.250	6.370	26.780	5.531	7.319	4.670	25.832	NaN	NaN	NaN	1.000	24.570	31.850	28.210	32.110	9.777	3.649	3.440	33.631	NaN	NaN	NaN	2.000	21.450	27.755	21.840	27.625	9.292	0.411	0.360	3.346	NaN	NaN	NaN
2	1.000	2.000	14.820	25.155	15.990	20.215	9.431	5.077	4.897	46.179	-0.076	-0.127	-0.078	2.000	16.055	25.480	17.485	21.190	9.145	4.522	4.411	40.340	-0.263	NaN	0.247	2.000	20.150	27.235	24.635	23.465	8.888	5.859	5.641	50.138	0.403	0.183	-0.225	2.000	25.090	28.405	28.665	28.210	11.706	3.580	3.140	36.758	0.088	0.263	0.195	2.000	13.260	29.250	6.500	26.780	5.654	7.197	4.583	25.908	-0.088	-0.122	NaN	2.000	24.635	31.850	28.405	32.110	9.875	3.779	3.551	35.068	0.111	0.195	0.065	3.000	20.865	27.820	22.295	27.755	8.855	1.431	0.973	8.619	0.613	0.449	-0.587
3	2.000	3.000	14.755	25.155	15.990	20.280	9.433	5.029	4.820	45.465	-0.077	-0.063	-0.016	3.000	15.860	25.610	17.485	21.190	8.998	4.709	4.535	40.809	0.124	NaN	-0.189	3.000	20.085	27.235	24.700	23.400	8.852	6.000	5.758	50.966	0.117	0.092	-0.050	3.000	25.090	28.405	28.925	28.145	11.706	3.844	3.395	39.745	0.255	0.264	NaN	3.000	13.000	29.185	6.500	26.845	5.806	6.908	4.576	26.567	-0.007	-0.022	0.267	3.000	24.700	31.850	28.535	32.240	9.937	3.855	3.580	35.579	0.029	0.142	0.065	4.000	21.645	27.690	22.360	27.690	9.423	0.715	0.498	4.694	-0.475	0.065	0.780
4	3.000	4.000	14.755	25.155	16.055	20.280	9.301	5.045	4.827	44.891	0.007	0.017	NaN	4.000	15.990	25.545	17.485	21.190	8.951	4.604	4.484	40.142	-0.051	NaN	0.104	4.000	20.085	27.235	24.830	23.270	8.781	6.184	5.962	52.356	0.205	0.183	NaN	4.000	24.700	28.470	29.120	28.145	11.327	4.432	3.925	44.464	0.530	0.194	-0.394	4.000	12.415	29.055	6.500	26.845	6.017	6.314	4.601	27.686	0.025	NaN	0.593	4.000	24.635	31.850	28.665	32.305	9.902	4.056	3.769	37.324	0.189	0.136	-0.065	5.000	21.515	27.820	22.165	27.755	9.470	0.653	0.497	4.711	-6.739E-4	-0.200	-0.142
5	4.000	5.000	14.755	25.155	16.120	20.280	9.492	5.062	4.846	45.998	0.019	0.018	NaN	5.000	15.990	25.350	17.485	21.125	9.353	4.482	4.365	40.826	-0.119	0.061	0.184	5.000	20.020	27.235	25.025	23.205	8.978	6.426	6.152	55.238	0.190	0.193	-0.051	5.000	24.635	28.535	29.380	28.145	11.451	4.761	4.221	48.338	0.296	0.259	-0.070	5.000	11.245	28.990	6.500	26.845	6.761	5.207	4.395	29.710	-0.207	NaN	1.093	5.000	24.505	31.850	28.795	32.370	9.955	4.321	3.971	39.538	0.202	0.137	-0.129	6.000	21.710	27.885	22.165	27.755	9.009	0.473	0.414	3.726	-0.084	NaN	0.170
6	5.000	6.000	14.820	25.025	16.185	20.150	9.245	5.062	4.791	44.286	-0.055	0.143	0.143	6.000	16.120	25.285	17.485	21.190	9.004	4.317	4.198	37.797	-0.167	-0.062	0.103	6.000	20.020	27.300	25.220	23.010	8.383	6.741	6.462	54.173	0.310	0.275	-0.041	6.000	24.960	28.405	29.510	28.080	11.259	4.562	4.056	45.672	-0.165	0.134	0.333	6.000	11.570	29.120	6.565	26.845	6.370	5.498	4.796	30.551	0.401	-0.059	-0.350	6.000	24.570	31.915	28.860	32.435	9.522	4.321	4.031	38.380	0.059	0.072	0.072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	6.000	7.000	14.820	25.090	16.315	20.085	9.176	5.224	4.925	45.191	0.134	0.099	-0.062	7.000	16.250	24.830	17.485	21.125	9.475	3.905	3.812	36.124	-0.385	0.062	0.473	7.000	19.955	27.300	25.350	22.880	8.383	6.974	6.679	55.990	0.217	0.183	-0.050	7.000	24.960	28.405	29.770	28.080	11.315	4.821	4.285	48.486	0.229	0.259	NaN	7.000	11.960	29.250	6.565	26.845	6.003	5.907	4.984	29.921	0.188	NaN	-0.409	7.000	24.505	31.850	28.990	32.565	9.538	4.542	4.160	39.677	0.129	0.149	-0.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	7.000	8.000	14.950	24.960	16.380	20.085	9.297	5.080	4.844	45.034	-0.081	0.018	0.161	8.000	16.315	24.570	17.485	21.125	9.755	3.638	3.560	34.734	-0.252	NaN	0.267	8.000	20.020	27.300	25.480	22.685	8.493	7.149	6.913	58.715	0.234	0.225	0.050	8.000	24.960	28.405	30.095	28.080	11.426	5.145	4.577	52.301	0.292	0.324	NaN	8.000	11.960	29.250	7.020	27.105	5.932	5.386	4.462	26.470	-0.522	-0.521	NaN	8.000	24.570	31.850	29.185	32.565	9.727	4.670	4.295	41.777	0.135	0.193	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	8.000	9.000	14.950	24.960	16.380	20.020	9.360	5.143	4.950	46.331	0.106	0.062	NaN	9.000	16.250	24.635	17.485	21.190	9.781	3.660	3.584	35.051	0.023	-0.061	-0.083	9.000	20.020	27.365	25.545	22.620	8.645	7.283	7.099	61.372	0.186	0.092	-0.042	9.000	24.505	28.535	30.225	28.080	11.225	5.738	5.136	57.659	0.559	0.130	-0.464	9.000	12.090	29.250	7.215	27.170	5.789	5.300	4.175	24.171	-0.287	-0.205	-0.120	9.000	24.505	31.850	29.445	32.630	9.932	5.001	4.591	45.596	0.296	0.267	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	9.000	10.000	14.950	24.960	16.445	20.085	9.425	5.099	4.885	46.044	-0.065	-0.043	NaN	10.000	16.250	24.765	17.485	21.190	9.716	3.782	3.713	36.077	0.129	NaN	-0.123	10.000	20.020	27.365	25.675	22.425	8.698	7.509	7.326	63.717	0.227	0.226	NaN	10.000	24.440	28.405	30.485	28.080	11.272	6.054	5.297	59.703	0.160	0.260	-0.058	10.000	12.090	29.185	7.475	27.235	5.904	5.010	3.903	23.039	-0.273	-0.265	0.025	10.000	24.570	31.850	29.640	32.630	10.011	5.130	4.707	47.126	0.116	0.193	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11	10.000	11.000	15.015	24.960	16.380	20.085	9.426	5.062	4.893	46.124	0.008	-0.018	0.018	11.000	16.250	24.765	17.485	21.125	9.716	3.844	3.777	36.703	0.064	0.062	NaN	11.000	20.020	27.235	25.805	22.360	8.803	7.565	7.334	64.562	0.008	0.141	0.084	11.000	24.375	28.405	30.680	28.080	11.217	6.313	5.508	61.778	0.211	0.195	-0.065	11.000	12.155	29.185	7.605	27.235	5.873	4.950	3.842	22.562	-0.061	-0.119	-0.060	11.000	24.505	31.850	29.770	32.695	9.948	5.332	4.876	48.507	0.169	0.139	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	11.000	12.000	14.950	24.960	16.510	20.020	9.425	5.180	4.951	46.661	0.057	0.101	-0.020	12.000	16.315	24.830	17.485	21.125	9.661	3.885	3.837	37.074	0.060	NaN	-0.042	12.000	20.085	27.170	25.935	22.295	8.894	7.615	7.375	65.593	0.041	0.141	0.092	12.000	24.310	28.405	30.940	28.080	11.162	6.638	5.772	64.431	0.265	0.260	-0.065	12.000	12.090	29.055	7.865	27.430	6.018	4.527	3.401	20.470	-0.440	-0.313	0.107	12.000	24.505	31.850	29.965	32.695	9.948	5.525	5.064	50.383	0.189	0.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13	12.000	13.000	14.950	24.960	16.575	20.020	9.230	5.200	4.940	45.596	-0.011	0.020	NaN	13.000	16.380	24.635	17.485	21.125	9.661	3.680	3.635	35.118	-0.202	NaN	0.206	13.000	20.150	27.235	26.130	22.100	8.684	7.882	7.693	66.810	0.318	0.275	0.007	13.000	24.505	28.405	31.135	28.080	11.170	6.638	5.840	65.230	0.067	0.195	0.195	13.000	12.285	29.120	8.190	27.560	5.728	4.382	3.286	18.822	-0.115	-0.350	-0.205	13.000	24.505	31.850	30.160	32.695	9.837	5.718	5.292	52.056	0.227	0.193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
