dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)
0.000	1.000	0.000	359.667	251.659	965.813	280.670	204.679	235.467	137.396	5.714	0.000	NaN	NaN	1.000	0.000	448.179	608.651	965.813	271.379	199.250	222.700	228.027	5.275	0.000	NaN	NaN	1.000	0.000	606.323	187.081	965.813	308.052	212.643	237.889	191.578	5.877	0.000	NaN	NaN	1.000	0.000	375.500	176.894	965.813	244.455	201.679	226.571	172.503	3.923	0.000	NaN	NaN	1.000	0.000	548.185	275.105	965.813	391.054	238.133	283.389	106.014	8.257	0.000	NaN	NaN	1.000	0.000	411.194	180.966	965.813	259.401	186.731	204.500	172.061	3.980	0.000	NaN	NaN	2.000	0.000	258.576	252.578	933.197	225.762	224.857	234.333	231.737	0.676	0.676	NaN	NaN
1.000	2.000	1.000	370.464	268.469	933.197	272.480	188.767	223.933	144.530	5.714	0.000	-0.127	-0.078	2.000	1.000	384.552	239.946	933.197	246.865	189.714	221.071	139.807	5.061	-0.214	0.000	0.247	2.000	1.000	642.114	377.115	933.197	305.630	201.750	236.812	132.342	6.355	0.479	0.183	-0.225	2.000	1.000	344.742	213.953	933.197	238.420	191.033	213.474	128.013	3.961	0.038	0.263	0.195	2.000	1.000	566.207	332.218	933.197	377.742	212.935	258.125	157.884	8.062	-0.195	-0.122	-0.000	2.000	1.000	362.000	241.611	933.197	233.822	171.375	185.765	125.848	4.091	0.111	0.195	0.065	3.000	1.000	406.962	354.045	941.767	257.490	225.000	249.300	235.479	1.935	1.259	0.449	-0.587
2.000	3.000	2.000	359.172	245.647	941.767	277.977	191.750	222.667	136.466	5.611	-0.103	-0.063	-0.016	3.000	2.000	444.533	279.233	941.767	267.170	204.567	243.000	133.899	5.337	0.276	0.000	-0.189	3.000	2.000	629.706	340.878	941.767	299.149	199.414	235.692	133.642	6.539	0.184	0.092	-0.050	3.000	2.000	349.000	213.704	941.767	240.268	190.222	207.056	125.846	4.202	0.241	0.264	0.000	3.000	2.000	554.250	293.657	941.767	371.593	201.286	236.800	143.959	7.794	-0.268	-0.022	0.267	3.000	2.000	360.667	231.650	941.767	240.390	182.333	199.125	123.049	4.229	0.138	0.142	0.065	4.000	2.000	259.548	254.068	938.260	227.250	222.500	235.643	235.059	0.990	-0.945	0.065	0.780
3.000	4.000	3.000	403.677	247.266	938.260	281.823	188.893	224.538	134.414	5.711	0.100	0.017	0.000	4.000	3.000	436.655	228.783	938.260	267.992	210.607	233.000	137.830	5.153	-0.184	0.000	0.104	4.000	3.000	592.406	323.662	938.260	295.327	194.654	218.471	132.946	6.612	0.073	0.183	0.000	4.000	3.000	379.600	243.698	938.260	251.900	197.714	223.312	126.801	4.868	0.666	0.194	-0.394	4.000	3.000	480.655	255.878	938.260	354.932	191.500	233.385	138.897	7.182	-0.612	-0.000	0.593	4.000	3.000	351.926	237.370	938.260	244.504	185.250	204.333	126.273	4.424	0.195	0.136	-0.065	5.000	3.000	298.097	247.710	930.737	250.261	241.714	261.692	236.212	0.863	-0.127	-0.200	-0.142
4.000	5.000	4.000	425.000	252.571	930.737	281.869	197.867	248.500	131.925	5.684	-0.027	0.018	0.000	5.000	4.000	443.429	234.756	930.737	261.805	183.357	225.846	136.479	4.977	-0.176	0.061	0.184	5.000	4.000	649.677	338.440	930.737	294.936	200.481	214.826	128.463	6.964	0.352	0.193	-0.051	5.000	4.000	404.767	242.214	930.737	260.986	193.259	226.636	126.243	5.239	0.371	0.259	-0.070	5.000	4.000	497.710	248.944	930.737	331.367	199.714	254.727	134.042	5.996	-1.186	-0.000	1.093	5.000	4.000	387.848	240.975	930.737	246.287	176.259	192.316	125.732	4.876	0.452	0.137	-0.129	6.000	4.000	313.171	249.897	929.475	251.944	234.483	258.579	236.913	0.760	-0.103	0.000	0.170
5.000	6.000	5.000	370.581	239.962	929.475	275.703	176.929	209.100	128.124	5.673	-0.011	0.143	0.143	6.000	5.000	444.464	230.694	929.475	271.588	206.778	248.750	137.711	4.793	-0.184	-0.062	0.103	6.000	5.000	622.250	349.205	929.475	289.720	204.500	233.611	126.211	7.221	0.257	0.275	-0.041	6.000	5.000	338.146	214.756	929.475	236.492	191.633	222.083	130.159	5.266	0.027	0.134	0.333	6.000	5.000	537.387	268.760	929.475	319.681	199.893	233.474	141.772	6.245	0.249	-0.059	-0.350	6.000	5.000	377.731	227.950	929.475	244.929	179.815	202.923	129.331	4.692	-0.184	0.072	0.072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.000	7.000	6.000	413.241	263.433	933.856	285.257	191.036	220.267	127.945	5.792	0.119	0.099	-0.062	7.000	6.000	422.556	210.417	933.856	261.406	186.393	223.500	135.878	4.403	-0.390	0.062	0.473	7.000	6.000	632.276	364.410	933.856	293.711	207.793	244.286	129.340	7.404	0.184	0.183	-0.050	7.000	6.000	329.619	210.808	933.856	241.122	197.600	243.111	125.722	5.572	0.306	0.259	0.000	7.000	6.000	545.594	274.529	933.856	318.813	190.536	230.714	137.103	6.735	0.490	-0.000	-0.409	7.000	6.000	398.593	241.922	933.856	253.178	182.815	198.625	129.275	4.903	0.211	0.149	-0.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000	8.000	7.000	400.091	276.640	928.691	288.792	190.500	219.944	130.483	5.784	-0.008	0.018	0.161	8.000	7.000	419.115	209.588	928.691	259.126	194.036	228.278	134.152	4.089	-0.314	0.000	0.267	8.000	7.000	603.821	341.241	928.691	281.959	191.964	228.800	128.831	7.615	0.211	0.225	0.050	8.000	7.000	330.829	204.626	928.691	239.656	194.733	219.714	126.884	5.786	0.214	0.324	0.000	8.000	7.000	540.375	264.625	928.691	329.555	196.833	241.857	169.792	6.191	-0.544	-0.521	-0.000	8.000	7.000	374.593	237.245	928.691	246.369	199.071	228.933	127.034	5.079	0.176	0.193	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.000	9.000	8.000	420.393	285.375	934.862	297.536	184.750	212.471	129.725	5.746	-0.038	0.062	0.000	9.000	8.000	424.767	251.845	934.862	265.429	205.400	248.231	140.284	4.200	0.111	-0.061	-0.083	9.000	8.000	587.533	345.415	934.862	286.394	202.536	237.929	130.007	7.753	0.138	0.092	-0.042	9.000	8.000	390.893	249.532	934.862	252.618	211.500	241.467	130.362	6.149	0.363	0.130	-0.464	9.000	8.000	563.833	276.480	934.862	338.004	196.100	245.143	150.361	6.053	-0.138	-0.205	-0.120	9.000	8.000	392.222	242.420	934.862	248.600	183.138	204.611	125.391	5.404	0.325	0.267	-0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.000	10.000	9.000	408.857	280.824	934.314	295.266	180.321	215.083	138.727	5.681	-0.065	-0.043	0.000	10.000	9.000	455.036	265.036	934.314	265.795	201.333	232.882	137.872	4.330	0.130	0.000	-0.123	10.000	9.000	545.143	331.469	934.314	285.625	184.786	211.588	129.114	8.002	0.249	0.226	0.000	10.000	9.000	390.885	247.147	934.314	252.758	205.900	243.231	129.300	6.493	0.344	0.260	-0.058	10.000	9.000	519.800	270.000	934.314	336.561	193.964	231.312	156.297	5.720	-0.333	-0.265	0.025	10.000	9.000	369.103	239.240	934.314	243.176	192.393	217.133	123.872	5.580	0.176	0.193	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
