T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	27.755	13.975	384.608	145.029	104.301	124.111
2.000	28.015	14.040	370.858	142.307	104.108	123.088
3.000	27.950	14.105	373.161	141.806	104.157	123.250
4.000	28.145	14.170	377.330	140.115	104.216	123.515
5.000	28.080	14.170	376.643	141.402	104.224	123.059
6.000	28.015	14.300	375.415	142.184	104.209	122.925
7.000	27.950	14.170	373.658	142.675	104.245	123.100
8.000	28.145	14.235	372.711	139.056	104.213	123.008
9.000	28.080	14.235	372.227	139.609	104.212	122.740
10.000	28.080	14.235	371.597	140.703	104.190	122.908
11.000	28.015	14.365	374.893	140.543	104.212	123.138
12.000	28.275	14.560	376.465	138.144	104.187	123.148
13.000	27.755	14.755	375.027	140.632	104.227	123.830
14.000	27.300	14.885	374.402	142.592	104.285	123.957
15.000	26.910	14.885	372.154	143.207	104.308	123.659
16.000	28.080	15.080	377.060	139.174	104.313	123.521
17.000	28.080	15.145	374.355	139.479	104.299	123.155
18.000	27.495	15.145	373.754	138.723	104.315	123.121
19.000	26.455	15.210	370.663	143.160	104.299	122.804
20.000	27.365	15.145	374.203	141.282	104.324	122.617
21.000	26.780	15.405	370.996	141.330	104.343	121.758
22.000	27.235	15.145	372.626	142.410	104.311	121.454
23.000	26.975	15.210	372.200	144.424	104.350	121.633
24.000	26.325	14.885	366.891	143.536	104.325	121.348
25.000	27.365	14.885	367.880	143.206	104.324	121.271
26.000	26.975	15.015	361.303	144.346	104.290	120.954
27.000	27.235	15.210	359.507	145.117	104.299	120.915
28.000	27.105	15.340	360.535	144.530	104.320	121.499
29.000	27.495	15.275	360.166	142.955	104.276	121.034
30.000	26.780	15.275	357.534	142.630	104.264	121.436
31.000	26.715	15.405	359.853	142.442	104.252	121.664
32.000	27.170	15.470	362.592	141.221	104.294	121.911
33.000	27.690	15.405	363.117	139.541	104.280	121.746
34.000	27.365	15.405	365.084	138.656	104.255	121.692
35.000	27.300	15.405	366.307	136.876	104.235	121.487
36.000	27.300	15.470	362.741	136.443	104.241	121.386
37.000	27.495	15.600	367.955	136.833	104.254	120.927
38.000	27.625	15.665	367.335	136.700	104.262	120.913
39.000	27.495	15.600	362.723	136.197	104.229	121.028
40.000	27.625	15.600	363.242	136.770	104.254	121.369
41.000	27.820	15.730	365.169	137.493	104.289	121.337
42.000	26.520	15.925	361.114	137.338	104.251	121.353
43.000	27.040	15.990	362.669	137.804	104.299	121.486
44.000	26.910	16.185	358.532	137.248	104.248	121.111
45.000	27.950	16.445	359.500	136.202	104.249	121.150
46.000	27.040	16.575	357.636	136.624	104.221	121.076
47.000	26.520	16.380	355.487	135.622	104.244	121.237
48.000	27.300	16.250	354.602	135.204	104.270	121.292
49.000	26.975	16.315	354.291	135.976	104.262	121.084
50.000	26.780	16.705	353.754	136.051	104.302	121.367
51.000	27.300	16.055	355.813	133.260	104.279	121.216
52.000	26.715	16.055	352.258	136.758	104.237	120.805
53.000	27.300	16.055	353.710	134.493	104.227	120.801
54.000	27.105	16.055	354.528	135.933	104.257	120.846
55.000	27.300	16.055	352.564	133.742	104.232	120.818
56.000	27.105	15.470	352.292	134.142	104.207	120.405
