 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)	T (11)	Base X (11)	Base Y (11)	Tip X (11)	Tip Y (11)	||[body,base]|| (11)	||[base,tip]||  (11)	||[base,tip]|| : [body,base] (11)	[base,tip] ? [body,base] (11)	?||[base,tip]|| : [body,base] (11)	||[tip(t-1),tip(t)]|| : [base,tip] (11)	||[base(t-1),base(t)]|| : [base,tip] (11)	T (12)	Base X (12)	Base Y (12)	Tip X (12)	Tip Y (12)	||[body,base]|| (12)	||[base,tip]||  (12)	||[base,tip]|| : [body,base] (12)	[base,tip] ? [body,base] (12)	?||[base,tip]|| : [body,base] (12)	||[tip(t-1),tip(t)]|| : [base,tip] (12)	||[base(t-1),base(t)]|| : [base,tip] (12)	T (13)	Base X (13)	Base Y (13)	Tip X (13)	Tip Y (13)	||[body,base]|| (13)	||[base,tip]||  (13)	||[base,tip]|| : [body,base] (13)	[base,tip] ? [body,base] (13)	?||[base,tip]|| : [body,base] (13)	||[tip(t-1),tip(t)]|| : [base,tip] (13)	||[base(t-1),base(t)]|| : [base,tip] (13)	T (14)	Base X (14)	Base Y (14)	Tip X (14)	Tip Y (14)	||[body,base]|| (14)	||[base,tip]||  (14)	||[base,tip]|| : [body,base] (14)	[base,tip] ? [body,base] (14)	?||[base,tip]|| : [body,base] (14)	||[tip(t-1),tip(t)]|| : [base,tip] (14)	||[base(t-1),base(t)]|| : [base,tip] (14)	T (15)	Base X (15)	Base Y (15)	Tip X (15)	Tip Y (15)	||[body,base]|| (15)	||[base,tip]||  (15)	||[base,tip]|| : [body,base] (15)	[base,tip] ? [body,base] (15)	?||[base,tip]|| : [body,base] (15)	||[tip(t-1),tip(t)]|| : [base,tip] (15)	||[base(t-1),base(t)]|| : [base,tip] (15)	T (16)	Base X (16)	Base Y (16)	Tip X (16)	Tip Y (16)	||[body,base]|| (16)	||[base,tip]||  (16)	||[base,tip]|| : [body,base] (16)	[base,tip] ? [body,base] (16)	?||[base,tip]|| : [body,base] (16)	||[tip(t-1),tip(t)]|| : [base,tip] (16)	||[base(t-1),base(t)]|| : [base,tip] (16)	T (17)	Base X (17)	Base Y (17)	Tip X (17)	Tip Y (17)	||[body,base]|| (17)	||[base,tip]||  (17)	||[base,tip]|| : [body,base] (17)	[base,tip] ? [body,base] (17)	?||[base,tip]|| : [body,base] (17)	||[tip(t-1),tip(t)]|| : [base,tip] (17)	||[base(t-1),base(t)]|| : [base,tip] (17)	T (18)	Base X (18)	Base Y (18)	Tip X (18)	Tip Y (18)	||[body,base]|| (18)	||[base,tip]||  (18)	||[base,tip]|| : [body,base] (18)	[base,tip] ? [body,base] (18)	?||[base,tip]|| : [body,base] (18)	||[tip(t-1),tip(t)]|| : [base,tip] (18)	||[base(t-1),base(t)]|| : [base,tip] (18)	T (19)	Base X (19)	Base Y (19)	Tip X (19)	Tip Y (19)	||[body,base]|| (19)	||[base,tip]||  (19)	||[base,tip]|| : [body,base] (19)	[base,tip] ? [body,base] (19)	?||[base,tip]|| : [body,base] (19)	||[tip(t-1),tip(t)]|| : [base,tip] (19)	||[base(t-1),base(t)]|| : [base,tip] (19)	T (20)	Base X (20)	Base Y (20)	Tip X (20)	Tip Y (20)	||[body,base]|| (20)	||[base,tip]||  (20)	||[base,tip]|| : [body,base] (20)	[base,tip] ? [body,base] (20)	?||[base,tip]|| : [body,base] (20)	||[tip(t-1),tip(t)]|| : [base,tip] (20)	||[base(t-1),base(t)]|| : [base,tip] (20)
1	0.000	1.000	23.270	14.040	21.320	12.025	4.485	2.804	1.921	8.615	NaN	NaN	NaN	1.000	15.015	15.080	10.205	14.040	12.788	4.921	4.702	60.130	NaN	NaN	NaN	1.000	16.965	18.720	16.055	19.565	11.787	1.242	1.173	13.828	NaN	NaN	NaN	1.000	30.485	18.265	31.655	19.825	5.085	1.950	1.944	9.887	NaN	NaN	NaN	1.000	22.685	20.410	22.100	21.450	8.192	1.193	1.179	9.658	NaN	NaN	NaN	1.000	17.485	21.125	16.120	22.035	12.514	1.641	1.640	20.525	NaN	NaN	NaN	1.000	27.690	21.125	27.560	22.490	7.150	1.371	1.366	9.768	NaN	NaN	NaN	1.000	28.600	20.735	29.380	22.880	6.813	2.282	2.225	15.159	NaN	NaN	NaN	1.000	25.350	20.150	21.450	23.075	6.627	4.875	4.141	27.441	NaN	NaN	NaN	1.000	26.325	20.995	24.115	24.375	7.164	4.038	3.753	26.888	NaN	NaN	NaN	1.000	26.845	21.320	23.920	26.845	7.401	6.251	5.843	43.243	NaN	NaN	NaN	8.000	19.500	13.780	17.095	12.740	8.657	2.620	2.456	21.264	NaN	NaN	NaN	5.000	15.730	17.615	15.535	17.550	12.821	0.206	0.170	2.184	NaN	NaN	NaN	9.000	15.535	18.135	15.340	18.135	13.137	0.195	0.186	2.446	NaN	NaN	NaN	10.000	16.510	20.410	16.380	20.475	13.115	0.145	0.145	1.905	NaN	NaN	NaN	17.000	20.410	23.530	20.280	23.660	11.364	0.184	0.184	2.087	NaN	NaN	NaN	27.000	18.980	14.950	14.365	12.090	8.259	5.429	4.703	38.840	NaN	NaN	NaN	29.000	21.515	22.880	21.320	23.010	9.675	0.234	0.223	2.155	NaN	NaN	NaN	46.000	22.880	26.390	22.750	26.585	10.660	0.234	0.230	2.455	NaN	NaN	NaN	57.000	15.405	14.430	15.340	14.300	11.017	0.145	0.075	0.824	NaN	NaN	NaN	60.000	20.150	20.995	20.020	20.995	8.788	0.130	0.096	0.845	NaN	NaN	NaN
2	1.000	2.000	23.205	13.975	21.255	12.025	4.810	2.758	1.976	9.506	0.056	0.046	0.092	2.000	15.470	15.145	10.075	14.040	12.594	5.507	5.277	66.459	0.575	0.127	-0.459	2.000	17.095	18.720	16.055	19.630	11.881	1.382	1.314	15.616	0.141	0.043	-0.098	2.000	30.615	18.330	31.655	19.825	5.016	1.821	1.818	9.118	-0.127	NaN	0.128	2.000	22.750	20.410	22.035	21.580	8.264	1.371	1.357	11.217	0.178	0.145	-0.034	2.000	17.680	21.060	16.055	22.035	12.494	1.895	1.892	23.639	0.252	0.056	-0.201	2.000	27.755	21.450	27.560	22.555	7.415	1.122	1.111	8.239	-0.255	0.064	0.309	2.000	28.665	20.930	29.380	22.880	6.921	2.077	2.009	13.900	-0.217	NaN	0.205	2.000	25.350	20.150	21.515	23.075	6.666	4.823	4.214	28.092	0.073	-0.052	NaN	2.000	26.260	21.190	24.115	24.375	7.362	3.840	3.605	26.537	-0.149	NaN	0.198	2.000	26.780	21.320	23.920	26.845	7.384	6.221	5.926	43.754	0.083	NaN	0.030	9.000	19.890	14.040	16.965	12.870	8.192	3.150	2.952	24.184	0.496	0.072	-0.459	6.000	15.600	17.615	15.210	17.485	12.850	0.411	0.343	4.411	0.173	0.329	0.123	10.000	15.535	18.135	15.340	18.070	13.137	0.206	0.167	2.193	-0.019	0.021	NaN	11.000	17.160	19.825	15.990	20.930	12.151	1.609	1.542	18.734	1.396	0.596	-0.874	18.000	20.345	23.530	19.955	23.920	11.020	0.552	0.550	6.059	0.366	0.414	0.046	28.000	18.915	14.885	13.975	12.155	8.203	5.644	5.084	41.701	0.381	0.310	0.088	30.000	21.710	22.815	21.320	23.075	9.086	0.469	0.433	3.938	0.211	0.036	-0.198	47.000	23.075	25.935	22.685	26.715	10.157	0.872	0.866	8.796	0.636	0.145	-0.494	58.000	15.405	14.430	15.210	14.235	11.394	0.276	0.206	2.345	0.131	0.138	NaN	61.000	20.085	20.800	19.890	20.865	8.764	0.206	0.191	1.673	0.095	0.082	-3.324E-15
3	2.000	3.000	23.270	13.910	21.320	12.025	4.684	2.712	2.027	9.494	0.051	-0.047	-0.002	3.000	15.405	15.145	10.010	14.040	12.588	5.507	5.285	66.531	0.008	0.064	0.064	3.000	17.160	18.785	16.055	19.760	11.761	1.474	1.402	16.486	0.087	0.086	-0.006	3.000	30.550	18.265	31.720	19.890	4.906	2.002	1.998	9.802	0.181	0.091	-0.091	3.000	22.815	20.410	22.035	21.645	8.131	1.461	1.450	11.792	0.093	0.055	-0.035	3.000	17.810	21.125	16.055	22.230	12.333	2.074	2.072	25.553	0.180	0.104	-0.075	3.000	27.755	21.450	27.560	22.620	7.348	1.186	1.175	8.632	0.064	0.064	NaN	3.000	28.665	20.930	29.380	23.075	6.862	2.261	2.208	15.151	0.199	0.185	NaN	3.000	25.220	20.215	21.450	23.075	6.692	4.732	4.149	27.767	-0.065	0.052	0.143	3.000	26.195	21.255	24.115	24.440	7.362	3.804	3.589	26.423	-0.015	0.054	0.090	3.000	26.780	21.385	23.920	26.910	7.373	6.221	5.909	43.568	-0.017	0.058	0.058	10.000	20.085	14.235	16.770	13.000	7.995	3.538	3.315	26.503	0.363	0.137	-0.251	7.000	15.600	17.485	15.080	17.355	12.787	0.536	0.469	5.991	0.125	0.158	0.032	11.000	15.535	18.460	15.080	18.655	13.135	0.495	0.493	6.477	0.326	0.469	0.128	12.000	17.160	20.345	16.185	21.255	12.530	1.334	1.285	16.101	-0.257	0.079	0.355	19.000	20.410	23.465	19.695	24.310	10.232	1.107	1.104	11.298	0.554	0.466	-0.092	29.000	18.655	14.820	13.650	12.090	8.852	5.701	5.139	45.486	0.055	0.316	0.259	31.000	21.905	22.685	21.385	23.075	8.726	0.650	0.612	5.340	0.179	-0.052	-0.234	48.000	23.335	25.805	22.815	26.975	10.345	1.280	1.280	13.241	0.414	0.185	-0.224	59.000	15.535	14.430	15.015	14.105	11.462	0.613	0.539	6.181	0.333	0.234	-0.110	62.000	20.020	20.865	19.760	20.995	8.947	0.291	0.282	2.527	0.091	0.174	0.087
4	3.000	4.000	23.335	13.975	21.320	12.090	4.814	2.759	2.090	10.060	0.063	-0.044	-0.092	4.000	15.665	15.210	9.620	14.040	12.523	6.157	5.927	74.225	0.642	0.383	-0.268	4.000	17.290	18.915	15.990	19.890	11.847	1.625	1.582	18.738	0.180	0.130	-0.026	4.000	30.550	18.395	31.785	20.020	4.862	2.041	2.023	9.836	0.025	0.143	0.104	4.000	22.880	20.280	21.970	21.645	8.066	1.641	1.628	13.131	0.178	0.036	-0.144	4.000	18.135	20.995	15.925	22.360	12.115	2.598	2.595	31.438	0.523	0.179	-0.345	4.000	27.690	21.580	27.495	22.685	7.424	1.122	1.115	8.277	-0.060	0.075	0.139	4.000	28.600	20.800	29.445	23.140	6.646	2.488	2.392	15.899	0.185	0.083	-0.144	4.000	25.155	20.215	21.450	23.010	6.744	4.641	4.148	27.974	-0.001	-0.039	0.052	4.000	26.130	21.320	24.115	24.375	7.429	3.660	3.487	25.903	-0.102	-0.054	0.090	4.000	26.715	21.385	23.920	26.845	7.355	6.134	5.899	43.391	-0.010	-0.058	0.030	11.000	20.215	14.495	16.510	13.325	7.801	3.885	3.685	28.747	0.370	0.150	-0.202	8.000	15.730	17.355	14.820	17.225	12.801	0.919	0.851	10.892	0.382	0.276	-0.110	12.000	16.250	18.460	15.080	18.980	12.642	1.280	1.273	16.097	0.780	0.132	-0.653	13.000	17.225	20.085	15.990	21.125	11.802	1.615	1.572	18.548	0.287	0.065	-0.217	20.000	20.410	23.465	19.370	24.570	10.844	1.517	1.515	16.427	0.411	0.412	NaN	30.000	18.005	14.950	18.070	14.885	8.781	0.092	-0.063	-0.549	-5.201	1.149	-0.552	32.000	21.970	22.685	21.320	23.140	8.894	0.793	0.749	6.663	0.137	0.091	-0.053	49.000	23.400	25.870	22.750	27.300	10.202	1.571	1.567	15.987	0.287	0.323	0.032	60.000	15.665	14.430	14.950	13.975	11.004	0.847	0.741	8.150	0.201	0.125	-0.110	63.000	20.475	20.995	19.825	21.385	8.551	0.758	0.739	6.321	0.457	0.145	-0.323
5	4.000	5.000	23.530	14.105	21.255	11.960	4.550	3.127	2.305	10.491	0.216	0.136	-0.231	5.000	15.665	15.210	9.425	13.910	12.458	6.374	6.110	76.118	0.183	0.217	NaN	5.000	17.095	19.240	16.055	20.020	12.099	1.300	1.271	15.379	-0.311	0.026	0.351	5.000	30.355	18.395	31.785	19.955	4.799	2.116	2.051	9.844	0.028	-0.048	-0.132	5.000	22.750	20.345	21.905	21.710	8.157	1.605	1.585	12.933	-0.043	0.089	0.124	5.000	18.265	20.930	15.860	22.360	11.918	2.798	2.792	33.272	0.197	0.056	-0.145	5.000	27.690	21.580	27.495	22.750	7.420	1.186	1.179	8.746	0.064	0.064	NaN	5.000	28.600	20.670	29.445	23.075	6.521	2.549	2.465	16.072	0.072	-0.061	-0.123	5.000	24.895	20.345	21.450	23.075	6.948	4.396	4.005	27.830	-0.142	0.040	0.285	5.000	26.195	21.385	24.180	24.375	7.457	3.606	3.402	25.371	-0.085	-0.036	0.018	5.000	26.715	21.515	23.920	26.845	7.471	6.018	5.751	42.964	-0.148	NaN	0.115	12.000	20.085	14.885	16.055	13.845	8.196	4.162	3.986	32.668	0.301	0.311	0.028	9.000	15.795	17.225	14.690	17.030	12.644	1.122	1.028	12.992	0.177	0.162	-0.041	13.000	16.575	18.590	15.015	19.240	11.819	1.690	1.687	19.934	0.413	0.160	-0.250	14.000	17.745	19.825	15.990	21.125	10.756	2.184	2.156	23.191	0.584	NaN	-0.573	21.000	20.215	23.920	19.240	24.830	10.752	1.334	1.316	14.150	-0.199	0.272	0.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	22.035	22.555	21.255	23.270	9.116	1.058	1.045	9.523	0.295	0.136	-0.136	50.000	23.075	26.780	22.555	27.625	10.735	0.992	0.973	10.440	-0.595	0.379	0.945	61.000	15.860	14.430	14.820	13.845	10.943	1.193	1.076	11.775	0.335	0.177	-0.170	64.000	20.475	21.060	19.890	21.385	8.825	0.669	0.643	5.678	-0.096	-0.057	0.032
6	5.000	6.000	23.530	14.170	21.255	11.960	4.487	3.172	2.338	10.491	0.033	NaN	-0.045	6.000	15.470	15.145	9.100	13.845	12.573	6.501	6.268	78.813	0.159	0.331	0.204	6.000	16.575	19.825	16.120	20.020	12.704	0.495	0.495	6.283	-0.777	-0.060	0.708	6.000	30.225	18.330	31.785	19.955	4.596	2.253	2.175	9.996	0.123	NaN	-0.137	6.000	22.685	20.410	21.840	21.775	8.108	1.605	1.584	12.844	-0.001	0.089	0.089	6.000	18.330	20.930	16.185	22.295	11.737	2.542	2.541	29.824	-0.251	-0.309	-0.055	6.000	27.625	21.775	27.560	22.815	7.485	1.042	1.042	7.799	-0.137	0.061	0.199	6.000	28.535	20.540	29.445	23.075	6.262	2.693	2.602	16.292	0.137	NaN	-0.144	6.000	24.505	20.865	21.450	23.075	7.444	3.771	3.389	25.232	-0.616	NaN	0.621	6.000	26.195	21.255	24.180	24.375	7.189	3.714	3.528	25.367	0.126	NaN	-0.109	6.000	26.715	21.385	23.920	26.845	7.203	6.134	5.875	42.318	0.124	NaN	-0.116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	15.925	17.225	14.625	16.900	12.517	1.340	1.185	14.830	0.157	0.095	-0.126	14.000	17.030	18.590	15.080	19.500	10.918	2.152	2.143	23.398	0.457	0.051	-0.412	15.000	18.135	19.630	15.925	21.190	9.976	2.705	2.686	26.795	0.530	0.091	-0.431	22.000	20.605	23.465	19.045	24.960	10.639	2.161	2.141	22.781	0.825	0.231	-0.596	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	22.165	22.425	21.125	23.400	8.736	1.426	1.403	12.253	0.358	0.184	-0.184	51.000	23.660	25.285	22.490	27.950	9.922	2.911	2.908	28.857	1.936	0.324	-1.604	62.000	15.925	14.430	14.755	13.780	10.939	1.338	1.207	13.199	0.131	0.088	-0.057	65.000	20.605	21.125	19.760	21.580	8.874	0.960	0.912	8.091	0.268	0.207	-0.084
7	6.000	7.000	23.465	14.235	21.255	11.960	4.485	3.172	2.177	9.764	-0.161	NaN	-0.001	7.000	15.340	15.145	8.970	13.780	12.648	6.515	6.246	78.995	-0.022	0.141	0.127	7.000	16.510	19.890	16.185	19.955	12.790	0.331	0.320	4.090	-0.175	-0.076	0.076	7.000	30.225	18.460	31.785	19.955	4.856	2.161	2.052	9.963	-0.123	NaN	0.090	7.000	22.490	20.670	21.970	21.645	8.489	1.105	1.081	9.177	-0.503	-0.176	0.321	7.000	18.460	20.865	16.965	21.645	11.614	1.686	1.671	19.410	-0.870	-0.992	-0.145	7.000	27.690	21.645	27.560	22.880	7.480	1.242	1.239	9.265	0.197	0.065	-0.136	7.000	28.535	20.670	29.445	23.140	6.526	2.632	2.542	16.587	-0.060	0.061	0.122	7.000	24.180	21.190	21.515	23.075	7.968	3.264	2.922	23.280	-0.468	-0.053	0.453	7.000	26.195	21.450	24.180	24.310	7.489	3.499	3.253	24.357	-0.276	-0.053	0.159	7.000	26.715	21.515	23.920	26.845	7.448	6.018	5.720	42.601	-0.155	NaN	0.115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	16.250	17.290	14.560	17.030	12.123	1.710	1.577	19.122	0.393	0.044	-0.331	15.000	17.160	18.655	15.080	19.630	10.453	2.297	2.292	23.956	0.149	0.055	-0.090	16.000	18.135	19.760	15.860	21.385	10.991	2.796	2.750	30.230	0.064	0.166	0.076	23.000	20.085	23.595	18.720	25.025	10.853	1.977	1.971	21.395	-0.170	0.271	0.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	22.295	22.360	21.125	23.595	8.569	1.701	1.686	14.445	0.283	0.142	-0.137	52.000	23.725	25.350	22.360	28.275	9.764	3.228	3.202	31.269	0.294	0.349	0.031	63.000	16.055	14.430	14.690	13.715	10.615	1.541	1.406	14.927	0.200	0.088	-0.115	66.000	20.865	20.995	19.760	21.645	8.649	1.282	1.226	10.605	0.314	0.033	-0.290
8	7.000	8.000	23.595	14.300	21.320	12.025	4.550	3.217	2.242	10.203	0.065	-0.092	-0.138	8.000	15.730	15.210	8.905	13.780	12.453	6.973	6.692	83.338	0.446	0.064	-0.395	8.000	16.705	19.955	16.575	20.410	12.790	0.473	0.320	4.090	-3.220E-15	0.330	0.009	8.000	30.225	18.460	31.850	19.955	4.709	2.208	2.059	9.696	0.007	0.048	NaN	8.000	22.555	20.605	22.100	21.645	8.475	1.135	1.082	9.168	7.820E-4	-0.052	-0.086	8.000	18.590	20.735	17.940	20.930	11.556	0.679	0.647	7.478	-1.024	-1.139	-0.162	8.000	27.625	21.775	27.560	22.945	7.558	1.172	1.172	8.856	-0.067	0.065	0.133	8.000	28.470	20.605	29.445	23.075	6.378	2.655	2.516	16.051	-0.025	-0.060	-0.084	8.000	23.985	21.320	21.515	23.010	8.216	2.993	2.708	22.249	-0.214	-0.037	0.234	8.000	26.195	21.320	24.310	24.375	7.348	3.590	3.446	25.320	0.193	-0.013	-0.111	8.000	26.650	21.450	23.985	26.845	7.368	6.017	5.824	42.909	0.104	-0.029	-0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	16.380	17.420	14.430	17.160	12.234	1.967	1.835	22.452	0.258	0.112	-0.146	16.000	17.485	18.720	14.885	19.825	11.203	2.825	2.818	31.569	0.526	0.256	-0.274	17.000	18.330	19.760	15.860	21.580	10.787	3.068	3.011	32.482	0.261	0.116	-0.157	24.000	20.670	23.010	18.395	25.090	9.899	3.083	3.007	29.765	1.035	0.284	-0.826	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	22.555	22.100	21.125	23.660	8.153	2.116	2.101	17.128	0.415	0.048	-0.367	53.000	23.725	25.415	22.295	28.535	10.019	3.432	3.425	34.315	0.222	0.263	0.059	64.000	16.120	14.430	14.755	13.715	10.602	1.541	1.390	14.741	-0.016	-0.058	-0.058	67.000	21.385	20.995	19.825	21.970	8.229	1.840	1.710	14.069	0.483	0.117	-0.441
9	8.000	9.000	23.595	14.430	21.255	12.025	4.489	3.356	2.233	10.026	-0.009	0.045	-0.093	9.000	15.665	15.210	8.775	13.780	12.453	7.037	6.757	84.145	0.065	0.127	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	30.225	18.525	31.915	19.955	4.796	2.214	2.035	9.760	-0.024	0.050	0.042	9.000	22.490	20.800	22.035	21.580	8.622	0.903	0.889	7.664	-0.193	-0.023	0.201	9.000	18.785	20.800	18.720	21.125	11.380	0.331	0.241	2.738	-0.407	0.038	0.025	9.000	27.625	21.775	27.625	23.140	7.554	1.365	1.363	10.292	0.191	0.195	NaN	9.000	28.600	20.735	29.445	23.140	6.521	2.549	2.465	16.072	-0.052	0.061	0.166	9.000	23.595	21.580	21.450	23.075	8.606	2.615	2.394	20.601	-0.314	0.090	0.469	9.000	26.260	21.190	24.310	24.310	7.189	3.679	3.512	25.249	0.066	-0.055	-0.145	9.000	26.715	21.450	23.920	26.845	7.343	6.076	5.821	42.740	-0.003	0.030	-0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	16.250	17.550	14.235	17.420	11.840	2.019	1.927	22.819	0.092	0.178	0.121	17.000	17.485	18.785	14.885	20.020	11.203	2.878	2.860	32.042	0.042	0.084	0.028	18.000	18.265	19.825	15.990	21.645	10.349	2.913	2.852	29.516	-0.159	-0.061	0.091	25.000	20.605	23.075	18.395	25.090	10.619	2.991	2.961	31.442	-0.046	NaN	0.092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	22.295	22.425	20.995	23.790	8.580	1.885	1.874	16.076	-0.227	0.184	0.415	54.000	23.790	25.415	22.295	28.990	9.930	3.875	3.869	38.418	0.444	0.420	-0.025	65.000	16.055	14.430	14.690	13.650	10.663	1.572	1.384	14.754	-0.007	0.089	0.056	68.000	21.710	20.995	20.020	22.295	8.320	2.132	2.049	17.052	0.340	0.044	-0.258
10	9.000	10.000	23.595	14.560	21.255	11.960	4.497	3.498	2.146	9.650	-0.087	0.048	-0.097	10.000	15.730	15.210	8.645	13.780	12.388	7.228	6.950	86.106	0.194	0.127	-0.064	10.000	16.445	20.150	16.185	20.085	13.052	0.268	0.202	2.641	0.202	NaN	NaN	10.000	30.290	18.460	31.785	19.955	4.768	2.114	2.018	9.620	-0.017	-0.092	2.516E-15	10.000	22.425	21.060	22.035	21.580	8.863	0.650	0.649	5.754	-0.240	NaN	0.247	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	27.690	21.645	27.755	23.075	7.420	1.431	1.425	10.571	0.062	-0.059	-0.127	10.000	28.665	21.060	29.380	22.945	6.850	2.016	1.939	13.283	-0.526	-0.205	0.327	10.000	23.205	21.775	21.450	23.075	8.979	2.184	2.045	18.358	-0.349	NaN	0.429	10.000	26.195	21.320	24.310	24.375	7.331	3.590	3.437	25.198	-0.075	0.055	0.145	10.000	26.780	21.450	23.920	26.845	7.331	6.106	5.817	42.643	-0.004	NaN	-0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	16.705	17.680	14.105	17.485	10.957	2.607	2.464	27.002	0.537	0.125	-0.463	18.000	17.550	18.980	14.885	20.280	10.659	2.965	2.954	31.489	0.094	0.114	0.027	19.000	18.525	19.760	16.055	21.710	9.143	3.147	3.113	28.460	0.261	-0.011	-0.244	26.000	20.670	22.815	18.135	25.025	10.030	3.363	3.312	33.221	0.351	0.153	-0.220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	22.490	22.165	20.930	23.920	8.284	2.348	2.344	19.418	0.471	0.140	-0.324	55.000	23.790	25.415	22.360	28.795	9.996	3.670	3.667	36.656	-0.202	-0.205	NaN	66.000	16.315	14.430	14.560	13.650	10.402	1.921	1.769	18.404	0.386	0.119	-0.238	69.000	21.905	20.865	19.955	22.295	8.335	2.418	2.328	19.401	0.278	0.052	-0.234
