dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Base Local Background (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Tip Local Background (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Base Local Background (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Tip Local Background (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)	T (11)	dT (11)	Base Mean (11)	Base Local Background (11)	Body Mean (11)	Proj Mean (11)	Tip Mean (11)	Tip Th Mean (11)	Tip Local Background (11)	Length (11)	dL (11)	DCTM (11)	DCBM (11)	T (12)	dT (12)	Base Mean (12)	Base Local Background (12)	Body Mean (12)	Proj Mean (12)	Tip Mean (12)	Tip Th Mean (12)	Tip Local Background (12)	Length (12)	dL (12)	DCTM (12)	DCBM (12)	T (13)	dT (13)	Base Mean (13)	Base Local Background (13)	Body Mean (13)	Proj Mean (13)	Tip Mean (13)	Tip Th Mean (13)	Tip Local Background (13)	Length (13)	dL (13)	DCTM (13)	DCBM (13)	T (14)	dT (14)	Base Mean (14)	Base Local Background (14)	Body Mean (14)	Proj Mean (14)	Tip Mean (14)	Tip Th Mean (14)	Tip Local Background (14)	Length (14)	dL (14)	DCTM (14)	DCBM (14)	T (15)	dT (15)	Base Mean (15)	Base Local Background (15)	Body Mean (15)	Proj Mean (15)	Tip Mean (15)	Tip Th Mean (15)	Tip Local Background (15)	Length (15)	dL (15)	DCTM (15)	DCBM (15)	T (16)	dT (16)	Base Mean (16)	Base Local Background (16)	Body Mean (16)	Proj Mean (16)	Tip Mean (16)	Tip Th Mean (16)	Tip Local Background (16)	Length (16)	dL (16)	DCTM (16)	DCBM (16)	T (17)	dT (17)	Base Mean (17)	Base Local Background (17)	Body Mean (17)	Proj Mean (17)	Tip Mean (17)	Tip Th Mean (17)	Tip Local Background (17)	Length (17)	dL (17)	DCTM (17)	DCBM (17)	T (18)	dT (18)	Base Mean (18)	Base Local Background (18)	Body Mean (18)	Proj Mean (18)	Tip Mean (18)	Tip Th Mean (18)	Tip Local Background (18)	Length (18)	dL (18)	DCTM (18)	DCBM (18)	T (19)	dT (19)	Base Mean (19)	Base Local Background (19)	Body Mean (19)	Proj Mean (19)	Tip Mean (19)	Tip Th Mean (19)	Tip Local Background (19)	Length (19)	dL (19)	DCTM (19)	DCBM (19)	T (20)	dT (20)	Base Mean (20)	Base Local Background (20)	Body Mean (20)	Proj Mean (20)	Tip Mean (20)	Tip Th Mean (20)	Tip Local Background (20)	Length (20)	dL (20)	DCTM (20)	DCBM (20)
0.000	1.000	0.000	168.069	124.400	384.608	130.906	123.533	134.529	109.684	3.181	0.000	NaN	NaN	1.000	0.000	147.333	124.982	384.608	134.998	118.321	122.696	125.265	5.603	0.000	NaN	NaN	1.000	0.000	187.871	120.709	384.608	145.882	124.571	131.474	110.887	1.523	0.000	NaN	NaN	1.000	0.000	211.440	234.805	384.608	150.774	129.258	138.263	124.013	2.223	0.000	NaN	NaN	1.000	0.000	174.963	199.151	384.608	146.770	134.400	143.320	147.181	1.488	0.000	NaN	NaN	1.000	0.000	160.565	120.826	384.608	125.899	115.704	134.250	107.972	1.894	0.000	NaN	NaN	1.000	0.000	181.414	162.780	384.608	148.800	133.562	144.643	131.565	1.678	0.000	NaN	NaN	1.000	0.000	190.655	151.347	384.608	140.105	122.643	132.692	114.884	2.655	0.000	NaN	NaN	1.000	0.000	174.400	292.700	384.608	141.085	122.077	125.520	116.207	5.374	0.000	NaN	NaN	1.000	0.000	182.567	187.203	384.608	137.755	121.500	131.769	115.592	4.531	0.000	NaN	NaN	1.000	0.000	169.643	307.134	384.608	130.202	116.000	123.778	112.240	6.904	0.000	NaN	NaN	8.000	0.000	149.138	136.200	372.711	129.352	117.853	130.857	108.938	3.060	3.060	NaN	NaN	5.000	0.000	157.724	124.343	376.643	136.607	135.731	159.600	119.681	0.705	0.705	NaN	NaN	9.000	0.000	134.174	128.500	372.227	131.200	131.200	137.000	122.043	0.462	0.462	NaN	NaN	10.000	0.000	121.235	121.576	371.597	119.500	119.500	122.333	119.684	0.154	0.154	NaN	NaN	17.000	0.000	169.481	117.513	374.355	143.562	145.462	174.333	115.421	0.541	0.541	NaN	NaN	27.000	0.000	157.871	131.214	359.507	132.591	117.536	123.167	107.297	6.070	6.070	NaN	NaN	29.000	0.000	179.545	144.000	360.166	148.375	150.333	183.500	138.240	0.771	0.771	NaN	NaN	46.000	0.000	153.533	117.548	357.636	134.174	134.048	148.176	113.873	0.622	0.622	NaN	NaN	57.000	0.000	157.963	123.372	352.788	135.476	135.476	156.667	119.224	0.551	0.551	NaN	NaN	60.000	0.000	153.615	128.325	353.556	140.769	140.769	160.429	124.267	0.473	0.473	NaN	NaN
1.000	2.000	1.000	160.250	137.611	370.858	128.176	116.379	124.611	111.600	3.135	-0.046	0.046	0.092	2.000	1.000	150.903	125.784	370.858	135.639	117.111	121.944	107.818	6.131	0.528	0.127	-0.459	2.000	1.000	185.788	156.161	370.858	143.090	124.548	130.083	116.952	1.726	0.203	0.043	-0.098	2.000	1.000	189.111	167.469	370.858	148.979	134.750	141.667	121.688	2.104	-0.119	0.000	0.128	2.000	1.000	187.960	156.561	370.858	149.319	132.324	150.455	126.629	1.710	0.222	0.145	-0.034	2.000	1.000	157.964	139.153	370.858	124.638	112.136	115.955	112.370	2.207	0.314	0.056	-0.201	2.000	1.000	168.963	149.257	370.858	141.942	129.800	134.565	125.849	1.456	-0.222	0.064	0.309	2.000	1.000	174.120	149.753	370.858	136.498	122.786	132.941	115.549	2.398	-0.257	0.000	0.205	2.000	1.000	182.103	164.689	370.858	141.465	124.172	134.214	114.354	5.328	-0.046	-0.052	-0.000	2.000	1.000	174.889	152.868	370.858	135.761	121.567	128.500	113.843	4.271	-0.260	-0.000	0.198	2.000	1.000	175.852	151.800	370.858	130.229	115.964	125.800	108.102	6.850	-0.054	-0.000	0.030	9.000	1.000	165.138	140.589	372.227	135.314	128.031	135.857	110.637	3.688	0.628	0.072	-0.459	6.000	1.000	167.500	127.265	375.415	139.840	135.875	150.857	117.204	0.760	0.055	0.329	0.123	10.000	1.000	131.913	125.716	371.597	129.333	129.333	136.385	121.393	0.391	-0.071	0.021	-0.000	11.000	1.000	151.062	148.124	374.893	128.250	120.680	124.000	112.458	2.032	1.878	0.596	-0.874	18.000	1.000	184.636	127.900	373.754	152.000	144.917	171.188	114.415	0.990	0.449	0.414	0.046	28.000	1.000	165.182	133.162	360.535	130.913	116.433	123.700	106.615	6.379	0.309	0.310	0.088	30.000	1.000	179.621	152.852	357.534	154.750	147.533	167.000	136.309	0.676	-0.095	0.036	-0.198	47.000	1.000	169.182	139.155	355.487	148.486	137.667	147.381	118.781	1.258	0.636	0.145	-0.494	58.000	1.000	156.222	125.792	353.165	138.857	138.826	144.952	119.892	0.546	-0.006	0.138	-0.000	61.000	1.000	155.720	129.391	353.041	137.600	138.263	151.600	124.421	0.567	0.094	0.082	-3.324E-15
2.000	3.000	2.000	155.926	137.263	373.161	129.961	117.071	125.444	112.395	3.097	-0.038	-0.047	-0.002	3.000	2.000	153.710	123.970	373.161	137.700	118.621	126.467	107.561	6.150	0.019	0.064	0.064	3.000	2.000	187.067	154.971	373.161	141.585	122.966	134.786	116.226	1.810	0.084	0.086	-0.006	3.000	2.000	226.111	169.605	373.161	149.735	132.400	141.263	119.152	2.307	0.203	0.091	-0.091	3.000	2.000	183.880	154.867	373.161	147.763	134.531	146.846	125.993	1.783	0.073	0.055	-0.035	3.000	2.000	159.455	140.446	373.161	126.212	117.444	124.125	111.730	2.364	0.157	0.104	-0.075	3.000	2.000	178.828	147.883	373.161	146.608	130.719	142.308	124.028	1.502	0.046	0.064	-0.000	3.000	2.000	169.481	149.750	373.161	136.496	121.419	129.833	113.556	2.647	0.249	0.185	0.000	3.000	2.000	181.500	159.227	373.161	140.929	125.000	134.800	114.650	5.236	-0.092	0.052	0.143	3.000	2.000	168.640	151.792	373.161	135.567	121.033	132.167	112.245	4.179	-0.092	0.054	0.090	3.000	2.000	175.107	153.574	373.161	131.741	118.500	123.700	108.687	6.877	0.027	0.058	0.058	10.000	2.000	160.276	139.714	371.597	140.996	127.531	142.133	109.669	4.116	0.428	0.137	-0.251	7.000	2.000	168.483	130.321	373.658	137.803	131.548	140.864	116.870	0.844	0.084	0.158	0.032	11.000	2.000	136.121	127.080	374.893	122.286	115.353	123.278	113.894	0.906	0.515	0.469	0.128	12.000	2.000	152.935	141.253	376.465	132.706	119.793	127.429	113.854	1.699	-0.333	0.079	0.355	19.000	2.000	192.353	133.341	370.663	162.524	142.919	164.824	112.238	1.469	0.479	0.466	-0.092	29.000	2.000	148.250	136.197	360.166	129.425	116.370	123.833	105.287	6.295	-0.084	0.316	0.259	31.000	2.000	187.469	153.211	359.853	151.863	139.645	148.120	130.449	0.906	0.230	-0.052	-0.234	48.000	2.000	182.889	148.176	354.602	156.160	140.774	151.750	116.255	1.591	0.333	0.185	-0.224	59.000	2.000	157.107	130.329	353.551	135.364	126.036	133.167	121.345	0.860	0.315	0.234	-0.110	62.000	2.000	155.414	126.735	354.623	138.743	139.067	157.375	120.386	0.709	0.142	0.174	0.087
3.000	4.000	3.000	157.400	138.114	377.330	128.689	117.964	126.385	111.179	3.097	0.000	-0.044	-0.092	4.000	3.000	154.276	128.505	377.330	135.763	119.929	130.071	105.430	6.846	0.696	0.383	-0.268	4.000	3.000	196.133	156.155	377.330	148.422	133.125	147.071	116.788	1.928	0.119	0.130	-0.026	4.000	3.000	204.750	165.111	377.330	148.498	128.562	137.050	117.869	2.361	0.054	0.143	0.104	4.000	3.000	199.154	163.663	377.330	151.226	135.765	155.333	125.209	1.959	0.176	0.036	-0.144	4.000	3.000	169.000	144.718	377.330	128.850	116.267	123.000	110.827	3.019	0.655	0.179	-0.345	4.000	3.000	180.452	151.152	377.330	146.754	133.548	141.217	121.892	1.483	-0.019	0.075	0.139	4.000	3.000	177.227	156.324	377.330	141.720	126.964	137.375	113.035	2.758	0.111	0.083	-0.144	4.000	3.000	189.370	161.136	377.330	143.555	123.519	138.778	116.269	5.091	-0.146	-0.039	0.052	4.000	3.000	168.769	150.786	377.330	136.826	122.517	137.000	113.760	4.022	-0.157	-0.054	0.090	4.000	3.000	184.393	153.439	377.330	132.054	115.667	126.091	108.875	6.831	-0.046	-0.058	0.030	11.000	3.000	173.379	149.416	374.893	142.477	127.107	136.118	114.333	4.495	0.379	0.150	-0.202	8.000	3.000	166.400	130.831	372.711	136.255	124.097	134.389	113.331	1.150	0.306	0.276	-0.110	12.000	3.000	174.531	148.594	376.465	138.440	124.586	136.714	112.617	1.675	0.769	0.132	-0.653	13.000	3.000	159.250	140.452	375.027	137.583	121.552	131.833	113.972	2.085	0.387	0.065	-0.217	20.000	3.000	189.571	139.364	374.203	160.963	133.438	160.800	113.378	1.902	0.433	0.412	-0.000	30.000	3.000	143.250	144.659	357.534	141.429	141.429	156.000	144.760	0.302	-5.994	1.149	-0.552	32.000	3.000	184.710	149.714	362.592	147.846	134.400	151.111	123.699	1.063	0.157	0.091	-0.053	49.000	3.000	173.656	135.237	354.291	162.191	141.571	157.190	109.979	2.062	0.471	0.323	0.032	60.000	3.000	150.111	131.887	353.556	134.115	124.207	130.895	117.308	1.147	0.287	0.125	-0.110	63.000	3.000	172.448	149.529	355.751	142.824	133.379	142.810	125.227	1.028	0.319	0.145	-0.323
4.000	5.000	4.000	162.929	142.606	376.643	128.444	117.481	129.111	110.925	3.445	0.349	0.136	-0.231	5.000	4.000	152.710	125.892	376.643	135.572	120.967	128.118	107.128	7.095	0.249	0.217	-0.000	5.000	4.000	172.370	152.069	376.643	138.994	125.433	135.083	118.902	1.626	-0.303	0.026	0.351	5.000	4.000	220.929	179.947	376.643	151.706	128.303	136.370	119.703	2.480	0.119	-0.048	-0.132	5.000	4.000	193.593	158.367	376.643	151.432	136.727	149.286	125.973	1.894	-0.065	0.089	0.124	5.000	4.000	167.192	147.908	376.643	127.862	112.652	118.765	112.014	3.111	0.092	0.056	-0.145	5.000	4.000	181.000	154.108	376.643	146.438	134.455	145.250	125.340	1.621	0.138	0.064	-0.000	5.000	4.000	184.071	163.212	376.643	137.686	120.600	127.571	115.520	2.953	0.195	-0.061	-0.123	5.000	4.000	192.774	160.873	376.643	142.938	123.107	137.875	117.048	4.945	-0.146	0.040	0.285	5.000	4.000	175.222	152.051	376.643	138.990	123.448	130.300	113.193	3.957	-0.065	-0.036	0.018	5.000	4.000	173.515	154.194	376.643	133.126	120.963	129.105	109.356	6.728	-0.103	-0.000	0.115	12.000	4.000	170.862	165.671	376.465	150.455	131.156	136.750	111.162	4.750	0.255	0.311	0.028	9.000	4.000	157.200	129.221	372.227	133.822	120.533	132.200	112.922	1.372	0.222	0.162	-0.041	13.000	4.000	184.700	154.256	375.027	145.622	125.111	137.250	113.812	2.054	0.379	0.160	-0.250	14.000	4.000	179.758	156.773	374.402	142.471	123.500	134.867	115.556	2.583	0.498	-0.000	-0.573	21.000	4.000	179.438	136.156	370.996	151.880	129.931	141.214	112.352	1.745	-0.157	0.272	0.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33.000	4.000	183.862	158.182	363.117	145.218	130.733	138.261	120.324	1.423	0.360	0.136	-0.136	50.000	4.000	173.737	129.019	353.754	149.938	134.125	149.944	110.697	1.553	-0.509	0.379	0.945	61.000	4.000	152.739	128.894	353.041	135.321	126.032	130.727	114.345	1.415	0.268	0.177	-0.170	64.000	4.000	167.957	137.150	355.068	140.289	130.900	142.125	123.375	0.898	-0.130	-0.057	0.032
5.000	6.000	5.000	165.750	139.126	375.415	128.474	115.355	127.154	110.133	3.453	0.008	-0.000	-0.045	6.000	5.000	147.645	121.422	375.415	134.315	116.000	126.500	106.103	7.206	0.111	0.331	0.204	6.000	5.000	144.676	130.281	375.415	132.157	129.571	137.591	121.627	0.906	-0.720	-0.060	0.708	6.000	5.000	232.462	188.591	375.415	151.992	127.700	137.056	119.215	2.480	0.000	0.000	-0.137	6.000	5.000	187.000	155.976	375.415	152.211	135.545	148.800	126.824	1.875	-0.019	0.089	0.089	6.000	5.000	182.538	146.306	375.415	128.761	116.708	123.833	112.314	2.908	-0.203	-0.309	-0.055	6.000	5.000	168.690	147.333	375.415	144.395	133.548	145.400	124.160	1.280	-0.341	0.061	0.199	6.000	5.000	184.688	164.565	375.415	139.121	120.967	131.900	114.676	3.129	0.176	0.000	-0.144	6.000	5.000	181.100	152.080	375.415	140.136	120.800	131.133	115.027	4.344	-0.601	-0.000	0.621	6.000	5.000	169.652	162.096	375.415	134.791	119.000	123.667	114.097	4.068	0.111	-0.000	-0.109	6.000	5.000	176.786	162.182	375.415	132.088	117.444	130.250	109.390	6.793	0.065	-0.000	-0.116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	5.000	151.444	132.205	371.597	131.206	120.033	125.095	111.719	1.613	0.241	0.095	-0.126	14.000	5.000	190.188	168.638	374.402	144.386	123.267	148.000	115.617	2.552	0.498	0.051	-0.412	15.000	5.000	201.657	163.161	372.154	142.457	121.088	130.556	112.878	3.146	0.563	0.091	-0.431	22.000	5.000	167.742	135.844	372.626	145.903	121.867	135.071	111.289	2.545	0.800	0.231	-0.596	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000	5.000	188.621	160.506	365.084	145.856	129.500	140.267	118.173	1.752	0.330	0.184	-0.184	51.000	5.000	175.250	140.534	355.813	158.589	126.970	135.810	112.255	3.455	1.902	0.324	-1.604	62.000	5.000	160.778	125.246	354.623	135.565	122.875	131.353	113.631	1.637	0.222	0.088	-0.057	65.000	5.000	175.857	139.495	356.294	138.768	124.357	130.474	118.731	1.193	0.295	0.207	-0.084
6.000	7.000	6.000	165.185	145.340	373.658	129.488	116.700	126.929	110.493	3.537	0.084	-0.000	-0.001	7.000	6.000	143.742	123.314	373.658	133.622	115.700	120.316	106.287	7.233	0.027	0.141	0.127	7.000	6.000	138.857	128.745	373.658	128.467	127.419	136.833	123.637	0.838	-0.068	-0.076	0.076	7.000	6.000	219.778	174.130	373.658	154.717	133.200	142.211	118.120	2.350	-0.130	0.000	0.090	7.000	6.000	182.120	155.189	373.658	152.363	139.125	154.083	130.500	1.453	-0.422	-0.176	0.321	7.000	6.000	172.174	156.906	373.658	130.704	118.286	122.667	119.034	2.043	-0.865	-0.992	-0.145	7.000	6.000	178.774	149.093	373.658	148.311	132.467	146.583	123.838	1.632	0.352	0.065	-0.136	7.000	6.000	183.231	160.051	373.658	139.538	124.062	134.583	114.691	3.007	-0.122	0.061	0.122	7.000	6.000	170.345	143.600	373.658	140.194	121.483	132.692	117.021	3.792	-0.552	-0.053	0.453	7.000	6.000	170.636	154.297	373.658	138.632	124.000	134.000	113.589	3.865	-0.203	-0.053	0.159	7.000	6.000	177.333	156.737	373.658	131.874	116.481	126.417	108.351	6.701	-0.092	-0.000	0.115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.000	6.000	169.897	145.849	374.893	135.890	123.036	126.960	113.146	1.957	0.344	0.044	-0.331	15.000	6.000	187.000	164.110	372.154	139.741	123.600	133.667	113.382	2.701	0.149	0.055	-0.090	16.000	6.000	189.679	157.636	377.060	143.501	123.562	141.909	109.738	3.265	0.119	0.166	0.076	23.000	6.000	156.697	137.565	372.200	133.409	122.679	135.750	109.373	2.396	-0.149	0.271	0.453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35.000	6.000	191.406	158.586	366.307	146.340	129.643	134.462	116.884	2.001	0.249	0.142	-0.137	52.000	6.000	173.483	136.456	352.258	154.092	124.048	127.000	111.132	3.696	0.241	0.349	0.031	63.000	6.000	164.846	133.613	355.751	135.565	119.393	129.667	112.586	1.859	0.222	0.088	-0.115	66.000	6.000	178.533	150.697	358.765	145.436	130.200	142.750	117.940	1.664	0.471	0.033	-0.290
7.000	8.000	7.000	167.643	141.717	372.711	130.457	118.862	129.333	111.361	3.556	0.019	-0.092	-0.138	8.000	7.000	148.862	124.102	372.711	135.155	118.667	130.333	106.174	7.734	0.501	0.064	-0.395	8.000	7.000	143.222	133.361	372.711	129.344	126.933	135.889	123.221	1.009	0.171	0.330	0.009	8.000	7.000	234.233	180.195	372.711	154.741	131.545	141.188	119.142	2.450	0.100	0.048	0.000	8.000	7.000	206.111	163.746	372.711	156.148	141.167	152.438	133.106	1.480	0.027	-0.052	-0.086	8.000	7.000	169.034	155.571	372.711	139.693	132.846	138.870	137.217	1.082	-0.961	-1.139	-0.162	8.000	7.000	165.037	147.660	372.711	141.446	131.188	142.333	122.708	1.429	-0.203	0.065	0.133	8.000	7.000	187.242	160.400	372.711	140.248	124.143	131.944	114.782	3.052	0.046	-0.060	-0.084	8.000	7.000	174.966	146.451	372.711	140.561	124.452	137.077	118.470	3.563	-0.230	-0.037	0.234	8.000	7.000	172.087	156.929	372.711	135.453	118.536	126.250	114.054	3.930	0.065	-0.013	-0.111	8.000	7.000	176.069	157.467	372.711	130.654	113.800	118.389	109.324	6.693	-0.008	-0.029	-0.029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000	7.000	173.593	156.062	376.465	134.233	118.156	128.600	112.980	2.263	0.306	0.112	-0.146	16.000	7.000	185.568	162.143	377.060	142.513	125.000	136.500	110.266	3.301	0.601	0.256	-0.274	17.000	7.000	180.935	157.750	374.355	142.499	125.286	133.778	112.576	3.487	0.222	0.116	-0.157	24.000	7.000	175.125	140.212	366.891	135.698	113.286	120.167	108.803	3.391	0.995	0.284	-0.826	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.000	7.000	208.833	172.808	362.741	153.644	128.929	152.200	116.779	2.415	0.414	0.048	-0.367	53.000	7.000	169.516	134.052	353.710	150.157	118.958	126.077	111.362	3.983	0.287	0.263	0.059	64.000	7.000	165.071	134.377	355.068	133.785	122.733	128.158	113.361	1.905	0.046	-0.058	-0.058	67.000	7.000	184.743	163.237	356.226	148.429	128.419	136.450	118.760	2.253	0.590	0.117	-0.441
8.000	9.000	8.000	169.385	148.395	372.227	132.849	117.931	124.875	110.197	3.694	0.138	0.045	-0.093	9.000	8.000	149.759	125.030	372.227	131.840	113.276	121.143	106.250	7.799	0.065	0.127	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000	8.000	227.250	178.514	372.227	152.957	124.562	135.895	118.585	2.480	0.030	0.050	0.042	9.000	8.000	185.231	157.716	372.227	154.589	141.613	154.778	133.599	1.120	-0.360	-0.023	0.201	9.000	8.000	168.111	151.056	372.227	147.367	145.885	155.059	138.016	0.489	-0.593	0.038	0.025	9.000	8.000	172.370	147.235	372.227	140.739	128.281	136.571	119.959	1.586	0.157	0.195	0.000	9.000	8.000	179.800	155.575	372.227	140.022	122.321	129.688	115.259	2.877	-0.176	0.061	0.166	9.000	8.000	170.333	145.169	372.227	140.163	124.593	129.000	116.434	3.027	-0.536	0.090	0.469	9.000	8.000	175.556	159.605	372.227	138.931	123.037	133.667	114.014	4.079	0.149	-0.055	-0.145	9.000	8.000	170.462	154.313	372.227	131.817	121.385	129.000	109.465	6.785	0.092	0.030	-0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.000	8.000	166.448	147.146	375.027	134.670	120.733	123.185	110.413	2.366	0.103	0.178	0.121	17.000	8.000	188.276	158.522	374.355	144.361	122.531	136.562	111.676	3.374	0.073	0.084	0.028	18.000	8.000	174.680	149.851	373.754	140.750	123.400	132.500	114.377	3.246	-0.241	-0.061	0.091	25.000	8.000	166.097	137.447	367.880	130.914	116.897	121.609	110.131	3.326	-0.065	-0.000	0.092	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000	8.000	175.618	149.528	367.955	144.129	127.621	142.583	115.844	2.334	-0.081	0.184	0.415	54.000	8.000	170.097	133.719	354.528	142.170	114.917	123.750	108.571	4.465	0.482	0.420	-0.025	65.000	8.000	163.517	130.130	356.294	133.551	120.469	132.308	112.000	1.932	0.027	0.089	0.056	68.000	8.000	179.897	168.178	356.691	149.829	124.310	133.444	119.808	2.426	0.173	0.044	-0.258
9.000	10.000	9.000	187.194	149.438	371.597	134.351	119.310	130.417	110.810	3.916	0.222	0.048	-0.097	10.000	9.000	150.483	121.765	371.597	135.666	119.074	125.600	105.143	8.002	0.203	0.127	-0.064	10.000	9.000	124.882	122.709	371.597	122.080	122.083	128.250	118.894	0.460	0.460	0.000	0.000	10.000	9.000	220.240	185.886	371.597	151.222	128.931	142.154	120.531	2.304	-0.176	-0.092	2.516E-15	10.000	9.000	184.969	149.928	371.597	153.963	144.968	164.400	136.187	0.990	-0.130	-0.000	0.247	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000	9.000	177.926	153.275	371.597	141.071	126.281	137.158	122.517	1.670	0.084	-0.059	-0.127	10.000	9.000	176.391	145.987	371.597	137.010	124.679	129.273	117.862	2.249	-0.628	-0.205	0.327	10.000	9.000	163.519	141.987	371.597	138.268	126.000	132.381	117.153	2.575	-0.452	-0.000	0.429	10.000	9.000	168.120	153.211	371.597	137.662	120.688	129.529	114.344	3.949	-0.130	0.055	0.145	10.000	9.000	170.630	156.062	371.597	130.221	114.714	119.000	108.808	6.785	0.000	-0.000	-0.030	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.000	9.000	176.846	157.590	374.402	138.671	124.179	132.867	111.787	2.886	0.520	0.125	-0.463	18.000	9.000	191.212	148.179	373.754	142.043	124.967	133.800	114.582	3.428	0.054	0.114	0.027	19.000	9.000	184.133	154.215	370.663	140.892	124.567	141.125	113.329	3.513	0.268	-0.011	-0.244	26.000	9.000	166.800	140.792	361.303	131.680	117.080	124.714	110.070	3.732	0.406	0.153	-0.220	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.000	9.000	203.750	164.914	367.335	151.284	124.750	136.200	115.864	2.702	0.368	0.140	-0.324	55.000	9.000	172.000	133.958	352.564	143.418	115.952	124.600	113.950	4.178	-0.287	-0.205	-0.000	66.000	9.000	171.935	133.474	358.765	132.755	120.533	133.091	111.697	2.360	0.428	0.119	-0.238	69.000	9.000	175.724	158.043	357.230	148.704	127.321	138.143	115.281	2.721	0.295	0.052	-0.234
