T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	21.450	59.280	768.335	345.007	108.836	184.222
2.000	21.580	59.410	744.773	330.552	108.490	180.415
3.000	21.580	59.345	741.729	332.584	108.649	180.460
4.000	21.645	59.540	738.464	331.265	108.519	180.202
5.000	21.580	59.605	737.367	332.527	108.515	180.566
6.000	21.580	59.670	744.856	332.858	108.567	180.856
7.000	21.580	59.540	737.931	337.306	108.576	179.778
8.000	21.515	59.540	743.251	335.864	108.653	180.487
9.000	21.450	59.540	741.493	333.897	108.661	180.100
10.000	21.450	59.670	740.442	338.842	108.704	179.974
11.000	21.450	59.605	744.244	335.457	108.690	180.089
12.000	21.385	59.735	745.355	342.316	108.667	179.400
13.000	21.385	59.865	743.501	343.013	108.658	179.137
14.000	21.385	59.865	741.049	342.121	108.674	179.310
15.000	21.385	59.800	745.513	340.903	108.604	179.260
16.000	21.385	59.800	747.499	342.582	108.543	179.058
17.000	21.385	59.865	744.846	341.310	108.581	178.450
18.000	21.385	59.735	738.038	342.735	108.573	177.639
19.000	21.385	59.605	745.044	347.439	108.468	177.601
20.000	21.385	59.410	744.222	349.962	108.552	177.552
21.000	21.385	59.475	742.840	349.912	108.545	177.205
22.000	21.385	59.540	748.249	351.795	108.630	177.477
23.000	21.385	59.540	748.359	351.868	108.558	176.894
24.000	21.320	59.540	747.562	351.235	108.577	176.446
25.000	21.320	59.735	748.049	350.942	108.570	176.220
26.000	21.385	59.670	747.280	351.754	108.536	175.807
27.000	21.320	59.800	749.717	351.158	108.567	175.789
28.000	21.320	59.800	748.213	349.237	108.533	174.787
29.000	21.320	59.670	748.663	352.411	108.517	174.817
30.000	21.320	59.735	748.380	354.251	108.421	174.438
31.000	21.320	59.800	745.360	354.569	108.536	174.231
32.000	21.320	59.865	746.712	354.130	108.532	174.212
33.000	21.320	59.800	741.755	352.702	108.514	173.670
34.000	21.320	59.865	748.000	353.773	108.535	173.306
35.000	21.320	59.800	744.644	352.953	108.464	172.878
36.000	21.320	59.735	743.254	351.747	108.518	173.263
37.000	21.320	59.735	744.106	348.820	108.561	173.497
38.000	21.320	59.735	742.826	345.430	108.535	173.129
39.000	21.320	59.735	739.841	345.204	108.494	172.645
40.000	21.320	59.735	739.814	346.949	108.461	172.849
41.000	21.320	59.605	740.229	346.177	108.464	172.936
42.000	21.320	59.540	739.171	347.508	108.428	172.507
43.000	21.320	59.540	739.304	344.951	108.422	172.718
44.000	21.320	59.475	735.149	345.367	108.223	172.247
45.000	21.320	59.540	735.283	341.250	108.448	172.562
46.000	21.320	59.605	735.878	337.392	108.448	172.682
47.000	21.320	59.670	738.248	337.618	108.433	173.183
48.000	21.320	59.670	740.052	338.195	108.452	173.140
49.000	21.320	59.800	740.496	340.009	108.489	173.572
50.000	21.320	59.735	738.878	341.387	108.435	173.585
51.000	21.255	59.800	734.661	344.677	108.347	173.021
52.000	21.320	59.865	735.432	349.138	108.419	172.819
53.000	21.255	59.865	735.271	350.248	108.394	173.501
54.000	21.255	59.800	736.737	350.133	108.443	173.912
55.000	21.255	59.735	732.056	352.776	108.522	174.093
56.000	21.320	59.800	734.953	349.915	108.542	174.856
57.000	21.255	59.800	736.586	348.350	108.483	173.855
58.000	21.320	59.605	734.997	347.201	108.296	173.897
59.000	21.255	59.670	733.365	343.643	108.394	174.347
60.000	21.255	59.540	736.311	345.454	108.417	175.293
61.000	21.255	59.410	737.252	345.152	108.454	174.467
62.000	21.255	59.345	734.560	345.247	108.380	174.341
63.000	21.255	59.280	734.349	345.050	108.364	174.539
64.000	21.320	59.150	730.301	344.656	108.339	174.429
65.000	21.255	59.280	727.108	348.394	108.234	173.703
66.000	21.255	59.215	730.957	351.177	108.335	173.844
67.000	21.255	59.215	733.442	350.731	108.299	175.065
68.000	21.255	59.150	731.655	350.295	108.271	173.685
69.000	21.320	59.085	734.902	351.211	108.217	173.701
70.000	21.320	59.215	738.322	354.692	108.312	173.789
71.000	21.320	59.150	737.458	356.554	108.319	173.342
72.000	21.320	59.150	739.057	357.573	108.252	173.313
73.000	21.255	59.215	737.673	358.069	108.264	173.297
74.000	21.320	59.150	736.262	357.069	108.272	172.629
75.000	21.255	59.215	736.370	354.523	108.275	172.777
76.000	21.320	59.215	735.670	356.138	108.271	173.117
77.000	21.255	59.280	734.238	352.999	108.240	174.327
78.000	21.255	59.280	727.628	354.774	108.208	173.227
79.000	21.255	59.280	730.902	356.573	108.210	172.447
80.000	21.255	59.345	732.646	360.996	108.187	171.892
81.000	21.255	59.345	734.721	364.340	108.148	171.619
82.000	21.255	59.540	732.208	363.419	108.156	171.217
83.000	21.320	59.540	734.213	360.617	108.144	171.744
84.000	21.255	59.540	736.290	360.007	108.259	171.835
85.000	21.710	59.540	729.077	364.138	108.066	171.074
86.000	21.710	59.540	729.022	364.435	108.203	171.304
87.000	21.710	59.410	727.923	362.734	108.172	170.606
88.000	21.710	59.345	732.008	364.269	108.137	170.639
89.000	21.775	59.345	731.259	365.299	108.165	170.521
90.000	21.710	59.410	733.702	364.361	108.152	169.899
91.000	21.710	59.410	730.675	365.826	108.133	169.538
92.000	21.710	59.475	732.513	366.324	108.158	170.044
93.000	21.710	59.280	733.078	365.203	108.098	169.071
94.000	21.645	59.410	734.758	365.547	108.194	169.668
95.000	21.645	59.475	732.357	363.764	108.182	169.285
96.000	21.645	59.475	731.926	364.616	108.160	169.773
97.000	21.645	59.410	729.869	367.601	108.190	169.396
98.000	21.580	59.280	724.469	369.549	108.040	168.972
99.000	21.580	59.345	726.018	366.358	108.022	169.011
100.000	21.580	59.280	722.880	369.020	108.090	168.545
101.000	21.645	59.085	725.973	369.555	108.186	168.927
102.000	21.580	58.955	724.494	374.098	108.153	168.585
103.000	21.645	58.760	723.555	372.153	108.156	168.332
104.000	21.515	58.890	726.196	369.144	108.114	168.630
105.000	21.450	58.890	727.417	368.285	108.077	169.516
106.000	21.385	58.890	728.792	365.232	108.120	169.034
107.000	21.515	58.825	725.914	366.735	107.974	168.839
108.000	21.515	58.890	724.906	365.564	108.101	168.518
109.000	21.580	58.760	723.028	364.118	108.091	168.563
110.000	21.515	58.955	722.651	363.924	108.085	168.834
111.000	21.775	59.020	722.862	362.150	108.103	168.350
112.000	21.840	58.955	722.711	360.015	108.050	168.398
113.000	21.905	58.500	719.019	359.978	108.050	168.179
114.000	22.035	58.500	717.849	362.903	108.049	167.511
115.000	22.165	59.085	722.090	364.400	108.086	167.685
116.000	22.230	58.630	718.087	368.033	107.914	166.949
117.000	22.295	58.630	718.973	369.711	108.064	167.678
118.000	22.555	58.435	713.434	374.078	107.933	167.666
119.000	22.620	58.240	714.205	373.134	108.072	167.763
120.000	22.425	58.630	714.458	374.119	108.109	168.450
121.000	22.425	58.630	716.492	377.364	108.010	167.655
