dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Base Local Background (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Tip Local Background (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Base Local Background (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Tip Local Background (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)
0.000	1.000	0.000	294.483	187.617	768.335	190.522	146.577	160.923	122.620	3.532	0.000	NaN	NaN	1.000	0.000	290.966	325.194	768.335	163.573	144.481	154.889	106.628	13.414	0.000	NaN	NaN	1.000	0.000	312.464	355.780	768.335	233.784	198.500	224.471	207.589	1.277	0.000	NaN	NaN	1.000	0.000	280.000	231.101	768.335	182.936	144.500	154.941	143.365	3.538	0.000	NaN	NaN	1.000	0.000	361.214	274.874	768.335	183.298	131.167	139.588	108.462	7.647	0.000	NaN	NaN	1.000	0.000	327.724	157.704	768.335	184.258	146.520	160.267	109.609	7.629	0.000	NaN	NaN	1.000	0.000	313.161	147.811	768.335	172.793	160.429	170.476	105.826	7.844	0.000	NaN	NaN	45.000	0.000	352.125	287.667	735.283	331.400	331.400	380.500	280.568	0.329	0.329	NaN	NaN	50.000	0.000	272.278	250.851	738.878	260.750	260.750	271.000	246.583	0.172	0.172	NaN	NaN	58.000	0.000	336.667	269.129	734.997	285.000	285.000	309.500	255.888	0.245	0.245	NaN	NaN	84.000	0.000	400.828	310.662	736.290	321.156	292.219	346.133	267.443	0.925	0.925	NaN	NaN
1.000	2.000	1.000	301.233	196.042	744.773	197.493	147.240	153.095	119.047	3.938	0.406	0.198	-0.090	2.000	1.000	285.654	204.653	744.773	162.536	140.286	149.105	115.101	13.238	-0.176	0.000	0.128	2.000	1.000	299.074	221.596	744.773	224.855	199.000	215.654	165.574	1.239	-0.038	0.114	0.145	2.000	1.000	268.071	228.692	744.773	180.827	145.630	157.222	128.168	3.446	-0.092	-0.078	0.000	2.000	1.000	335.815	277.753	744.773	179.486	132.280	145.000	117.863	7.555	-0.092	-0.033	0.089	2.000	1.000	292.222	202.976	744.773	171.035	136.840	141.583	115.787	7.499	-0.130	0.144	0.289	2.000	1.000	303.250	216.807	744.773	166.851	150.714	172.200	119.311	7.752	-0.092	0.000	0.059	46.000	1.000	333.300	280.738	735.878	286.400	286.400	306.667	267.593	0.310	-0.018	0.116	0.058	51.000	1.000	341.091	294.129	734.661	283.905	283.700	310.133	266.744	0.506	0.334	-0.142	-0.331	59.000	1.000	351.500	274.745	733.365	304.182	304.182	344.400	262.420	0.375	0.130	0.029	0.029	85.000	1.000	436.235	339.088	729.077	309.661	271.045	291.850	287.604	2.111	1.186	0.993	-0.016
2.000	3.000	2.000	287.172	194.876	741.729	189.809	141.185	149.286	117.163	4.030	0.092	0.128	0.000	3.000	2.000	296.806	204.763	741.729	161.404	140.464	154.267	112.752	13.284	0.046	0.064	0.076	3.000	2.000	290.240	221.153	741.729	219.849	199.606	221.400	165.920	1.193	-0.046	0.000	0.056	3.000	2.000	285.852	231.053	741.729	186.818	155.286	164.120	131.507	3.419	-0.027	-0.140	-0.127	3.000	2.000	324.690	264.300	741.729	178.528	149.179	163.286	117.262	7.483	-0.073	-0.056	0.033	3.000	2.000	276.769	196.066	741.729	172.031	152.462	161.158	114.973	7.461	-0.038	0.000	-0.023	3.000	2.000	312.103	220.389	741.729	169.199	154.032	166.950	119.020	7.752	0.000	-0.111	-0.060	47.000	2.000	429.378	328.091	738.248	340.388	312.852	346.263	287.724	0.798	0.487	-0.090	-0.180	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.000	2.000	384.323	292.882	736.311	302.053	298.000	358.214	259.022	0.671	0.296	0.087	-0.058	86.000	2.000	436.933	351.220	729.022	323.937	286.188	318.412	270.714	1.158	-0.953	-0.799	-0.057
3.000	4.000	3.000	298.379	222.064	738.464	203.190	152.741	164.944	116.689	4.528	0.498	0.091	-0.378	4.000	3.000	277.222	210.653	738.464	162.122	144.462	153.733	119.469	13.016	-0.268	-0.203	0.000	4.000	3.000	300.621	218.839	738.464	225.895	193.367	223.154	164.493	1.101	-0.092	-0.029	0.000	4.000	3.000	297.179	235.636	738.464	193.447	148.889	172.900	134.235	3.446	0.027	-0.127	-0.141	4.000	3.000	333.074	273.361	738.464	178.445	139.731	155.909	117.646	7.620	0.138	0.089	-0.056	4.000	3.000	269.885	187.517	738.464	170.223	144.500	156.571	114.644	7.545	0.084	0.205	0.145	4.000	3.000	323.310	223.138	738.464	172.225	158.871	173.100	118.908	7.798	0.046	0.000	-0.085	48.000	3.000	416.919	323.959	740.052	336.875	307.724	347.083	275.298	0.736	-0.061	0.092	-0.046	53.000	3.000	344.400	287.728	735.271	283.125	278.857	300.750	268.400	0.478	0.478	0.000	0.000	61.000	3.000	393.000	301.775	737.252	310.850	305.844	370.250	266.807	0.636	-0.036	0.036	-0.024	87.000	3.000	432.400	346.719	727.923	318.953	268.750	298.474	250.681	1.434	0.276	0.234	0.000
4.000	5.000	4.000	287.407	220.747	737.367	200.104	147.714	175.875	119.584	4.796	0.268	0.053	-0.181	5.000	4.000	296.346	211.862	737.367	162.132	147.741	154.273	117.808	13.081	0.065	-0.064	-0.140	5.000	4.000	308.000	232.674	737.367	228.893	198.233	210.583	166.088	1.258	0.157	0.031	-0.057	5.000	4.000	280.926	229.777	737.367	190.068	156.889	174.333	133.041	3.297	-0.149	-0.063	0.063	5.000	4.000	314.037	252.206	737.367	177.125	139.080	147.000	117.801	7.483	-0.138	-0.034	0.077	5.000	4.000	304.069	204.570	737.367	173.328	142.423	151.300	113.953	7.886	0.341	0.145	-0.145	5.000	4.000	330.714	228.651	737.367	174.434	161.933	184.308	121.180	7.725	-0.073	-0.060	0.000	49.000	4.000	364.129	298.423	740.496	301.714	291.107	332.727	270.158	0.641	-0.096	0.000	0.126	54.000	4.000	363.852	295.108	736.737	305.136	305.136	360.000	276.991	0.466	-0.012	-0.130	-0.065	62.000	4.000	402.069	290.704	734.560	308.590	301.156	387.500	258.156	0.614	-0.022	0.039	0.052	88.000	4.000	444.533	328.603	732.008	317.913	258.516	298.429	241.985	1.388	-0.046	0.127	0.144
5.000	6.000	5.000	304.031	223.375	744.856	204.842	152.731	165.625	120.740	5.052	0.257	0.000	-0.234	6.000	5.000	299.481	218.150	744.856	163.321	142.071	157.417	120.735	13.016	-0.065	-0.128	-0.052	6.000	5.000	292.185	226.649	744.856	224.495	195.867	231.333	170.597	1.147	-0.111	-0.020	0.090	6.000	5.000	319.323	263.204	744.856	194.386	148.714	164.154	135.199	3.695	0.398	-0.063	-0.331	6.000	5.000	313.037	267.701	744.856	176.512	142.480	152.471	116.692	7.528	0.046	-0.000	-0.023	6.000	5.000	302.429	215.967	744.856	170.322	143.179	150.280	113.860	8.107	0.222	0.168	0.000	6.000	5.000	300.750	227.302	744.856	171.687	158.000	177.267	122.716	7.614	-0.111	-0.119	0.000	50.000	5.000	402.432	298.911	738.878	313.554	286.483	317.667	259.605	0.710	0.069	0.092	-0.046	55.000	5.000	358.233	289.675	732.056	280.913	250.706	264.900	236.828	0.741	0.276	0.462	0.059	63.000	5.000	394.219	298.729	734.349	304.691	294.281	331.312	255.642	0.722	0.108	0.145	0.029	89.000	5.000	415.241	322.588	731.259	317.623	265.812	293.958	249.109	1.239	-0.149	0.111	0.145
6.000	7.000	6.000	320.200	233.866	737.931	204.592	148.222	158.053	117.959	5.569	0.517	0.144	-0.378	7.000	6.000	293.516	203.505	737.931	158.923	138.760	146.300	116.483	12.913	-0.103	0.000	0.128	7.000	6.000	333.407	239.360	737.931	240.595	203.875	238.667	166.293	1.285	0.138	0.000	-0.145	7.000	6.000	318.419	266.121	737.931	196.095	149.645	161.471	129.869	3.806	0.111	0.000	-0.127	7.000	6.000	299.852	271.642	737.931	175.484	135.929	155.692	116.299	7.586	0.057	0.088	0.038	7.000	6.000	279.897	201.680	737.931	169.114	149.889	163.333	114.293	8.310	0.203	0.205	0.000	7.000	6.000	298.840	221.965	737.931	171.102	155.286	165.565	121.803	7.522	-0.092	-0.025	0.025	51.000	6.000	334.880	283.102	734.661	286.293	270.414	302.235	246.308	0.595	-0.115	0.143	0.182	56.000	6.000	369.867	287.430	734.953	289.450	279.111	315.000	255.821	0.579	-0.162	-0.085	0.053	64.000	6.000	382.519	285.514	730.301	303.773	302.062	353.385	249.763	0.592	-0.130	0.081	0.091	90.000	6.000	317.333	293.578	733.702	278.115	276.139	299.583	255.007	0.638	-0.601	0.091	0.660
7.000	8.000	7.000	292.333	207.583	743.251	199.858	147.185	156.381	115.639	5.523	-0.046	0.234	0.234	8.000	7.000	279.226	202.316	743.251	160.153	142.862	149.783	109.927	13.043	0.130	0.204	0.128	8.000	7.000	311.571	223.678	743.251	243.292	208.871	259.733	163.331	1.239	-0.046	0.130	0.143	8.000	7.000	331.719	270.054	743.251	201.909	149.345	158.944	128.851	4.112	0.306	0.127	-0.141	8.000	7.000	315.033	262.010	743.251	174.621	141.840	148.579	118.966	7.540	-0.046	-0.088	-0.032	8.000	7.000	294.714	208.489	743.251	170.487	146.407	163.077	115.507	8.532	0.222	0.145	-0.061	8.000	7.000	296.870	223.988	743.251	172.631	161.143	178.882	121.101	7.503	-0.019	-0.060	-0.085	52.000	7.000	363.138	296.260	735.432	276.538	228.773	246.952	217.986	0.979	0.384	0.376	-0.051	57.000	7.000	351.846	292.192	736.586	294.568	288.667	330.182	256.061	0.633	0.054	0.104	0.052	65.000	7.000	369.969	286.471	727.108	296.054	282.727	329.286	239.779	0.741	0.149	0.145	0.087	91.000	7.000	271.222	243.081	730.675	248.692	246.455	265.200	233.271	0.429	-0.209	0.206	0.349
8.000	9.000	8.000	321.219	220.761	741.493	198.110	146.593	155.000	117.119	5.883	0.360	0.198	-0.090	9.000	8.000	290.375	208.215	741.493	160.924	140.815	151.105	115.599	13.181	0.138	0.000	-0.140	9.000	8.000	325.407	224.738	741.493	243.868	203.257	236.500	160.513	1.312	0.073	0.181	0.127	9.000	8.000	290.379	242.565	741.493	190.692	154.000	173.625	128.152	3.733	-0.379	0.127	0.344	9.000	8.000	433.938	338.608	741.493	196.590	142.500	151.421	116.333	8.408	0.869	-0.025	-0.637	9.000	8.000	292.214	218.269	741.493	169.965	139.083	146.846	115.338	8.773	0.241	0.145	-0.121	9.000	8.000	291.800	214.833	741.493	174.654	158.037	180.692	123.884	7.392	-0.111	-0.085	0.085	53.000	8.000	392.861	314.946	735.271	298.914	244.433	274.800	226.693	1.128	0.149	-0.046	-0.046	58.000	8.000	377.067	309.767	734.997	312.182	303.906	350.385	269.829	0.636	0.003	-0.000	-0.036	66.000	8.000	350.429	277.514	730.957	273.617	269.265	299.737	235.873	0.671	-0.071	0.089	0.145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.000	10.000	9.000	323.094	207.303	740.442	196.138	149.769	156.227	114.295	6.040	0.157	0.271	0.144	10.000	9.000	307.500	207.141	740.442	163.233	138.885	150.214	114.061	13.238	0.057	0.128	0.012	10.000	9.000	310.481	212.035	740.442	262.328	219.914	265.857	157.055	1.239	-0.073	0.112	0.234	10.000	9.000	320.156	255.136	740.442	195.391	149.714	158.762	129.133	4.047	0.314	0.078	-0.204	10.000	9.000	434.806	329.818	740.442	192.691	138.310	154.077	116.219	8.354	-0.054	0.057	0.031	10.000	9.000	284.731	215.284	740.442	169.101	141.556	156.643	113.014	8.995	0.222	0.061	-0.145	10.000	9.000	308.423	217.976	740.442	175.815	156.929	181.800	122.194	7.392	0.000	-0.060	-0.085	54.000	9.000	401.409	301.390	736.737	297.573	230.484	254.300	216.523	1.255	0.127	0.138	-0.046	59.000	9.000	368.750	298.953	733.365	289.095	280.000	300.294	261.818	0.871	0.236	0.282	0.034	67.000	9.000	348.207	272.235	733.442	282.029	268.325	315.000	219.552	0.787	0.117	0.126	0.036	93.000	9.000	365.621	321.341	733.078	291.706	257.385	291.316	245.892	1.266	1.266	-0.282	0.196
