 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)
1	0.000	1.000	33.930	41.730	33.215	43.485	20.775	1.895	1.895	39.369	NaN	NaN	NaN	1.000	40.950	40.105	41.080	43.940	17.577	3.837	3.822	67.178	NaN	NaN	NaN	1.000	36.335	44.655	36.335	47.580	22.796	2.925	2.836	64.643	NaN	NaN	NaN	28.000	34.970	44.980	33.410	48.165	22.662	3.547	3.499	79.286	NaN	NaN	NaN	33.000	36.010	45.630	35.945	46.735	23.348	1.107	1.087	25.371	NaN	NaN	NaN	35.000	37.830	42.445	37.895	42.965	19.899	0.524	0.497	9.882	NaN	NaN	NaN	69.000	35.360	45.240	34.580	47.840	23.054	2.714	2.714	62.581	NaN	NaN	NaN	73.000	43.225	38.350	43.290	38.610	15.083	0.268	0.265	3.997	NaN	NaN	NaN
2	1.000	2.000	33.865	41.860	33.085	43.615	20.441	1.921	1.920	39.254	0.025	0.172	0.145	2.000	40.950	40.235	41.080	43.940	17.188	3.707	3.692	63.451	-0.130	NaN	0.130	2.000	36.270	45.760	36.270	47.905	23.379	2.145	2.081	48.659	-0.754	0.325	1.105	29.000	35.035	44.590	33.345	48.295	22.270	4.072	4.035	89.866	0.537	0.145	-0.382	34.000	35.945	45.890	35.945	46.800	23.490	0.910	0.881	20.703	-0.205	0.065	0.260	36.000	37.895	42.315	37.830	42.900	19.772	0.589	0.586	11.589	0.090	-0.057	-0.136	70.000	35.295	45.240	34.645	48.035	22.700	2.870	2.863	64.989	0.149	0.175	0.015	74.000	42.835	38.025	43.355	38.610	14.792	0.783	0.620	9.172	0.355	0.043	-0.502
3	2.000	3.000	33.865	41.795	33.020	43.810	20.322	2.185	2.185	44.401	0.265	0.205	-0.060	3.000	40.885	40.560	41.080	43.940	17.451	3.386	3.362	58.677	-0.329	NaN	0.321	3.000	36.270	45.825	36.205	48.035	23.379	2.211	2.160	50.501	0.079	0.132	0.065	30.000	35.100	44.720	33.345	48.295	23.080	3.983	3.923	90.533	-0.113	NaN	0.088	35.000	36.010	45.565	35.945	46.735	23.348	1.172	1.150	26.841	0.268	-0.065	-0.328	37.000	37.895	42.120	37.895	43.030	19.504	0.910	0.892	17.390	0.305	0.130	-0.195	71.000	35.425	45.305	34.710	48.035	22.849	2.822	2.821	64.448	-0.042	-0.016	0.030	75.000	42.380	37.830	43.355	39.000	14.377	1.523	1.209	17.377	0.589	0.300	-0.441
4	3.000	4.000	33.800	41.860	32.955	44.005	20.467	2.305	2.304	47.159	0.119	0.205	0.084	4.000	40.885	40.300	41.080	43.940	17.256	3.645	3.622	62.496	0.259	NaN	-0.260	4.000	36.205	45.760	36.205	48.230	23.395	2.470	2.395	56.032	0.235	0.195	-0.065	31.000	34.905	44.915	33.280	48.295	22.762	3.750	3.707	84.373	-0.216	0.028	0.260	36.000	36.075	45.565	36.010	46.670	23.348	1.107	1.087	25.371	-0.063	-0.069	-0.004	38.000	37.960	41.925	37.895	43.030	19.427	1.107	1.096	21.294	0.204	NaN	-0.198	72.000	35.425	45.305	34.775	47.905	22.893	2.680	2.678	61.305	-0.143	-0.142	NaN	76.000	42.510	37.960	43.420	39.195	14.575	1.534	1.274	18.573	0.066	0.196	0.182
5	4.000	5.000	33.735	42.055	32.890	44.265	20.527	2.366	2.364	48.524	0.060	0.266	0.205	5.000	40.950	39.715	41.080	43.940	16.535	4.227	4.211	69.636	0.590	NaN	-0.583	5.000	36.205	46.020	36.140	48.490	23.505	2.471	2.413	56.721	0.018	0.262	0.260	32.000	34.970	44.850	34.905	45.045	22.882	0.206	0.206	4.702	-3.501	-3.597	-0.082	37.000	36.010	45.630	36.010	46.670	23.348	1.040	1.008	23.525	-0.079	NaN	0.065	39.000	37.895	41.860	37.895	43.095	19.390	1.235	1.209	23.440	0.113	0.065	-0.065	73.000	35.425	45.305	34.840	47.710	22.875	2.475	2.473	56.564	-0.205	-0.205	NaN	77.000	42.315	37.765	43.355	39.195	14.244	1.768	1.467	20.897	0.193	-0.038	-0.272
6	5.000	6.000	33.800	42.185	32.955	44.460	20.680	2.427	2.424	50.138	0.060	0.160	0.099	6.000	40.950	40.820	41.080	43.940	17.703	3.123	3.109	55.043	-1.102	NaN	1.104	6.000	36.205	45.890	36.075	48.685	23.442	2.798	2.744	64.321	0.331	0.198	-0.130	33.000	35.295	44.200	32.955	48.360	22.165	4.773	4.663	103.360	4.458	3.845	-0.726	38.000	36.010	45.370	36.010	46.670	23.222	1.300	1.259	29.237	0.251	NaN	-0.260	40.000	37.895	41.860	37.830	43.160	19.326	1.302	1.286	24.847	0.077	0.068	NaN	74.000	35.425	45.305	34.840	47.515	22.937	2.286	2.286	52.424	-0.187	-0.189	NaN	78.000	42.250	37.765	43.290	39.130	13.979	1.716	1.389	19.414	-0.078	-0.091	-0.039
7	6.000	7.000	33.670	42.640	33.020	44.590	21.125	2.055	2.050	43.306	-0.374	0.103	0.473	7.000	41.015	40.170	41.080	43.940	17.048	3.771	3.763	64.152	0.654	NaN	-0.649	7.000	36.205	45.825	35.945	48.945	23.364	3.131	3.092	72.231	0.348	0.270	-0.065	34.000	35.035	44.720	32.695	48.425	22.614	4.382	4.235	95.772	-0.428	0.194	0.578	39.000	36.010	45.240	36.010	46.865	23.113	1.625	1.572	36.335	0.313	0.195	-0.130	41.000	37.895	41.600	37.895	43.290	19.135	1.690	1.653	31.637	0.368	0.130	-0.260	75.000	35.360	45.760	34.905	47.320	23.205	1.625	1.625	37.708	-0.661	-0.205	0.455	79.000	42.185	37.765	43.225	39.195	14.042	1.768	1.449	20.348	0.060	0.014	-0.038
8	7.000	8.000	33.475	42.965	32.890	44.785	21.535	1.912	1.905	41.029	-0.145	0.225	0.369	8.000	41.015	40.170	41.080	43.940	17.110	3.771	3.764	64.402	9.126E-4	NaN	NaN	8.000	36.270	45.695	35.750	49.270	23.270	3.613	3.597	83.706	0.506	0.350	-0.138	35.000	35.230	44.200	32.695	48.490	22.246	4.983	4.847	107.826	0.612	0.056	-0.547	40.000	36.075	45.500	36.010	46.930	23.285	1.431	1.401	32.630	-0.171	0.065	0.257	42.000	37.895	41.600	37.830	43.420	19.186	1.821	1.795	34.442	0.142	0.132	NaN	76.000	35.425	46.020	35.100	47.125	23.518	1.152	1.152	27.086	-0.473	-0.242	0.231	80.000	42.250	37.830	43.160	39.260	14.239	1.695	1.450	20.652	0.001	0.020	0.090
9	8.000	9.000	33.345	43.290	32.825	45.045	21.800	1.830	1.821	39.690	-0.085	0.268	0.349	9.000	41.015	39.975	41.080	43.940	16.848	3.966	3.960	66.709	0.196	NaN	-0.195	9.000	36.205	45.890	35.685	49.595	23.396	3.741	3.724	87.128	0.127	0.331	0.202	36.000	35.035	44.135	32.565	48.555	22.262	5.063	4.964	110.518	0.117	0.120	0.038	41.000	36.075	45.305	36.010	47.125	23.159	1.821	1.779	41.190	0.377	0.195	-0.195	43.000	37.895	41.275	37.830	43.355	18.841	2.081	2.051	38.642	0.256	-0.065	-0.325	77.000	35.360	46.410	35.100	47.060	23.768	0.700	0.696	16.545	-0.456	-0.060	0.386	81.000	42.705	38.610	43.030	39.065	15.039	0.559	0.473	7.106	-0.978	-0.234	0.899
10	9.000	10.000	33.215	43.355	32.630	45.175	21.945	1.912	1.905	41.815	0.085	0.183	0.102	10.000	41.015	39.845	41.080	44.005	16.780	4.161	4.155	69.725	0.196	0.065	-0.130	10.000	36.205	45.695	35.620	49.855	23.254	4.201	4.182	97.255	0.458	0.267	-0.193	37.000	35.165	44.135	32.500	48.620	22.141	5.217	5.077	112.415	0.113	0.089	-0.066	42.000	36.075	45.240	36.075	47.190	23.143	1.950	1.890	43.729	0.111	0.065	-0.065	44.000	37.895	41.470	37.830	43.355	19.109	1.886	1.860	35.536	-0.191	NaN	0.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	42.250	37.960	43.030	39.065	14.369	1.353	1.122	16.127	0.650	NaN	-0.793
