dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)
0.000	1.000	0.000	282.370	207.966	766.314	215.670	175.433	196.267	147.874	2.276	0.000	NaN	NaN	1.000	0.000	296.161	219.667	766.314	239.418	159.400	184.938	118.743	4.248	0.000	NaN	NaN	1.000	0.000	295.074	215.957	766.314	240.851	170.750	182.789	134.944	3.227	0.000	NaN	NaN	28.000	0.000	188.690	172.408	710.571	167.077	151.375	159.867	124.674	4.056	4.056	NaN	NaN	33.000	0.000	231.704	185.695	714.559	185.364	162.300	177.133	140.870	1.280	1.280	NaN	NaN	35.000	0.000	311.394	259.554	714.380	259.716	240.824	267.100	227.544	0.825	0.825	NaN	NaN	69.000	0.000	246.935	204.940	709.030	180.781	161.167	169.833	144.800	3.312	3.312	NaN	NaN	73.000	0.000	210.400	182.218	706.278	184.333	184.333	199.667	166.574	0.395	0.395	NaN	NaN
1.000	2.000	1.000	254.042	196.443	734.507	210.570	170.387	194.733	142.229	2.192	-0.084	0.172	0.145	2.000	1.000	273.061	224.716	734.507	228.631	160.300	191.000	133.271	4.256	0.008	0.000	0.130	2.000	1.000	263.032	173.096	734.507	205.119	154.267	167.286	123.298	2.485	-0.742	0.325	1.105	29.000	1.000	192.296	178.883	715.671	168.059	146.308	165.333	123.034	4.592	0.536	0.145	-0.382	34.000	1.000	203.393	176.562	714.302	179.663	155.133	173.471	136.902	1.150	-0.130	0.065	0.260	36.000	1.000	312.576	264.789	715.853	269.805	250.647	269.556	237.634	0.909	0.084	-0.057	-0.136	70.000	1.000	245.829	197.559	709.576	185.298	161.867	174.071	144.746	3.416	0.103	0.175	0.015	74.000	1.000	258.781	212.807	705.642	206.679	187.944	210.333	169.269	1.109	0.714	0.043	-0.502
2.000	3.000	2.000	256.696	198.294	740.214	214.514	167.862	186.111	137.441	2.479	0.287	0.205	-0.060	3.000	2.000	276.903	205.417	740.214	221.629	160.400	189.154	134.590	3.739	-0.517	0.000	0.321	3.000	2.000	258.600	165.786	740.214	205.415	163.742	194.400	122.549	2.523	0.038	0.132	0.065	30.000	2.000	192.167	184.930	720.235	169.414	149.560	159.375	127.265	4.507	-0.084	-0.000	0.088	35.000	2.000	246.000	188.739	714.380	190.390	162.400	172.714	141.873	1.337	0.187	-0.065	-0.328	37.000	2.000	344.029	278.965	715.104	270.746	223.129	248.444	210.521	1.372	0.463	0.130	-0.195	71.000	2.000	256.290	208.136	710.117	195.684	166.926	180.812	144.818	3.259	-0.157	-0.016	0.030	75.000	2.000	340.833	247.835	698.003	230.084	179.714	206.462	156.620	1.928	0.819	0.300	-0.441
3.000	4.000	3.000	250.207	193.611	737.794	216.687	180.933	203.625	136.811	2.674	0.195	0.205	0.084	4.000	3.000	284.065	214.496	737.794	226.623	158.833	180.353	134.569	3.999	0.260	0.000	-0.260	4.000	3.000	276.364	172.026	737.794	200.119	143.815	154.733	122.939	2.894	0.371	0.195	-0.065	31.000	3.000	179.600	175.222	712.553	166.507	153.407	162.522	127.730	4.148	-0.360	0.028	0.260	36.000	3.000	256.655	192.541	715.853	196.602	164.367	179.722	142.053	1.357	0.019	-0.069	-0.004	38.000	3.000	338.550	269.603	713.467	256.616	218.759	248.692	217.465	1.437	0.065	-0.000	-0.198	72.000	3.000	288.846	214.125	707.456	199.196	165.333	182.467	149.182	3.289	0.030	-0.142	-0.000	76.000	3.000	309.806	229.674	698.568	223.219	178.355	189.100	152.622	1.844	-0.084	0.196	0.182
4.000	5.000	4.000	246.091	188.262	730.922	216.263	176.062	196.471	137.245	2.682	0.008	0.266	0.205	5.000	4.000	314.500	239.117	730.922	230.957	162.967	187.769	133.566	4.611	0.612	0.000	-0.583	5.000	4.000	256.931	167.178	730.922	190.258	157.733	172.933	119.123	2.810	-0.084	0.262	0.260	32.000	4.000	180.115	175.563	718.670	182.762	182.762	189.278	172.805	0.548	-3.600	-3.597	-0.082	37.000	4.000	247.192	185.571	715.104	185.755	161.367	172.000	140.132	1.227	-0.130	0.000	0.065	39.000	4.000	359.733	290.000	716.166	269.466	216.200	234.471	200.333	1.762	0.325	0.065	-0.065	73.000	4.000	252.742	205.317	706.278	195.606	175.296	185.714	155.448	2.880	-0.409	-0.205	-0.000	77.000	4.000	339.250	249.302	694.390	234.004	180.714	195.095	157.924	2.066	0.222	-0.038	-0.272
5.000	6.000	5.000	268.808	188.071	737.726	223.269	175.828	187.947	142.676	2.720	0.038	0.160	0.099	6.000	5.000	244.032	191.209	737.726	211.224	164.567	190.438	132.125	3.479	-1.132	0.000	1.104	6.000	5.000	272.724	174.264	737.726	190.668	165.357	175.667	119.336	3.108	0.298	0.198	-0.130	33.000	5.000	217.103	209.709	714.559	168.936	150.370	162.611	129.612	5.446	4.898	3.845	-0.726	38.000	5.000	272.355	196.043	713.467	191.410	161.367	181.846	138.034	1.632	0.406	0.000	-0.260	40.000	5.000	322.345	268.642	715.506	256.012	218.207	232.684	198.329	1.567	-0.195	0.068	-0.000	74.000	5.000	258.971	206.393	705.642	203.181	179.696	205.375	159.690	2.658	-0.222	-0.189	-0.000	78.000	5.000	346.219	241.636	692.663	244.232	187.265	210.923	160.724	2.039	-0.027	-0.091	-0.039
6.000	7.000	6.000	293.300	184.255	731.804	230.394	184.156	204.611	141.986	2.482	-0.238	0.103	0.473	7.000	6.000	275.677	208.464	731.804	213.587	158.033	186.545	133.182	4.156	0.677	0.000	-0.649	7.000	6.000	283.310	177.458	731.804	195.602	160.321	179.000	120.596	3.468	0.360	0.270	-0.065	34.000	6.000	181.560	179.489	714.302	166.492	152.167	171.182	128.558	4.921	-0.525	0.194	0.578	39.000	6.000	299.875	198.140	716.166	200.160	156.760	180.571	131.714	1.946	0.314	0.195	-0.130	41.000	6.000	367.225	287.240	713.626	265.925	210.357	233.765	188.950	2.133	0.566	0.130	-0.260	75.000	6.000	214.000	187.232	698.003	195.478	176.577	190.938	163.254	1.992	-0.666	-0.205	0.455	79.000	6.000	367.722	249.364	688.546	242.891	182.759	200.609	158.727	2.188	0.149	0.014	-0.038
7.000	8.000	7.000	314.200	181.260	734.456	236.273	186.818	209.688	139.563	2.314	-0.168	0.225	0.369	8.000	7.000	263.000	206.809	734.456	218.296	166.133	186.333	132.069	4.129	-0.027	0.000	0.000	8.000	7.000	290.710	190.491	734.456	195.884	155.857	177.300	119.132	4.085	0.617	0.350	-0.138	35.000	7.000	209.720	205.141	714.380	169.992	152.286	163.389	129.792	5.530	0.609	0.056	-0.547	40.000	7.000	257.061	176.941	715.506	180.690	151.733	162.938	130.007	1.743	-0.203	0.065	0.257	42.000	7.000	366.622	296.833	710.750	265.938	201.375	220.222	181.764	2.244	0.111	0.132	-0.000	76.000	7.000	223.586	182.736	698.568	202.325	182.556	206.273	171.310	1.418	-0.574	-0.242	0.231	80.000	7.000	366.545	248.896	692.500	248.310	179.621	191.800	160.479	2.051	-0.138	0.020	0.090
8.000	9.000	8.000	305.310	184.677	729.753	232.000	181.138	197.800	137.014	2.203	-0.111	0.268	0.349	9.000	8.000	286.871	213.404	729.753	212.494	163.333	199.545	131.062	4.370	0.241	0.000	-0.195	9.000	8.000	262.793	170.627	729.753	197.122	159.143	174.214	116.944	4.115	0.030	0.331	0.202	36.000	8.000	196.591	190.860	715.853	169.990	151.115	158.864	129.306	5.748	0.219	0.120	0.038	41.000	8.000	285.774	200.455	713.626	187.718	147.355	158.643	126.740	2.160	0.417	0.195	-0.195	43.000	8.000	412.902	326.481	718.417	280.458	200.516	222.909	190.464	2.550	0.306	-0.065	-0.325	77.000	8.000	210.889	185.011	694.390	197.217	182.208	196.750	167.687	1.009	-0.409	-0.060	0.386	81.000	8.000	238.483	198.570	687.760	197.629	190.065	215.733	168.993	0.871	-1.179	-0.234	0.899
9.000	10.000	9.000	314.710	189.616	714.825	232.585	181.821	192.864	136.057	2.360	0.157	0.183	0.102	10.000	9.000	294.500	218.907	714.825	222.444	162.857	185.688	129.641	4.500	0.130	0.065	-0.130	10.000	9.000	260.897	177.223	714.825	191.604	158.741	167.429	119.257	4.643	0.528	0.267	-0.193	37.000	9.000	209.148	200.210	715.104	172.906	158.333	166.826	128.682	5.982	0.233	0.089	-0.066	42.000	9.000	295.100	205.691	710.750	186.718	150.393	154.375	127.793	2.290	0.130	0.065	-0.065	44.000	9.000	377.314	293.806	714.614	265.463	211.625	229.143	185.960	2.347	-0.203	-0.000	0.195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	82.000	9.000	366.838	248.576	695.441	247.005	198.242	231.583	162.481	1.783	0.911	0.000	-0.793
