T	X	Y	Mean	StdDev	Frame Background	Boundary Background
1.000	11.570	19.500	402.978	126.694	108.870	127.430
2.000	11.375	19.305	391.682	121.775	108.544	126.304
3.000	11.375	19.695	387.880	120.030	108.563	126.477
4.000	11.635	19.565	386.789	117.152	108.549	126.638
5.000	11.570	19.630	386.355	119.225	108.725	126.959
6.000	11.570	19.695	384.926	118.676	108.758	126.975
7.000	11.505	19.565	381.230	117.761	108.688	126.702
8.000	11.570	19.435	378.539	116.781	108.699	126.559
9.000	11.570	19.435	379.468	116.763	108.625	126.272
10.000	11.570	19.435	379.044	116.304	108.573	126.151
11.000	11.570	19.305	377.495	115.940	108.643	126.145
12.000	11.570	19.175	378.796	115.854	108.583	125.982
13.000	11.570	19.175	377.627	113.067	108.567	125.882
14.000	11.570	19.175	379.238	115.084	108.690	126.325
15.000	11.570	19.110	378.578	114.714	108.766	126.417
16.000	11.635	19.110	378.666	113.994	108.798	126.400
17.000	11.635	19.175	376.985	111.073	108.785	126.705
18.000	11.570	19.240	374.866	109.715	108.831	126.579
19.000	11.635	19.305	375.567	108.952	108.758	126.528
20.000	11.635	19.435	372.331	108.331	108.763	126.549
21.000	11.570	19.370	372.052	107.142	108.795	126.536
22.000	11.570	19.435	371.821	106.319	108.784	126.733
23.000	11.570	19.500	368.888	105.027	108.674	126.335
24.000	11.570	19.435	368.941	101.315	108.663	126.405
25.000	11.635	19.435	368.902	100.119	108.765	126.714
26.000	11.635	19.370	367.784	97.940	108.951	127.264
27.000	11.635	19.370	368.803	97.568	108.919	127.271
28.000	11.570	19.370	367.895	98.558	108.887	127.064
29.000	11.635	19.240	367.672	100.693	108.889	127.190
30.000	11.635	19.240	368.431	102.189	108.920	127.567
31.000	11.635	19.500	367.162	103.587	108.805	127.153
32.000	11.635	19.565	367.011	105.715	108.667	127.040
33.000	11.570	19.500	366.366	105.749	108.785	127.202
34.000	11.570	19.435	368.022	105.465	108.692	127.072
35.000	11.570	19.305	370.025	108.452	108.713	127.226
36.000	11.570	19.370	370.718	107.884	108.784	127.425
37.000	11.700	19.435	368.830	106.996	108.736	127.284
38.000	11.700	19.565	366.181	107.182	108.649	127.074
39.000	11.765	19.565	364.300	106.897	108.680	127.456
40.000	11.830	19.695	364.908	107.959	108.727	127.344
41.000	11.765	19.760	362.339	107.658	108.675	126.979
42.000	11.700	19.825	361.112	106.550	108.634	127.056
43.000	11.765	19.890	360.880	102.473	108.598	126.761
44.000	11.765	19.890	361.841	102.156	108.677	126.829
45.000	11.700	20.020	362.120	102.625	108.543	126.290
46.000	11.700	20.150	364.562	102.404	108.614	126.354
47.000	11.700	20.215	365.083	101.341	108.480	125.882
48.000	11.635	20.280	366.398	101.033	108.457	125.745
49.000	11.895	20.215	362.001	100.419	108.346	125.454
50.000	11.830	20.280	365.280	100.693	108.566	126.085
51.000	11.700	20.215	366.682	100.503	108.515	125.714
52.000	11.635	20.085	368.012	99.704	108.403	125.170
53.000	11.570	20.020	366.815	98.456	108.309	124.787
54.000	11.570	20.085	368.502	96.885	108.301	125.023
55.000	11.505	20.020	368.787	98.722	108.308	124.824
56.000	11.505	20.020	368.373	102.488	108.265	124.568
57.000	11.505	19.955	369.511	99.623	108.474	125.075
58.000	11.570	19.890	370.129	100.236	108.257	124.838
59.000	11.440	19.760	371.640	99.017	108.225	124.989
60.000	11.505	19.695	373.190	99.369	108.273	125.080
61.000	11.570	19.695	373.035	99.327	108.421	125.728
62.000	11.505	19.565	373.184	101.297	108.419	125.727
63.000	11.505	19.370	371.805	102.380	108.350	125.309
64.000	11.505	19.370	369.264	100.825	108.276	125.334
65.000	11.505	19.370	369.516	100.934	108.275	125.247
66.000	11.570	19.370	367.767	100.487	108.258	125.183
67.000	11.570	19.370	365.067	101.414	108.221	125.170
68.000	11.505	19.435	366.299	103.783	108.278	125.278
69.000	11.505	19.630	365.395	107.604	108.307	125.314
70.000	11.570	19.435	366.469	108.677	108.286	125.574
71.000	11.635	19.500	366.536	110.299	108.317	125.494
72.000	11.635	19.565	369.495	113.116	108.321	125.511
73.000	11.700	19.500	365.902	114.582	108.288	125.284
74.000	11.570	19.500	366.178	113.713	108.206	125.150
75.000	11.570	19.435	366.410	115.710	108.255	125.107
76.000	11.570	19.370	363.351	114.457	108.198	124.810
77.000	11.570	19.175	363.497	111.806	108.298	125.435
78.000	11.440	19.175	361.448	111.394	108.242	125.157
79.000	11.505	19.240	357.076	111.280	108.126	124.937
80.000	11.440	19.305	357.320	112.012	108.160	124.809
81.000	11.375	19.305	359.098	111.977	108.154	124.741
82.000	11.570	19.305	355.749	111.210	108.062	124.183
83.000	11.180	19.240	356.846	109.541	108.116	124.463
84.000	11.570	19.175	355.826	107.900	108.127	124.517
85.000	11.505	19.175	355.624	107.139	108.146	124.579
86.000	10.855	19.110	357.061	107.473	108.088	124.599
87.000	10.790	19.045	355.559	109.767	108.053	124.332
88.000	10.660	19.110	357.803	110.354	107.974	124.236
89.000	10.595	19.110	358.142	111.875	108.109	124.385
90.000	10.725	19.045	358.552	109.626	108.100	124.539
91.000	10.660	19.240	357.914	108.813	108.106	124.320
92.000	11.440	19.370	352.786	110.092	107.990	124.049
93.000	11.440	19.500	353.018	111.628	108.062	124.170
94.000	10.790	19.565	353.550	112.087	108.069	124.176
95.000	10.790	19.630	354.279	113.027	108.098	124.406
96.000	10.660	19.825	356.056	112.097	107.973	124.018
97.000	10.595	19.825	354.209	109.426	107.873	123.687
98.000	10.530	19.695	354.953	110.873	107.873	123.532
99.000	10.595	19.695	352.642	111.404	108.017	124.309
100.000	10.660	19.825	352.733	111.388	108.051	124.307
101.000	10.660	19.695	354.267	113.375	108.036	124.178
102.000	10.725	19.565	353.311	113.288	108.083	124.354
103.000	10.855	19.500	353.538	114.326	108.126	124.782
104.000	10.920	19.500	352.188	116.224	108.122	124.548
105.000	10.855	19.500	353.840	117.743	108.193	124.873
106.000	10.790	19.500	352.770	117.119	108.039	124.663
107.000	10.920	19.500	353.784	118.882	108.066	124.677
108.000	10.855	19.500	353.058	118.960	108.008	124.284
109.000	10.855	19.435	354.638	117.908	107.948	124.213
110.000	10.855	19.370	356.590	117.790	108.108	124.522
111.000	10.920	19.240	356.458	114.258	108.074	124.352
112.000	11.570	19.175	354.529	115.398	108.078	124.307
113.000	11.570	19.175	354.746	114.434	108.059	124.371
114.000	11.570	19.110	355.640	116.255	108.399	124.528
115.000	11.635	19.045	354.389	115.075	108.443	124.341
116.000	11.635	18.980	352.838	113.040	108.293	124.024
117.000	11.635	18.980	353.756	114.442	108.430	124.579
118.000	11.635	19.045	356.675	116.318	108.292	124.326
119.000	11.570	19.110	356.879	115.327	108.286	124.304
120.000	11.570	19.175	359.905	116.487	108.454	124.807
121.000	11.635	19.240	358.099	115.214	108.489	124.750
