 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)	T (9)	Base X (9)	Base Y (9)	Tip X (9)	Tip Y (9)	||[body,base]|| (9)	||[base,tip]||  (9)	||[base,tip]|| : [body,base] (9)	[base,tip] ? [body,base] (9)	?||[base,tip]|| : [body,base] (9)	||[tip(t-1),tip(t)]|| : [base,tip] (9)	||[base(t-1),base(t)]|| : [base,tip] (9)	T (10)	Base X (10)	Base Y (10)	Tip X (10)	Tip Y (10)	||[body,base]|| (10)	||[base,tip]||  (10)	||[base,tip]|| : [body,base] (10)	[base,tip] ? [body,base] (10)	?||[base,tip]|| : [body,base] (10)	||[tip(t-1),tip(t)]|| : [base,tip] (10)	||[base(t-1),base(t)]|| : [base,tip] (10)
1	0.000	1.000	9.035	15.535	9.230	13.260	4.706	2.283	1.812	8.526	NaN	NaN	NaN	1.000	14.300	15.925	16.770	11.375	4.498	5.177	5.115	23.009	NaN	NaN	NaN	1.000	19.630	16.185	26.845	14.885	8.715	7.331	7.167	62.462	NaN	NaN	NaN	1.000	23.010	18.980	27.300	19.175	11.452	4.294	4.277	48.976	NaN	NaN	NaN	1.000	20.345	21.320	24.245	21.905	8.962	3.944	3.938	35.287	NaN	NaN	NaN	1.000	8.060	20.930	6.175	22.230	3.790	2.290	2.236	8.475	NaN	NaN	NaN	1.000	9.945	23.790	9.490	25.090	4.587	1.377	1.377	6.316	NaN	NaN	NaN	1.000	19.955	22.880	26.260	25.675	9.041	6.897	6.893	62.315	NaN	NaN	NaN	1.000	13.455	25.350	15.145	28.340	6.146	3.435	3.364	20.677	NaN	NaN	NaN	49.000	17.160	26.975	17.225	27.170	8.568	0.206	0.194	1.660	NaN	NaN	NaN	81.000	21.580	25.220	21.645	25.480	11.795	0.268	0.187	2.201	NaN	NaN	NaN
2	1.000	2.000	8.970	15.535	9.230	13.325	4.472	2.225	1.723	7.706	-0.088	-0.065	-0.008	2.000	14.300	15.860	16.705	11.440	4.519	5.032	4.926	22.262	-0.189	-0.088	0.057	2.000	19.565	16.185	26.845	14.820	8.764	7.407	7.289	63.882	0.122	0.012	-0.064	2.000	22.620	19.045	27.430	19.175	11.248	4.812	4.806	54.055	0.529	0.130	-0.388	2.000	20.345	21.385	24.310	21.905	9.208	3.999	3.980	36.648	0.042	0.064	0.008	2.000	8.060	20.930	6.175	22.295	3.692	2.327	2.293	8.467	0.057	0.038	NaN	2.000	9.945	23.660	9.425	25.155	4.584	1.583	1.583	7.254	0.206	0.083	-0.123	2.000	19.955	22.880	26.325	25.675	9.295	6.956	6.955	64.647	0.062	0.060	NaN	2.000	13.390	25.220	15.210	28.340	6.249	3.612	3.540	22.122	0.176	0.033	-0.145	50.000	17.355	26.975	17.420	27.170	8.680	0.206	0.192	1.665	-0.002	0.062	0.062	82.000	21.320	25.090	21.645	25.545	11.337	0.559	0.512	5.801	0.325	0.053	-0.257
3	2.000	3.000	8.905	15.535	9.230	13.390	4.838	2.169	1.678	8.120	-0.045	-0.064	-0.010	3.000	14.560	15.730	16.640	11.440	5.086	4.768	4.647	23.635	-0.279	-0.028	0.230	3.000	19.500	16.120	26.780	14.885	8.877	7.384	7.161	63.565	-0.128	-0.075	-0.053	3.000	22.620	19.045	27.430	19.110	11.264	4.810	4.798	54.046	-0.007	-8.783E-4	NaN	3.000	20.800	21.320	24.310	21.905	9.564	3.558	3.558	34.032	-0.422	NaN	0.438	3.000	8.060	20.930	6.175	22.230	3.538	2.290	2.220	7.854	-0.073	-0.037	NaN	3.000	9.945	23.595	9.425	25.220	4.154	1.706	1.705	7.081	0.122	0.062	-0.062	3.000	20.085	22.945	26.520	25.675	9.297	6.990	6.983	64.921	0.028	0.180	0.145	3.000	13.520	25.675	15.145	28.275	6.353	3.066	2.996	19.034	-0.544	-0.090	0.455	51.000	17.355	26.845	17.550	27.105	8.714	0.325	0.324	2.827	0.133	0.026	-0.104	83.000	21.190	25.090	21.515	25.675	11.594	0.669	0.576	6.676	0.064	0.051	-0.063
4	3.000	4.000	8.905	15.470	9.230	13.455	4.922	2.041	1.496	7.364	-0.182	-0.064	0.064	4.000	14.495	15.795	16.705	11.440	4.732	4.884	4.805	22.739	0.158	0.029	-0.087	4.000	19.500	16.120	26.650	14.950	8.586	7.245	7.019	60.265	-0.142	-0.139	NaN	4.000	23.140	18.980	27.690	19.045	11.520	4.550	4.541	52.310	-0.257	0.259	0.519	4.000	20.800	21.385	24.375	21.905	9.344	3.613	3.608	33.711	0.049	0.064	0.009	4.000	8.060	20.995	6.175	22.230	3.850	2.254	2.209	8.505	-0.011	NaN	0.036	4.000	10.010	23.530	9.425	25.285	4.285	1.850	1.846	7.909	0.141	0.062	-0.082	4.000	20.215	22.945	26.520	25.740	9.222	6.897	6.891	63.544	-0.093	0.026	0.119	4.000	13.260	25.090	15.210	28.405	5.759	3.846	3.731	21.484	0.735	0.145	-0.636	52.000	17.225	26.715	17.550	27.105	8.672	0.508	0.508	4.402	0.183	NaN	-0.183	84.000	21.060	24.960	21.320	25.675	11.114	0.761	0.594	6.604	0.018	-0.067	-0.167
5	4.000	5.000	8.905	15.535	9.230	13.455	4.886	2.105	1.566	7.651	0.070	NaN	-0.064	5.000	14.495	15.730	16.705	11.375	4.875	4.884	4.810	23.449	0.005	0.058	0.058	5.000	19.240	16.120	26.650	14.950	8.435	7.502	7.225	60.941	0.206	NaN	-0.257	5.000	23.075	18.980	27.820	19.045	11.523	4.745	4.734	54.549	0.193	0.130	-0.065	5.000	20.995	21.450	24.440	21.905	9.599	3.475	3.469	33.297	-0.139	0.064	0.202	5.000	8.060	20.930	6.175	22.230	3.743	2.290	2.219	8.306	0.010	NaN	-0.037	5.000	10.010	23.660	9.425	25.220	4.321	1.666	1.666	7.199	-0.180	-0.061	0.122	5.000	20.215	23.075	26.585	25.740	9.306	6.905	6.904	64.250	0.013	0.060	0.050	5.000	13.325	25.220	15.210	28.405	5.859	3.701	3.603	21.112	-0.127	NaN	0.145	53.000	17.160	26.520	17.615	27.105	8.573	0.741	0.740	6.346	0.233	0.040	-0.194	85.000	20.800	24.895	21.190	25.675	10.914	0.872	0.741	8.087	0.147	-0.058	-0.174
6	5.000	6.000	8.905	15.470	9.230	13.390	4.995	2.105	1.586	7.922	0.020	0.064	0.064	6.000	14.430	15.730	16.705	11.440	4.889	4.856	4.810	23.516	2.037E-4	-0.057	-0.030	6.000	19.045	16.120	26.650	14.950	8.286	7.694	7.366	61.030	0.141	NaN	-0.193	6.000	23.010	18.980	28.015	19.045	11.462	5.005	4.991	57.211	0.257	0.195	-0.065	6.000	20.930	21.450	24.505	21.905	9.523	3.604	3.598	34.261	0.129	0.064	-0.064	6.000	8.125	20.930	6.175	22.295	3.660	2.380	2.296	8.404	0.077	0.037	-0.053	6.000	10.010	23.530	9.425	25.155	4.140	1.727	1.726	7.144	0.060	-0.061	-0.122	6.000	20.280	23.075	26.650	25.740	9.343	6.905	6.903	64.490	-0.001	0.060	0.060	6.000	13.390	25.480	15.210	28.405	6.065	3.445	3.336	20.234	-0.267	NaN	0.255	54.000	17.225	26.455	17.680	27.040	8.518	0.741	0.740	6.299	-6.656E-4	-0.011	-0.011	86.000	20.475	24.830	20.995	25.740	11.192	1.048	0.912	10.208	0.171	-0.040	-0.218
7	6.000	7.000	8.840	15.470	9.230	13.455	4.886	2.052	1.476	7.212	-0.110	-0.064	-0.012	7.000	14.430	15.730	16.705	11.375	4.823	4.913	4.842	23.356	0.032	0.058	NaN	7.000	18.785	16.185	26.520	14.950	8.026	7.833	7.536	60.485	0.170	-0.128	-0.267	7.000	22.945	18.980	28.210	19.045	11.455	5.265	5.255	60.194	0.264	0.195	-0.065	7.000	20.995	21.450	24.505	21.905	9.675	3.539	3.531	34.168	-0.066	NaN	0.064	7.000	7.995	20.995	6.175	22.295	3.790	2.237	2.176	8.247	-0.120	NaN	0.144	7.000	10.075	23.465	9.490	25.090	4.154	1.727	1.727	7.174	0.001	-0.083	-0.083	7.000	20.410	23.140	26.650	25.805	9.596	6.785	6.784	65.095	-0.119	0.026	0.145	7.000	13.195	24.960	15.210	28.405	5.654	3.991	3.890	21.991	0.553	NaN	-0.547	55.000	17.160	26.390	17.745	27.105	8.518	0.924	0.923	7.863	0.184	0.091	-0.091	87.000	20.215	24.830	20.865	25.740	11.059	1.118	1.030	11.391	0.118	-0.076	-0.151
8	7.000	8.000	8.840	15.405	9.230	13.455	4.868	1.989	1.396	6.794	-0.080	NaN	0.064	8.000	14.365	15.860	16.705	11.310	4.538	5.116	5.026	22.807	0.183	0.058	-0.145	8.000	18.590	16.250	26.520	14.950	7.709	8.036	7.759	59.809	0.223	NaN	-0.203	8.000	23.075	18.915	28.405	18.980	11.517	5.330	5.322	61.288	0.067	0.194	0.129	8.000	21.125	21.515	24.635	21.905	9.779	3.532	3.513	34.349	-0.019	0.129	0.136	8.000	8.060	20.865	6.175	22.230	3.790	2.327	2.261	8.568	0.085	-0.038	-0.129	8.000	10.140	23.465	9.490	24.960	4.276	1.630	1.626	6.954	-0.101	-0.119	-0.026	8.000	20.475	23.205	26.780	25.805	9.670	6.820	6.820	65.948	0.036	0.120	0.085	8.000	13.195	24.895	15.275	28.470	5.697	4.136	4.020	22.900	0.130	0.089	-0.056	56.000	17.160	26.325	17.810	27.105	8.469	1.015	1.015	8.594	0.092	0.042	-0.050	88.000	19.890	24.830	20.605	25.805	10.859	1.209	1.121	12.176	0.091	-0.101	-0.192
9	8.000	9.000	8.840	15.405	9.230	13.455	4.868	1.989	1.396	6.794	NaN	NaN	NaN	9.000	14.430	15.730	16.705	11.310	4.680	4.971	4.889	22.883	-0.137	NaN	0.145	9.000	18.395	16.315	26.455	14.950	7.504	8.175	7.898	59.268	0.139	-0.064	-0.203	9.000	23.010	18.980	28.535	18.915	11.449	5.525	5.523	63.236	0.202	0.131	-0.066	9.000	20.995	21.450	24.570	21.840	9.638	3.596	3.578	34.480	0.065	-0.072	-0.136	9.000	7.995	20.930	6.175	22.230	3.875	2.237	2.181	8.450	-0.080	NaN	0.091	9.000	10.075	23.400	9.490	24.960	4.237	1.666	1.666	7.060	0.040	NaN	-0.038	9.000	20.410	23.140	26.910	25.805	9.585	7.025	7.025	67.334	0.205	0.120	-0.085	9.000	13.195	24.895	15.340	28.535	5.697	4.225	4.101	23.360	0.081	0.089	NaN	57.000	16.900	26.130	17.810	27.105	8.200	1.334	1.333	10.930	0.318	NaN	-0.320	89.000	19.565	24.700	20.410	25.805	10.569	1.391	1.302	13.757	0.180	-0.118	-0.301
10	9.000	10.000	8.775	15.470	9.230	13.455	4.851	2.066	1.385	6.718	-0.011	NaN	-0.078	10.000	14.365	15.730	16.770	11.310	4.641	5.032	4.977	23.098	0.088	0.031	-0.031	10.000	18.200	16.315	26.455	14.950	7.327	8.367	8.050	58.989	0.153	NaN	-0.192	10.000	23.010	18.980	28.600	18.850	11.449	5.592	5.591	64.009	0.068	0.066	NaN	10.000	20.930	21.385	24.440	21.905	9.561	3.548	3.542	33.868	-0.035	-0.119	-0.074	10.000	7.995	20.930	6.175	22.230	3.875	2.237	2.181	8.450	NaN	NaN	NaN	10.000	10.075	23.465	9.490	24.960	4.298	1.605	1.605	6.899	-0.061	NaN	0.061	10.000	20.215	23.075	26.975	25.805	9.380	7.290	7.290	68.377	0.265	0.060	-0.205	10.000	13.195	24.830	15.340	28.535	5.634	4.281	4.166	23.474	0.066	NaN	-0.056	58.000	16.705	26.000	17.745	27.105	7.981	1.517	1.515	12.092	0.182	-0.045	-0.228	90.000	19.305	24.505	20.345	25.805	10.170	1.665	1.575	16.021	0.274	-0.041	-0.315
