dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)	T (9)	dT (9)	Base Mean (9)	Base Local Background (9)	Body Mean (9)	Proj Mean (9)	Tip Mean (9)	Tip Th Mean (9)	Tip Local Background (9)	Length (9)	dL (9)	DCTM (9)	DCBM (9)	T (10)	dT (10)	Base Mean (10)	Base Local Background (10)	Body Mean (10)	Proj Mean (10)	Tip Mean (10)	Tip Th Mean (10)	Tip Local Background (10)	Length (10)	dL (10)	DCTM (10)	DCBM (10)
0.000	1.000	0.000	238.893	561.526	402.978	159.831	135.438	141.480	125.653	2.561	0.000	NaN	NaN	1.000	0.000	242.871	157.556	402.978	145.059	123.571	140.000	109.531	5.779	0.000	NaN	NaN	1.000	0.000	183.828	134.316	402.978	138.201	124.259	133.385	112.517	8.005	0.000	NaN	NaN	1.000	0.000	176.815	143.255	402.978	141.584	126.034	132.412	118.276	4.657	0.000	NaN	NaN	1.000	0.000	193.296	253.073	402.978	149.965	125.071	136.000	118.177	4.348	0.000	NaN	NaN	1.000	0.000	236.276	219.402	402.978	161.211	135.793	148.462	122.556	2.640	0.000	NaN	NaN	1.000	0.000	229.433	141.351	402.978	167.645	140.750	146.292	116.761	1.713	0.000	NaN	NaN	1.000	0.000	196.500	147.211	402.978	135.801	118.036	124.400	114.638	7.576	0.000	NaN	NaN	1.000	0.000	204.370	125.526	402.978	156.911	129.758	150.000	109.155	3.877	0.000	NaN	NaN	49.000	0.000	169.609	125.682	362.001	150.538	150.538	171.200	121.645	0.372	0.372	NaN	NaN	81.000	0.000	166.333	143.052	359.098	148.308	148.308	162.913	133.174	0.533	0.533	NaN	NaN
1.000	2.000	1.000	228.179	189.976	391.682	153.914	132.125	146.000	122.460	2.523	-0.038	-0.065	-0.008	2.000	1.000	231.586	167.000	391.682	142.047	129.276	139.889	112.674	5.595	-0.184	-0.088	0.057	2.000	1.000	190.323	145.752	391.682	136.298	124.567	132.267	109.779	8.162	0.157	0.012	-0.064	2.000	1.000	181.741	147.928	391.682	141.926	125.655	132.278	109.500	5.104	0.447	0.130	-0.388	2.000	1.000	196.500	156.120	391.682	148.850	128.407	134.118	111.683	4.375	0.027	0.064	0.008	2.000	1.000	248.943	186.382	391.682	161.888	132.107	140.600	123.041	2.713	0.073	0.038	-0.000	2.000	1.000	260.172	191.459	391.682	170.907	137.536	146.409	127.186	1.935	0.222	0.083	-0.123	2.000	1.000	192.138	146.082	391.682	135.826	122.393	128.375	108.993	7.641	0.065	0.060	0.000	2.000	1.000	193.367	160.600	391.682	152.240	127.103	147.462	113.580	4.144	0.268	0.033	-0.145	50.000	1.000	172.696	131.537	365.280	148.615	148.615	172.833	126.881	0.372	-6.661E-16	0.062	0.062	82.000	1.000	188.000	149.570	355.749	151.431	140.630	152.889	131.964	0.787	0.255	0.053	-0.257
2.000	3.000	2.000	240.643	177.725	387.880	156.876	132.062	144.538	120.853	2.458	-0.065	-0.064	-0.010	3.000	2.000	204.846	161.069	387.880	143.439	128.000	140.611	112.385	5.357	-0.238	-0.028	0.230	3.000	2.000	198.793	141.475	387.880	136.522	127.129	137.643	111.227	8.043	-0.119	-0.075	-0.053	3.000	2.000	188.370	142.250	387.880	144.036	127.333	141.000	110.113	5.204	0.100	-8.783E-4	0.000	3.000	2.000	182.138	140.851	387.880	140.126	125.500	135.583	112.688	3.958	-0.417	0.000	0.438	3.000	2.000	256.314	187.060	387.880	163.949	134.897	147.250	122.211	2.686	-0.027	-0.037	-0.000	3.000	2.000	249.852	190.296	387.880	165.031	134.867	140.818	126.090	2.019	0.084	0.062	-0.062	3.000	2.000	189.379	146.330	387.880	132.695	116.655	123.526	108.382	7.725	0.084	0.180	0.145	3.000	2.000	178.000	143.486	387.880	149.073	126.793	141.417	115.243	3.544	-0.601	-0.090	0.455	51.000	2.000	184.962	146.467	366.682	154.743	152.467	171.417	131.986	0.568	0.196	0.026	-0.104	83.000	2.000	182.679	149.890	356.846	147.477	136.393	144.500	127.531	0.860	0.073	0.051	-0.063
3.000	4.000	3.000	210.321	179.013	386.789	155.453	134.469	140.720	121.041	2.382	-0.076	-0.064	0.064	4.000	3.000	209.962	161.386	386.789	141.638	122.897	133.500	113.295	5.449	0.092	0.029	-0.087	4.000	3.000	193.613	145.490	386.789	135.358	127.545	138.714	111.895	7.986	-0.057	-0.139	0.000	4.000	3.000	179.267	130.561	386.789	136.453	122.607	134.100	108.760	4.909	-0.295	0.259	0.519	4.000	3.000	207.241	140.495	386.789	142.222	122.677	130.167	111.974	4.069	0.111	0.064	0.009	4.000	3.000	278.414	191.385	386.789	166.608	134.444	143.688	122.404	2.556	-0.130	-0.000	0.036	4.000	3.000	247.481	187.181	386.789	171.645	137.893	161.286	124.305	2.138	0.119	0.062	-0.082	4.000	3.000	194.828	145.674	386.789	135.448	121.267	130.643	107.447	7.614	-0.111	0.026	0.119	4.000	3.000	205.030	163.138	386.789	157.343	132.111	143.800	112.716	4.393	0.850	0.145	-0.636	52.000	3.000	176.731	160.727	368.012	148.979	141.931	163.700	136.229	0.611	0.043	0.000	-0.183	84.000	3.000	183.107	155.554	355.826	147.233	136.667	143.800	129.107	0.963	0.103	-0.067	-0.167
4.000	5.000	4.000	218.296	184.080	386.355	155.134	132.939	145.867	120.483	2.466	0.084	0.000	-0.064	5.000	4.000	219.103	149.479	386.355	142.924	126.571	139.938	110.676	5.449	0.000	0.058	0.058	5.000	4.000	187.741	147.909	386.355	136.473	123.594	136.667	110.948	8.089	0.103	0.000	-0.257	5.000	4.000	188.967	135.402	386.355	140.611	125.552	132.143	108.559	5.158	0.249	0.130	-0.065	5.000	4.000	194.172	140.645	386.355	144.805	126.625	136.714	111.357	3.893	-0.176	0.064	0.202	5.000	4.000	278.719	197.721	386.355	167.028	135.000	156.889	122.252	2.621	0.065	-0.000	-0.037	5.000	4.000	237.536	180.703	386.355	169.729	143.933	152.750	126.269	2.000	-0.138	-0.061	0.122	5.000	4.000	191.500	149.299	386.355	134.921	117.929	127.500	108.137	7.607	-0.008	0.060	0.050	5.000	4.000	198.667	154.208	386.355	153.590	127.625	136.632	113.487	4.282	-0.111	0.000	0.145	53.000	4.000	186.111	163.447	366.815	147.781	134.643	147.929	127.374	0.887	0.276	0.040	-0.194	85.000	4.000	176.741	158.157	355.624	142.912	133.400	141.080	125.242	1.101	0.138	-0.058	-0.174
5.000	6.000	5.000	211.333	175.052	384.926	151.351	129.844	140.533	120.553	2.401	-0.065	0.064	0.064	6.000	5.000	216.640	162.086	384.926	143.781	125.733	135.867	112.633	5.430	-0.019	-0.057	-0.030	6.000	5.000	179.963	148.436	384.926	135.799	120.667	129.312	110.201	8.314	0.225	0.000	-0.193	6.000	5.000	193.407	141.085	384.926	139.443	124.833	131.105	108.724	5.434	0.276	0.195	-0.065	6.000	5.000	204.357	147.253	384.926	145.622	122.929	127.522	112.649	3.996	0.103	0.064	-0.064	6.000	5.000	279.971	208.407	384.926	172.347	130.500	140.722	122.400	2.759	0.138	0.037	-0.053	6.000	5.000	270.967	190.048	384.926	172.213	141.312	154.692	130.789	2.073	0.073	-0.061	-0.122	6.000	5.000	185.480	148.000	384.926	136.709	123.889	129.500	109.236	7.607	0.000	0.060	0.060	6.000	5.000	180.414	149.029	384.926	148.775	123.867	138.909	113.386	3.930	-0.352	0.000	0.255	54.000	5.000	188.828	151.920	368.502	155.347	142.111	153.588	125.354	0.906	0.019	-0.011	-0.011	86.000	5.000	185.923	167.974	357.061	141.791	127.607	136.364	124.270	1.304	0.203	-0.040	-0.218
6.000	7.000	6.000	223.593	174.987	381.230	157.472	133.303	152.556	120.948	2.382	-0.019	-0.064	-0.012	7.000	6.000	193.370	160.978	381.230	142.635	125.214	136.733	110.919	5.522	0.092	0.058	0.000	7.000	6.000	188.400	147.532	381.230	136.826	129.100	143.818	109.497	8.490	0.176	-0.128	-0.267	7.000	6.000	196.679	141.761	381.230	139.965	126.929	135.917	107.385	5.632	0.198	0.195	-0.065	7.000	6.000	205.444	145.419	381.230	144.065	127.679	137.067	111.808	3.931	-0.065	0.000	0.064	7.000	6.000	260.559	195.640	381.230	171.311	132.926	150.000	122.454	2.621	-0.138	-0.000	0.144	7.000	6.000	259.357	199.082	381.230	169.856	137.214	143.269	130.854	2.035	-0.038	-0.083	-0.083	7.000	6.000	200.321	144.598	381.230	135.252	123.393	130.929	109.347	7.542	-0.065	0.026	0.145	7.000	6.000	207.121	162.480	381.230	156.692	129.533	138.619	113.571	4.615	0.685	0.000	-0.547	55.000	6.000	188.885	164.024	368.787	146.790	131.536	147.125	122.299	1.109	0.203	0.091	-0.091	87.000	6.000	181.815	152.605	355.559	143.212	131.552	143.643	121.476	1.377	0.073	-0.076	-0.151
7.000	8.000	7.000	231.115	167.681	378.539	154.076	131.727	144.857	120.574	2.317	-0.065	0.000	0.064	8.000	7.000	203.464	163.396	378.539	144.533	125.548	142.364	111.121	5.790	0.268	0.058	-0.145	8.000	7.000	196.467	147.536	378.539	142.058	133.536	140.750	110.172	8.701	0.211	0.000	-0.203	8.000	7.000	186.400	136.613	378.539	137.414	126.714	139.500	108.497	5.778	0.146	0.194	0.129	8.000	7.000	203.484	149.000	378.539	142.383	123.571	177.000	111.658	3.923	-0.008	0.129	0.136	8.000	7.000	276.143	212.554	378.539	177.740	134.481	143.833	125.340	2.694	0.073	-0.038	-0.129	8.000	7.000	254.194	192.696	378.539	169.366	145.767	155.938	129.917	1.962	-0.073	-0.119	-0.026	8.000	7.000	203.103	147.681	378.539	136.116	118.933	127.071	107.703	7.515	-0.027	0.120	0.085	8.000	7.000	210.414	164.642	378.539	152.722	128.286	138.077	113.277	4.661	0.046	0.089	-0.056	56.000	7.000	181.375	161.440	368.373	146.895	132.500	143.235	121.545	1.182	0.073	0.042	-0.050	88.000	7.000	180.840	159.714	357.803	140.258	126.192	140.300	121.294	1.450	0.073	-0.101	-0.192
8.000	9.000	8.000	220.077	174.278	379.468	155.667	134.200	144.941	120.676	2.336	0.019	0.000	0.000	9.000	8.000	204.920	145.171	379.468	147.361	126.484	139.900	112.243	5.606	-0.184	0.000	0.145	9.000	8.000	188.429	155.716	379.468	141.709	128.633	139.000	111.849	8.804	0.103	-0.064	-0.203	9.000	8.000	181.840	137.239	379.468	138.633	126.571	138.700	108.160	5.946	0.168	0.131	-0.066	9.000	8.000	205.867	151.146	379.468	143.976	122.828	130.556	113.054	3.950	0.027	-0.072	-0.136	9.000	8.000	262.094	203.200	379.468	173.323	132.296	153.333	123.873	2.583	-0.111	-0.000	0.091	9.000	8.000	260.194	187.193	379.468	174.144	138.667	154.500	127.834	2.027	0.065	-0.000	-0.038	9.000	8.000	197.312	160.111	379.468	135.488	123.000	132.667	107.764	7.763	0.249	0.120	-0.085	9.000	8.000	203.387	160.143	379.468	150.872	124.679	143.571	113.648	4.818	0.157	0.089	0.000	57.000	8.000	193.036	172.584	369.511	152.149	127.111	136.467	122.493	1.588	0.406	0.000	-0.320	89.000	8.000	186.741	161.341	358.142	145.343	132.679	144.000	119.789	1.615	0.165	-0.118	-0.301
9.000	10.000	9.000	227.462	188.028	379.044	155.330	130.267	142.111	121.722	2.401	0.065	0.000	-0.078	10.000	9.000	200.375	151.303	379.044	146.991	127.733	138.300	112.527	5.614	0.008	0.031	-0.031	10.000	9.000	185.423	158.851	379.044	141.034	122.100	135.727	111.791	8.953	0.149	0.000	-0.192	10.000	9.000	163.893	137.000	379.044	137.142	124.138	136.933	108.458	6.157	0.211	0.066	0.000	10.000	9.000	189.893	155.802	379.044	141.874	124.133	133.421	113.757	3.950	0.000	-0.119	-0.074	10.000	9.000	278.800	200.735	379.044	180.709	135.571	151.182	122.507	2.602	0.019	-0.000	-0.000	10.000	9.000	251.281	189.021	379.044	172.618	143.214	153.600	128.113	1.989	-0.038	-0.000	0.061	10.000	9.000	199.000	163.506	379.044	137.746	119.462	127.500	108.284	8.004	0.241	0.060	-0.205	10.000	9.000	193.889	159.289	379.044	152.182	128.310	138.105	113.615	4.753	-0.065	0.000	-0.056	58.000	9.000	200.034	169.580	370.129	153.299	129.185	153.000	120.238	1.772	0.184	-0.045	-0.228	90.000	9.000	206.667	175.688	358.552	149.331	126.786	137.588	119.014	1.928	0.314	-0.041	-0.315
