 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)
1	0.000	1.000	32.370	9.295	26.520	10.595	7.509	5.993	5.981	44.912	NaN	NaN	NaN	1.000	42.705	10.270	43.095	11.375	4.367	1.172	1.052	4.593	NaN	NaN	NaN	1.000	32.630	11.505	26.065	14.885	8.172	7.384	7.362	60.160	NaN	NaN	NaN	1.000	39.000	11.765	31.005	15.665	4.587	8.896	4.888	22.422	NaN	NaN	NaN	25.000	33.800	12.610	33.865	12.805	7.876	0.206	0.080	0.630	NaN	NaN	NaN
2	1.000	2.000	32.760	9.360	26.455	10.530	7.197	6.413	6.374	45.875	0.393	0.052	-0.372	2.000	42.705	10.335	43.095	11.310	4.320	1.050	0.965	4.170	-0.087	-0.060	0.060	2.000	32.825	11.440	26.065	14.950	7.993	7.617	7.599	60.739	0.237	0.030	-0.203	2.000	38.870	11.830	30.940	15.730	4.616	8.837	5.184	23.930	0.296	0.087	0.145	26.000	33.735	12.545	33.670	12.740	7.925	0.206	0.177	1.403	0.097	3.431E-15	-0.041
3	2.000	3.000	32.890	9.360	26.390	10.530	7.135	6.604	6.559	46.796	0.185	0.064	-0.128	3.000	42.640	10.270	43.030	11.310	4.183	1.111	1.016	4.250	0.051	-0.023	-0.084	3.000	33.085	11.180	25.935	15.015	7.692	8.114	8.107	62.361	0.508	0.145	-0.352	3.000	38.740	11.830	30.680	15.730	4.653	8.954	5.502	25.604	0.318	0.234	0.117	27.000	33.865	12.415	33.735	12.740	7.741	0.350	0.311	2.408	0.134	-0.024	-0.169
4	3.000	4.000	32.890	9.360	26.195	10.595	7.348	6.808	6.783	49.842	0.224	0.204	NaN	4.000	42.640	10.205	43.095	11.310	3.862	1.195	1.114	4.301	0.098	0.025	-0.060	4.000	33.215	11.115	25.740	15.080	7.709	8.461	8.461	65.221	0.353	0.203	-0.145	4.000	38.415	12.220	30.550	15.795	5.057	8.639	5.827	29.465	0.325	0.145	0.457	28.000	33.995	12.415	33.865	12.805	7.503	0.411	0.357	2.679	0.046	0.021	-0.041
5	4.000	5.000	32.825	9.360	25.935	10.595	7.378	7.000	6.982	51.511	0.199	0.256	0.064	5.000	42.640	10.205	43.095	11.310	3.769	1.195	1.103	4.157	-0.011	NaN	NaN	5.000	33.410	11.050	25.610	15.145	7.444	8.810	8.809	65.580	0.349	0.145	-0.203	5.000	38.220	12.480	30.355	15.795	5.242	8.535	5.757	30.179	-0.070	0.180	0.281	29.000	34.190	12.220	33.930	12.870	7.223	0.700	0.631	4.555	0.274	0.036	-0.253
6	5.000	6.000	32.890	9.295	25.675	10.660	7.318	7.343	7.340	53.717	0.358	0.268	-0.076	6.000	42.640	10.205	43.095	11.310	3.586	1.195	1.091	3.912	-0.012	NaN	NaN	6.000	33.540	10.985	25.480	15.145	7.267	9.070	9.069	65.910	0.260	0.116	-0.145	6.000	37.960	12.870	30.160	15.860	5.540	8.353	5.700	31.578	-0.057	0.205	0.382	30.000	34.320	12.220	34.060	12.935	7.081	0.761	0.681	4.821	0.050	0.017	-0.044
7	6.000	7.000	32.890	9.360	25.480	10.725	7.382	7.535	7.531	55.593	0.191	0.204	0.012	7.000	42.640	10.270	43.160	11.375	3.539	1.221	1.144	4.048	0.053	0.086	0.059	7.000	33.540	10.920	25.480	15.080	7.269	9.070	9.065	65.893	-0.004	-0.030	-0.030	7.000	37.765	13.130	29.900	15.860	5.821	8.325	5.661	32.955	-0.038	0.246	0.269	31.000	34.385	12.220	34.060	12.935	7.081	0.785	0.728	5.155	0.047	NaN	-0.027
8	7.000	8.000	32.955	9.360	25.480	10.660	7.355	7.587	7.585	55.791	0.054	-0.011	-0.064	8.000	42.640	10.335	43.160	11.440	3.447	1.221	1.143	3.942	-1.485E-4	0.059	0.059	8.000	33.540	10.855	25.545	15.015	7.247	9.013	8.994	65.175	-0.071	-0.088	-0.030	8.000	37.570	13.325	29.770	15.925	5.989	8.222	5.729	34.307	0.067	0.144	0.247	32.000	34.450	12.155	34.125	12.935	6.944	0.845	0.770	5.349	0.042	-0.025	-0.085
9	8.000	9.000	32.825	9.360	25.285	10.660	7.471	7.651	7.651	57.156	0.065	0.192	0.128	9.000	42.575	10.335	43.225	11.505	3.356	1.338	1.282	4.301	0.138	0.088	-0.032	9.000	33.475	10.985	25.610	15.015	7.332	8.837	8.825	64.706	-0.169	-0.058	0.117	9.000	37.310	13.585	29.575	15.925	6.279	8.081	5.606	35.203	-0.122	0.187	0.324	33.000	34.580	12.025	34.060	13.065	6.852	1.163	1.090	7.470	0.320	0.145	-0.174
10	9.000	10.000	32.890	9.360	25.025	10.725	7.504	7.983	7.961	59.742	0.311	0.267	-0.064	10.000	42.640	10.400	43.290	11.635	3.779	1.396	1.360	5.138	0.078	0.145	0.088	10.000	33.410	10.920	25.610	15.015	7.558	8.810	8.808	66.569	-0.017	NaN	0.027	10.000	37.180	13.715	29.380	15.925	6.861	8.107	5.388	36.969	-0.218	0.188	0.161	34.000	34.580	11.960	33.865	13.260	6.760	1.484	1.410	9.532	0.320	0.265	-0.057
