dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)
0.000	1.000	0.000	255.185	182.939	833.939	162.441	147.346	157.467	135.644	6.594	0.000	NaN	NaN	1.000	0.000	298.074	204.875	833.939	232.456	203.759	229.200	148.381	1.464	0.000	NaN	NaN	1.000	0.000	257.385	162.726	833.939	164.454	136.920	143.600	137.892	8.125	0.000	NaN	NaN	1.000	0.000	326.379	591.850	833.939	216.165	155.786	170.312	161.683	10.006	0.000	NaN	NaN	25.000	0.000	359.947	260.066	766.620	277.429	277.429	290.250	244.159	0.253	0.253	NaN	NaN
1.000	2.000	1.000	272.643	219.809	807.757	166.207	149.923	158.444	115.390	7.041	0.447	0.052	-0.372	2.000	1.000	291.444	228.043	807.757	229.439	204.767	240.750	165.713	1.334	-0.130	-0.060	0.060	2.000	1.000	242.083	205.032	807.757	161.216	132.931	146.125	113.763	8.347	0.222	0.030	-0.203	2.000	1.000	314.724	262.147	807.757	210.623	150.143	162.824	121.589	9.960	-0.046	0.087	0.145	26.000	1.000	347.250	294.082	765.842	265.909	268.850	305.727	256.664	0.586	0.333	3.431E-15	-0.041
2.000	3.000	2.000	276.034	214.908	820.845	164.768	143.704	150.696	114.527	7.236	0.195	0.064	-0.128	3.000	2.000	295.963	232.438	820.845	238.228	208.094	241.062	164.014	1.407	0.073	-0.023	-0.084	3.000	2.000	266.345	208.515	820.845	162.320	128.000	140.714	110.618	9.020	0.674	0.145	-0.352	3.000	2.000	369.733	252.438	820.845	215.664	148.333	157.000	117.497	10.044	0.084	0.234	0.117	27.000	2.000	367.000	290.456	771.270	270.455	259.152	312.077	237.051	0.636	0.050	-0.024	-0.169
3.000	4.000	3.000	267.562	206.738	813.521	164.308	148.333	161.118	112.800	7.569	0.333	0.204	-0.000	4.000	3.000	300.111	231.830	813.521	236.107	206.250	234.059	162.652	1.426	0.019	0.025	-0.060	4.000	3.000	279.655	204.494	813.521	162.947	132.074	139.316	109.826	9.296	0.276	0.203	-0.145	4.000	3.000	345.667	254.262	813.521	214.926	147.517	161.529	117.294	9.807	-0.238	0.145	0.457	28.000	3.000	329.267	272.011	771.755	256.167	244.867	280.286	215.181	0.695	0.060	0.021	-0.041
4.000	5.000	4.000	250.167	193.606	812.956	161.968	145.407	158.364	111.703	7.745	0.176	0.256	0.064	5.000	4.000	323.077	238.512	812.956	243.112	212.448	252.385	161.810	1.464	0.038	0.000	0.000	5.000	4.000	282.516	214.574	812.956	166.299	138.852	151.462	111.074	9.675	0.379	0.145	-0.203	5.000	4.000	345.621	241.316	812.956	214.696	151.148	163.000	117.116	9.577	-0.230	0.180	0.281	29.000	4.000	367.231	306.524	774.890	258.438	219.226	245.762	207.103	1.001	0.306	0.036	-0.253
5.000	6.000	5.000	274.655	201.418	813.913	166.389	148.250	152.583	111.819	8.059	0.314	0.268	-0.076	6.000	5.000	322.040	243.988	813.913	244.895	203.719	234.250	164.824	1.518	0.054	0.000	0.000	6.000	5.000	281.750	211.625	813.913	168.564	146.000	155.000	111.811	9.962	0.287	0.116	-0.145	6.000	5.000	347.000	222.543	813.913	206.152	156.000	171.667	118.709	9.301	-0.276	0.205	0.382	30.000	5.000	341.741	277.437	777.077	249.110	215.212	231.000	193.832	1.047	0.046	0.017	-0.044
6.000	7.000	6.000	274.000	201.531	800.137	163.881	145.679	153.500	112.628	8.227	0.168	0.204	0.012	7.000	6.000	287.286	237.897	800.137	232.642	194.867	224.556	159.232	1.518	0.000	0.086	0.059	7.000	6.000	272.077	225.904	800.137	166.600	143.074	151.476	116.946	9.962	0.000	-0.030	-0.030	7.000	6.000	340.806	216.483	800.137	201.776	146.250	154.056	117.095	9.258	-0.043	0.246	0.269	31.000	6.000	321.778	256.544	770.732	235.382	204.968	231.143	189.521	1.055	0.008	-0.000	-0.027
7.000	8.000	7.000	286.556	202.221	802.269	162.855	151.679	160.278	116.493	8.219	-0.008	-0.011	-0.064	8.000	7.000	288.517	229.280	802.269	237.130	198.500	236.462	160.427	1.564	0.046	0.059	0.059	8.000	7.000	272.655	207.318	802.269	167.620	145.148	153.333	116.531	9.916	-0.046	-0.088	-0.030	8.000	7.000	329.243	212.840	802.269	194.543	145.367	154.350	119.651	9.224	-0.035	0.144	0.247	32.000	7.000	338.037	259.000	770.483	240.735	205.000	239.308	184.698	1.120	0.065	-0.025	-0.085
8.000	9.000	8.000	278.889	193.856	790.542	162.768	145.731	154.125	112.600	8.284	0.065	0.192	0.128	9.000	8.000	299.379	244.821	790.542	234.224	188.069	207.600	159.447	1.683	0.119	0.088	-0.032	9.000	8.000	267.231	195.724	790.542	165.488	141.862	153.810	116.510	9.713	-0.203	-0.058	0.117	9.000	8.000	329.500	205.614	790.542	188.585	141.833	153.167	116.580	8.967	-0.257	0.187	0.324	33.000	8.000	354.444	273.301	772.401	245.121	201.688	226.280	174.647	1.480	0.360	0.145	-0.174
9.000	10.000	9.000	307.607	198.914	781.899	162.751	142.769	157.636	110.693	8.617	0.333	0.267	-0.064	10.000	9.000	281.778	237.484	781.899	222.969	180.357	210.125	152.056	1.729	0.046	0.145	0.088	10.000	9.000	269.308	202.762	781.899	167.576	140.111	159.833	115.548	9.675	-0.038	-0.000	0.027	10.000	9.000	302.586	208.128	781.899	189.135	140.333	157.545	117.730	8.959	-0.008	0.188	0.161	34.000	9.000	369.250	274.012	767.441	247.555	196.250	225.857	165.600	1.802	0.322	0.265	-0.057
