 	dT	T (0)	Base X (0)	Base Y (0)	Tip X (0)	Tip Y (0)	||[body,base]|| (0)	||[base,tip]||  (0)	||[base,tip]|| : [body,base] (0)	[base,tip] ? [body,base] (0)	?||[base,tip]|| : [body,base] (0)	||[tip(t-1),tip(t)]|| : [base,tip] (0)	||[base(t-1),base(t)]|| : [base,tip] (0)	T (1)	Base X (1)	Base Y (1)	Tip X (1)	Tip Y (1)	||[body,base]|| (1)	||[base,tip]||  (1)	||[base,tip]|| : [body,base] (1)	[base,tip] ? [body,base] (1)	?||[base,tip]|| : [body,base] (1)	||[tip(t-1),tip(t)]|| : [base,tip] (1)	||[base(t-1),base(t)]|| : [base,tip] (1)	T (2)	Base X (2)	Base Y (2)	Tip X (2)	Tip Y (2)	||[body,base]|| (2)	||[base,tip]||  (2)	||[base,tip]|| : [body,base] (2)	[base,tip] ? [body,base] (2)	?||[base,tip]|| : [body,base] (2)	||[tip(t-1),tip(t)]|| : [base,tip] (2)	||[base(t-1),base(t)]|| : [base,tip] (2)	T (3)	Base X (3)	Base Y (3)	Tip X (3)	Tip Y (3)	||[body,base]|| (3)	||[base,tip]||  (3)	||[base,tip]|| : [body,base] (3)	[base,tip] ? [body,base] (3)	?||[base,tip]|| : [body,base] (3)	||[tip(t-1),tip(t)]|| : [base,tip] (3)	||[base(t-1),base(t)]|| : [base,tip] (3)	T (4)	Base X (4)	Base Y (4)	Tip X (4)	Tip Y (4)	||[body,base]|| (4)	||[base,tip]||  (4)	||[base,tip]|| : [body,base] (4)	[base,tip] ? [body,base] (4)	?||[base,tip]|| : [body,base] (4)	||[tip(t-1),tip(t)]|| : [base,tip] (4)	||[base(t-1),base(t)]|| : [base,tip] (4)	T (5)	Base X (5)	Base Y (5)	Tip X (5)	Tip Y (5)	||[body,base]|| (5)	||[base,tip]||  (5)	||[base,tip]|| : [body,base] (5)	[base,tip] ? [body,base] (5)	?||[base,tip]|| : [body,base] (5)	||[tip(t-1),tip(t)]|| : [base,tip] (5)	||[base(t-1),base(t)]|| : [base,tip] (5)	T (6)	Base X (6)	Base Y (6)	Tip X (6)	Tip Y (6)	||[body,base]|| (6)	||[base,tip]||  (6)	||[base,tip]|| : [body,base] (6)	[base,tip] ? [body,base] (6)	?||[base,tip]|| : [body,base] (6)	||[tip(t-1),tip(t)]|| : [base,tip] (6)	||[base(t-1),base(t)]|| : [base,tip] (6)	T (7)	Base X (7)	Base Y (7)	Tip X (7)	Tip Y (7)	||[body,base]|| (7)	||[base,tip]||  (7)	||[base,tip]|| : [body,base] (7)	[base,tip] ? [body,base] (7)	?||[base,tip]|| : [body,base] (7)	||[tip(t-1),tip(t)]|| : [base,tip] (7)	||[base(t-1),base(t)]|| : [base,tip] (7)	T (8)	Base X (8)	Base Y (8)	Tip X (8)	Tip Y (8)	||[body,base]|| (8)	||[base,tip]||  (8)	||[base,tip]|| : [body,base] (8)	[base,tip] ? [body,base] (8)	?||[base,tip]|| : [body,base] (8)	||[tip(t-1),tip(t)]|| : [base,tip] (8)	||[base(t-1),base(t)]|| : [base,tip] (8)
1	0.000	1.000	30.030	48.100	28.990	48.295	13.879	1.058	1.051	14.589	NaN	NaN	NaN	1.000	31.200	50.375	17.290	52.585	13.085	14.084	14.023	183.492	NaN	NaN	NaN	1.000	35.620	55.315	35.230	55.770	11.628	0.599	0.597	6.946	NaN	NaN	NaN	4.000	33.605	53.820	32.955	54.795	12.443	1.172	1.070	13.309	NaN	NaN	NaN	1.000	32.500	52.390	22.555	58.110	12.534	11.473	11.428	143.240	NaN	NaN	NaN	1.000	43.225	52.130	44.265	59.995	5.047	7.933	7.666	38.688	NaN	NaN	NaN	1.000	41.730	52.130	38.025	66.495	5.445	14.835	14.663	79.844	NaN	NaN	NaN	3.000	33.475	46.865	33.345	46.670	10.792	0.234	0.134	1.441	NaN	NaN	NaN	102.000	30.225	51.285	30.160	51.415	14.224	0.145	0.097	1.382	NaN	NaN	NaN
2	1.000	2.000	30.095	48.100	28.990	48.295	13.814	1.122	1.116	15.417	0.065	NaN	-0.064	2.000	31.135	50.375	17.290	52.585	13.148	14.020	13.962	183.568	-0.061	NaN	0.064	2.000	35.555	55.315	35.230	55.770	11.675	0.559	0.551	6.430	-0.047	NaN	0.038	5.000	33.020	54.730	32.825	54.925	13.468	0.276	0.271	3.650	-0.798	0.184	1.057	2.000	32.370	52.455	22.490	58.175	12.680	11.416	11.369	144.157	-0.059	0.089	0.145	2.000	43.160	52.065	44.265	59.995	4.991	8.007	7.690	38.384	0.024	NaN	-0.073	2.000	41.665	52.390	38.025	66.625	5.710	14.693	14.534	82.992	-0.129	0.126	0.268	4.000	33.410	46.865	33.215	46.735	10.730	0.234	0.199	2.134	0.065	0.072	0.054	103.000	30.615	51.090	30.160	51.350	13.968	0.524	0.506	7.064	0.409	-0.032	-0.435
3	2.000	3.000	31.135	48.100	28.925	48.295	13.171	2.219	2.218	29.220	1.102	0.065	-1.036	3.000	30.875	50.310	17.290	52.585	13.779	13.774	13.738	189.297	-0.223	NaN	0.246	3.000	35.555	55.315	35.165	55.770	12.000	0.599	0.596	7.153	0.045	0.042	NaN	6.000	33.280	54.275	32.890	54.925	12.944	0.758	0.684	8.856	0.413	-0.033	-0.524	3.000	32.240	52.520	22.360	58.305	13.207	11.449	11.388	150.393	0.019	0.178	0.145	3.000	43.095	52.260	44.265	59.995	5.330	7.823	7.290	38.853	-0.400	NaN	0.183	3.000	41.665	52.130	38.025	66.690	5.698	15.008	14.617	83.283	0.082	0.063	-0.252	5.000	33.540	46.865	33.215	46.670	10.598	0.379	0.330	3.494	0.131	0.033	-0.111	104.000	30.355	51.090	30.160	51.415	13.654	0.379	0.272	3.714	-0.234	0.056	0.134
4	3.000	4.000	30.680	48.100	28.860	48.230	13.486	1.825	1.825	24.606	-0.394	0.060	0.454	4.000	30.550	50.375	17.290	52.520	13.953	13.432	13.400	186.969	-0.339	-0.010	0.331	4.000	35.490	55.380	35.165	55.770	11.908	0.508	0.504	6.004	-0.092	NaN	0.092	7.000	33.605	53.820	32.760	54.990	12.404	1.443	1.346	16.697	0.662	0.129	-0.559	4.000	32.305	52.520	22.295	58.435	12.975	11.627	11.556	149.945	0.168	0.122	-0.056	4.000	43.160	52.130	44.265	60.060	5.035	8.007	7.566	38.097	0.276	0.064	-0.120	4.000	41.665	52.130	38.025	66.755	5.523	15.071	14.709	81.238	0.092	0.063	NaN	6.000	33.475	46.735	33.150	46.670	10.602	0.331	0.327	3.469	-0.003	0.064	0.089	105.000	30.615	50.960	30.095	51.350	13.952	0.650	0.600	8.374	0.328	0.013	-0.286
5	4.000	5.000	30.875	48.100	28.795	48.230	13.296	2.084	2.084	27.708	0.259	0.065	-0.195	5.000	30.550	50.375	17.290	52.520	13.968	13.432	13.395	187.108	-0.004	NaN	NaN	5.000	35.490	55.315	35.165	55.770	11.908	0.559	0.549	6.536	0.045	NaN	-0.053	8.000	33.540	54.015	32.760	54.925	12.728	1.199	1.151	14.644	-0.196	-0.049	0.190	5.000	32.305	52.520	22.230	58.500	13.002	11.716	11.648	151.449	0.092	0.089	NaN	5.000	43.095	52.065	44.330	60.190	5.048	8.218	7.696	38.853	0.130	0.138	-0.074	5.000	41.665	52.065	37.895	66.950	5.523	15.355	15.000	82.844	0.291	0.221	-0.063	7.000	33.540	46.670	33.085	46.475	10.472	0.495	0.462	4.838	0.135	0.137	-0.034	106.000	30.290	51.220	30.030	51.415	13.956	0.325	0.302	4.221	-0.298	0.091	0.416
6	5.000	6.000	30.940	48.100	28.665	48.230	13.166	2.279	2.278	29.998	0.194	0.130	-0.065	6.000	30.420	50.375	17.420	52.520	14.032	13.176	13.143	184.421	-0.252	-0.128	0.128	6.000	35.490	55.315	35.230	55.770	11.861	0.524	0.502	5.957	-0.047	-0.032	NaN	9.000	33.475	54.015	32.695	55.120	12.822	1.353	1.248	16.009	0.098	0.197	0.037	6.000	32.110	52.650	22.165	58.500	13.174	11.538	11.482	151.263	-0.167	0.056	0.234	6.000	43.030	52.000	44.330	60.125	4.985	8.228	7.675	38.257	-0.021	-0.064	-0.074	6.000	41.730	51.740	37.830	66.950	5.174	15.702	15.330	79.320	0.330	0.016	-0.331	8.000	33.540	46.670	33.085	46.475	10.667	0.495	0.462	4.926	-1.212E-4	NaN	NaN	107.000	30.680	50.960	29.965	51.415	13.936	0.847	0.804	11.205	0.502	0.055	-0.469
7	6.000	7.000	31.265	48.035	28.600	48.165	12.777	2.668	2.667	34.079	0.389	0.062	-0.328	7.000	30.355	50.375	17.355	52.520	14.047	13.176	13.139	184.561	-0.004	0.064	0.064	7.000	35.555	55.250	35.230	55.705	11.768	0.559	0.550	6.473	0.048	-0.053	-0.091	10.000	33.605	53.820	32.695	55.055	12.664	1.534	1.422	18.007	0.173	-0.052	-0.234	7.000	32.110	52.715	22.165	58.630	13.171	11.571	11.521	151.745	0.040	0.066	0.033	7.000	43.095	52.000	44.265	60.060	5.023	8.144	7.715	38.752	0.040	-0.074	0.009	7.000	41.730	51.805	37.960	66.885	5.262	15.544	15.228	80.131	-0.102	-0.095	0.063	9.000	33.540	46.605	33.020	46.345	10.806	0.581	0.533	5.763	0.071	0.116	0.029	108.000	30.485	51.025	29.900	51.415	14.015	0.703	0.663	9.291	-0.141	0.054	0.198
8	7.000	8.000	31.265	48.035	28.535	48.100	12.972	2.731	2.727	35.376	0.060	0.063	NaN	8.000	30.745	50.310	17.550	52.520	13.842	13.379	13.345	184.721	0.206	-0.192	-0.395	8.000	35.490	55.250	35.230	55.705	11.956	0.524	0.501	5.991	-0.049	NaN	0.032	11.000	33.540	54.015	32.630	55.120	12.822	1.431	1.359	17.420	-0.063	0.091	0.192	8.000	32.175	52.715	22.165	58.630	13.288	11.627	11.576	153.820	0.054	NaN	-0.056	8.000	43.160	52.195	44.265	59.800	5.239	7.685	7.234	37.902	-0.480	-0.257	0.202	8.000	41.730	52.130	38.155	66.950	5.640	15.245	14.889	83.968	-0.339	0.017	0.316	10.000	33.670	46.670	32.890	46.280	10.738	0.872	0.798	8.568	0.265	0.145	-0.145	109.000	30.355	51.090	29.835	51.545	13.952	0.691	0.616	8.598	-0.047	0.135	0.141
9	8.000	9.000	31.135	48.035	28.470	48.100	13.222	2.666	2.664	35.220	-0.063	0.065	0.130	9.000	31.005	50.180	17.615	52.520	13.656	13.593	13.577	185.418	0.232	-0.064	-0.278	9.000	35.360	55.510	35.295	55.705	12.235	0.206	0.180	2.205	-0.321	-0.021	0.288	12.000	33.540	54.080	32.565	55.120	12.152	1.426	1.393	16.925	0.034	0.044	0.047	9.000	32.045	52.715	22.165	58.630	13.470	11.515	11.437	154.056	-0.139	NaN	0.112	9.000	43.160	52.130	44.200	59.540	5.077	7.483	6.971	35.389	-0.263	-0.267	-0.064	9.000	41.730	51.870	38.285	67.015	5.354	15.532	14.912	79.836	0.023	0.035	-0.254	11.000	33.800	46.735	32.825	46.280	10.605	1.076	0.994	10.537	0.196	0.059	-0.145	110.000	30.615	50.960	29.835	51.545	13.794	0.975	0.898	12.383	0.281	NaN	-0.286
10	9.000	10.000	31.655	48.035	28.340	48.100	12.768	3.316	3.312	42.288	0.648	0.130	-0.520	10.000	31.135	50.115	17.680	52.520	13.579	13.668	13.657	185.448	0.080	-0.064	-0.139	10.000	35.295	55.510	35.230	55.640	12.330	0.145	0.136	1.673	-0.045	-0.029	0.029	13.000	33.475	54.080	32.565	55.185	12.693	1.431	1.364	17.314	-0.029	0.050	0.041	10.000	32.175	52.715	22.100	58.695	13.411	11.716	11.644	156.156	0.207	0.089	-0.112	10.000	43.160	52.065	44.135	59.410	5.029	7.409	6.881	34.603	-0.090	-0.137	-0.064	10.000	41.665	52.195	38.220	67.080	5.701	15.278	14.717	83.904	-0.195	0.078	0.331	12.000	33.800	46.670	32.890	46.280	9.764	0.990	0.929	9.075	-0.064	-0.060	0.026	111.000	30.615	50.960	29.770	51.610	13.810	1.066	0.978	13.512	0.081	0.091	NaN
