dT	T (0)	dT (0)	Base Mean (0)	Base Local Background (0)	Body Mean (0)	Proj Mean (0)	Tip Mean (0)	Tip Th Mean (0)	Tip Local Background (0)	Length (0)	dL (0)	DCTM (0)	DCBM (0)	T (1)	dT (1)	Base Mean (1)	Base Local Background (1)	Body Mean (1)	Proj Mean (1)	Tip Mean (1)	Tip Th Mean (1)	Tip Local Background (1)	Length (1)	dL (1)	DCTM (1)	DCBM (1)	T (2)	dT (2)	Base Mean (2)	Base Local Background (2)	Body Mean (2)	Proj Mean (2)	Tip Mean (2)	Tip Th Mean (2)	Tip Local Background (2)	Length (2)	dL (2)	DCTM (2)	DCBM (2)	T (3)	dT (3)	Base Mean (3)	Base Local Background (3)	Body Mean (3)	Proj Mean (3)	Tip Mean (3)	Tip Th Mean (3)	Tip Local Background (3)	Length (3)	dL (3)	DCTM (3)	DCBM (3)	T (4)	dT (4)	Base Mean (4)	Base Local Background (4)	Body Mean (4)	Proj Mean (4)	Tip Mean (4)	Tip Th Mean (4)	Tip Local Background (4)	Length (4)	dL (4)	DCTM (4)	DCBM (4)	T (5)	dT (5)	Base Mean (5)	Base Local Background (5)	Body Mean (5)	Proj Mean (5)	Tip Mean (5)	Tip Th Mean (5)	Tip Local Background (5)	Length (5)	dL (5)	DCTM (5)	DCBM (5)	T (6)	dT (6)	Base Mean (6)	Base Local Background (6)	Body Mean (6)	Proj Mean (6)	Tip Mean (6)	Tip Th Mean (6)	Tip Local Background (6)	Length (6)	dL (6)	DCTM (6)	DCBM (6)	T (7)	dT (7)	Base Mean (7)	Base Local Background (7)	Body Mean (7)	Proj Mean (7)	Tip Mean (7)	Tip Th Mean (7)	Tip Local Background (7)	Length (7)	dL (7)	DCTM (7)	DCBM (7)	T (8)	dT (8)	Base Mean (8)	Base Local Background (8)	Body Mean (8)	Proj Mean (8)	Tip Mean (8)	Tip Th Mean (8)	Tip Local Background (8)	Length (8)	dL (8)	DCTM (8)	DCBM (8)
0.000	1.000	0.000	180.548	136.298	454.541	160.157	143.548	156.053	131.732	1.445	0.000	NaN	NaN	1.000	0.000	187.679	202.299	454.541	140.883	133.600	143.737	102.415	15.096	0.000	NaN	NaN	1.000	0.000	190.500	220.058	454.541	166.836	157.419	179.083	197.655	0.944	0.000	NaN	NaN	4.000	0.000	204.735	175.662	441.217	168.713	148.548	162.762	143.341	1.526	1.526	NaN	NaN	1.000	0.000	210.824	244.582	454.541	142.531	122.037	129.000	104.950	12.539	0.000	NaN	NaN	1.000	0.000	206.357	145.216	454.541	141.321	120.464	133.429	105.013	8.582	0.000	NaN	NaN	1.000	0.000	216.719	206.134	454.541	141.594	126.321	132.619	103.113	16.151	0.000	NaN	NaN	3.000	0.000	184.500	149.785	437.756	156.500	155.154	190.750	144.378	0.511	0.511	NaN	NaN	102.000	0.000	164.842	150.922	470.383	153.600	153.600	173.500	146.843	0.219	0.219	NaN	NaN
1.000	2.000	1.000	184.226	138.263	436.781	159.071	142.194	161.357	121.959	1.510	0.065	-0.000	-0.064	2.000	1.000	185.357	153.674	436.781	141.094	134.533	144.158	112.611	15.058	-0.038	-0.000	0.064	2.000	1.000	186.679	157.800	436.781	161.743	155.594	171.312	141.793	0.806	-0.138	-0.000	0.038	5.000	1.000	159.708	143.197	440.834	147.870	148.571	163.818	137.211	0.500	-1.026	0.184	1.057	2.000	1.000	196.118	165.444	436.781	140.357	122.966	129.800	108.260	12.539	0.000	0.089	0.145	2.000	1.000	197.188	171.432	436.781	140.033	122.964	138.615	110.369	8.655	0.073	0.000	-0.073	2.000	1.000	199.586	182.800	436.781	139.086	123.519	128.455	108.604	15.956	-0.195	0.126	0.268	4.000	1.000	180.680	150.969	441.217	157.560	157.560	181.846	143.115	0.530	0.019	0.072	0.054	103.000	1.000	190.556	163.452	469.652	163.333	159.581	168.087	149.267	0.833	0.615	-0.032	-0.435
2.000	3.000	2.000	195.097	148.164	437.756	171.950	146.382	160.050	118.703	2.772	1.262	0.065	-1.036	3.000	2.000	182.111	147.548	437.756	139.022	125.233	150.667	113.755	14.752	-0.306	-0.000	0.246	3.000	2.000	192.000	157.644	437.756	158.870	151.355	167.824	140.861	0.871	0.065	0.042	-0.000	6.000	2.000	180.567	158.776	447.329	158.551	152.389	170.727	139.153	1.128	0.628	-0.033	-0.524	3.000	2.000	196.367	163.476	437.756	141.036	128.143	133.520	107.792	12.520	-0.019	0.178	0.145	3.000	2.000	180.160	159.816	437.756	138.009	123.179	126.778	110.166	8.425	-0.230	0.000	0.183	3.000	2.000	217.714	191.703	437.756	139.120	123.821	128.650	108.540	16.319	0.363	0.063	-0.252	5.000	2.000	184.571	155.390	440.834	160.886	162.424	177.077	142.842	0.716	0.187	0.033	-0.111	104.000	2.000	176.312	159.092	463.615	160.091	156.067	169.583	146.154	0.606	-0.228	0.056	0.134
3.000	4.000	3.000	187.613	147.391	441.217	163.085	151.176	164.737	120.874	2.244	-0.528	0.060	0.454	4.000	3.000	177.345	143.121	441.217	138.900	127.531	136.087	109.547	14.492	-0.260	-0.010	0.331	4.000	3.000	178.034	151.916	441.217	155.860	152.303	162.800	138.415	0.787	-0.084	-0.000	0.092	7.000	3.000	216.108	172.772	450.384	169.079	146.688	162.357	138.028	1.810	0.682	0.129	-0.559	4.000	3.000	203.806	166.500	441.217	141.010	123.821	129.500	109.719	12.704	0.184	0.122	-0.056	4.000	3.000	195.654	167.371	441.217	137.878	124.269	133.250	109.593	8.620	0.195	0.064	-0.120	4.000	3.000	219.419	186.409	441.217	139.094	127.071	141.500	108.960	16.411	0.092	0.063	-0.000	6.000	3.000	178.143	153.937	447.329	158.075	158.912	172.565	143.601	0.654	-0.062	0.064	0.089	105.000	3.000	193.929	162.825	466.676	168.875	163.516	172.036	146.562	0.898	0.293	0.013	-0.286
4.000	5.000	4.000	188.333	145.577	440.834	159.264	146.281	160.348	122.128	2.596	0.352	0.065	-0.195	5.000	4.000	180.034	146.288	440.834	139.854	127.844	140.312	110.566	14.427	-0.065	-0.000	-0.000	5.000	4.000	182.345	153.963	440.834	157.545	148.419	161.364	139.738	0.833	0.046	-0.000	-0.053	8.000	4.000	201.833	169.612	448.131	164.354	153.278	160.643	137.404	1.542	-0.268	-0.049	0.190	5.000	4.000	207.533	168.841	440.834	142.108	121.464	136.375	110.741	12.796	0.092	0.089	-0.000	5.000	4.000	194.036	167.302	440.834	138.528	118.481	123.042	108.353	8.858	0.238	0.138	-0.074	5.000	4.000	222.222	195.622	440.834	139.686	127.645	140.733	107.768	16.698	0.287	0.221	-0.063	7.000	4.000	189.571	152.209	450.384	159.552	154.375	176.250	137.909	0.695	0.041	0.137	-0.034	106.000	4.000	172.963	156.176	465.800	154.270	152.679	164.250	143.135	0.614	-0.284	0.091	0.416
5.000	6.000	5.000	191.700	143.705	447.329	166.261	148.438	166.786	118.952	2.680	0.084	0.130	-0.065	6.000	5.000	179.621	143.722	447.329	138.631	123.643	132.812	113.818	14.178	-0.249	-0.128	0.128	6.000	5.000	195.679	156.247	447.329	158.469	148.643	160.882	142.294	0.787	-0.046	-0.032	-0.000	9.000	5.000	196.700	166.525	449.070	161.634	143.893	155.412	133.735	1.653	0.111	0.197	0.037	6.000	5.000	200.200	158.096	447.329	140.577	126.200	136.857	111.172	12.593	-0.203	0.056	0.234	6.000	5.000	202.500	172.468	447.329	137.229	119.407	134.800	109.570	8.831	-0.027	-0.064	-0.074	6.000	5.000	260.966	203.871	447.329	141.518	125.897	136.308	111.007	17.066	0.368	0.016	-0.331	8.000	5.000	183.321	155.782	448.131	157.339	153.031	181.143	139.541	0.733	0.038	-0.000	-0.000	107.000	5.000	201.483	169.762	464.398	164.835	147.310	164.200	143.465	1.120	0.506	0.055	-0.469
6.000	7.000	6.000	201.576	150.184	450.384	165.029	154.781	175.125	120.135	3.216	0.536	0.062	-0.328	7.000	6.000	183.276	144.126	450.384	138.525	123.741	131.211	109.952	14.178	0.000	0.064	0.064	7.000	6.000	192.900	162.603	450.384	162.072	152.613	169.000	145.110	0.833	0.046	-0.053	-0.091	10.000	6.000	213.686	170.761	449.553	167.566	152.129	163.739	134.558	1.882	0.230	-0.052	-0.234	7.000	6.000	198.148	164.321	450.384	139.697	125.333	132.208	109.752	12.723	0.130	0.066	0.033	7.000	6.000	196.923	168.884	450.384	138.688	122.385	129.786	109.725	8.731	-0.100	-0.074	0.009	7.000	6.000	243.037	199.362	450.384	140.577	128.207	136.750	110.899	16.882	-0.184	-0.095	0.063	9.000	6.000	192.654	153.060	449.070	159.133	146.281	164.200	133.561	0.844	0.111	0.116	0.029	108.000	6.000	185.360	165.024	463.240	163.160	154.714	170.889	142.296	0.860	-0.260	0.054	0.198
7.000	8.000	7.000	192.233	147.741	448.131	165.190	137.548	155.167	121.986	3.108	-0.108	0.063	-0.000	8.000	7.000	198.179	159.011	448.131	140.529	127.571	139.538	112.299	14.362	0.184	-0.192	-0.395	8.000	7.000	196.029	160.325	448.131	164.528	153.290	166.381	143.063	0.852	0.019	-0.000	0.032	11.000	7.000	201.419	170.747	448.937	164.178	142.871	155.947	134.486	1.726	-0.157	0.091	0.192	8.000	7.000	191.741	164.231	448.131	140.166	125.700	140.412	111.020	12.761	0.038	-0.000	-0.056	8.000	7.000	184.240	157.865	448.131	141.060	125.714	133.529	113.020	8.295	-0.436	-0.257	0.202	8.000	7.000	203.727	181.779	448.131	139.071	130.290	140.300	110.470	16.887	0.005	0.017	0.316	10.000	7.000	203.654	164.975	449.553	157.810	145.188	154.833	133.667	1.120	0.276	0.145	-0.145	109.000	7.000	178.333	160.133	459.990	155.765	149.862	161.933	136.889	0.906	0.046	0.135	0.141
8.000	9.000	8.000	186.290	146.292	449.070	172.184	147.719	171.182	118.297	3.062	-0.046	0.065	0.130	9.000	8.000	205.929	163.750	449.070	141.193	125.333	139.200	112.441	14.584	0.222	-0.064	-0.278	9.000	8.000	175.667	149.054	449.070	158.864	159.800	173.636	142.419	0.586	-0.266	-0.021	0.288	12.000	8.000	201.794	168.596	445.090	164.080	145.710	153.826	134.282	1.791	0.065	0.044	0.047	9.000	8.000	194.037	158.193	449.070	140.315	121.414	127.143	110.497	12.715	-0.046	-0.000	0.112	9.000	8.000	178.370	159.564	449.070	140.230	125.615	133.867	114.528	8.062	-0.233	-0.267	-0.064	9.000	8.000	224.900	192.701	449.070	140.130	127.724	134.400	111.693	17.074	0.187	0.035	-0.254	11.000	8.000	203.192	164.938	448.937	158.387	143.548	155.056	131.785	1.323	0.203	0.059	-0.145	110.000	8.000	197.308	170.208	460.560	159.000	149.688	157.885	137.748	1.247	0.341	-0.000	-0.286
9.000	10.000	9.000	206.931	157.571	449.553	177.398	143.871	163.182	121.926	3.747	0.685	0.130	-0.520	10.000	9.000	215.500	172.904	449.553	142.565	129.900	141.071	110.568	14.722	0.138	-0.064	-0.139	10.000	9.000	179.762	151.755	449.553	160.417	160.417	173.857	146.321	0.375	-0.211	-0.029	0.029	13.000	9.000	203.767	170.526	442.760	165.817	145.355	158.684	132.871	1.772	-0.019	0.050	0.041	10.000	9.000	193.231	163.386	449.553	140.944	128.750	143.133	109.966	12.834	0.119	0.089	-0.112	10.000	9.000	184.704	158.818	449.553	139.205	124.464	132.053	113.081	7.897	-0.165	-0.137	-0.064	10.000	9.000	200.613	175.140	449.553	137.901	121.370	125.381	110.275	16.660	-0.414	0.078	0.331	12.000	9.000	200.345	162.435	445.090	159.695	141.406	153.450	133.376	1.334	0.011	-0.060	0.026	111.000	9.000	182.880	161.829	464.185	154.055	147.931	163.385	135.441	1.266	0.019	0.091	-0.000
10.000	11.000	10.000	205.690	162.095	448.937	175.045	138.562	146.739	119.471	3.972	0.225	0.132	-0.130	11.000	10.000	198.222	164.268	448.937	141.007	122.357	129.125	110.825	14.638	-0.084	-0.000	-0.000	11.000	10.000	186.652	148.500	448.937	166.909	166.909	189.500	145.175	0.389	0.014	0.065	0.000	14.000	10.000	202.030	165.725	444.679	163.280	142.219	155.143	135.671	1.588	-0.184	-0.092	0.049	11.000	10.000	195.034	166.682	448.937	139.744	125.778	138.615	111.942	12.991	0.157	0.089	-0.056	11.000	10.000	188.828	155.548	448.937	138.610	122.321	130.786	109.048	8.157	0.260	0.194	-0.057	11.000	10.000	218.742	183.293	448.937	138.041	128.500	137.812	108.279	16.793	0.133	-0.000	-0.127	13.000	10.000	204.300	169.566	442.760	160.582	146.219	156.421	134.128	1.518	0.184	0.035	-0.170	112.000	10.000	178.545	157.625	461.270	153.092	142.500	156.769	137.449	1.109	-0.157	-0.050	0.091
11.000	12.000	11.000	181.323	136.212	445.090	148.951	135.625	147.765	118.600	1.575	-2.397	0.014	2.383	12.000	11.000	199.296	165.962	445.090	140.908	126.143	136.300	109.035	14.730	0.092	-0.000	-0.064	12.000	11.000	186.138	152.654	445.090	165.920	166.227	183.933	143.702	0.632	0.243	-0.000	-0.021	15.000	11.000	194.000	163.159	443.561	156.814	141.781	149.826	131.356	1.523	-0.065	0.095	0.136	12.000	11.000	207.038	171.551	445.090	140.840	122.414	130.882	110.838	13.102	0.111	-0.056	-0.145	12.000	11.000	184.444	153.860	445.090	139.661	125.536	131.500	110.122	8.100	-0.057	-0.072	0.057	12.000	11.000	207.296	175.681	445.090	138.296	128.111	132.130	109.629	16.747	-0.046	0.190	0.190	14.000	11.000	204.808	161.641	444.679	161.493	143.267	160.308	133.901	1.399	-0.119	-0.023	0.061	113.000	11.000	181.407	159.869	460.862	155.127	146.586	153.783	135.273	1.228	0.119	-0.000	-0.092
12.000	13.000	12.000	190.552	145.718	442.760	169.051	133.032	143.111	119.313	2.718	1.143	-0.002	-1.170	13.000	12.000	175.720	158.865	442.760	140.458	125.839	139.600	113.087	14.343	-0.387	-0.214	0.128	13.000	12.000	180.593	149.000	442.760	162.500	162.545	174.000	143.567	0.505	-0.127	0.029	0.087	16.000	12.000	197.742	163.489	441.514	160.550	143.000	155.438	130.936	1.661	0.138	0.098	-0.049	13.000	12.000	187.367	170.059	442.760	140.086	122.481	135.083	111.125	13.128	0.027	0.033	-0.000	13.000	12.000	186.741	157.644	442.760	141.118	124.630	132.667	109.028	8.138	0.038	0.065	0.000	13.000	12.000	184.613	166.823	442.760	135.711	124.103	128.500	109.425	16.717	-0.030	0.127	0.190	15.000	12.000	193.769	161.862	443.561	162.638	147.625	158.571	135.365	1.418	0.019	-0.019	-0.000	114.000	12.000	159.138	149.083	459.155	151.505	150.000	156.304	134.483	1.090	-0.138	0.102	0.274
