"","Fold change (median)","Fold change (mean)","z-score","Cliff's delta ","P (Mann-Whitney)","P (Holm-adjusted)"
"Max length",0.969818913480885,0.984886816093146,-0.0219358760873143,0.0162643382982366,0.865838998976928,1
"Straightness",1.00542733489486,0.99353712530075,-0.142289369609625,-0.0448717948717949,0.739790943635894,1
"Tip extension rate",1.03917910447761,0.987808446433882,-0.0328080966438269,-0.00518276050190945,0.963411826234775,1
"Tip retraction rate",1.37606837606838,1.27030320150262,0.726848311181089,0.304964539007092,0.0302231396777466,0.392900815810706
"Base invasion rate",1.12915936952715,1.14762738197238,0.393385282265903,0.182164634146341,0.117217150189607,1
"Base retraction rate",1.05364995602463,1.10966909460534,0.383694254313197,0.154109589041096,0.164580930585798,1
"Time tip extending",1.3,0.978022102971981,-0.0300045037829897,0.00227272727272729,0.983385989021403,1
"Time tip retracting",Inf,0.917643393036973,-0.0533939531197714,0.0134297520661157,0.88792273369963,1
"Time tip stalling",0.896428571428571,1.04920035955595,0.0592972829713049,0.0481404958677686,0.629289492850613,1
"Time base invading",0.850961538461538,0.987995450455072,-0.0114189287359472,-0.0494949494949495,0.615355253351688,1
"Time base retracting",1.36646583614405,1.20727529324476,0.198081795916356,0.132727272727273,0.179719365052683,1
"Time base stalling",0.75,0.897829614353391,-0.190769056284286,-0.144848484848485,0.144272077824283,1
"Tip persistence",1,0.985376801322939,-0.0152045228526925,0.112541620421754,0.26603164505473,1
